"gene","padj","logpadj","lfc","direction"
"POU1F1",0,Inf,10.8014556806285,"pituitary"
"LHX3",0,Inf,10.1585908647767,"pituitary"
"FSHB",0,Inf,10.1432251464043,"pituitary"
"POMC",0,Inf,10.0690926046559,"pituitary"
"GHRHR",0,Inf,9.72807918078347,"pituitary"
"LOC100859272",0,Inf,9.65609496468998,"pituitary"
"AVPR1B",0,Inf,9.09021402034137,"pituitary"
"CLDN3",9.27972487179047e-291,290.03246489969,9.02478921171397,"pituitary"
"CRYBA2",0,Inf,8.79658114639453,"pituitary"
"FGF6",5.45847465702969e-256,255.262928701725,8.5134174160101,"pituitary"
"PRL",0,Inf,8.31313585774592,"pituitary"
"AGR3",0,Inf,7.93787636092406,"pituitary"
"PITX1",0,Inf,7.87326769014404,"pituitary"
"TSHB",0,Inf,7.84105551045092,"pituitary"
"DMBX1",0,Inf,7.81907217430523,"pituitary"
"CHRNA1",0,Inf,7.69838942562501,"pituitary"
"SIX2",0,Inf,7.55869540348672,"pituitary"
"PITX3",0,Inf,7.48541110026976,"pituitary"
"ESRP1",0,Inf,7.43732847507222,"pituitary"
"TBX19",0,Inf,7.40505995276869,"pituitary"
"CHGA",0,Inf,7.37108080548373,"pituitary"
"GNRHR",0,Inf,7.25649904009639,"pituitary"
"GH",0,Inf,7.24506220751179,"pituitary"
"HHLA1",0,Inf,7.19706578287824,"pituitary"
"NR5A1",0,Inf,7.18232433733628,"pituitary"
"ISL2",1.97716027646798e-218,217.703958123623,6.90455777077892,"pituitary"
"LOC107049720",6.83740148697709e-307,306.165108917912,6.85928158881532,"pituitary"
"LOC422301",0,Inf,6.68526667173464,"pituitary"
"RP11-240B13.2",0,Inf,6.61958003068186,"pituitary"
"ALDH1A1",0,Inf,6.5341140373815,"pituitary"
"GPRC6A",3.51714840032047e-249,248.453809306952,6.51904860672295,"pituitary"
"LOC101747902",0,Inf,6.48904355934542,"pituitary"
