"gene","padj","logpadj","lfc","direction"
"TIAM2",3.4405897096988e-69,68.4633671139056,-0.706608987296521,"pituitary"
"LOC107056661",2.95792074742157e-38,37.5290134663833,-0.70661812027545,"pituitary"
"RALY",3.28356208023587e-99,98.4836547683671,-0.706696474394262,"pituitary"
"THAP11",8.76602572739456e-51,50.05719725907,-0.706797276539925,"pituitary"
"CBX4",5.88009123330637e-66,65.2306159355201,-0.707016619138479,"pituitary"
"LGI2",2.42827692341373e-11,10.6147017873445,-0.708082185066882,"pituitary"
"USP33",3.20437067170025e-09,8.49425725183787,-0.708095785921188,"pituitary"
"STXBP3",1.51422354885086e-25,24.8198100040529,-0.7081081497159,"pituitary"
"BAG5",7.01686521366817e-133,132.153856865715,-0.708944759366212,"pituitary"
"RGS5",1.7283324571819e-15,14.7623727141534,-0.710084566238373,"pituitary"
"ADAMTS6",4.06157191055561e-50,49.3913058531323,-0.710518933151162,"pituitary"
"LOC100859655",2.89630105437488e-35,34.5381562976343,-0.710681491691748,"pituitary"
"GATSL2",3.12314293358022e-50,49.5054081394186,-0.710836987758521,"pituitary"
"CMPK2",2.03245935005706e-24,23.6919781316982,-0.711034264451861,"pituitary"
"KIAA0922",1.28381421767331e-82,81.8914978190063,-0.711569805503872,"pituitary"
"CERS6",3.67317113337306e-50,49.4349588373644,-0.711630984328309,"pituitary"
"TMX3",3.36947093467067e-128,127.472438285536,-0.711696709630956,"pituitary"
"KIF13A",1.65874839801732e-148,147.780219483559,-0.712340964558477,"pituitary"
"ASPHD2",2.69514146024638e-23,22.5694184350071,-0.713307687538186,"pituitary"
"AKAP8",2.44830953057397e-22,21.611133676836,-0.713946851562049,"pituitary"
"RORC",2.31941629241123e-06,5.63462129652306,-0.713976292697143,"pituitary"
"FUT9",2.24014084391565e-06,5.64972467549957,-0.714043776667018,"pituitary"
"MAOA",1.57305651507388e-23,22.8032556742338,-0.714400830372947,"pituitary"
"SARS",4.505674450512e-106,105.346240190653,-0.714803768487811,"pituitary"
"UFM1",2.46033849015836e-35,34.6090051391181,-0.71484369670807,"pituitary"
"ALG14",1.25255041237823e-35,34.9022047857185,-0.714911777433962,"pituitary"
"AIDA",0,Inf,-0.714982137407799,"pituitary"
"CHEK2",3.18232628113525e-55,54.4972552945725,-0.715011200843681,"pituitary"
"CAMKK2",4.75042139902984e-33,32.323267863395,-0.71537073258402,"pituitary"
"COL18A1",2.86515054226663e-45,44.542852554165,-0.715580338817078,"pituitary"
"ENTHD2",8.27957759795466e-48,47.0819918192002,-0.715735942965178,"pituitary"
"GLI3",2.08037738290196e-32,31.6818578763615,-0.715775339005527,"pituitary"
"FBXO9",2.99553313584111e-140,139.52352587199,-0.716018682770749,"pituitary"
"FAM78B",1.63097432085907e-25,24.7875528767261,-0.71638343161802,"pituitary"
"LOC107050687",2.85647181304893e-09,8.54417005709186,-0.71688575928746,"pituitary"
"RAB43",2.76533277649661e-33,32.5582525987897,-0.717174537367067,"pituitary"
"TTC37",2.20472358329391e-56,55.6566458523527,-0.717462337371237,"pituitary"
"ZHX2",7.83320250853783e-80,79.106060645677,-0.71814532446259,"pituitary"
"GNPAT",2.28564886403238e-71,70.6409904879067,-0.718752096528679,"pituitary"
"RPS6KC1",3.26557332642634e-96,95.4860405599802,-0.71942420415596,"pituitary"
"USP46",3.64181230616211e-11,10.4386824408856,-0.71964205692075,"pituitary"
"ACCS",2.9559108537632e-83,82.5293086678085,-0.719934485790119,"pituitary"
"AES",6.51699775083145e-26,25.1859524288896,-0.719969450845322,"pituitary"
"BET1",3.05978145559175e-58,57.5143095918256,-0.720014142401909,"pituitary"
"TSPAN3",1.40612820905715e-206,205.851975079069,-0.720426355931879,"pituitary"
"ILDR2",7.49937952182954e-23,22.1249746674607,-0.720844851448796,"pituitary"
"RBP5",1.10943000902975e-14,13.9549000910444,-0.721156429345347,"pituitary"
"TMEM223",2.30873048332794e-23,22.6366267628105,-0.721271114713916,"pituitary"
"GPR182",7.18994813952766e-07,6.14327424213425,-0.721437088730406,"pituitary"
"SEMA4C",4.14524110538018e-54,53.3824502039096,-0.721575661553446,"pituitary"
"H6PD",9.4407193305228e-43,42.0249949136071,-0.722261963115486,"pituitary"
"ACSL6",1.38796620087884e-41,40.8576211094939,-0.722732063882521,"pituitary"
"IGFN1",9.16507399273045e-44,43.0378640244819,-0.72311913937484,"pituitary"
"LOC107051567",3.58616377387703e-26,25.4453698808455,-0.723665751275983,"pituitary"
"ITGA2",4.42816969458819e-43,42.353775744611,-0.724247788541019,"pituitary"
"HTR2C",5.34496300215532e-13,12.2720552966321,-0.724285485977807,"pituitary"
"CA5B",1.01249738431014e-77,76.99460609007,-0.724351547431894,"pituitary"
"CSRP2",0.0199516314037958,1.70002158716025,-0.725538653055889,"pituitary"
"ORMDL1",9.60364398386691e-24,23.0175639480223,-0.725563997707303,"pituitary"
"FAM124A",6.85279084923655e-09,8.16413252287523,-0.725623931069322,"pituitary"
"ZBTB7C",9.94842941856158e-23,22.0022454769117,-0.725640629616488,"pituitary"
