kp.r,bird,sex,treatment,horm.id,notes
160,r27.w111.blu125,female,inc.d3,r27/w111-blu125,
171,r73.g127.x,female,inc.d3,r73/g127-x,
221,x.blu102.w105,female,inc.d3,x-blu102/w105,
277,x.r33.w183,female,inc.d3,x-r33/w183,
312,y13.x,female,inc.d3,y13-x,
34,blu111.w113.x,male,inc.d3,blu111/w113-x,
84,g146.blu51,male,inc.d3,g146-blu51,
86,g20.w106.x,male,inc.d3,g20/w106-x,
125,o48.r197.x,male,inc.d3,o48/r197-x,
230,x.blu42.o28,male,inc.d3,x-blu42/o28,
245,x.g147.blu28,male,inc.d3,x-g147/blu28,
258,x.o163.w101,male,inc.d3,x-o163/w101,
282,x.r64.g140,male,inc.d3,x-r64/g140,
321,y149.r52.x,male,inc.d3,y149/r52-x,
334,y98.o50.x,male,inc.d3,y98/o50-x,
19,blk.s061.pu.y,female,inc.d9,blk/s-pu/y,
48,blu47.y96.x,female,inc.d9,blu47/y96-x,
97,g75.x,female,inc.d9,g75-x,
130,o73.x,female,inc.d9,o73-x,
161,r30.w112.r46,female,inc.d9,r30/w112-r46,
162,r36.w184.x,female,inc.d9,R36/w184-x,
220,x.blu101.w43,female,inc.d9,x-blu101/w43,
226,x.blu122.r66,female,inc.d9,blu122/r66-x,
254,x.g9.o166,female,inc.d9,x-g9/o166,
292,x.y109,female,inc.d9,x-y109,
303,x.y93.g126,female,inc.d9,x-Y93/G126,
309,y128.g23.x,female,inc.d9,y128/g23-x,
318,y140.w119.x,female,inc.d9,y140/w119-x,
33,blu108.w40.o158,male,inc.d9,blu108/w40-o158,should be m.inc9
126,o49.x,male,inc.d9,o49-x,
128,o57.g59,male,inc.d9,o57-g59,
166,r45.X,male,inc.d9,R45-X,listed twice
167,r45.x,male,inc.d9,R45-X,listed twice
214,w34.x,male,inc.d9,w34-x,
222,x.blu106.o153,male,inc.d9,x-blu106/o153,
243,x.g13.w109,male,inc.d9,x-g13/w109,
266,x.o47.y82,male,inc.d9,x-o47/y82,
288,x.w192.o157,male,inc.d9,x-w192/o157,
296,x.y141.w116,male,inc.d9,x-y141/w116,
331,y95.g131.x,male,inc.d9,y95/g131-x,
61,g.blk.s004.pk,female,lay,g/blk-s/pk,
69,g.s078.blk.o,female,lay,G/S-Blk/O,
178,s.o.pk,female,lay,s-o/pk,
198,s095.g.blk.o,female,lay,s/g-blk/o,
202,s136.d.w.o,female,lay,s/d-w/o,
205,s142.o.pk.pu,female,lay,s/o-pk/pu,
208,s176.blk.pu.r,female,lay,s/blk-pu/r,
233,x.blu6.y80,female,lay,x-blu6/y80,
289,x.w51,female,lay,x-w51,
305,y.s156.o.r,female,lay,y/s-o/r,
65,g.s.blk.y,male,lay,g/s-blk/y,
66,g.s043.pu.blk,male,lay,g/s-pu/blk,
108,o.s.w.r,male,lay,o/s-w/r,
136,pk.s238.blk.w,male,lay,pk/s-blk/w,
137,pk.w.s141.o,male,lay,pk/w-s/o,
142,r.s005.pk.blk,male,lay,r/s-pk/blk,
149,r.s116.blk.pu,male,lay,r/s-blk/pu,
156,r190.o43.x,male,lay,r190/o43-x,
206,s150.w.g.blk,male,lay,s/w-g/blk,
211,s243.blk.pk.r,male,lay,s/blk-pk/r,
59,d.s112.blk.w,female,m.inc.d17,d/s-blk/w,
74,g.y.blk.s006,female,m.inc.d17,g/y-blk/s,
95,g63.blu65,female,m.inc.d17,g63-blu65,
110,o.s084.w.blk,female,m.inc.d17,o/s-w/blk,
115,o169.r28.x,female,m.inc.d17,o169/r28-x,
133,pk.s011.o.y,female,m.inc.d17,pk/s-o/y,
183,s038.g.d.blk,female,m.inc.d17,s/g-d/blk,
200,s100.l.pk.blk,female,m.inc.d17,s/l-pk/blk,
237,x.blu94,female,m.inc.d17,x-blu94,
293,x.y119.w11,female,m.inc.d17,x-y119/w11,
329,y85.r71.x,female,m.inc.d17,y85/r71-x,
63,g.o.y.s037,male,m.inc.d17,g/o-y/s,
89,g32.blu79,male,m.inc.d17,g32-blu79,
101,l.s024.y.g,male,m.inc.d17,l/s-y/g,
129,o59.blu64,male,m.inc.d17,o59-blu64,
187,s064.g.blk.pu,male,m.inc.d17,s/g-blk/pu,
199,s096.g.blk.pk,male,m.inc.d17,s/g-blk/pk,
265,x.o40.r70,male,m.inc.d17,x-o40/r70,
271,x.r10.w18,male,m.inc.d17,x-r10/w18,
320,y148.w81.g145,male,m.inc.d17,y148/w81-g145,
324,y4.x,male,m.inc.d17,y4-x,
17,blk.s049.y.g,female,m.inc.d3,blk/s-y/g,
18,blk.s060.pu.w,female,m.inc.d3,blk/s-pu/w,
50,blu56.o53,female,m.inc.d3,blu56-o53,
60,d.s177.blk.r,female,m.inc.d3,d/s-blk/r,
83,g144.r54.x,female,m.inc.d3,g144/r54-x,
143,r.s035.y.blk,female,m.inc.d3,r/s-y/blk,
191,s069.pk.pu.g,female,m.inc.d3,s/pk-pu/g,
197,s093.blk.y.d,female,m.inc.d3,s/blk-y/d,
201,s103.y.pk.blk,female,m.inc.d3,s/y-pk/blk,
273,x.r180,female,m.inc.d3,x-r180,
28,blk5.x,male,m.inc.d3,blk5-x,
58,d.s110.g.blk,male,m.inc.d3,d/s-g/blk,
62,g.blk.s041.r,male,m.inc.d3,g/blk-s/r,
109,o.s010.r.blk,male,m.inc.d3,o/s-r/blk,
192,s071.pu.g.pk,male,m.inc.d3,s/pu-g/pk,
204,s139.l.blk.w,male,m.inc.d3,s/l-blk/w,
207,s175.blk.pu.pk,male,m.inc.d3,s/blk-pu/pk,
251,x.g5.w79,male,m.inc.d3,x-g5/w79,
275,x.r185,male,m.inc.d3,r185-x,
323,y18.x,male,m.inc.d3,y18-X,
51,blu63.g62,female,m.inc.d9,blu63-g62,
55,d.r.blk.s159,female,m.inc.d9,d/r-blk/s,
96,g73.x,female,m.inc.d9,g73-x,
120,o36.r62.x,female,m.inc.d9,o36/r62-x,
124,o45.g128.x,female,m.inc.d9,o45/g128-x,
228,x.blu25,female,m.inc.d9,x-blu25,
285,x.r76,female,m.inc.d9,x-r76,
307,y12.x,female,m.inc.d9,y12-x,
310,y128.g23.x,female,m.inc.d9,y128/g23-x,should be inc9; listed 2x
106,l.s280.g.blk,male,m.inc.d9,l/s-g/blk,
107,o.d.s009,male,m.inc.d9,o/d-s,
159,r196.x,male,m.inc.d9,r196-x,
174,r84.x,male,m.inc.d9,,no horm
175,r85.g39,male,m.inc.d9,r85-g39,
255,x.o117,male,m.inc.d9,x-o117,
306,y.w.blk,male,m.inc.d9,y/w-blk,
327,y63.x,male,m.inc.d9,x-y63,
16,blk.s032.g.w,female,m.n2,blk/s-g/w,
21,blk0.x,female,m.n2,blk0-x,
68,g.s076.pk.r,female,m.n2,g/s-pk/r,
100,l.s.w.d,female,m.n2,l/s-w/d,
134,pk.s054.d.g,female,m.n2,pk/s-d/g,
212,s333.y.blk.pk,female,m.n2,s/y-blk/pk,
238,x.blu96,female,m.n2,x-blu96,
260,x.o171.w45,female,m.n2,x-o171/w45,
284,x.r74.o29,female,m.n2,x-r74/o29,
333,y98.g54,female,m.n2,y98-g54,
30,blu10.w26.x,male,m.n2,blu110/w26-x,
67,g.s075.pk.pu,male,m.n2,g/s-pk/pu,
90,g34.x,male,m.n2,g34-x,
118,o3.x,male,m.n2,o3-x,
139,pu.s.o.r,male,m.n2,s-o/r,
185,s062.d.blk.g,male,m.n2,s/d-blk/g,
194,s090.blk.pk.w,male,m.n2,s/blk-pk/w,
218,x.blk23,male,m.n2,x-blk23,
236,x.blu76,male,m.n2,x-blu76,
267,x.o4,male,m.n2,x-o4,
49,blu55.g51,female,n5,blu55-g51,
223,x.blu109.w121,female,n5,x-blu109/w121,
247,x.g37,female,n5,x-g37,
249,x.g43,female,n5,x-g43,
250,x.g49,female,n5,x-g49,
261,x.o175.g21,female,n5,x-o175/g21,
270,x.o70,female,n5,x-o70,
281,x.r50.w97,female,n5,x-r50/w97,
326,y6.o54,female,n5,y6-o54,
330,y94.g133.x,female,n5,x-y94/g133,
23,blk12.x,male,n5,blk12-x,
43,blu37.r65.x,male,n5,blu37/r65-x,
46,blu41.y100.x,male,n5,blu41/y100-x,
56,d.s008.y.blk,male,n5,D/S-Y/Blk,
57,d.s047.blk.o,male,n5,d/s-blk/o,
112,o152.o120.w42,male,n5,o152-o120/w42,
229,x.blu30,male,n5,x-blu30,
259,x.o164.w123,male,n5,x-o164/w123,
269,x.o68,male,n5,x-o68,
274,x.r181,male,n5,x-r181,
27,blk4.x,female,n9,blk4-x,
42,blu36.w16,female,n9,blu36-w16,
151,r.s171.l.w,female,n9,r/s-l/w,
177,r95.blu99,female,n9,r95-blu99,
231,x.blu43.g132,female,n9,x-blu43/g132,should be m.inc9
248,x.g4.w50,female,n9,x-g4/w50,
287,x.w178,female,n9,w178-x,
290,x.w6,female,n9,x-w6,
295,x.y138.w176,female,n9,x-y138/w176,
304,x.y9,female,n9,x-y9,
332,y97.x,female,n9,y97-x,
53,blu81.r88,male,n9,blu81-r88,
64,g.s.blk.d,male,n9,blk/d-g/s,
153,r.y.s007.blk,male,n9,r/y-s/blk,
158,r195.x,male,n9,R195-X,
163,r37.w100.x,male,n9,r37/w100-x,should be m.inc9
210,s187.l.o.r,male,n9,s/l-o/r,
216,x.blk16,male,n9,x-blk16,
227,x.blu23.w14,male,n9,x-blu23/w14,
262,x.o2,male,n9,x-o2,
311,y129.x,male,n9,y129-x,
314,y131.w185.x,male,n9,y131/w185-x,
15,blk.s031.pu.d,female,prolong,blk/s-pu/d,
37,blu115.y150.x,female,prolong,blu115-x,
102,l.s052.pk.r,female,prolong,l/s-pk/r,
105,l.s166.o.w,female,prolong,l/s-o/w,
157,r194.x,female,prolong,r194-x,
179,s.pu.pk,female,prolong,s-pu/pk,
217,x.blk20,female,prolong,x-blk20,
252,x.g50,female,prolong,x-g50,
297,x.y145.r55,female,prolong,x-y145/r55,
319,y146.r32.x,female,prolong,y146/r32-x,
14,blk.s030.o.g,male,prolong,blk/s-o/g,
75,g.y.o.s,male,prolong,g/y-o/s,
91,g38.x,male,prolong,g38-x,
103,l.s080.blk.r,male,prolong,l/s-blk/r,
111,o114.blu9,male,prolong,o114-blu9,
132,pk.s.d.g,male,prolong,pk/s-d/g,
172,r81.x,male,prolong,r81-x,
176,r90.x,male,prolong,r90-x,
232,x.blu57,male,prolong,x-blu57,
301,x.y79,male,prolong,x-y79,
