"","row.names","Name","geneid","entrezid"
"2841","422682","MYOZ2",422682,"NP_001264756.1"
"2842","422453","ZNF330",422453,"NP_001264757.1"
"2843","771257","DCTN6",771257,"NP_001264758.1"
"2844","418999","TM4SF1a",418999,"NP_001264759.1"
"2845","421720","NKAIN2",421720,"NP_001264763.1"
"2846","427050","VPS13A",427050,"NP_001264765.1"
"2847","419029","KCTD14",419029,"NP_001264766.1"
"2848","416129","MRPS25",416129,"NP_001264769.1"
"2849","416119","SEC13",416119,"NP_001264770.1"
"2850","424094","METTL21A",424094,"NP_001264773.1"
"2851","100857115","GPX1",100857115,"NP_001264782.1"
"2852","100857454","GPX2",100857454,"NP_001264783.1"
"2853","424142","ATP5G3",424142,"NP_001264784.1"
"2854","424172","SPC25",424172,"NP_001264786.1"
"2855","101410532","SELM",101410532,"NP_001264788.1"
"2856","416040","LSM3",416040,"NP_001264791.1"
"2857","100858006","C11ORF31",100858006,"NP_001264794.1"
"2858","417261","MRPL41",417261,"NP_001264795.1"
"2859","416893","CORO1C",416893,"NP_001264797.1"
"2860","424190","TANK",424190,"NP_001264800.1"
"2861","424274","C7H2ORF76",424274,"NP_001264801.1"
"2862","424298","HNMT",424298,"NP_001264802.1"
"2863","415986","NINJ1",415986,"NP_001264806.1"
"2864","771365","IMMP1L",771365,"NP_001264807.1"
"2865","427708","DYL1",427708,"NP_001264808.1"
"2866","776054","RPS29",776054,"NP_001264809.1"
"2867","419390","SSPO",419390,"NP_001264810.1"
"2868","423181","PTPMT1",423181,"NP_001264811.1"
"2869","419419","PUSL1",419419,"NP_001264812.1"
"2870","422192","TAF7",422192,"NP_001264815.1"
"2871","423363","JDP2",423363,"NP_001264816.1"
"2872","426015","RP11-286N22.8",426015,"NP_001264818.1"
"2873","426015","RP11-286N22.8",426015,"NP_001264819.1"
"2874","426323","TMEM138",426323,"NP_001264823.1"
"2875","418118","NDUFB2",418118,"NP_001264825.1"
"2876","420290","HADH",420290,"NP_001264826.1"
"2877","418169","AKR1B1",418169,"NP_001264828.1"
"2878","425213","GRP",425213,"NP_001264829.1"
"2879","423491","TMEM179",423491,"NP_001264830.1"
"2880","415970","RAB43",415970,"NP_001264831.1"
"2881","419474","MINOS1",419474,"NP_001264834.1"
"2882","422351","PSMD10",422351,"NP_001264835.1"
"2883","769169","ALYREF",769169,"NP_001264836.1"
"2884","419480","DHRS3",419480,"NP_001264839.1"
"2885","419507","PPIH",419507,"NP_001264841.1"
"2886","421699","SLC18B1",421699,"NP_001264842.1"
"2887","426748","PLA2G2A",426748,"NP_001264843.1"
"2888","422449","ELMOD2",422449,"NP_001264844.1"
"2889","428192","LOC101748375",428192,"NP_001264845.1"
"2890","421719","HDDC2",421719,"NP_001264847.1"
"2891","422668","CETN1",422668,"NP_001264849.1"
"2892","422748","NMU",422748,"NP_001264850.1"
"2893","422839","RAB28",422839,"NP_001264852.1"
"2894","100858504","LOC100858504",100858504,"NP_001264864.1"
"2895","431323","LOC431323",431323,"NP_001264895.1"
"2896","426666","MRPS21",426666,"NP_001264896.1"
"2897","420045","KRT20",420045,"NP_001264910.1"
"2898","100858439","LOC100858439",100858439,"NP_001264913.1"
"2899","416368","SCAMP1",416368,"NP_001264922.1"
"2900","417431","APOH",417431,"NP_001264923.1"
"2901","417304","DHRS7C",417304,"NP_001264924.1"
"2902","374270","IL16",374270,"NP_001264925.1"
"2903","776411","SNRPD1",776411,"NP_001264927.1"
"2904","422003","PBK",422003,"NP_001264928.1"
"2905","422118","ARMC7",422118,"NP_001264930.1"
"2906","418113","RAB19",418113,"NP_001264931.1"
"2907","421740","LOC421740",421740,"NP_001264933.1"
"2908","419183","SYS1",419183,"NP_001264934.1"
"2909","417428","CACNG1",417428,"NP_001264935.1"
"2910","418122","SSBP1",418122,"NP_001264936.1"
"2911","419256","DNAJC5",419256,"NP_001264937.1"
"2912","421779","C3H6ORF203",421779,"NP_001264939.1"
"2913","415646","CPNE2",415646,"NP_001264940.1"
