id,sex,treatment
w191.r1,female,control
w34.x,male,inc.d9
x.blk.blk.ATLAS,male,control
x.blk16,male,n9
x.blk20,female,prolong
x.blk23,male,m.n2
x.blu.o.ATLAS,male,control
x.blu101.w43,female,inc.d9
x.blu102.w105,female,inc.d3
x.blu106.o153,male,inc.d9
x.blu109.w121,female,n5
x.blu116.w107,female,inc.d17
x.blu117.w89,male,inc.d17
x.blu122.r66,female,inc.d9
x.blu23.w14,male,n9
x.blu25,female,m.inc.d9
x.blu30,male,n5
x.blu42.o28,male,inc.d3
x.blu43.g132,female,m.inc.d9
x.blu57,male,prolong
x.blu6.y80,female,lay
x.blu69,male,extend
x.blu73,male,extend
x.blu76,male,m.n2
x.blu94,female,m.inc.d17
x.blu96,female,m.n2
x.g.ATLAS,male,control
x.g.g.ATLAS,female,control
x.g.g.ATLAS,male,control
x.g.g.g.ATLAS,male,control
x.g13.w109,male,inc.d9
x.g14.w199,male,inc.d17
x.g147.blu28,male,inc.d3
x.g26,female,early
x.g37,female,n5
x.g4.w50,female,n9
x.g43,female,n5
x.g49,female,n5
x.g5.w79,male,m.inc.d3
x.g50,female,prolong
x.g70,male,hatch
x.g9.o166,female,inc.d9
x.o117,male,m.inc.d9
x.o159.w90,female,inc.d17
x.o160.w102,male,hatch
x.o163.w101,male,inc.d3
x.o164.w123,male,n5
x.o171.w45,female,m.n2
x.o175.g21,female,n5
x.o2,male,n9
x.o30.g134,male,bldg
x.o37.blu50,female,hatch
x.o4,male,m.n2
x.o40.r70,male,m.inc.d17
x.o47.y82,male,inc.d9
x.o61,female,extend
x.o68,male,n5
x.o70,female,n5
x.r10.w18,male,m.inc.d17
x.r178,male,hatch
x.r180,female,m.inc.d3
x.r181,male,n5
x.r185,male,m.inc.d3
x.r29.w96,male,inc.d17
x.r33.w183,female,inc.d3
x.r39.g10,female,bldg
x.r44.w95,female,hatch
x.r48.y139,female,inc.d17
x.r50.w97,female,n5
x.r64.g140,male,inc.d3
x.r67.blu35,male,bldg
x.r74.o29,female,m.n2
x.r76,female,m.inc.d9
x.s188,female,early
x.w178,female,n9
x.w192.o157,male,inc.d9
x.w51,female,lay
x.w6,female,n9
x.y.s.ATLAS,male,control
x.y109,female,inc.d9
x.y119.w11,female,m.inc.d17
x.y132.w76,male,inc.d17
x.y138.w176,female,n9
x.y141.w116,male,inc.d9
x.y145.r55,female,prolong
x.y5,female,early
x.y51,male,early
x.y64,female,extend
x.y79,male,prolong
x.y9,female,n9
x.y90,female,hatch
x.y93.g126,female,inc.d9
y.s156.o.r,female,lay
y.w.blk,male,m.inc.d9
y12.x,female,m.inc.d9
y126.w92.x,female,inc.d17
y128.g23.x,female,m.inc.d9
y129.x,male,n9
y13.x,female,inc.d3
y130.o170.x,female,inc.d17
y131.w185.x,male,n9
y133.w77.r58,male,inc.d17
y135.blu107.x,female,inc.d17
y136.x,female,inc.d17
y140.w119.x,female,inc.d9
y146.r32.x,female,prolong
y148.w81.g145,male,m.inc.d17
y149.r52.x,male,inc.d3
y15.x,female,hatch
y18.x,male,m.inc.d3
y4.x,male,m.inc.d17
y55.x,male,early
y6.o54,female,n5
y63.x,male,m.inc.d9
y7.g58,female,hatch
y85.r71.x,female,m.inc.d17
y94.g133.x,female,n5
y95.g131.x,male,inc.d9
y97.x,female,n9
y98.g54,female,m.n2
y98.o50.x,male,inc.d3
