"bird","sex","treatment","nestmate","pair","c_BandDate"
"x.blu101.w43","female","inc.d9","g19.w36.x",257,"08/25/2016"
"w34.x","male","inc.d9","x.y109",264,"08/30/2016"
"x.y109","female","inc.d9","w34.x",264,"08/30/2016"
"x.blu101.w43","female","inc.d9","g.w36.x",303,"09/27/2016"
"w34.x","male","inc.d9","x.y109",305,"09/30/2016"
"x.y109","female","inc.d9","w34.x",305,"09/30/2016"
"x.blu101.w43","female","inc.d9","w36.g19x",412,"11/11/2016"
"o49.x","male","inc.d9","blk1.x",946,"06/15/2017"
"blk.s061.pu.y","female","inc.d9",NA,NA,NA
"blu108.w40.o158","male","inc.d9",NA,NA,NA
"blu47.y96.x","female","inc.d9",NA,NA,NA
"g75.x","female","inc.d9",NA,NA,NA
"o57.g59","male","inc.d9",NA,NA,NA
"o73.x","female","inc.d9",NA,NA,NA
"r30.w112.r46","female","inc.d9",NA,NA,NA
"r36.w184.x","female","inc.d9",NA,NA,NA
"r45.X","male","inc.d9",NA,NA,NA
"r45.x","male","inc.d9",NA,NA,NA
"x.blu106.o153","male","inc.d9",NA,NA,NA
"x.blu122.r66","female","inc.d9",NA,NA,NA
"x.g13.w109","male","inc.d9",NA,NA,NA
"x.g9.o166","female","inc.d9",NA,NA,NA
"x.o47.y82","male","inc.d9",NA,NA,NA
"x.w192.o157","male","inc.d9",NA,NA,NA
"x.y141.w116","male","inc.d9",NA,NA,NA
"x.y93.g126","female","inc.d9",NA,NA,NA
"y128.g23.x","female","inc.d9",NA,NA,NA
"y140.w119.x","female","inc.d9",NA,NA,NA
"y95.g131.x","male","inc.d9",NA,NA,NA
"x.blu25","female","m.inc.d9","x.o",88,"07/01/2016"
"x.blu25","female","m.inc.d9","x.o117",91,"08/04/2016"
"x.o117","male","m.inc.d9","x.blu25",91,"08/04/2016"
"x.blu25","female","m.inc.d9","x.o117",196,"05/29/2016"
"x.o117","male","m.inc.d9","x.blu25",196,"05/29/2016"
"x.o117","male","m.inc.d9","blu25.x",394,"11/06/2016"
"o.d.s009","male","m.inc.d9","x.blu14",463,"12/10/2016"
"x.blu25","female","m.inc.d9","x.o117",474,"12/11/2016"
"x.o117","male","m.inc.d9","x.blu25",474,"12/11/2016"
"r85.g39","male","m.inc.d9","g128.x",515,"01/06/2017"
"blu63.g62","female","m.inc.d9",NA,NA,NA
"d.r.blk.s159","female","m.inc.d9",NA,NA,NA
"g73.x","female","m.inc.d9",NA,NA,NA
"l.s280.g.blk","male","m.inc.d9",NA,NA,NA
"o36.r62.x","female","m.inc.d9",NA,NA,NA
"o45.g128.x","female","m.inc.d9",NA,NA,NA
"r196.x","male","m.inc.d9",NA,NA,NA
"r84.x","male","m.inc.d9",NA,NA,NA
"x.r76","female","m.inc.d9",NA,NA,NA
"y.w.blk","male","m.inc.d9",NA,NA,NA
"y12.x","female","m.inc.d9",NA,NA,NA
"y128.g23.x","female","m.inc.d9",NA,NA,NA
"y63.x","male","m.inc.d9",NA,NA,NA
"blu119.w84.x","female","early","g137.r24.w5",93,"07/11/2016"
"g137.r24.w5","male","early","blu119.w84.x",93,"07/11/2016"
"r4.x","male","early","x.r31.w39",157,"08/18/2016"
"blu119.w84.x","female","early","g137.r24.w5",263,"08/28/2016"
"g137.r24.w5","male","early","blu119.w84.x",263,"08/28/2016"
"blu119.w84.x","female","early","g137.r24.w5",418,"11/14/2016"
"g137.r24.w5","male","early","blu119.w84.x",418,"11/14/2016"
"blu119.w84.x","female","early","g137.r24.w5",491,"12/20/2016"
"g137.r24.w5","male","early","blu119.w84.x",491,"12/20/2016"
"blu119.w84.x","female","early","g137.r24.w5",581,"02/02/2017"
"g137.r24.w5","male","early","blu119.w84.x",581,"02/02/2017"
"blu119.w84.x","female","early","g137.r24.w5",698,"03/09/2017"
"g137.r24.w5","male","early","blu119.w84.x",698,"03/09/2017"
"y55.x","male","early","s.x",709,"03/12/2017"
"blu80.r97","female","early","s.y.pu.blk",722,"03/12/2017"
"blu80.r97","female","early","s.y.pu.blk",807,"04/21/2017"
"y55.x","male","early","x.s",810,"04/23/2017"
"blu80.r97","female","early","s.y.pu.blk",903,"05/18/2017"
"y55.x","male","early","x.s",904,"05/17/2017"
"blu119.w84.x","female","early","g127.r24.w5",905,"05/18/2017"
"blk.y.l.s109","female","early",NA,NA,NA
"g.s111.r.blk","male","early",NA,NA,NA
"g.s179.o.pk","male","early",NA,NA,NA
"p.g.blk.s040","female","early",NA,NA,NA
"pk.s055.d.l","female","early",NA,NA,NA
"pu.blk.s102.y","male","early",NA,NA,NA
"r.s058.d.l","male","early",NA,NA,NA
"s002.x","female","early",NA,NA,NA
"s044.blk.d.r","male","early",NA,NA,NA
"s067.o.l.y","male","early",NA,NA,NA
"s091.blk.r.g","female","early",NA,NA,NA
"x.g26","female","early",NA,NA,NA
"x.s188","female","early",NA,NA,NA
"x.y51","male","early",NA,NA,NA
"x.y5","female","early",NA,NA,NA
"blk17.x","male","inc.d17",NA,NA,NA
"blu113.w124.x","male","inc.d17",NA,NA,NA
"blu121.w91.x","male","inc.d17",NA,NA,NA
"g130.y81.x","male","inc.d17",NA,NA,NA
"g142.r40.x","female","inc.d17",NA,NA,NA
"g143.blu32.x","male","inc.d17",NA,NA,NA
"o35.r51.x","female","inc.d17",NA,NA,NA
"o52.blu53","female","inc.d17",NA,NA,NA
"r176.blu54","male","inc.d17",NA,NA,NA
"r49.w189.x","female","inc.d17",NA,NA,NA
"x.blu116.w107","female","inc.d17",NA,NA,NA
"x.blu117.w89","male","inc.d17",NA,NA,NA
"x.g14.w199","male","inc.d17",NA,NA,NA
"x.o159.w90","female","inc.d17",NA,NA,NA
"x.r29.w96","male","inc.d17",NA,NA,NA
"x.r48.y139","female","inc.d17",NA,NA,NA
"x.y132.w76","male","inc.d17",NA,NA,NA
"y126.w92.x","female","inc.d17",NA,NA,NA
"y130.o170.x","female","inc.d17",NA,NA,NA
"y133.w77.r58","male","inc.d17",NA,NA,NA
"y135.blu107.x","female","inc.d17",NA,NA,NA
"y136.x","female","inc.d17",NA,NA,NA
"x.r10.w18","male","m.inc.d17","r42.w36.o161",92,"07/01/2016"
"x.r10.w18","male","m.inc.d17","x.y119.w11",97,"08/02/2016"
"x.y119.w11","female","m.inc.d17","x.r10.w18",97,"08/02/2016"
"x.r10.w18","male","m.inc.d17","x.y119.w11",291,"09/14/2016"
"x.y119.w11","female","m.inc.d17","x.r10.w18",291,"09/14/2016"
"x.y119.w11","female","m.inc.d17","x.R10.w18",349,"10/19/2016"
"x.r10.w18","male","m.inc.d17","x.y119.w11",430,"11/21/2016"
"x.y119.w11","female","m.inc.d17","x.r10.w18",430,"11/21/2016"
"x.o40.r70","male","m.inc.d17","x.w25",432,"11/21/2016"
"o169.r28.x","female","m.inc.d17","y148.w81.g145",445,"12/01/2016"
"y148.w81.g145","male","m.inc.d17","o169.r28.x",445,"12/01/2016"
"x.r10.w18","male","m.inc.d17","x.y119.w11",495,"12/24/2016"
"x.y119.w11","female","m.inc.d17","x.r10.w18",495,"12/24/2016"
"o169.r28.x","female","m.inc.d17","y148.w81.g145",572,"02/03/2017"
"y148.w81.g145","male","m.inc.d17","o169.r28.x",572,"02/03/2017"
"x.r10.w18","male","m.inc.d17","x.y119.w11",577,"02/10/2017"
"x.y119.w11","female","m.inc.d17","x.r10.w18",577,"02/10/2017"
"g63.blu65","female","m.inc.d17","o59.blu64",620,"02/09/2017"
"o59.blu64","male","m.inc.d17","g63.blu65",620,"02/09/2017"
"o169.r28.x","female","m.inc.d17","y148.w81.g145",702,"03/11/2017"
"y148.w81.g145","male","m.inc.d17","o169.r28.x",702,"03/11/2017"
"d.s112.blk.w","female","m.inc.d17",NA,NA,NA
"g.o.y.s037","male","m.inc.d17",NA,NA,NA
"g.y.blk.s006","female","m.inc.d17",NA,NA,NA
"g32.blu79","male","m.inc.d17",NA,NA,NA
"l.s024.y.g","male","m.inc.d17",NA,NA,NA
"o.s084.w.blk","female","m.inc.d17",NA,NA,NA
"pk.s011.o.y","female","m.inc.d17",NA,NA,NA
"s038.g.d.blk","female","m.inc.d17",NA,NA,NA
"s064.g.blk.pu","male","m.inc.d17",NA,NA,NA
"s096.g.blk.pk","male","m.inc.d17",NA,NA,NA
"s100.l.pk.blk","female","m.inc.d17",NA,NA,NA
"x.blu94","female","m.inc.d17",NA,NA,NA
"y4.x","male","m.inc.d17",NA,NA,NA
"y85.r71.x","female","m.inc.d17",NA,NA,NA
"o114.blu9","male","prolong","y146.r32.x",493,"12/23/2016"
"y146.r32.x","female","prolong","o114.blu9",493,"12/23/2016"
"x.y145.r55","female","prolong","y97.x",505,"12/30/2016"
"blk.s030.o.g","male","prolong",NA,NA,NA
"blk.s031.pu.d","female","prolong",NA,NA,NA
"blu115.y150.x","female","prolong",NA,NA,NA
"g.y.o.s","male","prolong",NA,NA,NA
"g38.x","male","prolong",NA,NA,NA
"l.s052.pk.r","female","prolong",NA,NA,NA
"l.s080.blk.r","male","prolong",NA,NA,NA
"l.s166.o.w","female","prolong",NA,NA,NA
"pk.s.d.g","male","prolong",NA,NA,NA
"r194.x","female","prolong",NA,NA,NA
"r81.x","male","prolong",NA,NA,NA
"r90.x","male","prolong",NA,NA,NA
