"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IFRD1",373.616836270723,-0.747015912039086,0.13926684286612,-5.3639179051198,8.14359274851001e-08,0.000225612558582899
"SSR3",1087.23566854824,-1.10751287834166,0.202149780191603,-5.47867466040246,4.28523454606435e-08,0.000225612558582899
"SLC35B1",652.62352183986,-0.950795645539967,0.177780949043457,-5.34813010424167,8.88675760050809e-08,0.000225612558582899
"DNAJB11",1027.02221597373,-0.95167762428295,0.1744648733275,-5.45483802058246,4.90175072463044e-08,0.000225612558582899
"DERL2",500.683871664939,-0.835185177246651,0.158785956455117,-5.25981765574291,1.44198323076145e-07,0.00029286679416765
"SSR1",2131.78901328003,-0.882621999886354,0.170238233680772,-5.18462851031121,2.16445857960986e-07,0.000366334614598969
"ADARB1",3861.42707587318,-0.935553318976553,0.187528134709653,-4.98886911249375,6.0733777066493e-07,0.000653551131244716
"CDKN3",57.4711571243965,-1.52607258729497,0.305214841832325,-4.99999468614747,5.73318944384816e-07,0.000653551131244716
"LPPR5",341.165258325198,-1.00536308724085,0.20135108284944,-4.99308507812997,5.94223652265373e-07,0.000653551131244716
"SEL1L",1357.17812973039,-0.701441240917345,0.14091786871124,-4.97766001808255,6.43575707774216e-07,0.000653551131244716
"UBA5",689.822710389793,-0.625321404651509,0.126348434987867,-4.9491820354685,7.45260202364479e-07,0.000670793584404397
"VIMP",1067.71142522961,-0.702623989116059,0.142313262144785,-4.93716452371974,7.92665978616717e-07,0.000670793584404397
"SPCS3",933.614199695702,-0.932916758860238,0.195013814238726,-4.78384960830625,1.71969373446695e-06,0.00134334537488553
"SEC23B",1555.86418557392,-0.427946017093525,0.0901693481930834,-4.74602540296894,2.07452669705857e-06,0.0014781525285806
"SURF4",1593.60062984111,-0.504476965321754,0.106527178161938,-4.73566440063652,2.18338630514121e-06,0.0014781525285806
"LEPROTL1",592.830992950857,-0.62208575527041,0.132342738557101,-4.70056583423353,2.59441595468941e-06,0.00164664337624193
"SLC7A5",1841.93347903706,-1.76495209717732,0.379557184394499,-4.65002948104624,3.3188758425477e-06,0.00198254024594541
"DERL1",1673.45295508989,-0.452950319037474,0.0980901503317163,-4.61769420788642,3.88027478769292e-06,0.00210859070293577
"HSP90B1",10491.535475902,-0.926731511832544,0.201550679420378,-4.59800738205225,4.26550884973102e-06,0.00210859070293577
"SDF2L1",952.503557308446,-1.12949020388245,0.246078678329448,-4.58995558473499,4.43340336792796e-06,0.00210859070293577
"TXNDC11",380.909187364523,-0.759087396655097,0.165605652698367,-4.58370462775021,4.56809408809325e-06,0.00210859070293577
"SRP54",915.07998981376,-0.430833847908958,0.0937297463961465,-4.59655407673942,4.29535531490477e-06,0.00210859070293577
"HM13",1296.05616405051,-0.689964001291574,0.152132916567479,-4.53527097789871,5.75295745932194e-06,0.0022459018408521
"CREB3L1",775.043729035714,-1.2218410367697,0.268668363566315,-4.54776669850863,5.42181905144482e-06,0.0022459018408521
"GARS",835.920608820084,-0.626141200750327,0.138133029300869,-4.53288546497102,5.81833673672014e-06,0.0022459018408521
"RPN2",1983.99155080455,-0.591818835323884,0.13036719473364,-4.5396300544248,5.63530131376665e-06,0.0022459018408521
"ETF1",924.495416283759,-0.389813935366396,0.0861010553299469,-4.52740020284995,5.97137860197012e-06,0.0022459018408521
"MYC",58.3095706693056,-1.90110999881602,0.425407064059819,-4.46891967583474,7.86156433571876e-06,0.00285122092247228
"PDIA6",2890.16627615634,-0.864923597333301,0.194451178486473,-4.44802445562689,8.66636647545086e-06,0.00303472246752426
