"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RASA4",190.312223301258,-3.96146680560586,0.634751800637776,-6.24096978003924,4.34866266246012e-10,5.70805461074515e-06
"BTC",75.1931102921192,-3.25409115606561,0.575443805245744,-5.65492429738809,1.55914977406725e-08,0.000102326999672034
"ESR1",1938.44040273779,0.917071466843045,0.172867282413908,5.30506093482305,1.12635364362516e-07,0.000418094032357415
"GALC",1477.01197631542,-1.03728054111159,0.196360422962303,-5.28253364635872,1.27409426285971e-07,0.000418094032357415
"CITED4",164.824067918807,-2.73222911073432,0.523598732174327,-5.21817365635762,1.80696010384726e-07,0.000474363166461982
"AKR1B1",3629.68279444632,-1.51012319942235,0.296892053237696,-5.08643859932931,3.64849764136718e-07,0.000798169667343094
"FDX1L",58.5128541638215,-2.66340484527055,0.530274552411596,-5.02269028969588,5.09526731391591e-07,0.000955435410892289
"CSRP1",400.521067538678,-1.72212057122792,0.358018415198643,-4.81014522750852,1.50820674014566e-06,0.00247459020889399
"LGALS1",97.9491859499958,-5.13200947542281,1.07425636636956,-4.77726698773627,1.77693773080129e-06,0.00256442453601355
"LOC100857380",249.676277800365,-3.19466336337771,0.671407916622115,-4.75815563726179,1.95369841232177e-06,0.00256442453601355
"DDX10",601.744552273239,-1.3134655692397,0.277311700755591,-4.73642318611477,2.17523133043736e-06,0.00259564422212007
"LOC417253",198.66648706138,-1.72019972242997,0.365045494980147,-4.71228859439429,2.44950144046877e-06,0.00267934632563275
"GNRHR",233.892333117907,-1.7329655841081,0.371714636310765,-4.66208595202931,3.13020399645044e-06,0.00316054289672373
"SLC19A2",57.5911443682417,-1.49364135290885,0.326891139630435,-4.5692316855008,4.89515411557482e-06,0.00458955663721679
"TPCN3",176.803843029258,-1.19713407034499,0.263665064388392,-4.54035908443885,5.61585020804068e-06,0.00491424332204947
"MTBP",9.36161139326829,3.66804629269302,0.813876270582769,4.50688443105308,6.57864408864583e-06,0.00507948719456266
"SLC25A43",759.180428035678,-0.790854080599189,0.175413324330231,-4.50851771733335,6.52821183248362e-06,0.00507948719456266
"ARID4B",3533.78271034433,-0.503022194511563,0.11255645029104,-4.46906590613765,7.85619234550822e-06,0.00572891004039672
"CPLX4",11.3502830576243,-2.11273498625807,0.480050894558167,-4.40106457504388,1.07721057448228e-05,0.00744182421087075
"BMP6",97.1898141704799,-1.59380773734808,0.364945587737676,-4.36724758676549,1.25822073071721e-05,0.00825770265569705
"BZW2",896.759008202219,-0.565801854922486,0.130066954757954,-4.35008150975323,1.36086937408276e-05,0.0085060816210525
"GATA2",672.387993260861,1.02973994038056,0.239649620619239,4.29685612570459,1.73237553560896e-05,0.0103359824001833
"CGA",62284.3225838581,-1.25747267845202,0.295174785432174,-4.26009517246169,2.04339875067581e-05,0.0116615878266829
"GADD45B",356.023947444487,-1.61452068775851,0.384491558705907,-4.19910567917938,2.67971242929162e-05,0.014458987686241
"PROCA1",17.7289692609141,4.93011359121132,1.17581906252149,4.19291857765848,2.75388307295462e-05,0.014458987686241
"GPR27",140.497283609298,-1.17855409854686,0.281806038303341,-4.18214636436653,2.88769963701762e-05,0.0145784405521128
