"tissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"gonads","A2ML1",1.20548868080724e-12,"female",3.34482856716873e-13,"female",-4.1280272210628,11.9188368631679
"gonads","A2ML3",9.89253461730653e-11,"female",3.12489299020045e-11,"female",-1.88965570612744,10.0046924213168
"gonads","A4GALT",2.16227655811054e-06,"female",9.73536838959721e-07,"female",-1.72529991560576,5.66508875997566
"gonads","A4GNT",3.4352573517804e-05,"female",1.72601577555705e-05,"female",-3.01253055422615,4.46404072228084
"gonads","AACS",4.70508212901894e-24,"male",5.70988711621572e-25,"male",2.08738569147717,23.3274327913933
"gonads","AADACL4",4.9120551432045e-82,"male",5.29088231710955e-85,"male",7.71331418457233,81.3087367664078
"gonads","AADAT",1.56195565203386e-12,"female",4.36418888558363e-13,"female",-1.90494410532568,11.8063313010288
"gonads","AAED1",4.7020183739766e-16,"female",1.01157884880324e-16,"female",-1.32631596945419,15.3277156781245
"gonads","AAGAB",6.67526651481957e-13,"male",1.81860987772694e-13,"male",1.37683073861189,12.1755313900975
"gonads","AAK1",0.000637520575289815,"male",0.000361243347667093,"male",0.744636313350375,3.19550579428125
"gonads","AAMDC",1.1941248460505e-13,"male",3.07491863990886e-14,"male",1.5940845200761,12.9229502652365
"gonads","AAMP",0.00260207984073884,"female",0.00157253367367931,"female",-0.594262802976844,2.58467938192496
"gonads","AAR2",0.00122332326261783,"male",0.000712067956827528,"male",0.541403042874371,2.91245876567807
"gonads","AARSD1",0.0582061825807513,"male",0.0412366937628675,"male",0.561252568830153,1.23503088273675
"gonads","AASDHPPT",7.08060463858054e-06,"female",3.33438210683694e-06,"female",-0.945011168129063,5.14992965474145
"gonads","AATF",0.000668525837465028,"female",0.000379964239805809,"female",-0.517740321801589,3.1748818032836
"gonads","ABAT",0.000276167727979185,"male",0.000150577449270857,"male",0.709845078012109,3.5588270729675
"gonads","ABCA1",0.00032898501555578,"female",0.00018067480963454,"female",-0.90041236969396,3.48282388262644
"gonads","ABCA13",4.10728107955225e-06,"male",1.89614462591135e-06,"male",2.32064621354949,5.3864455754221
"gonads","ABCA2",3.15224823492462e-07,"female",1.31988794038816e-07,"female",-0.941929650566028,6.50137958978241
"gonads","ABCA3",1.4331247230567e-29,"female",1.12681586187142e-30,"female",-2.41922485768897,28.8437160118509
"gonads","ABCA4",9.20780439139097e-16,"male",2.03383644319393e-16,"male",2.87129972756458,15.0358439153385
"gonads","ABCA5",2.74589657244795e-06,"male",1.24852916104699e-06,"male",0.806910020911193,5.56131582502391
"gonads","ABCB11",3.27799294130949e-23,"male",4.20635745089764e-24,"male",3.23488529532244,22.4843919859558
"gonads","ABCB1LA",0.000312443534882666,"male",0.00017109682586638,"male",2.60536942106863,3.50522845737466
"gonads","ABCB1LB",0.0210737890332728,"female",0.0141097234630357,"female",-0.606073099990107,1.67625737192398
"gonads","ABCB5",0.00775625855643514,"female",0.00494415533573709,"female",-2.09987425644581,2.11034772205834
"gonads","ABCB6",0.0161358185194856,"male",0.0106529308823891,"male",0.53490557143847,1.79220899930379
"gonads","ABCB8",7.71043632823723e-07,"female",3.34583992040339e-07,"female",-1.48344911818133,6.1129210448305
"gonads","ABCB9",2.08615619026682e-10,"male",6.74862389570016e-11,"male",1.46391113876082,9.6806531791158
"gonads","ABCC1",4.03254087260224e-11,"female",1.241962358365e-11,"female",-1.94318705319573,10.3944212220405
"gonads","ABCC2",3.43247798377768e-09,"male",1.21884271361343e-09,"male",4.56160345170781,8.46439223968612
"gonads","ABCC3",9.51910322553909e-09,"female",3.50865696227863e-09,"female",-1.7198155419255,8.02140396364752
"gonads","ABCC4",0.0149380706415013,"male",0.00984071952212645,"male",0.557944155353794,1.82570549113229
"gonads","ABCD2",2.69190483160446e-14,"female",6.64374329040969e-15,"female",-1.07899746392546,13.5699402980289
"gonads","ABCD3",7.16855073242108e-32,"female",4.67917034020592e-33,"female",-1.65223579742921,31.144568636875
"gonads","ABCD4",0.0154395423326202,"female",0.010183268442131,"female",-0.547362029347694,1.81136557740465
"gonads","ABCE1",0.00548762773496964,"female",0.00343735291771795,"female",-0.407574648445373,2.26061535760234
"gonads","ABCF2",5.29279962574154e-43,"male",1.42144697689741e-44,"male",2.22299203540995,42.2763145471729
"gonads","ABCF3",0.000667551532963513,"female",0.000379338866095243,"female",-0.5916769540988,3.17551520244606
"gonads","ABCG1",0.0348415504452068,"female",0.0239507512862247,"female",-1.04118494421731,1.45790252717713
