"tissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"pituitary","A2ML4",0.336470163834334,"NS",0.0154747400722813,"male",1.38340193091454,0.473053440374916
"pituitary","AAED1",0.00255261693729392,"male",5.84205605896254e-05,"male",0.690150226515512,2.59301435342981
"pituitary","ABCA1",3.71268916040743e-10,"male",2.57402782106673e-12,"male",0.882243301330272,9.43031140993646
"pituitary","ABCA4",0.24042143760168,"NS",0.00991151446203438,"female",-1.42682400311266,0.619026810308978
"pituitary","ABCB9",0.491127479621515,"NS",0.0259952669249497,"female",-0.507277492117625,0.308805765493505
"pituitary","ABCG1",0.301749848118544,"NS",0.0133171246523169,"male",0.420865813082864,0.520352939826453
"pituitary","ABCG2",0.493329979326898,"NS",0.0262221764768211,"female",-0.536625815076595,0.306862491956
"pituitary","ABHD17B",1.15649977264754e-10,"male",7.41456541282901e-13,"male",1.014592176829,9.93685444826987
"pituitary","ABHD6",0.287918933993858,"NS",0.0125135484209348,"female",-0.421533310503671,0.540729774306806
"pituitary","ACER2",3.67333469707632e-05,"male",5.75071035027604e-07,"male",0.656969685438241,4.43493949896997
"pituitary","ACSL5",0.359323092679028,"NS",0.016956278340974,"female",-0.426765928070779,0.444514871020236
"pituitary","ADAM5",0.316657586195317,"NS",0.0142347192840149,"male",0.517833276224208,0.499410103078634
"pituitary","ADAMTSL2",0.0189862671410681,"female",0.000527946745461338,"female",-1.69645959467823,1.72156041279812
"pituitary","ADAMTSL2L",0.686499065263351,"NS",0.0404265993602562,"male",0.458704596649569,0.163360049761888
"pituitary","ADAP2",0.777438700232373,"NS",0.0494375437079331,"female",-0.620652535789419,0.109333844359454
"pituitary","ADGRV1",4.52278624153799e-07,"male",5.32727170242286e-09,"male",1.12334304006275,6.34459393763862
"pituitary","AEBP1",0.324401069341253,"NS",0.0146553636514686,"female",-0.839655698785393,0.488917722869513
"pituitary","AGBL3",0.757789494214541,"NS",0.0473971511589384,"male",0.458894735624013,0.12045141995873
"pituitary","AGGF1",1.68280418955051e-05,"male",2.47139127286008e-07,"male",0.604428404889481,4.77396641542352
"pituitary","AGPAT2",0.189003786302366,"NS",0.00736909052006391,"female",-0.716701932433949,0.723529495542347
"pituitary","AGT",0.071241348403254,"female",0.00231027184698192,"female",-2.14095091262015,1.14726786912807
"pituitary","AGTPBP1",6.81925908785967e-09,"male",5.99875184409901e-11,"male",0.797905163546369,8.16626280885288
"pituitary","AK3",5.21262853094079e-06,"male",6.91701117122008e-08,"male",1.01187330776713,5.28294322322392
"pituitary","AK6",2.20739148013009e-05,"male",3.29117560776814e-07,"male",0.978236857173807,4.65612063802861
"pituitary","AKR1D1",0.196354979274319,"NS",0.00774353541345719,"male",1.13910460728361,0.706958081182757
"pituitary","ALAS1",0.0507457027921305,"female",0.00158509389219492,"female",-0.555491039773767,1.29460072844295
"pituitary","ALDH1A2",0.187470866818267,"NS",0.00726733293490652,"female",-0.798046439462865,0.727066212539531
"pituitary","ALDH7A1",1.5226849633782e-10,"male",9.87577097166417e-13,"male",0.917093478731078,9.81738994093123
"pituitary","AMACR",3.16872153645646e-12,"male",1.67719717525278e-14,"male",1.06193100653101,11.4991159244241
"pituitary","AMIGO2",0.235202095503363,"NS",0.00962620772561102,"male",0.632199055773581,0.628558813286829
"pituitary","ANKDD1B",0.422724311865987,"NS",0.0209531184692083,"male",2.22713745027279,0.373942774159117
"pituitary","ANKRA2",0.0282366071600723,"male",0.000823058998031033,"male",0.87182231079017,1.54918748822153
"pituitary","ANKRD32",0.000418772156450217,"male",7.99207336001607e-06,"male",0.796101620040866,3.37802220163985
"pituitary","ANLN",0.0736044876879453,"female",0.00241370241847121,"female",-2.18282571529922,1.13309570578893
"pituitary","AP3B1",5.94503308715924e-06,"male",7.97753060748966e-08,"male",0.516436755152114,5.22584572396696
"pituitary","APBA1",3.24261850371475e-07,"male",3.67435524500254e-09,"male",0.690202489854569,6.48910414336448
"pituitary","APELA",0.679410385248872,"NS",0.0398610387051485,"female",-1.28254005427096,0.167867818929331
