"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_004944342.1",1.22724022421231e-06,5.9110704186598,1.84199496738102,"pituitary","m.n2",101748749,"ZNF469",101748749,"ZNF469"
"XP_415814.4",4.79077277254491e-05,4.31959442734059,1.83772838296961,"pituitary","m.n2",417568,"SARM1",417568,"SARM1"
"NP_001012833.1",0.000788577869054866,3.10315541529503,1.82768603350698,"pituitary","m.n2",418043,"CYTH4",418043,"CYTH4"
"XP_015152260.1",0.00930344871779373,2.03135603193325,1.82669927475983,"pituitary","m.n2",419166,"SGK2",419166,"SGK2"
"XP_015133623.1",0.0300694344295012,1.52187474038823,1.82292192784083,"pituitary","m.n2",421297,"ALK",421297,"ALK"
"NP_001279001.1",0.00569546859059378,2.24447053884787,1.80626155026714,"pituitary","m.n2",431304,"AQP2",431304,"AQP2"
"XP_001233763.1",0.060314056338116,1.21958146267445,1.78417286268298,"pituitary","m.n2",770429,"LOC770429",770429,"LOC770429"
"NP_001139605.1",0.0990367578385747,1.00420358556814,1.76722687328395,"pituitary","m.n2",425805,"NGFR",425805,"NGFR"
"XP_004944245.2",4.07520405244064e-05,4.38985064051166,1.7459081422311,"pituitary","m.n2",415743,"NETO2",415743,"NETO2"
"XP_015137540.1",0.00321533091704945,2.49277432350094,1.74482604911544,"pituitary","m.n2",395395,"GAD2",395395,"GAD2"
"XP_015137212.1",4.77922133397729e-12,11.3206428560875,1.73929763297825,"pituitary","m.n2",428455,"MYRIP",428455,"MYRIP"
"NP_001108554.1",2.05146402728064e-06,5.68793609404705,1.73635490229803,"pituitary","m.n2",427339,"LPAR1",427339,"LPAR1"
"XP_015131019.1",2.58434532117874e-12,11.5876494562101,1.72285845106528,"pituitary","m.n2",416887,"WSCD2",416887,"WSCD2"
"XP_015151838.1",2.82758243353927e-05,4.54858472507293,1.72020420100854,"pituitary","m.n2",419168,"ARHGAP40",419168,"ARHGAP40"
"XP_004946612.1",0.0041241615901056,2.38466432682297,1.71117503751883,"pituitary","m.n2",427829,"KIF12",427829,"KIF12"
"NP_001264696.1",0.00418070622979628,2.37875034841725,1.7047748746117,"pituitary","m.n2",418790,"CLDN10",418790,"CLDN10"
"XP_001233248.2",0.00173513049896198,2.76066785640754,1.69734447946314,"pituitary","m.n2",769933,"SLC27A6",769933,"SLC27A6"
"XP_004947089.1",0.0762664634081181,1.1176663920399,1.69138977906032,"pituitary","m.n2",100859257,"P2RY11",100859257,"P2RY11"
"XP_015151531.1",0.000959236410118693,3.01807434490762,1.65834938157374,"pituitary","m.n2",427826,"LOC427826",427826,"LOC427826"
"XP_004935815.1",0.00124231228381906,2.9057692205105,1.61867529212735,"pituitary","m.n2",421939,"ATP6V1C2",421939,"ATP6V1C2"
"XP_015150098.1",1.54342009667548e-12,11.8115158491564,1.58994078313727,"pituitary","m.n2",427681,"TMEM8A",427681,"TMEM8A"
"NP_001264421.1",0.013345471113739,1.87466609040508,1.56723382348968,"pituitary","m.n2",423433,"SERPINA4",423433,"SERPINA4"
"XP_001232283.3",0.0020897422085858,2.67990728532145,1.55633567834707,"pituitary","m.n2",769085,"LACTBL1",769085,"LACTBL1"
"XP_015132204.1",0.0236389971956766,1.62637095087122,1.54918587548862,"pituitary","m.n2",422460,"HHIP",422460,"HHIP"
"XP_015152996.1",1.96607291579346e-05,4.70640037951532,1.54732159904392,"pituitary","m.n2",100859431,"AEBP1",100859431,"AEBP1"
"XP_015133622.1",0.000164610226548614,3.78354318737607,1.54339906430413,"pituitary","m.n2",101748653,"C3H2orf71",101748653,"C3H2orf71"
"XP_004938836.1",0.00599929369484851,2.22189987669733,1.52719565679679,"pituitary","m.n2",418934,"WASF3",418934,"WASF3"
"XP_004937598.1",0.0499867362178053,1.30114521869592,1.52363964830309,"pituitary","m.n2",101747406,"PPP1R3A",101747406,"PPP1R3A"
"NP_001269336.1",0.000122901340989764,3.91044337845384,1.4970068690697,"pituitary","m.n2",425507,"CMKLR1",425507,"CMKLR1"
"NP_001007828.1",1.50824923551626e-05,4.82152688614161,1.49593381020029,"pituitary","m.n2",415485,"KIAA1024",415485,"KIAA1024"
"XP_413904.2",0.000122221943883561,3.91285081330814,1.48808300678631,"pituitary","m.n2",415535,"IGDCC3",415535,"IGDCC3"
"XP_015146188.1",0.0303528031956701,1.51780119400575,1.48478890896222,"pituitary","m.n2",424490,"ABCA4",424490,"ABCA4"
"XP_425958.3",0.0022175672679355,2.65412319735865,1.482436123977,"pituitary","m.n2",428397,"GHRH-LR",428397,"GHRH-LR"
"NP_990018.1",0.00123225337274608,2.90929998448344,1.47281890101682,"pituitary","m.n2",395422,"OPCML",395422,"OPCML"
"NP_989727.1",0.00153631004095668,2.81352113099133,1.46910857221135,"pituitary","m.n2",378914,"CDKN1A",378914,"CDKN1A"
"XP_015156498.1",1.49830702398852e-05,4.824399184526,1.46178259075891,"pituitary","m.n2",101748568,"LOC101748568",101748568,"LOC101748568"
"XP_424500.3",0.006271509252851,2.20262793264461,1.46146804967623,"pituitary","m.n2",426894,"AQP3",426894,"AQP3"
"XP_425778.2",4.07520405244064e-05,4.38985064051166,1.45908287537434,"pituitary","m.n2",428219,"EPHA10",428219,"EPHA10"
"XP_004938569.1",5.10584619737836e-10,9.29193227152078,1.45443251161114,"pituitary","m.n2",418726,"FHL2",418726,"FHL2"
"XP_416853.4",0.000339187468690078,3.46956020116557,1.44745760531499,"pituitary","m.n2",418657,"MXRA5",418657,"MXRA5"
"XP_004946140.1",3.70287861377779e-05,4.43146052457777,1.44524730642051,"pituitary","m.n2",101750712,"ZNF750",101750712,"ZNF750"
"XP_414215.4",0.0700234966009397,1.15475620667326,1.44380658479801,"pituitary","m.n2",415855,"SPIRE2",415855,"SPIRE2"
"XP_421280.4",0.00122120338327209,2.91321200118441,1.4391916006069,"pituitary","m.n2",423365,"FLVCR2",423365,"FLVCR2"
"XP_015151532.1",4.38111345007349e-06,5.35841550050753,1.421072538527,"pituitary","m.n2",427828,"RTN4RL1",427828,"RTN4RL1"
"XP_015130991.1",3.80915618442747e-05,4.41917121987137,1.4163253690767,"pituitary","m.n2",768548,"FAM222A",768548,"FAM222A"
"NP_990049.1",0.000941610158120883,3.02612886495641,1.41312298333897,"pituitary","m.n2",395465,"CITED4",395465,"CITED4"
"NP_001026669.1",0.00260806772246233,2.58368113567408,1.40858042556327,"pituitary","m.n2",428263,"AVPR1B",428263,"AVPR1B"
"NP_001161216.1",0.000122695497041359,3.911171375708,1.40169936493395,"pituitary","m.n2",396508,"CCL5",396508,"CCL5"
"NP_001264726.1",0.0338294612538581,1.47070491845026,1.3950696870916,"pituitary","m.n2",421296,"FAM179A",421296,"FAM179A"
"XP_004940237.2",0.0129554917170823,1.88754609900676,1.38908168942388,"pituitary","m.n2",421304,"CAPN13",421304,"CAPN13"
"XP_015138664.1",8.37416746301686e-08,7.07705835852277,1.38663083048731,"pituitary","m.n2",768579,"LOC768579",768579,"LOC768579"
"XP_004938169.1",0.0194672051036734,1.71069639543327,1.38570763726836,"pituitary","m.n2",418280,"ACRBP",418280,"ACRBP"
"XP_001233370.2",4.88934818471299e-06,5.31074903426098,1.37923030641594,"pituitary","m.n2",770055,"CDHR5",770055,"CDHR5"
"XP_414197.5",4.11704696250111e-06,5.38541417904605,1.37339571397932,"pituitary","m.n2",415835,"ZFPM1",415835,"ZFPM1"
"XP_004947524.1",0.0112571701308948,1.94857077031938,1.3729400414236,"pituitary","m.n2",101750033,"ANGPTL7",101750033,"ANGPTL7"
"XP_015152147.1",6.77855384892982e-05,4.16886294955777,1.36451471464192,"pituitary","m.n2",428148,"LAMA5",428148,"LAMA5"
"XP_015146554.1",0.0539721028900665,1.26783066039022,1.35503117714557,"pituitary","m.n2",424664,"PCSK9",424664,"PCSK9"
"XP_015149791.1",8.57379633291238e-06,5.06682683719381,1.35346822393562,"pituitary","m.n2",416419,"SHISA9",416419,"SHISA9"
"XP_418986.3",0.0593072391798405,1.22689229240349,1.32837040824881,"pituitary","m.n2",420900,"SERPINB5",420900,"SERPINB5"
"XP_001235155.1",0.0152074177818698,1.8179445228497,1.32089387161968,"pituitary","m.n2",771945,"TRPV3",771945,"TRPV3"
"XP_416217.3",0.00920242565993447,2.03609768223344,1.30973274881675,"pituitary","m.n2",417979,"NFAM1",417979,"NFAM1"
"NP_001264607.1",0.0971752699853766,1.0124442440798,1.30470164279822,"pituitary","m.n2",100859733,"CIDEC",100859733,"CIDEC"
"XP_015150825.1",2.78519642578979e-06,5.55514417082116,1.30245493501596,"pituitary","m.n2",417372,"LOC417372",417372,"LOC417372"
"NP_989948.2",0.000319604575588217,3.49538701177829,1.28227998483819,"pituitary","m.n2",395324,"CXCR4",395324,"CXCR4"
"NP_001001301.1",0.0874060233023714,1.05845863833988,1.27760485841019,"pituitary","m.n2",408026,"TPH2",408026,"TPH2"
"XP_015147665.1",0.034549977965018,1.46155222527022,1.27025473896872,"pituitary","m.n2",107054221,"LOC107054221",107054221,"LOC107054221"
"NP_001166993.1",0.015791385199809,1.80157977257261,1.25089699218521,"pituitary","m.n2",100379662,"SCRT2",100379662,"SCRT2"
"XP_001232431.3",0.085275710754537,1.06917465215525,1.23304994991972,"pituitary","m.n2",769202,"PIK3R6",769202,"PIK3R6"
"XP_003641694.2",5.75108386861488e-05,4.24025029899747,1.23121957761425,"pituitary","m.n2",100857480,"FEV",100857480,"FEV"
"XP_015150697.1",0.0717463495576456,1.14420019086299,1.23003045307044,"pituitary","m.n2",768455,"GSG1L2",768455,"GSG1L2"
"XP_015132729.1",0.00541734864488985,2.26621321357665,1.229714264841,"pituitary","m.n2",395885,"CNTFR",395885,"CNTFR"
"XP_004935201.1",0.0869494147394747,1.06073333690764,1.22654768580736,"pituitary","m.n2",420947,"DDC",420947,"DDC"
"NP_990047.1",0.012549427704643,1.90137607899432,1.22104231648741,"pituitary","m.n2",395458,"SLC6A2",395458,"SLC6A2"
"XP_015147216.1",0.00170010200587693,2.76952502023324,1.21484761310055,"pituitary","m.n2",424996,"LRRC34",424996,"LRRC34"
