"","bird","sex","tissue","treatment","group","SOCS5","SOCS1","SOCS4","SOCS2","CISH"
"g142.r40.x_female_hypothalamus_inc.d17","g142.r40.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17",728,14,108,52,117
"g143.blu32.x_male_hypothalamus_inc.d17","g143.blu32.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17",758,9,63,45,135
"g146.blu51_male_hypothalamus_inc.d3.NYNO","g146.blu51","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3",1044,22,111,56,151
"g20.w106.x_male_hypothalamus_inc.d3","g20.w106.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3",224,6,32,11,29
"g52.blu58_male_hypothalamus_bldg","g52.blu58","male","hypothalamus","bldg","male.hypothalamus.bldg",805,11,76,33,118
"g53.y84_male_hypothalamus_hatch","g53.y84","male","hypothalamus","hatch","male.hypothalamus.hatch",571,9,47,27,64
"g6.w197.x_female_hypothalamus_inc.d3","g6.w197.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3",2012,40,171,181,359
"g75.x_female_hypothalamus_inc.d9","g75.x","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9",2297,54,291,164,372
"l.s120.y.blk_female_hypothalamus_bldg","l.s120.y.blk","female","hypothalamus","bldg","female.hypothalamus.bldg",709,5,80,25,79
"o.s.w.r_male_hypothalamus_lay","o.s.w.r","male","hypothalamus","lay","male.hypothalamus.lay",1132,15,106,28,161
"o152.o120.w42_male_hypothalamus_n5","o152.o120.w42","male","hypothalamus","n5","male.hypothalamus.n5",1162,10,99,37,295
"o156.w80.x_female_hypothalamus_inc.d3","o156.w80.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3",1415,14,118,62,293
"o165.w122.x_female_hypothalamus_inc.d3","o165.w122.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3",1350,19,128,144,243
"o172.w115.x_female_hypothalamus_hatch","o172.w115.x","female","hypothalamus","hatch","female.hypothalamus.hatch",1903,32,164,50,317
"o173.w179.x_female_hypothalamus_inc.d3","o173.w179.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3",766,16,92,67,157
"o35.r51.x_female_hypothalamus_inc.d17","o35.r51.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17",1598,15,151,27,199
"o38.blu29.x_female_hypothalamus_bldg","o38.blu29.x","female","hypothalamus","bldg","female.hypothalamus.bldg",940,13,84,52,189
"o39.y77.x_male_hypothalamus_hatch","o39.y77.x","male","hypothalamus","hatch","male.hypothalamus.hatch",1522,36,139,66,218
"o44.blu26.x_male_hypothalamus_hatch","o44.blu26.x","male","hypothalamus","hatch","male.hypothalamus.hatch",1458,23,179,93,274
"o48.r197.x_male_hypothalamus_inc.d3","o48.r197.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3",1159,28,115,107,256
"o49.x_male_hypothalamus_inc.d9","o49.x","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9",404,3,49,13,53
"o52.blu53_female_hypothalamus_inc.d17","o52.blu53","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17",1390,18,124,62,295
