"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_015146362.1",0.0772202622329987,1.11226872788484,1.66162964839748,"hypothalamus","extend",101747367,"LOC101747367",101747367,"LOC101747367"
"XP_015137368.1",0.000625050124229317,3.20408515417058,1.66081688609099,"hypothalamus","extend",417869,"NAV3",417869,"NAV3"
"XP_015153258.1",0.0468039554600083,1.32971744261253,1.6539894466403,"hypothalamus","extend",107055022,"LOC107055022",107055022,"LOC107055022"
"XP_015137976.1",0.0378559279695815,1.42186610340579,1.64569470552921,"hypothalamus","extend",107052691,"LOC107052691",107052691,"LOC107052691"
"XP_015150036.1",0.0458867758429462,1.33831245620398,1.62559498489393,"hypothalamus","extend",416615,"C14H16ORF52",416615,"C14H16ORF52"
"XP_426302.3",0.0130369427011249,1.88482424324417,1.62135213727003,"hypothalamus","extend",428744,"ARHGEF38",428744,"ARHGEF38"
"NP_001001745.1",0.00328297862981496,2.48373194425319,1.60268652172658,"hypothalamus","extend",414795,"VSIG1",414795,"VSIG1"
"NP_990728.1",0.00323091886377524,2.49067394803532,1.60228434213142,"hypothalamus","extend",396362,"IAPP",396362,"IAPP"
"NP_990633.1",0.0263244398459922,1.57964086133461,1.59701922847264,"hypothalamus","extend",396239,"BRAF",396239,"BRAF"
"NP_001026687.1",0.0868203173638963,1.06137863096982,1.58843552955226,"hypothalamus","extend",428537,"MOS",428537,"MOS"
"XP_015139479.1",0.0057526033776896,2.24013556806015,1.5877823358689,"hypothalamus","extend",100859813,"KIF26B",100859813,"KIF26B"
"XP_425380.2",0.00536791507869207,2.27019436339554,1.58570024417633,"hypothalamus","extend",427809,"SMURF2",427809,"SMURF2"
"NP_001264632.1",0.0170782058042397,1.76755775719781,1.57106650301838,"hypothalamus","extend",421683,"PERP1",421683,"PERP1"
"XP_015140843.1",0.0027479156275513,2.56099660605624,1.57027232868964,"hypothalamus","extend",769052,"LOC769052",769052,"LOC769052"
"XP_425505.3",0.0609298473185727,1.21516991015363,1.563689303724,"hypothalamus","extend",427933,"LOC427933",427933,"LOC427933"
"XP_004946242.2",0.00420477805680649,2.37625692287393,1.54841771810689,"hypothalamus","extend",417417,"MILR1",417417,"MILR1"
"NP_989439.1",0.00940674674667007,2.02656054811967,1.5412267885336,"hypothalamus","extend",373897,"MUSK",373897,"MUSK"
"XP_420452.1",0.017406792400449,1.75928125019957,1.53626680243915,"hypothalamus","extend",422487,"SH2D4A",422487,"SH2D4A"
"XP_015148755.1",0.00872220953863681,2.05937348423212,1.52733193578056,"hypothalamus","extend",416083,"MAGI1",416083,"MAGI1"
"XP_015133751.1",0.0103601260338359,1.9846349612446,1.52156165033458,"hypothalamus","extend",422247,"ARHGEF6",422247,"ARHGEF6"
"NP_989696.1",0.0170782058042397,1.76755775719781,1.51813260774127,"hypothalamus","extend",378789,"SLC15A1",378789,"SLC15A1"
"XP_015138943.1",9.98725931871743e-05,4.00055367354152,1.50818705752431,"hypothalamus","extend",396444,"SNAP25",396444,"SNAP25"
"XP_015142594.1",0.00584365107163778,2.23331572398114,1.49723368538349,"hypothalamus","extend",428871,"PLA2G4F",428871,"PLA2G4F"
"XP_015136119.1",0.0891291901706899,1.04998003946566,1.49563731081501,"hypothalamus","extend",101747858,"CZH9ORF84",101747858,"CZH9ORF84"
"XP_015148800.1",0.0489333866998661,1.31039472549973,1.48950660668784,"hypothalamus","extend",416069,"FAM3D",416069,"FAM3D"
"NP_001186062.1",0.0397094090863972,1.4011065756011,1.4883683199301,"hypothalamus","extend",415768,"SLC7A9",415768,"SLC7A9"
"NP_001025719.1",0.0726039271084539,1.13903988790314,1.48399874928489,"hypothalamus","extend",415407,"PRTG",415407,"PRTG"
"NP_990560.1",0.000214507635188757,3.66855724491827,1.48327871220089,"hypothalamus","extend",396154,"VLDLR",396154,"VLDLR"
"XP_004940733.1",0.0166331067072487,1.77902662631843,1.47372085527546,"hypothalamus","extend",422244,"GPR112",422244,"GPR112"
"XP_004942214.2",0.00367106569289313,2.43520784382461,1.46924372989914,"hypothalamus","extend",423814,"IDE",423814,"IDE"
"XP_001231711.1",0.00591855020150217,2.22778466432419,1.46910843197412,"hypothalamus","extend",769274,"UCN3",769274,"UCN3"
"XP_015141282.1",0.0624151863229108,1.20470972868592,1.46404906355294,"hypothalamus","extend",770095,"EVC2",770095,"EVC2"
"XP_419775.1",0.00105209008411096,2.97794707258027,1.46019546034796,"hypothalamus","extend",421743,"BET3L",421743,"BET3L"
"XP_015142961.1",0.00921417415988556,2.03554358327474,1.45862827795152,"hypothalamus","extend",423460,"PPP2R5C",423460,"PPP2R5C"
"XP_004942011.1",0.0111197896144263,1.95390342949479,1.45100152665111,"hypothalamus","extend",423614,"SYT15",423614,"SYT15"
"XP_004934726.1",0.0434449247946345,1.36206095022619,1.44359167382123,"hypothalamus","extend",418604,"KLHL34",418604,"KLHL34"
"XP_015134540.1",0.00521561204204558,2.2826947206245,1.44097907056557,"hypothalamus","extend",395822,"NEO1",395822,"NEO1"
"XP_015137862.1",0.0311222189911895,1.50692944570315,1.43456032737882,"hypothalamus","extend",420983,"FAM206A",420983,"FAM206A"
"NP_001029997.2",0.0185622137706418,1.7313702301085,1.43355766215478,"hypothalamus","extend",428759,"NPFFR2",428759,"NPFFR2"
"XP_417089.2",0.00294592620946806,2.53077813570866,1.42505196993935,"hypothalamus","extend",418895,"TRPC4",418895,"TRPC4"
"NP_001294930.1",0.0250680838202072,1.60087886181822,1.41096023724607,"hypothalamus","extend",422906,"TMED11",422906,"TMED11"
"XP_015139824.1",0.0052458565886867,2.28018358633304,1.41022378663148,"hypothalamus","extend",421567,"TCP10",421567,"TCP10"
"XP_015149243.1",0.000565183158362467,3.24781078797568,1.40770148092491,"hypothalamus","extend",414893,"GRIA1",414893,"GRIA1"
"NP_989691.1",0.000136175767422978,3.86590016856722,1.3960677775028,"hypothalamus","extend",378782,"EPHA1",378782,"EPHA1"
"XP_015147061.1",0.0137201619273232,1.86264076299312,1.39550721241933,"hypothalamus","extend",424944,"CYP2J2L6",424944,"CYP2J2L6"
"XP_015155945.1",0.0070765236063416,2.15018004024341,1.39527626010285,"hypothalamus","extend",427010,"LOC427010",427010,"LOC427010"
"XP_015138330.1",0.000977541780746511,3.00986467151789,1.38249629168846,"hypothalamus","extend",420216,"SLC7A7",420216,"SLC7A7"
