"gene","lfc","padj","logpadj","direction"
"LOC107053414",9.80969895539753,4.65145169542245e-09,8.3324114847619,"lay"
"MUC",5.81308493944866,0.000335841396350997,3.47386577306172,"lay"
"OVSTL",5.41597363541557,2.21731653214185e-15,14.6541723049234,"lay"
"AOC1",4.33728470295095,7.38392501264452e-07,6.13171272243177,"lay"
"ETNPPL",4.24097415903366,1.97131701258866e-05,4.70524353008521,"lay"
"GKN2",4.00846520251472,3.86904175334029e-05,4.41239658349989,"lay"
"LPO",3.76368705670238,1.64733285882551e-08,7.78321863875042,"lay"
"CA4",3.463817974489,5.97323223010209e-08,7.22379060022174,"lay"
"LOC107049904",3.42305080900994,0.0429611804781088,1.36692379369386,"lay"
"GAL3ST2",3.38201770615883,0.000244218244282897,3.61222189528293,"lay"
"LOC107054772",3.14821427976288,0.000939425719971487,3.02713755370272,"lay"
"NEU4",3.11326805652912,0.00553283728464162,2.25705210177597,"lay"
"OCX36",3.09858807384355,0.0303492172840314,1.51785250503714,"lay"
"LOC107049005",3.04671587002971,0.0302408534774603,1.51940595605043,"lay"
"SLC5A8",2.92093186683276,5.26874727274855e-06,5.27829263283414,"lay"
"IL1R2",2.89915647539737,0.00684352789134641,2.16471995840259,"lay"
"LOC417800",2.88582552388426,0.0645804007095893,1.18989926459257,"lay"
"LOC107049720",2.75774876869757,0.00500839232340962,2.30030165878757,"lay"
"GPA33",2.75267983666459,0.0845469678591345,1.07290196305925,"lay"
"TRIM66",2.72188583155387,0.00140839594422038,2.8512752342446,"lay"
"OLFM4",2.6233448592128,0.00828127396759861,2.08190284744957,"lay"
"LOC101747255",2.61708476684788,0.0330998151860628,1.48017443111544,"lay"
"ZNRF4",2.57505418672992,0.0288282795312972,1.5401812754876,"lay"
"SERPINB2",2.5684167476003,0.000350164589600255,3.45572777406857,"lay"
"CACNA1B",2.55334769045379,0.000927761644821137,3.03256358588802,"lay"
"CDK3",2.5512631263191,0.0776922760495696,1.10962215540489,"lay"
"NTNG2",2.42365090128152,2.08946805278179e-05,4.67996426467669,"lay"
"LOC101748683",2.33838510581568,0.0616909469144446,1.20977856357735,"lay"
"SLC14A2",2.32637612984,0.00522643046892939,2.28179482297045,"lay"
"C17ORF78",2.31447580767007,0.0608053469427309,1.21605822918745,"lay"
"VNN1",2.28576569694075,0.00117439370532966,2.93018628521064,"lay"
"LOC107052588",2.11476638512057,0.00563188390613854,2.24934630618183,"lay"
"CALB1",2.1023968091643,0.00432143826324368,2.36437168701983,"lay"
"MOGAT2",2.06988042253215,0.0223896538729491,1.64995262023205,"lay"
