"","row.names","Name","geneid","entrezid"
"NP_001001127.1","408082","EDNRB",408082,"NP_001001127.1"
"NP_001001129.1","408183","CYP26A1",408183,"NP_001001129.1"
"NP_001001189.1","374073","CFDP1",374073,"NP_001001189.1"
"NP_001001194.1","407777","AvBD7",407777,"NP_001001194.1"
"NP_001001195.1","407779","KRT5",407779,"NP_001001195.1"
"NP_001001201.1","408034","HSD11B1L",408034,"NP_001001201.1"
"NP_001001203.1","408036","EREG",408036,"NP_001001203.1"
"NP_001001291.2","408251","ADCYAP1",408251,"NP_001001291.2"
"NP_001001292.1","408035","EGF",408035,"NP_001001292.1"
"NP_001001294.1","408027","IGFBP1",408027,"NP_001001294.1"
"NP_001001296.1","403120","IFI6",403120,"NP_001001296.1"
"NP_001001298.1","408024","PAH",408024,"NP_001001298.1"
"NP_001001299.2","408032","BVES",408032,"NP_001001299.2"
"NP_001001300.1","408025","TOP1MT",408025,"NP_001001300.1"
"NP_001001301.1","408026","TPH2",408026,"NP_001001301.1"
"NP_001001304.2","395102","POLH",395102,"NP_001001304.2"
"NP_001001305.1","396195","SRSF2",396195,"NP_001001305.1"
"NP_001001310.2","408038","LOC408038",408038,"NP_001001310.2"
"NP_001001311.2","408039","KRT14",408039,"NP_001001311.2"
"NP_001001328.1","408253","RP11-196G11.1",408253,"NP_001001328.1"
"NP_001001337.1","395542","TEAD4",395542,"NP_001001337.1"
"NP_001001460.1","373928","PPARG",373928,"NP_001001460.1"
"NP_001001461.1","373964","MSTN",373964,"NP_001001461.1"
"NP_001001462.1","374102","SDC2",374102,"NP_001001462.1"
"NP_001001463.1","374115","ARNTL",374115,"NP_001001463.1"
"NP_001001466.1","378791","RTN1",378791,"NP_001001466.1"
"NP_001001467.1","395225","TOB1",395225,"NP_001001467.1"
"NP_001001468.1","395226","IFRD1",395226,"NP_001001468.1"
"NP_001001470.1","395708","LYG2",395708,"NP_001001470.1"
"NP_001001471.1","396006","PTPRVP",396006,"NP_001001471.1"
"NP_001001472.2","396093","NFKBIA",396093,"NP_001001472.2"
"NP_001001529.1","414142","LEPRE1",414142,"NP_001001529.1"
"NP_001001530.1","414143","LEPREL1",414143,"NP_001001530.1"
"NP_001001531.1","414144","FUS",414144,"NP_001001531.1"
"NP_001001603.1","414335","ST8SIA6",414335,"NP_001001603.1"
"NP_001001604.1","414336","ST8SIA2",414336,"NP_001001604.1"
"NP_001001607.2","414339","AvBD12",414339,"NP_001001607.2"
"NP_001001608.2","414340","AvBD5",414340,"NP_001001608.2"
"NP_001001609.1","414341","AvBD10",414341,"NP_001001609.1"
"NP_001001611.1","414343","AvBD9",414343,"NP_001001611.1"
"NP_001001612.1","414740","EIF1AD",414740,"NP_001001612.1"
