"gene","counts","sex","tissue","treatment","samples"
"ADRA2A",8.97101598432387,"female","gonads","control","L.G118_female_gonad_control"
"ADRA2A",9.03147729864179,"female","gonads","control","R.G106_female_gonad_control"
"ADRA2A",9.97087851342824,"female","gonads","control","R.R20_female_gonad_control"
"ADRA2A",8.49372932089003,"female","gonads","control","R.R9_female_gonad_control"
"ADRA2A",10.4465848673282,"female","gonads","control","R.W44_female_gonad_control"
"ADRA2A",8.65025716575879,"female","gonads","prolong","blk.s031.pu.d_female_gonad_prolong"
"ADRA2A",8.60819975828838,"female","gonads","m.n2","blk.s032.g.w_female_gonad_m.hatch"
"ADRA2A",8.2184405873077,"female","gonads","m.inc.d3","blk.s049.y.g_female_gonad_m.inc.d3"
"ADRA2A",9.74599842792825,"female","gonads","m.inc.d3","blk.s060.pu.w_female_gonad_m.inc.d3"
"ADRA2A",8.46331171552072,"female","gonads","inc.d9","blk.s061.pu.y_female_gonad_inc.d9"
"ADRA2A",8.36370721623651,"female","gonads","early","blk.y.l.s109_female_gonad_m.inc.d8"
"ADRA2A",9.42119426620743,"female","gonads","m.n2","blk0.x_female_gonad_m.n2"
"ADRA2A",9.52915429277305,"female","gonads","bldg","blk11.x_female_gonad_bldg"
"ADRA2A",9.27576849632779,"female","gonads","extend","blk19.x_female_gonad_extend"
"ADRA2A",8.62400668770612,"female","gonads","hatch","blk21.x_female_gonad_hatch"
"ADRA2A",8.63735508137249,"female","gonads","n9","blk4.x_female_gonad_n9"
"ADRA2A",8.30002469792769,"female","gonads","control","blu.o.x.ATLAS_female_gonad_control"
"ADRA2A",9.42400134810581,"female","gonads","hatch","blu103.x_female_gonad_hatch.NYNO"
"ADRA2A",8.60653992015353,"female","gonads","prolong","blu115.y150.x_female_gonad_inc.prolong"
"ADRA2A",9.48363688448518,"female","gonads","early","blu119.w84.x_female_gonad_m.inc.d8"
"ADRA2A",9.03679463243832,"female","gonads","hatch","blu124.w180.x_female_gonad_hatch"
"ADRA2A",9.33842524251952,"female","gonads","n9","blu36.w16_female_gonad_n9"
"ADRA2A",7.44754036395927,"female","gonads","bldg","blu38.g135.x_female_gonad_bldg"
"ADRA2A",9.45070386561034,"female","gonads","inc.d3","blu39.o26.x_female_gonad_inc.d3"
"ADRA2A",8.50467450900696,"female","gonads","extend","blu44.y102_female_gonad_extend"
"ADRA2A",8.67641126707719,"female","gonads","inc.d9","blu47.y96.x_female_gonad_inc.d9"
"ADRA2A",9.11143202949425,"female","gonads","n5","blu55.g51_female_gonad_n5"
"ADRA2A",8.77348797565944,"female","gonads","m.inc.d3","blu56.o53_female_gonad_m.inc.d3"
"ADRA2A",9.3657788870228,"female","gonads","m.inc.d9","blu63.g62_female_gonad_m.inc.d9"
"ADRA2A",8.42522041878546,"female","gonads","early","blu80.r97_female_gonad_m.inc.d8"
"ADRA2A",8.75928435722765,"female","gonads","m.inc.d9","d.r.blk.s159_female_gonad_m.inc.d9"
"ADRA2A",9.41709874483124,"female","gonads","m.inc.d17","d.s112.blk.w_female_gonad_m.inc.d17"
"ADRA2A",8.39378760742835,"female","gonads","m.inc.d3","d.s177.blk.r_female_gonad_m.inc.d3"
"ADRA2A",8.55867672144262,"female","gonads","lay","g.blk.s004.pk_female_gonad_lay"
"ADRA2A",8.34172515651994,"female","gonads","m.n2","g.s076.pk.r_female_gonad_m.hatch"
"ADRA2A",7.82169120880773,"female","gonads","lay","g.s078.blk.o_female_gonad_lay"
"ADRA2A",8.47591181145311,"female","gonads","control","g.x.ATLAS_female_gonad_control"
"ADRA2A",9.34206307884833,"female","gonads","m.inc.d17","g.y.blk.s006_female_gonad_m.inc.d17"
"ADRA2A",10.7661414143724,"female","gonads","bldg","g141.blu27.x_female_gonad_bldg"
"ADRA2A",9.28677614179589,"female","gonads","inc.d17","g142.r40.x_female_gonad_inc.d17"
"ADRA2A",8.25173585613874,"female","gonads","m.inc.d3","g144.r54.x_female_gonad_m.inc.d3"
"ADRA2A",8.84131107336409,"female","gonads","extend","g17.w108.x_female_gonad_extend"
"ADRA2A",8.38127847845505,"female","gonads","extend","g22.blu118_female_gonad_extend"
"ADRA2A",9.74550643505411,"female","gonads","inc.d3","g6.w197.x_female_gonad_inc.d3"
"ADRA2A",8.37103243540266,"female","gonads","m.inc.d17","g63.blu65_female_gonad_m.inc.d17"
"ADRA2A",8.64550086712942,"female","gonads","m.inc.d9","g73.x_female_gonad_m.inc.d9"
"ADRA2A",9.47257305725962,"female","gonads","inc.d9","g75.x_female_gonad_inc.d9"
"ADRA2A",9.83658491669565,"female","gonads","m.n2","l.s.w.d_female_gonad_m.hatch"
"ADRA2A",9.31504825894358,"female","gonads","prolong","l.s052.pk.r_female_gonad_prolong"
"ADRA2A",7.91605480839557,"female","gonads","bldg","l.s120.y.blk_female_gonad_bldg"
"ADRA2A",9.35394602643522,"female","gonads","prolong","l.s166.o.w_female_gonad_prolong"
"ADRA2A",8.96271036001321,"female","gonads","m.inc.d17","o.s084.w.blk_female_gonad_m.inc.d17"
"ADRA2A",9.45054218728973,"female","gonads","inc.d3","o156.w80.x_female_gonad_inc.d3"
"ADRA2A",8.76290358527227,"female","gonads","inc.d3","o165.w122.x_female_gonad_inc.d3.NYNO"
"ADRA2A",8.43548761850547,"female","gonads","m.inc.d17","o169.r28.x_female_gonad_m.inc.d17"
"ADRA2A",10.1093451557213,"female","gonads","hatch","o172.w115.x_female_gonad_hatch"
"ADRA2A",8.53579594439521,"female","gonads","inc.d3","o173.w179.x_female_gonad_inc.d3"
"ADRA2A",8.10250932144422,"female","gonads","inc.d17","o35.r51.x_female_gonad_inc.d17"
"ADRA2A",8.57271996585599,"female","gonads","m.inc.d9","o36.r62.x_female_gonad_m.inc.d9"
"ADRA2A",9.87457470265811,"female","gonads","bldg","o38.blu29.x_female_gonad_bldg"
"ADRA2A",8.85535981566118,"female","gonads","m.inc.d9","o45.g128.x_female_gonad_m.inc.d9.NYNO"
"ADRA2A",9.8093393877865,"female","gonads","inc.d17","o52.blu53_female_gonad_inc.d17"
"ADRA2A",8.41980877880495,"female","gonads","inc.d9","o73.x_female_gonad_inc.d9"
"ADRA2A",8.95402967585751,"female","gonads","early","p.g.blk.s040_female_gonad_m.inc.d8"
"ADRA2A",8.64773230125073,"female","gonads","m.inc.d17","pk.s011.o.y_female_gonad_m.inc.d17"
"ADRA2A",9.8551359811905,"female","gonads","m.n2","pk.s054.d.g_female_gonad_m.hatch"
"ADRA2A",9.15008039171665,"female","gonads","early","pk.s055.d.l_female_gonad_m.inc.d8"
"ADRA2A",8.01692429974625,"female","gonads","control","r.r.x.ATLAS.R2XR_female_gonad_control"
"ADRA2A",8.10702174446287,"female","gonads","control","r.r.x.ATLAS_female_gonad_control"
"ADRA2A",9.10830589173651,"female","gonads","m.inc.d3","r.s035.y.blk_female_gonad_m.inc.d3"
"ADRA2A",9.55012346355108,"female","gonads","bldg","r.s056.g.o_female_gonad_bldg"
"ADRA2A",8.909919483003,"female","gonads","extend","r.s131.o.d_female_gonad_extend"
"ADRA2A",8.96685481850182,"female","gonads","n9","r.s171.l.w_female_gonad_n9"
"ADRA2A",8.9446688216882,"female","gonads","hatch","r183.o22_female_gonad_hatch"
