"","gene","counts","sex","tissue","treatment","extint","samples"
"1","ADRA2A",8.95265245948185,"female","hypothalamus","control","reference","L.G118_female_hypothalamus_control.NYNO"
"2","ADRA2A",8.81338484659013,"female","hypothalamus","control","reference","R.G106_female_hypothalamus_control"
"3","ADRA2A",9.18092589396404,"female","hypothalamus","control","reference","R.R20_female_hypothalamus_control.NYNO"
"4","ADRA2A",8.72044024269788,"female","hypothalamus","control","reference","R.R9_female_hypothalamus_control"
"5","ADRA2A",9.23468708387412,"female","hypothalamus","control","reference","R.W44_female_hypothalamus_control"
"6","ADRA2A",9.12547783930178,"female","hypothalamus","prolong","eggs","blk.s031.pu.d_female_hypothalamus_prolong"
"7","ADRA2A",9.00087915764579,"female","hypothalamus","m.n2","loss","blk.s032.g.w_female_hypothalamus_m.hatch"
"8","ADRA2A",9.14449468457331,"female","hypothalamus","m.inc.d3","loss","blk.s049.y.g_female_hypothalamus_m.inc.d3"
"9","ADRA2A",9.06147008909827,"female","hypothalamus","m.inc.d3","loss","blk.s060.pu.w_female_hypothalamus_m.inc.d3"
"10","ADRA2A",9.11190597822459,"female","hypothalamus","inc.d9","eggs","blk.s061.pu.y_female_hypothalamus_inc.d9"
"11","ADRA2A",9.23333041624929,"female","hypothalamus","early","chicks","blk.y.l.s109_female_hypothalamus_m.inc.d8"
"12","ADRA2A",9.11407537984817,"female","hypothalamus","m.n2","loss","blk0.x_female_hypothalamus_m.n2"
"13","ADRA2A",9.38267397677102,"female","hypothalamus","bldg","reference","blk11.x_female_hypothalamus_bldg"
"14","ADRA2A",8.95547506568031,"female","hypothalamus","extend","chicks","blk19.x_female_hypothalamus_extend"
"15","ADRA2A",8.4672649921333,"female","hypothalamus","hatch","chicks","blk21.x_female_hypothalamus_hatch"
"16","ADRA2A",9.37706420646052,"female","hypothalamus","n9","chicks","blk4.x_female_hypothalamus_n9"
"17","ADRA2A",8.84079847592245,"female","hypothalamus","control","reference","blu.o.x.ATLAS_female_hypothalamus_control"
"18","ADRA2A",9.15818062682846,"female","hypothalamus","hatch","chicks","blu103.x_female_hypothalamus_hatch"
"19","ADRA2A",9.10071048415888,"female","hypothalamus","prolong","eggs","blu115.y150.x_female_hypothalamus_inc.prolong"
"20","ADRA2A",9.21085544028392,"female","hypothalamus","early","chicks","blu119.w84.x_female_hypothalamus_m.inc.d8"
"21","ADRA2A",9.16750069592463,"female","hypothalamus","hatch","chicks","blu124.w180.x_female_hypothalamus_hatch"
"22","ADRA2A",9.31645342631073,"female","hypothalamus","n9","chicks","blu36.w16_female_hypothalamus_n9"
"23","ADRA2A",9.07120751624445,"female","hypothalamus","bldg","reference","blu38.g135.x_female_hypothalamus_bldg"
"24","ADRA2A",8.72039934986397,"female","hypothalamus","inc.d3","eggs","blu39.o26.x_female_hypothalamus_inc.d3.NYNO"
"25","ADRA2A",9.30996423706612,"female","hypothalamus","extend","chicks","blu44.y102_female_hypothalamus_extend"
"26","ADRA2A",9.18272951543273,"female","hypothalamus","inc.d9","eggs","blu47.y96.x_female_hypothalamus_inc.d9"
"27","ADRA2A",9.08079268655406,"female","hypothalamus","n5","chicks","blu55.g51_female_hypothalamus_n5"
"28","ADRA2A",8.99821682183578,"female","hypothalamus","m.inc.d3","loss","blu56.o53_female_hypothalamus_m.inc.d3"
