bird_id,clean_id,sex,stage,prolactin_ng_mL,number,comment,,,,,
s066.l.d.r,s066ldr,male,bldg,10.42,185,,,,,,
s067.o.l.y,s067oly,male,m.inc.d8,13.28,186,,,,,,
s069.pk.pu.g,s069pkpug,female,m.inc.d3,9.53,187,,,,,,
s071.pu.g.pk,s071pugpk,male,m.inc.d3,13.64,188,,,,,,
s089.blk.pk.pu,s089blkpkpu,female,extend,59.99,189,,,,,,
s090.blk.pk.w,s090blkpkw,male,m.hatch,61.94,190,,,,,,
s091.blk.r.g,s091blkrg,female,m.inc.d8,16.68,191,,,,,,
s092.blk.r.o,s092blkro,female,bldg,8.12,192,,,,,,
s093.blk.y.d,s093blkyd,female,m.inc.d3,16.70,193,,,,,,
s095.g.blk.o,s095gblko,female,lay,7.46,194,,,,,,
s096.g.blk.pk,s096gblkpk,male,m.inc.d17,3.44,195,,,,,,
s100.l.pk.blk,s100lpkblk,female,m.inc.d17,13.28,196,,,,,,
s103.y.pk.blk,s103ypkblk,female,m.inc.d3,7.25,197,,,,,,
s136.d.w.o,s136dwo,female,lay,28.28,198,,,,,,
s137.g.blk.y,s137gblky,female,extend,48.44,199,,,,,,
s139.l.blk.w,s139lblkw,male,m.inc.d3,3.51,200,,,,,,
s142.o.pk.pu,s142opkpu,female,lay,6.88,201,,,,,,
s150.w.g.blk,s150wgblk,male,lay,3.16,202,,,,,,
s175.blk.pu.pk,s175blkpupk,male,m.inc.d3,6.30,203,,,,,,
s176.blk.pu.r,s176blkpur,female,lay,6.08,204,,,,,,
s186.l.o.pk,s186lopk,female,extend,65.04,205,,,,,,
s187.l.o.r,s187lor,male,n9,39.59,206,,,,,,
s243.blk.pk.r,s243blkpkr,male,lay,4.20,207,,,,,,
s333.y.blk.pk,s333yblkpk,female,m.hatch,47.69,208,,,,,,
s.pu148.blk.r,spu148blkr,male,bldg,3.59,210,,,,,,
s.x.ATLAS,sATLAS,female,control,39.49,212,,,,,,
x.blk.blk.ATLAS,blkblkATLAS,male,control,4.15,218,,,,,,
x.blu116.w107,blu116w107,female,inc.d17,NA,223,No value appears as x-blu116,,,,,
x.blu.o.ATLAS,bluoATLAS,male,control,14.92,238,"no ""atlas"" evertything else matches, appears as x-blu/o",,,,,
x.g.ATLAS,gATLAS,male,control,3.83,251,"no ""atlas"" evertything else matches, appears as R_G",,,,,
x.g.g.ATLAS,ggATLAS,female,control,21.53,252,"no ""atlas"" evertything else matches, appears tlas R_2xG",,,,,
x.g.g.g.ATLAS,gggATLAS,male,control,25.35,253,"no ""atlas"" everything else matches, appears as R_G(3)",,,,,
x.y90,y90,female,hatch,92.91,300,,,,,,
x.y93.g126,y93g126,female,inc.d9,8.34,301,,,,,,
x.y.s.ATLAS,ysATLAS,male,control,NA,303,can't find in prolactin data,,,,,
y18.x,y18,male,m.inc.d3,8.33,319,,,,,,
y.s156.o.r,ys156or,female,lay,10.18,331,,,,,,
blu55.g51,blu55g51,female,n5,203.69,35,,,,,,
blu44.y102,blu44y102,female,extend,152.37,33,,,,,,
g17.w108.x,g17w108,female,extend,120.35,57,,,,,,
g142.r40.x,g142r40,female,inc.d17,113.00,53,,,,,,
g130.y81.x,g130y81,male,inc.d17,100.91,50,,,,,,
blk19.x,blk19,female,extend,100.68,5,,,,,,
y130.o170.x,y130o170,female,inc.d17,98.98,308,,,,,,
blk17.x,blk17,male,inc.d17,97.43,4,,,,,,
r49.w189.x,r49w189,female,inc.d17,94.75,148,,,,,,
blu124.w180.x,blu124w180,female,hatch,93.48,26,,,,,,
x.r44.w95,r44w95,female,hatch,92.22,278,,,,,,
