"V1","sex","treatment","sextissue","hypothesis"
"x.w51_female_pituitary_lay","female","lay","female_pituitary","incubation"
"x.w6_female_pituitary_n9","female","n9","female_pituitary","hatchling.care"
"x.y.s.ATLAS_male_pituitary_control","male","control","male_pituitary","anticipation"
"x.y109_female_pituitary_inc.d9","female","inc.d9","female_pituitary","incubation"
"x.y132.w76_male_pituitary_inc.d17","male","inc.d17","male_pituitary","incubation"
"x.y138.w176_female_pituitary_n9","female","n9","female_pituitary","hatchling.care"
"x.y141.w116_male_pituitary_inc.d9","male","inc.d9","male_pituitary","incubation"
"x.y90_female_pituitary_hatch","female","hatch","female_pituitary","hatchling.care"
"x.y93.g126_female_pituitary_inc.d9","female","inc.d9","female_pituitary","incubation"
"x.y9_female_pituitary_n9","female","n9","female_pituitary","hatchling.care"
"y.s156.o.r_female_pituitary_lay","female","lay","female_pituitary","incubation"
"y126.w92.x_female_pituitary_inc.d17","female","inc.d17","female_pituitary","incubation"
"y128.g23.x_female_pituitary_inc.d9","female","inc.d9","female_pituitary","incubation"
"y129.x_male_pituitary_n9","male","n9","male_pituitary","hatchling.care"
"y13.x_female_pituitary_inc.d3","female","inc.d3","female_pituitary","incubation"
"y130.o170.x_female_pituitary_inc.d17","female","inc.d17","female_pituitary","incubation"
"y131.w185.x_male_pituitary_n9","male","n9","male_pituitary","hatchling.care"
"y133.w77.r58_male_pituitary_inc.d17","male","inc.d17","male_pituitary","incubation"
"y135.blu107.x_female_pituitary_inc.d17.NYNO","female","inc.d17","female_pituitary","incubation"
"y136.x_female_pituitary_inc.d17","female","inc.d17","female_pituitary","incubation"
"y140.w119.x_female_pituitary_inc.d9","female","inc.d9","female_pituitary","incubation"
"y149.r52.x_male_pituitary_inc.d3","male","inc.d3","male_pituitary","incubation"
"y15.x_female_pituitary_hatch","female","hatch","female_pituitary","hatchling.care"
"y6.o54_female_pituitary_n5","female","n5","female_pituitary","hatchling.care"
"y7.g58_female_pituitary_hatch","female","hatch","female_pituitary","hatchling.care"
"y94.g133.x_female_pituitary_n5","female","n5","female_pituitary","hatchling.care"
"y95.g131.x_male_pituitary_inc.d9","male","inc.d9","male_pituitary","incubation"
"y97.x_female_pituitary_n9","female","n9","female_pituitary","hatchling.care"
"y98.o50.x_male_pituitary_inc.d3","male","inc.d3","male_pituitary","incubation"
