"V1","sex","treatment","sextissue","hypothesis"
"x.r29.w96_male_gonad_inc.d17","male","inc.d17","male_gonad","incubation"
"x.r33.w183_female_gonad_inc.d3","female","inc.d3","female_gonad","incubation"
"x.r39.g10_female_gonad_bldg","female","bldg","female_gonad","anticipation"
"x.r44.w95_female_gonad_hatch","female","hatch","female_gonad","hatchling.care"
"x.r48.y139_female_gonad_inc.d17","female","inc.d17","female_gonad","incubation"
"x.r50.w97_female_gonad_n5","female","n5","female_gonad","hatchling.care"
"x.r64.g140_male_gonad_inc.d3","male","inc.d3","male_gonad","incubation"
"x.r67.blu35_male_gonad_bldg","male","bldg","male_gonad","anticipation"
"x.w178_female_gonad_n9","female","n9","female_gonad","hatchling.care"
"x.w192.o157_male_gonad_inc.d9","male","inc.d9","male_gonad","incubation"
"x.w51_female_gonad_lay","female","lay","female_gonad","incubation"
"x.w6_female_gonad_n9","female","n9","female_gonad","hatchling.care"
"x.y.s.ATLAS_male_gonad_control","male","control","male_gonad","anticipation"
"x.y109_female_gonad_inc.d9","female","inc.d9","female_gonad","incubation"
"x.y132.w76_male_gonad_inc.d17","male","inc.d17","male_gonad","incubation"
"x.y138.w176_female_gonad_n9","female","n9","female_gonad","hatchling.care"
"x.y141.w116_male_gonad_inc.d9","male","inc.d9","male_gonad","incubation"
"x.y90_female_gonad_hatch","female","hatch","female_gonad","hatchling.care"
"x.y93.g126_female_gonad_inc.d9","female","inc.d9","female_gonad","incubation"
"x.y9_female_gonad_n9","female","n9","female_gonad","hatchling.care"
"y.s156.o.r_female_gonad_lay","female","lay","female_gonad","incubation"
"y126.w92.x_female_gonad_inc.d17","female","inc.d17","female_gonad","incubation"
"y128.g23.x_female_gonad_inc.d9","female","inc.d9","female_gonad","incubation"
"y129.x_male_gonad_n9","male","n9","male_gonad","hatchling.care"
"y13.x_female_gonad_inc.d3","female","inc.d3","female_gonad","incubation"
"y130.o170.x_female_gonad_inc.d17","female","inc.d17","female_gonad","incubation"
"y131.w185.x_male_gonad_n9","male","n9","male_gonad","hatchling.care"
"y133.w77.r58_male_gonad_inc.d17","male","inc.d17","male_gonad","incubation"
"y135.blu107.x_female_gonad_inc.d17","female","inc.d17","female_gonad","incubation"
"y136.x_female_gonad_inc.d17","female","inc.d17","female_gonad","incubation"
"y140.w119.x_female_gonad_inc.d9","female","inc.d9","female_gonad","incubation"
"y149.r52.x_male_gonad_inc.d3","male","inc.d3","male_gonad","incubation"
"y15.x_female_gonad_hatch","female","hatch","female_gonad","hatchling.care"
"y6.o54_female_gonad_n5","female","n5","female_gonad","hatchling.care"
"y7.g58_female_gonad_hatch","female","hatch","female_gonad","hatchling.care"
"y94.g133.x_female_gonad_n5","female","n5","female_gonad","hatchling.care"
"y95.g131.x_male_gonad_inc.d9","male","inc.d9","male_gonad","incubation"
"y97.x_female_gonad_n9","female","n9","female_gonad","hatchling.care"
"y98.o50.x_male_gonad_inc.d3","male","inc.d3","male_gonad","incubation"
