"sex","tissue","treatment","gene","samples","counts"
"female","gonad","inc.d3","PRL","o173.w179.x_female_gonad_inc.d3",9.3376488597392
"female","gonad","inc.d17","PRL","o35.r51.x_female_gonad_inc.d17",9.84350797321611
"female","gonad","bldg","PRL","o38.blu29.x_female_gonad_bldg",9.76717956570235
"female","gonad","inc.d17","PRL","o52.blu53_female_gonad_inc.d17",8.9453183150166
"female","gonad","inc.d9","PRL","o73.x_female_gonad_inc.d9",9.13989543125015
"female","gonad","control","PRL","r.r.x.ATLAS.R2XR_female_gonad_control",9.28302094183663
"female","gonad","control","PRL","r.r.x.ATLAS_female_gonad_control",9.24728624439759
"female","gonad","bldg","PRL","r.s056.g.o_female_gonad_bldg",8.9728042884559
"female","gonad","n9","PRL","r.s171.l.w_female_gonad_n9",9.42062926142231
"female","gonad","hatch","PRL","r183.o22_female_gonad_hatch",9.68700833162265
"female","gonad","inc.d3","PRL","r27.w111.blu125_female_gonad_inc.d3",9.46181437210622
"female","gonad","inc.d9","PRL","r30.w112.r46_female_gonad_inc.d9",9.41074528394646
"female","gonad","inc.d9","PRL","r36.w184.x_female_gonad_inc.d9",10.007135765288
"female","gonad","inc.d17","PRL","r49.w189.x_female_gonad_inc.d17",9.48512537243018
"female","gonad","control","PRL","r6.x_female_gonad_control.NYNO",9.71925304625675
"female","gonad","inc.d3","PRL","r73.g127.x_female_gonad_inc.d3",10.7728513957111
"female","gonad","bldg","PRL","r83.g45_female_gonad_bldg",9.46726338912917
"female","gonad","n9","PRL","r95.blu99_female_gonad_n9",9.658924796434
"female","gonad","lay","PRL","s.o.pk_female_gonad_lay",9.51214181970009
"female","gonad","control","PRL","s.x.ATLAS_female_gonad_control",9.75595856695375
"female","gonad","bldg","PRL","s063.d.blk.l_female_gonad_bldg",9.11025547146442
"female","gonad","bldg","PRL","s092.blk.r.o_female_gonad_bldg",9.44449189301871
"female","gonad","lay","PRL","s095.g.blk.o_female_gonad_lay",9.92344970622074
"female","gonad","lay","PRL","s136.d.w.o_female_gonad_lay",9.66499985549284
"female","gonad","lay","PRL","s142.o.pk.pu_female_gonad_lay",10.7456586976264
"female","gonad","lay","PRL","s176.blk.pu.r_female_gonad_lay",9.83452745995779
"female","gonad","control","PRL","w191.r1_female_gonad_control",8.65178747702756
"female","gonad","inc.d9","PRL","x.blu101.w43_female_gonad_inc.d9",9.37887908673163
"female","gonad","inc.d3","PRL","x.blu102.w105_female_gonad_inc.d3",9.46707083731664
"female","gonad","n5","PRL","x.blu109.w121_female_gonad_n5",9.1931963783035
"female","gonad","inc.d17","PRL","x.blu116.w107_female_gonad_inc.d17",9.23026436972523
"female","gonad","inc.d9","PRL","x.blu122.r66_female_gonad_inc.d9",10.4981756989848
"female","gonad","n9","PRL","x.blu43.g132_female_gonad_n9",9.45821780337313
"female","gonad","lay","PRL","x.blu6.y80_female_gonad_lay",9.06272062884686
"female","gonad","control","PRL","x.g.g.ATLAS_female_gonad_control",9.46426535174686
"female","gonad","n5","PRL","x.g37_female_gonad_n5",9.36457893016692
"female","gonad","n9","PRL","x.g4.w50_female_gonad_n9",9.34393537587745
"female","gonad","n5","PRL","x.g43_female_gonad_n5",9.21068006904393
"female","gonad","n5","PRL","x.g49_female_gonad_n5",10.2075080926773
"female","gonad","inc.d9","PRL","x.g9.o166_female_gonad_inc.d9.NYNO",10.1308171624479
"female","gonad","inc.d17","PRL","x.o159.w90_female_gonad_inc.d17",9.97957280184639
"female","gonad","n5","PRL","x.o175.g21_female_gonad_n5",10.2752817616741
"female","gonad","hatch","PRL","x.o37.blu50_female_gonad_hatch",9.34725463524249
"female","gonad","n5","PRL","x.o70_female_gonad_n5",8.87033197399965
"female","gonad","inc.d3","PRL","x.r33.w183_female_gonad_inc.d3",9.04108719547779
"female","gonad","bldg","PRL","x.r39.g10_female_gonad_bldg",9.82493581417436
"female","gonad","hatch","PRL","x.r44.w95_female_gonad_hatch",9.33230195722539
"female","gonad","inc.d17","PRL","x.r48.y139_female_gonad_inc.d17",9.85424103414087
"female","gonad","n5","PRL","x.r50.w97_female_gonad_n5",10.6469134114973
"female","gonad","n9","PRL","x.w178_female_gonad_n9",9.51443310676516
"female","gonad","lay","PRL","x.w51_female_gonad_lay",10.2724078865449
"female","gonad","n9","PRL","x.w6_female_gonad_n9",10.8073572837449
"female","gonad","inc.d9","PRL","x.y109_female_gonad_inc.d9",9.74949209333238
"female","gonad","n9","PRL","x.y138.w176_female_gonad_n9",9.51007404489496
"female","gonad","hatch","PRL","x.y90_female_gonad_hatch",9.28297206325791
"female","gonad","inc.d9","PRL","x.y93.g126_female_gonad_inc.d9",9.06725197492537
"female","gonad","n9","PRL","x.y9_female_gonad_n9",11.5837717666267
"female","gonad","lay","PRL","y.s156.o.r_female_gonad_lay",9.85922621491047
"female","gonad","inc.d17","PRL","y126.w92.x_female_gonad_inc.d17",9.80131397373148
"female","gonad","inc.d9","PRL","y128.g23.x_female_gonad_inc.d9",10.0191827163989
"female","gonad","inc.d3","PRL","y13.x_female_gonad_inc.d3",9.42064904069874
"female","gonad","inc.d17","PRL","y130.o170.x_female_gonad_inc.d17",9.58808690867138
"female","gonad","inc.d17","PRL","y135.blu107.x_female_gonad_inc.d17",9.31917689091794
"female","gonad","inc.d17","PRL","y136.x_female_gonad_inc.d17",9.1822411492894
"female","gonad","inc.d9","PRL","y140.w119.x_female_gonad_inc.d9",9.58120950151829
"female","gonad","hatch","PRL","y15.x_female_gonad_hatch",9.42251530161456
"female","gonad","n5","PRL","y6.o54_female_gonad_n5",9.86319595935743
"female","gonad","hatch","PRL","y7.g58_female_gonad_hatch",9.7385265747456
"female","gonad","n5","PRL","y94.g133.x_female_gonad_n5",9.45858948485129
"female","gonad","n9","PRL","y97.x_female_gonad_n9",9.67491444020229
"female","hypothalamus","control","PRL","L.G118_female_hypothalamus_control.NYNO",13.0349878778497
"female","hypothalamus","control","PRL","R.G106_female_hypothalamus_control",10.6439864227049
"female","hypothalamus","control","PRL","R.R20_female_hypothalamus_control.NYNO",11.1564926380609
"female","hypothalamus","control","PRL","R.R9_female_hypothalamus_control",10.9428450664971
"female","hypothalamus","control","PRL","R.W44_female_hypothalamus_control",10.4974594278519
"female","hypothalamus","inc.d9","PRL","blk.s061.pu.y_female_hypothalamus_inc.d9",10.6091949240974
"female","hypothalamus","bldg","PRL","blk11.x_female_hypothalamus_bldg",10.0603198905096
"female","hypothalamus","hatch","PRL","blk21.x_female_hypothalamus_hatch",11.660613955592
"female","hypothalamus","n9","PRL","blk4.x_female_hypothalamus_n9",12.5618617437596
"female","hypothalamus","control","PRL","blu.o.x.ATLAS_female_hypothalamus_control",10.809529272406
"female","hypothalamus","hatch","PRL","blu103.x_female_hypothalamus_hatch",10.7699054998608
"female","hypothalamus","hatch","PRL","blu124.w180.x_female_hypothalamus_hatch",11.1183203449114
"female","hypothalamus","n9","PRL","blu36.w16_female_hypothalamus_n9",10.7389877229421
"female","hypothalamus","bldg","PRL","blu38.g135.x_female_hypothalamus_bldg",10.5086277247222
"female","hypothalamus","inc.d3","PRL","blu39.o26.x_female_hypothalamus_inc.d3.NYNO",10.7288574024941
"female","hypothalamus","inc.d9","PRL","blu47.y96.x_female_hypothalamus_inc.d9",10.4302130193086
"female","hypothalamus","n5","PRL","blu55.g51_female_hypothalamus_n5",10.3256530091448
"female","hypothalamus","lay","PRL","g.blk.s004.pk_female_hypothalamus_lay",10.3297666346896
"female","hypothalamus","lay","PRL","g.s078.blk.o_female_hypothalamus_lay",10.3264626281786
"female","hypothalamus","bldg","PRL","g141.blu27.x_female_hypothalamus_bldg",10.1177228586409
"female","hypothalamus","inc.d17","PRL","g142.r40.x_female_hypothalamus_inc.d17",10.5625566923733
"female","hypothalamus","inc.d3","PRL","g6.w197.x_female_hypothalamus_inc.d3",10.7132231038022
"female","hypothalamus","inc.d9","PRL","g75.x_female_hypothalamus_inc.d9",10.3493532064296
"female","hypothalamus","bldg","PRL","l.s120.y.blk_female_hypothalamus_bldg",10.6645189190606
"female","hypothalamus","inc.d3","PRL","o156.w80.x_female_hypothalamus_inc.d3",10.6384352972153
"female","hypothalamus","inc.d3","PRL","o165.w122.x_female_hypothalamus_inc.d3",10.632168509898
"female","hypothalamus","hatch","PRL","o172.w115.x_female_hypothalamus_hatch",10.1893904269436
"female","hypothalamus","inc.d3","PRL","o173.w179.x_female_hypothalamus_inc.d3",10.644182104978
"female","hypothalamus","inc.d17","PRL","o35.r51.x_female_hypothalamus_inc.d17",10.2989561508767
"female","hypothalamus","bldg","PRL","o38.blu29.x_female_hypothalamus_bldg",9.95300323076161
"female","hypothalamus","inc.d17","PRL","o52.blu53_female_hypothalamus_inc.d17",10.5833247351568
"female","hypothalamus","inc.d9","PRL","o73.x_female_hypothalamus_inc.d9",10.5620646127079
"female","hypothalamus","control","PRL","r.r.x.ATLAS.R2XR_female_hypothalamus_control",10.1795067462545
"female","hypothalamus","control","PRL","r.r.x.ATLAS_female_hypothalamus_control",10.1422312014215
"female","hypothalamus","bldg","PRL","r.s056.g.o_female_hypothalamus_bldg",9.90515456909488
"female","hypothalamus","n9","PRL","r.s171.l.w_female_hypothalamus_n9",10.3650904565085
"female","hypothalamus","hatch","PRL","r183.o22_female_hypothalamus_hatch",11.1430473316091
"female","hypothalamus","inc.d3","PRL","r27.w111.blu125_female_hypothalamus_inc.d3",10.6129274030668
"female","hypothalamus","inc.d9","PRL","r30.w112.r46_female_hypothalamus_inc.d9",10.7244936686962
"female","hypothalamus","inc.d9","PRL","r36.w184.x_female_hypothalamus_inc.d9",10.4549374127483
"female","hypothalamus","inc.d17","PRL","r49.w189.x_female_hypothalamus_inc.d17",11.0099137039546
"female","hypothalamus","control","PRL","r6.x_female_hypothalamus_control.NYNO",10.5073259949865
"female","hypothalamus","inc.d3","PRL","r73.g127.x_female_hypothalamus_inc.d3",10.1610158292791
"female","hypothalamus","bldg","PRL","r83.g45_female_hypothalamus_bldg",10.0765039378712
"female","hypothalamus","n9","PRL","r95.blu99_female_hypothalamus_n9",10.3286768500054
"female","hypothalamus","lay","PRL","s.o.pk_female_hypothalamus_lay",10.3634096012495
"female","hypothalamus","control","PRL","s.x.ATLAS_female_hypothalamus_control",10.1433002929121
"female","hypothalamus","bldg","PRL","s063.d.blk.l_female_hypothalamus_bldg",10.1803373509055
"female","hypothalamus","bldg","PRL","s092.blk.r.o_female_hypothalamus_bldg",11.237897961961
"female","hypothalamus","lay","PRL","s095.g.blk.o_female_hypothalamus_lay",11.0658195423582
"female","hypothalamus","lay","PRL","s136.d.w.o_female_hypothalamus_lay",10.3990974395886
"female","hypothalamus","lay","PRL","s142.o.pk.pu_female_hypothalamus_lay",10.3777468624842
"female","hypothalamus","lay","PRL","s176.blk.pu.r_female_hypothalamus_lay",10.5053740043369
"female","hypothalamus","control","PRL","w191.r1_female_hypothalamus_control",16.0796263202109
"female","hypothalamus","inc.d9","PRL","x.blu101.w43_female_hypothalamus_inc.d9",10.3657168795579
"female","hypothalamus","inc.d3","PRL","x.blu102.w105_female_hypothalamus_inc.d3",10.6148475181561
"female","hypothalamus","n5","PRL","x.blu109.w121_female_hypothalamus_n5",10.2704568794968
"female","hypothalamus","inc.d17","PRL","x.blu116.w107_female_hypothalamus_inc.d17",10.8035391888964
"female","hypothalamus","inc.d9","PRL","x.blu122.r66_female_hypothalamus_inc.d9",10.3671212736776
"female","hypothalamus","n9","PRL","x.blu43.g132_female_hypothalamus_n9",10.4036994492211
"female","hypothalamus","lay","PRL","x.blu6.y80_female_hypothalamus_lay",10.3277637818746
"female","hypothalamus","n5","PRL","x.g37_female_hypothalamus_n5",10.1422609285768
"female","hypothalamus","n9","PRL","x.g4.w50_female_hypothalamus_n9",10.4677177911813
"female","hypothalamus","n5","PRL","x.g43_female_hypothalamus_n5",10.8597729675058
"female","hypothalamus","n5","PRL","x.g49_female_hypothalamus_n5",10.730257114094
"female","hypothalamus","inc.d9","PRL","x.g9.o166_female_hypothalamus_inc.d9",10.4263464204226
"female","hypothalamus","inc.d17","PRL","x.o159.w90_female_hypothalamus_inc.d17",10.5160326869566
"female","hypothalamus","n5","PRL","x.o175.g21_female_hypothalamus_n5",11.6826991183587
"female","hypothalamus","hatch","PRL","x.o37.blu50_female_hypothalamus_hatch.NYNO",10.9550068555767
"female","hypothalamus","n5","PRL","x.o70_female_hypothalamus_n5.NYNO",10.5979831293436
"female","hypothalamus","inc.d3","PRL","x.r33.w183_female_hypothalamus_inc.d3",10.019396425197
"female","hypothalamus","bldg","PRL","x.r39.g10_female_hypothalamus_bldg",10.6009333901941
"female","hypothalamus","hatch","PRL","x.r44.w95_female_hypothalamus_hatch",10.0484795463373
"female","hypothalamus","inc.d17","PRL","x.r48.y139_female_hypothalamus_inc.d17",10.4387405145089
"female","hypothalamus","n5","PRL","x.r50.w97_female_hypothalamus_n5",10.3208016742002
"female","hypothalamus","n9","PRL","x.w178_female_hypothalamus_n9",10.1506843581682
"female","hypothalamus","lay","PRL","x.w51_female_hypothalamus_lay",10.7105161486386
"female","hypothalamus","n9","PRL","x.w6_female_hypothalamus_n9",10.6809013624717
"female","hypothalamus","inc.d9","PRL","x.y109_female_hypothalamus_inc.d9",10.7234049234221
"female","hypothalamus","n9","PRL","x.y138.w176_female_hypothalamus_n9",10.3173394411629
"female","hypothalamus","hatch","PRL","x.y90_female_hypothalamus_hatch",10.0294146976069
"female","hypothalamus","inc.d9","PRL","x.y93.g126_female_hypothalamus_inc.d9",10.4838190703671
"female","hypothalamus","n9","PRL","x.y9_female_hypothalamus_n9",10.8529734352646
"female","hypothalamus","lay","PRL","y.s156.o.r_female_hypothalamus_lay",10.283563750088
"female","hypothalamus","inc.d17","PRL","y126.w92.x_female_hypothalamus_inc.d17",10.8413934713405
"female","hypothalamus","inc.d3","PRL","y13.x_female_hypothalamus_inc.d3",10.4791220160016
"female","hypothalamus","inc.d17","PRL","y130.o170.x_female_hypothalamus_inc.d17",10.9036098424869
"female","hypothalamus","inc.d17","PRL","y135.blu107.x_female_hypothalamus_inc.d17",10.145733550447
"female","hypothalamus","inc.d17","PRL","y136.x_female_hypothalamus_inc.d17",10.5624854990016
"female","hypothalamus","inc.d9","PRL","y140.w119.x_female_hypothalamus_inc.d9",10.7646169930756
"female","hypothalamus","hatch","PRL","y15.x_female_hypothalamus_hatch",10.5281383644654
"female","hypothalamus","n5","PRL","y6.o54_female_hypothalamus_n5",10.3838693125662
"female","hypothalamus","hatch","PRL","y7.g58_female_hypothalamus_hatch",10.5371216602758
"female","hypothalamus","n5","PRL","y94.g133.x_female_hypothalamus_n5.NYNO",11.1697543153491
"female","hypothalamus","n9","PRL","y97.x_female_hypothalamus_n9",10.2808979522081
"female","pituitary","control","PRL","L.G118_female_pituitary_control.NYNO",17.8828576631502
"female","pituitary","control","PRL","R.G106_female_pituitary_control",16.9790018536956
"female","pituitary","control","PRL","R.R20_female_pituitary_control",18.5871209213237
"female","pituitary","control","PRL","R.R9_female_pituitary_control.NYNO",16.8225084966783
"female","pituitary","control","PRL","R.W44_female_pituitary_control.NYNO",18.6443262955216
"female","pituitary","inc.d9","PRL","blk.s061.pu.y_female_pituitary_inc.d9",17.565865566041
"female","pituitary","bldg","PRL","blk11.x_female_pituitary_bldg",17.6302721494152
"female","pituitary","hatch","PRL","blk21.x_female_pituitary_hatch",20.4469260825072
"female","pituitary","n9","PRL","blk4.x_female_pituitary_n9",19.247349422299
"female","pituitary","control","PRL","blu.o.x.ATLAS_female_pituitary_control",20.9267483628017
"female","pituitary","hatch","PRL","blu103.x_female_pituitary_hatch.NYNO",19.9862061819029
"female","pituitary","hatch","PRL","blu124.w180.x_female_pituitary_hatch",20.728132379827
"female","pituitary","n9","PRL","blu36.w16_female_pituitary_n9",18.7459315607778
"female","pituitary","bldg","PRL","blu38.g135.x_female_pituitary_bldg",16.9626053735117
"female","pituitary","inc.d3","PRL","blu39.o26.x_female_pituitary_inc.d3.NYNO",17.5505470020369
"female","pituitary","inc.d9","PRL","blu47.y96.x_female_pituitary_inc.d9",17.7683563826303
"female","pituitary","n5","PRL","blu55.g51_female_pituitary_n5",20.0215108751244
"female","pituitary","lay","PRL","g.blk.s004.pk_female_pituitary_lay",17.2400103610226
"female","pituitary","lay","PRL","g.s078.blk.o_female_pituitary_lay",16.5337910277895
"female","pituitary","bldg","PRL","g141.blu27.x_female_pituitary_bldg",16.3842271520771
"female","pituitary","inc.d17","PRL","g142.r40.x_female_pituitary_inc.d17",20.1353491877989
"female","pituitary","inc.d3","PRL","g6.w197.x_female_pituitary_inc.d3",18.0590503861533
"female","pituitary","inc.d9","PRL","g75.x_female_pituitary_inc.d9",17.3004888635862
"female","pituitary","bldg","PRL","l.s120.y.blk_female_pituitary_bldg",15.9636788640734
"female","pituitary","inc.d3","PRL","o156.w80.x_female_pituitary_inc.d3",17.6947752928313
"female","pituitary","inc.d3","PRL","o165.w122.x_female_pituitary_inc.d3.NYNO",17.4920456557359
"female","pituitary","hatch","PRL","o172.w115.x_female_pituitary_hatch.NYNO",20.9653978745625
"female","pituitary","inc.d3","PRL","o173.w179.x_female_pituitary_inc.d3",17.91663624163
"female","pituitary","inc.d17","PRL","o35.r51.x_female_pituitary_inc.d17",19.4467128809698
"female","pituitary","bldg","PRL","o38.blu29.x_female_pituitary_bldg",17.2744036698908
"female","pituitary","inc.d17","PRL","o52.blu53_female_pituitary_inc.d17",20.2266194779997
"female","pituitary","inc.d9","PRL","o73.x_female_pituitary_inc.d9",17.8824118661208
"female","pituitary","control","PRL","r.r.x.ATLAS.R2XR_female_pituitary_control",18.8232588542825
"female","pituitary","control","PRL","r.r.x.ATLAS_female_pituitary_control",19.0431018375551
"female","pituitary","bldg","PRL","r.s056.g.o_female_pituitary_bldg",17.3293134639672
"female","pituitary","n9","PRL","r.s171.l.w_female_pituitary_n9",19.2675243280022
"female","pituitary","hatch","PRL","r183.o22_female_pituitary_hatch",19.8581583644632
"female","pituitary","inc.d3","PRL","r27.w111.blu125_female_pituitary_inc.d3",17.555540823509
"female","pituitary","inc.d9","PRL","r30.w112.r46_female_pituitary_inc.d9",17.4892066738391
"female","pituitary","inc.d9","PRL","r36.w184.x_female_pituitary_inc.d9",18.2855547538204
"female","pituitary","inc.d17","PRL","r49.w189.x_female_pituitary_inc.d17",20.2822336872418
"female","pituitary","control","PRL","r6.x_female_pituitary_control",16.3905593955199
"female","pituitary","inc.d3","PRL","r73.g127.x_female_pituitary_inc.d3",17.3594622868085
"female","pituitary","bldg","PRL","r83.g45_female_pituitary_bldg",17.3402219280173
"female","pituitary","n9","PRL","r95.blu99_female_pituitary_n9",19.3033907756036
"female","pituitary","lay","PRL","s.o.pk_female_pituitary_lay",17.6193164883428
"female","pituitary","control","PRL","s.x.ATLAS_female_pituitary_control",19.2709872040045
"female","pituitary","bldg","PRL","s063.d.blk.l_female_pituitary_bldg",14.9762199288289
"female","pituitary","bldg","PRL","s092.blk.r.o_female_pituitary_bldg",16.3227155827984
"female","pituitary","lay","PRL","s095.g.blk.o_female_pituitary_lay",16.7732040480007
"female","pituitary","lay","PRL","s136.d.w.o_female_pituitary_lay",17.8555224216301
"female","pituitary","lay","PRL","s142.o.pk.pu_female_pituitary_lay",17.5142894147263
"female","pituitary","lay","PRL","s176.blk.pu.r_female_pituitary_lay",16.9174455940862
"female","pituitary","control","PRL","w191.r1_female_pituitary_control",16.4679231831628
"female","pituitary","inc.d9","PRL","x.blu101.w43_female_pituitary_inc.d9",17.8458191227486
"female","pituitary","inc.d3","PRL","x.blu102.w105_female_pituitary_inc.d3",18.4179384587336
"female","pituitary","n5","PRL","x.blu109.w121_female_pituitary_n5",19.3098116606192
"female","pituitary","inc.d17","PRL","x.blu116.w107_female_pituitary_inc.d17.NYNO",20.6580997332999
"female","pituitary","inc.d9","PRL","x.blu122.r66_female_pituitary_inc.d9",17.2463730264818
"female","pituitary","n9","PRL","x.blu43.g132_female_pituitary_n9",16.9779703687855
"female","pituitary","lay","PRL","x.blu6.y80_female_pituitary_lay",14.8080600545577
"female","pituitary","n5","PRL","x.g37_female_pituitary_n5",19.6293750244177
"female","pituitary","n9","PRL","x.g4.w50_female_pituitary_n9",17.8503571993927
"female","pituitary","n5","PRL","x.g43_female_pituitary_n5",20.1024039196271
"female","pituitary","n5","PRL","x.g49_female_pituitary_n5.NYNO",19.3306196827528
"female","pituitary","inc.d9","PRL","x.g9.o166_female_pituitary_inc.d9.NYNO",18.6872351453851
"female","pituitary","inc.d17","PRL","x.o159.w90_female_pituitary_inc.d17",20.3078004165106
"female","pituitary","n5","PRL","x.o175.g21_female_pituitary_n5",18.521667776092
"female","pituitary","hatch","PRL","x.o37.blu50_female_pituitary_hatch",20.8463954728367
"female","pituitary","n5","PRL","x.o70_female_pituitary_n5",19.4765511163945
"female","pituitary","inc.d3","PRL","x.r33.w183_female_pituitary_inc.d3",17.6809769608344
"female","pituitary","bldg","PRL","x.r39.g10_female_pituitary_bldg",16.5896068040154
"female","pituitary","hatch","PRL","x.r44.w95_female_pituitary_hatch",20.8667879172975
"female","pituitary","inc.d17","PRL","x.r48.y139_female_pituitary_inc.d17.NYNO",20.841511312397
"female","pituitary","n5","PRL","x.r50.w97_female_pituitary_n5",18.7511291046108
"female","pituitary","n9","PRL","x.w178_female_pituitary_n9",19.3865066370535
"female","pituitary","lay","PRL","x.w51_female_pituitary_lay",17.8105029684455
"female","pituitary","n9","PRL","x.w6_female_pituitary_n9",18.1551681836784
"female","pituitary","inc.d9","PRL","x.y109_female_pituitary_inc.d9",17.8419307234064
"female","pituitary","n9","PRL","x.y138.w176_female_pituitary_n9",19.2470980638949
"female","pituitary","hatch","PRL","x.y90_female_pituitary_hatch",20.5456008566862
"female","pituitary","inc.d9","PRL","x.y93.g126_female_pituitary_inc.d9",17.354407442955
"female","pituitary","n9","PRL","x.y9_female_pituitary_n9",18.8364149799127
"female","pituitary","lay","PRL","y.s156.o.r_female_pituitary_lay",17.3133633525954
"female","pituitary","inc.d17","PRL","y126.w92.x_female_pituitary_inc.d17",20.5191624159767
"female","pituitary","inc.d9","PRL","y128.g23.x_female_pituitary_inc.d9",17.1718628338307
"female","pituitary","inc.d3","PRL","y13.x_female_pituitary_inc.d3",16.411138274113
"female","pituitary","inc.d17","PRL","y130.o170.x_female_pituitary_inc.d17",20.2718368920926
"female","pituitary","inc.d17","PRL","y135.blu107.x_female_pituitary_inc.d17.NYNO",20.8926787026092
"female","pituitary","inc.d17","PRL","y136.x_female_pituitary_inc.d17",17.9789327765779
"female","pituitary","inc.d9","PRL","y140.w119.x_female_pituitary_inc.d9",17.7839945291
"female","pituitary","hatch","PRL","y15.x_female_pituitary_hatch",20.1089483808598
"female","pituitary","n5","PRL","y6.o54_female_pituitary_n5",19.6093141301575
"female","pituitary","hatch","PRL","y7.g58_female_pituitary_hatch",20.5989701608278
"female","pituitary","n5","PRL","y94.g133.x_female_pituitary_n5",20.0386439469864
"female","pituitary","n9","PRL","y97.x_female_pituitary_n9",18.7785024490861
"male","gonad","control","PRL","L.Blu13_male_gonad_control.NYNO",11.9736343491707
"male","gonad","control","PRL","L.G107_male_gonad_control",9.36470460922641
"male","gonad","control","PRL","L.R3_male_gonad_control.NYNO",12.0639819656773
"male","gonad","control","PRL","L.R8_male_gonad_control",9.5791522737173
"male","gonad","control","PRL","L.W33_male_gonad_control",9.66498589568368
"male","gonad","control","PRL","L.W3_male_gonad_control.NYNO",10.8209674174512
"male","gonad","control","PRL","L.W4_male_gonad_control.NYNO",11.5329159042327
"male","gonad","control","PRL","R.Y108.W29_male_gonad_control",9.57525404000455
"male","gonad","n5","PRL","blk12.x_male_gonad_n5",9.44003108779497
"male","gonad","inc.d17","PRL","blk17.x_male_gonad_inc.d17",9.6923012963589
"male","gonad","hatch","PRL","blu104.w120.x_male_gonad_hatch",9.76080159740844
"male","gonad","inc.d9","PRL","blu108.w40.o158_male_gonad_inc.d9",9.3850712141083
"male","gonad","inc.d3","PRL","blu111.w113.x_male_gonad_inc.d3",9.53141360592079
"male","gonad","inc.d17","PRL","blu113.w124.x_male_gonad_inc.d17",9.81256692657366
"male","gonad","bldg","PRL","blu114.r38.w198_male_gonad_bldg",9.42566320945318
"male","gonad","inc.d17","PRL","blu121.w91.x_male_gonad_inc.d17",9.57401550027477
"male","gonad","bldg","PRL","blu33.y88.x_male_gonad_bldg",9.81302416952147
"male","gonad","n5","PRL","blu37.r65.x_male_gonad_n5",10.4129467899037
"male","gonad","n5","PRL","blu41.y100.x_male_gonad_n5",9.45459613608892
"male","gonad","n9","PRL","blu81.r88_male_gonad_n9",10.6491292135136
"male","gonad","n5","PRL","d.s008.y.blk_male_gonad_n5",9.83510643544757
"male","gonad","n5","PRL","d.s047.blk.o_male_gonad_n5",9.96082394361446
"male","gonad","n9","PRL","g.s.blk.d_male_gonad_n9",10.843101739526
"male","gonad","lay","PRL","g.s.blk.y_male_gonad_lay",10.2350457090641
"male","gonad","lay","PRL","g.s043.pu.blk_male_gonad_lay",9.92756545316903
"male","gonad","bldg","PRL","g104.w82.x_male_gonad_bldg",9.50449454297161
"male","gonad","hatch","PRL","g114.w83.x_male_gonad_hatch.NYNO",10.008533564952
"male","gonad","inc.d17","PRL","g130.y81.x_male_gonad_inc.d17",10.1636655041601
"male","gonad","inc.d17","PRL","g143.blu32.x_male_gonad_inc.d17",9.49213130375838
"male","gonad","inc.d3","PRL","g146.blu51_male_gonad_inc.d3",9.97946075621429
