"","study","treatment","sex","bird_id","hormone","plasma_conc"
"51","characterization","hatch","male","x.o160.w102","prolactin",65.243904
"52","characterization","hatch","female","x.o37.blu50","prolactin",58.678496
"53","characterization","hatch","male","x.g70","prolactin",90.944
"54","characterization","hatch","female","r183.o72","prolactin",80.77456
"55","characterization","n9","female","y97.x","prolactin",44.811776
"56","characterization","n9","male","x.o2","prolactin",10.36096
"57","characterization","hatch","female","blk21.x","prolactin",86.72352
"58","characterization","hatch","male","x.r178","prolactin",74.314656
"59","characterization","n9","female","r95.blu99","prolactin",16.23936
"60","characterization","n9","male","blu81.r88","prolactin",42.55328
"61","characterization","n9","female","x.w6","prolactin",19.978016
"62","characterization","n9","male","blk.d.g.s","prolactin",39.976
"63","characterization","n9","female","x.y9","prolactin",55.27808
"64","characterization","n9","male","R195.X","prolactin",43.243328
"65","characterization","lay","male","g.s.blk.y","prolactin",11.742112
"66","characterization","lay","female","G.S.Blk.O","prolactin",8.020768
"67","characterization","lay","male","pk.s.blk.w","prolactin",7.66912
"68","characterization","lay","female","g.blk.s.pk","prolactin",5.466592
"69","characterization","lay","male","pk.w.s.o","prolactin",16.298784
"70","characterization","lay","female","s.o.pk.pu","prolactin",6.87648
"71","characterization","lay","female","s.blk.pu.r","prolactin",6.078336
"72","characterization","lay","male","r.s.blk.pu","prolactin",15.193696
"73","characterization","lay","female","s.o.pk","prolactin",4.42272
"74","characterization","lay","male","o.s.w.r","prolactin",31.757472
"75","characterization","lay","female","x.w51","prolactin",5.849024
"76","characterization","lay","male","s.blk.pk.r","prolactin",4.196544
"77","characterization","lay","male","r.s.pk.blk","prolactin",26.94272
"78","characterization","lay","female","s.g.blk.o","prolactin",7.455616
"79","characterization","lay","female","s.d.w.o","prolactin",28.275584
"80","characterization","lay","male","g.s.pu.blk","prolactin",11.070784
"81","characterization","lay","male","s.w.g.blk","prolactin",3.160896
"82","characterization","lay","female","y.s.o.r","prolactin",10.178816
"83","characterization","n9","female","r.s.l.w","prolactin",63.695584
"84","characterization","n9","male","s.l.o.r","prolactin",39.593792
"85","characterization","hatch","male","g114.w83.x","cort",3.33161482854323
"86","characterization","hatch","female","blu103.x","cort",1.38850068095066
"87","characterization","inc.d9","male","x.blu106.o153","cort",4.91378452355791
"88","characterization","inc.d9","male","x.blu106.o153","cort",1.13976130463481
"89","characterization","inc.d9","female","x.g9.o166","cort",6.16817105337211
"90","characterization","inc.d9","female","x.g9.o166","cort",2.00001812148528
"91","characterization","hatch","male","blu104.w120.x","cort",2.14719494667365
"92","characterization","hatch","female","o172.w115.x","cort",1.42220372887252
"93","characterization","inc.d9","female","r36.w184.x","cort",3.96607949974656
"94","characterization","inc.d9","female","r36.w184.x","cort",1.74485267380159
"95","characterization","inc.d9","male","x.y127.w93","cort",0.77519738252172
"96","characterization","inc.d9","male","x.y141.w116","cort",2.77641781745684
"97","characterization","inc.d9","male","x.w192.o157","cort",4.44026044207787
"98","characterization","inc.d9","male","x.w192.o157","cort",1.88527788515082
"99","characterization","inc.d9","female","g75.x","cort",1.07951260857172
"100","characterization","inc.d9","female","g75.x","cort",2.69969245229206
"101","characterization","inc.d9","female","y140.w119.x","cort",4.98462079203036
"102","characterization","inc.d9","female","y140.w119.x","cort",1.42471821621362
"103","characterization","inc.d9","male","x.o47.y82","cort",2.31578794151924
"104","characterization","inc.d9","male","x.o47.y82","cort",1.0440314623262
"105","characterization","n9","female","x.y138.w176","cort",0.824423377067004
"106","characterization","n9","male","y131.w185.x","cort",1.61643957601509
"107","characterization","inc.d9","male","x.g13.w109","cort",0.826477167699476
"108","characterization","inc.d9","female","r30.w112.r46","cort",1.92272013670515
"109","characterization","hatch","female","x.44.w95","cort",2.57555676420332
"110","characterization","hatch","male","r41.w99.x","cort",5.07721272989643
"111","characterization","lay","male","r190.o43.x","cort",0.77481543299632
"112","characterization","lay","female","x.blu6.y80","cort",1.66879674240749
"113","characterization","hatch","female","x.y90","cort",1.91935734233837
"114","characterization","inc.d9","female","x.y93.g126","cort",1.00169588382817
"115","characterization","inc.d9","male","r45.x","cort",0.830503989357405
"116","characterization","hatch","male","r72.y83.x","cort",2.99326323774053
"117","characterization","n9","female","w178.x","cort",1.64887247686299
"118","characterization","n9","male","r.y.s.blk","cort",2.14886878063914
"119","characterization","hatch","female","blu124.w180.x","cort",4.33358177672554
"120","characterization","hatch","male","o39.y77.x","cort",1.9524395999203
"121","characterization","inc.d9","female","blu47.y96.x","cort",5.14450846233021
"122","characterization","inc.d9","female","blu47.y96.x","cort",1.69814112873088
"123","characterization","inc.d9","female","x.y109","cort",1.67791823157431
"124","characterization","inc.d9","female","x.y109","cort",1.1158148560517
"125","characterization","inc.d9","male","w34.x","cort",1.80797194096521
"126","characterization","inc.d9","female","blk.s.pu.y .061.","cort",2.36691307094232
"127","characterization","inc.d9","female","blk.s.pu.y .061.","cort",1.01087827036415
"128","characterization","inc.d9","male","o49.x","cort",1.71428660631883
"129","characterization","inc.d9","male","o57.g59","cort",1.04586327487809
"130","characterization","inc.d9","female","o73.x","cort",6.76618436101236
"131","characterization","inc.d9","female","o73.x","cort",2.75638208823737
"132","characterization","inc.d9","male","y95.g131.x","cort",1.9394303566498
"133","characterization","inc.d9","male","y95.g131.x","cort",0.92407504471906
"134","characterization","n9","female","x.g4.w50","cort",1.34200932249829
"135","characterization","n9","male","y129.x","cort",1.36316723183788
"136","characterization","n9","female","blu36.w16","cort",0.986555589735562
"137","characterization","n9","male","x.blu23.w14","cort",0.824835609062584
"138","characterization","inc.d9","male","g19.w136.x","cort",1.67404673669832
"139","characterization","inc.d9","female","x.blu101.w43","cort",2.80712555305494
"140","characterization","inc.d9","female","x.blu101.w43","cort",0.918064064527241
"141","characterization","hatch","male","o44.blu26.x","cort",0.955508340528323
"142","characterization","n9","female","blk4.x","cort",0.518463745207687
"143","characterization","n9","female","x.blk16","cort",1.19486333806663
"144","characterization","hatch","female","y15.x","cort",3.42966126212521
"145","characterization","hatch","male","g53.y84","cort",0.903480987492575
"146","characterization","hatch","male","x.o160.w102","cort",1.12317462926948
"147","characterization","hatch","female","x.o37.blu50","cort",1.69328670822243
"148","characterization","hatch","male","x.g70","cort",0.85864177596624
"149","characterization","hatch","female","r183.o72 or r183.o22","cort",3.08791966045898
"150","characterization","n9","female","y97.x","cort",0.963176960098999
"151","characterization","n9","male","x.o2","cort",4.58109971323024
"152","characterization","hatch","female","blk21.x","cort",3.24633618297687
"153","characterization","hatch","male","x.r178","cort",1.54246303475763
"154","characterization","n9","female","r95.blu99","cort",2.25852327250825
"155","characterization","n9","male","blu81.r88","cort",0.993417748128327
"156","characterization","n9","male","blk.d.g.s","cort",1.30553926308056
"157","characterization","n9","female","x.y9","cort",2.63290844858737
"158","characterization","lay","male","g.s.blk.y","cort",3.81187465009187
"159","characterization","lay","female","g.s.blk.o .078.","cort",1.91401396009517
"160","characterization","lay","male","238","cort",1.10142271196666
"161","characterization","lay","female","g.blk.s.pk","cort",0.58400473965764
"162","characterization","lay","male","pk.w.s.o","cort",1.27181264026323
"163","characterization","lay","male","pk.w.s.o .141.","cort",4.66766407990489
"164","characterization","lay","female","s.o.pk.pu .142.","cort",0.927547609461734
"165","characterization","lay","female","176","cort",0.715565090246826
"166","characterization","lay","female","s.blk.pu.pk .175.","cort",3.06485470764514
"167","characterization","lay","male","116","cort",1.55986334066048
"168","characterization","lay","female","173","cort",0.548527175070104
"169","characterization","lay","male","o.s.w.r .170.","cort",1.46894507082355
"170","characterization","lay","female","x.w51","cort",1.31463039946205
"171","characterization","lay","male","243","cort",1.80311398254909
"172","characterization","lay","male","r.s.pk.blk","cort",3.05652860419087
"173","characterization","lay","female","95","cort",2.5140941715307
"174","characterization","lay","female","136","cort",0.864623526048986
"175","characterization","lay","male","g.s.pu.blk","cort",1.77975671698844
"176","characterization","lay","male","s.w.g.blk .150.","cort",6.21456014707514
"177","characterization","lay","female","y.s.o.r .156.","cort",1.98146609266898
"178","characterization","n9","female","171","cort",1.32206718190917
"179","characterization","n9","male","187","cort",1.87381042687284
