"","gene","bldg_hatch","bldg_inc.d17","control_bldg","control_early","control_extend","control_hatch","control_inc.d17","control_inc.d3","control_inc.d9","control_lay","control_m.inc.d17","control_m.inc.d3","control_m.inc.d9","control_m.n2","control_n5","control_n9","control_prolong","hatch_early","inc.d17_early","inc.d9_inc.d17","inc.d17_hatch","inc.d3_inc.d9","bldg_early","hatch_m.n2","bldg_extend","hatch_n5","bldg_lay","bldg_n5","inc.d17_m.inc.d17","inc.d17_prolong","prolong_early","bldg_inc.d3","bldg_inc.d9","bldg_m.inc.d3","bldg_prolong","inc.d17_extend","lay_inc.d3","bldg_m.inc.d17","bldg_m.n2","inc.d9_prolong","prolong_extend","early_extend","hatch_extend","hatch_prolong","inc.d9_early","n5_early","n5_prolong","inc.d9_extend","inc.d3_m.inc.d3","bldg_m.inc.d9","bldg_n9"
"11","FSHB",NA,NA,"FG(-); FH(-)","FH(-); MP(-)","FH(-)","FH(-); MG(-)","FH(-); FP(+)","FH(-)","FH(-); MP(-)","FH(-); MP(-)","FH(-)","FH(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MP(-)","FH(-)","FH(-)",NA,"MH(-)",NA,NA,NA,NA,"FH(-); FP(-)",NA,NA,NA,NA,"FP(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","FSHR",NA,"FG(+)","FG(-)","FG(-); FH(+)","FH(+)","FG(-)",NA,"FG(-)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-)","FG(-); FH(+)",NA,NA,NA,NA,NA,NA,NA,"FG(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FG(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","GABRQ",NA,NA,"FH(+)","FH(+); MP(+)","FH(+)","FH(+)","FH(+); FP(-)","FH(+)","FH(+)","FH(+)","FH(+)","FH(+)","FH(+); MP(+)","FH(+)","FH(+)","FH(+)","FH(+)","MH(+); MP(+)","MH(+); MP(+)",NA,NA,NA,"MP(+)","FH(+)","FH(+)",NA,NA,NA,"FH(+)","FH(+)","MG(-); MP(+)",NA,NA,"FH(+)","FH(+); MG(+)",NA,NA,"FH(+)","FH(+)","MG(+)","MG(-)","MP(-)","FH(+)","FH(+); MG(+)","MP(+)","MP(+)",NA,NA,NA,NA,NA
"14","GAL","FP(-)",NA,"FG(-); FH(-)","FH(-); FP(-)","FG(-); FH(-); MP(-)","FH(-); FP(-); MP(-)","FH(-); MP(-)","FG(-); FH(-); MP(-)","FG(-); FH(-); MP(-)","FG(-); FH(-); FP(-)","FG(-); FH(-); MP(-)","FG(-); FH(-); MP(-)","FH(-)","FG(-); FH(-)","FG(-); FH(-); MP(-)","FG(-); FH(-); MP(-)","FG(-); FH(-); MG(+)","MP(+)","MP(+)",NA,NA,NA,NA,NA,NA,NA,"FP(-)",NA,NA,NA,NA,NA,NA,NA,"MG(+)",NA,NA,NA,NA,"MG(+)","MG(-)","MP(-)",NA,NA,NA,"MP(+)","MG(+)",NA,NA,NA,NA
"15","GALR1",NA,NA,NA,"FH(+)","FH(+); MG(+)","MG(+)",NA,NA,"FH(+)","FH(+)","MG(+)","FH(+)",NA,"FH(+); MG(+)","FH(+); MP(+)",NA,"FH(+); MG(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","GNRH1",NA,NA,"FP(-)","FP(-)","FP(-)","FH(-); FP(-)","FP(-)","FP(-)","FP(-)","FP(-)","FP(-)","FP(-); MP(-)","FP(-)","FP(-)","FP(-); MP(-)","FP(-)","FP(-)","FH(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","GNRHR","FP(-)","FP(-)","FH(-)","FP(-)","FH(-); FP(-)","FP(-)","FH(-); FP(-)","FP(-)","FP(-)","FP(-)","FP(-)","FP(-)",NA,"FP(-)","FH(-); FP(-)",NA,"FP(-)",NA,NA,NA,NA,NA,NA,NA,"FP(-)",NA,"FP(-)","FP(-)",NA,NA,NA,NA,NA,NA,"FP(-)","FP(-)",NA,NA,NA,"MG(+)",NA,"FP(-)",NA,NA,NA,NA,NA,"FP(-)",NA,NA,NA
"18","JAK2",NA,NA,"FG(-)","FH(+)","FH(+)",NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)","MG(-)","MG(-)",NA,NA,NA,NA,NA,NA,NA,"FP(+)",NA,NA,NA,NA,"FP(+)",NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)","FP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","LHCGR",NA,NA,NA,"FP(-); MP(+)","FP(-)","FP(-)","FP(-)","FP(-)",NA,NA,NA,"FH(-)","MP(+)",NA,NA,NA,NA,"MH(-)","MH(-); MP(+)",NA,NA,NA,"MP(+)","FH(-)",NA,NA,NA,NA,"FH(-)","FH(-)","MP(+)",NA,NA,"FH(-)","FH(-)","MH(-)",NA,"FH(-)","FH(-)",NA,NA,NA,"FH(-); MH(-)","FH(-)",NA,NA,NA,NA,NA,NA,NA
"20","MC4R",NA,"FP(-)",NA,"FP(-); MP(+)",NA,"FH(-)","FP(-)",NA,"FP(-)",NA,"FH(-); FP(-)",NA,NA,NA,NA,NA,"FH(-)","MP(+)","MP(+)",NA,NA,NA,"MP(+)",NA,NA,NA,NA,NA,NA,NA,"MP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MP(-)",NA,NA,"MP(+)","MP(+)",NA,NA,NA,NA,NA
