"gene","lfc","padj","logpadj","direction"
"SEBOX",2.89493505852395,0.0345772429018923,1.46120963917752,"n9"
"VTN",2.33986773002085,0.0205269263037473,1.68767607689631,"n9"
"RASA4",2.25039578238956,0.0205269263037473,1.68767607689631,"n9"
"CITED4",1.99017430331127,0.0120796472821525,1.91794574664628,"n9"
"LOC424214",1.47322618938555,0.038127284362346,1.41876412649785,"n9"
"SARM1",1.46184049387748,0.0815029995676473,1.08882640755812,"n9"
"GREB1",1.24096810232613,0.0815029995676473,1.08882640755812,"n9"
"CARD10",1.21405833680394,0.0556985783457319,1.25415588964644,"n9"
"NSMF",0.976887908138858,0.0556985783457319,1.25415588964644,"n9"
"TRIM65",0.946839697345014,0.038127284362346,1.41876412649785,"n9"
"AREG",0.782985840761262,0.0815029995676473,1.08882640755812,"n9"
"DDX10",0.763027410449718,0.0556985783457319,1.25415588964644,"n9"
"INSIG1",0.658787999143092,0.0815029995676473,1.08882640755812,"n9"
"LOC421975",0.636044418885591,0.038127284362346,1.41876412649785,"n9"
"SPTY2D1",0.521736616928338,0.0205269263037473,1.68767607689631,"n9"
"MTUS1",0.455074957882978,0.0815029995676473,1.08882640755812,"n9"
"RACGAP1",-1.48137983119253,0.0815029995676473,1.08882640755812,"n5"
"FAP",-1.57190544944497,0.0556985783457319,1.25415588964644,"n5"
"ANGPTL4",-1.63735911068017,0.038127284362346,1.41876412649785,"n5"
"RRM2",-1.87080457101933,0.0556985783457319,1.25415588964644,"n5"
"KPNA2",-1.94680577348255,0.0556985783457319,1.25415588964644,"n5"
"LOC101750367",-2.71643782701111,0.0306665194486113,1.51333551224832,"n5"
"WHSC1L1",-19.1803073681576,7.98951699106063e-05,4.09747947531151,"n5"
