"net$unmergedColors","entrezid","row.names","Name","geneid"
"yellow","XP_420263.2",422282,"FAM46D",422282
"yellow","XP_004945264.1",101751551,"FAM83G",101751551
"yellow","NP_001034350.2",415935,"FANCD2",415935
"yellow","NP_001108323.1",415491,"FANCI",415491
"yellow","XP_003641694.2",100857480,"FEV",100857480
"yellow","XP_015153562.1",425587,"FEZ1",425587
"yellow","XP_003641529.3",428963,"FFAR4",428963
"yellow","NP_990764.1",396413,"FGF2",396413
"yellow","NP_001012785.1",396313,"FGF8",396313
"yellow","XP_015137845.1",420952,"FHOD3",420952
"yellow","XP_004945669.1",416889,"FICD",416889
"yellow","NP_989714.1",378899,"FTL",378899
"yellow","NP_001289113.1",419770,"FXYD2",419770
"yellow","XP_004938986.2",419027,"GAB2",419027
"yellow","XP_001231888.1",769118,"GABARAPL1",769118
"yellow","NP_990576.1",396173,"GABRE",396173
"yellow","XP_004939481.1",100857134,"GADL1",100857134
"yellow","NP_001264360.1",424854,"GAL3ST2",424854
"yellow","XP_417833.3",419686,"GALE",419686
"yellow","XP_015136589.1",428403,"GARS",428403
"yellow","NP_990554.1",396146,"GCH1",396146
"yellow","NP_001004372.1",415803,"GCSH",415803
"yellow","XP_424573.3",426962,"GFPT2",426962
"yellow","NP_001012621.1",425297,"GINS1",425297
"yellow","NP_989913.1",395273,"GJD2",395273
"yellow","NP_001265076.1",420720,"GLB1",420720
"yellow","NP_001280244.1",415924,"GMPPB",415924
"yellow","XP_004935525.1",771582,"GNG4",771582
"yellow","XP_015130158.1",418794,"GPC6",418794
"yellow","XP_004940733.1",422244,"GPR112",422244
"yellow","XP_421695.4",423825,"GPR123",423825
"yellow","XP_015155471.1",374056,"GPX4",374056
"yellow","XP_015140019.1",428628,"GRIK2",428628
"yellow","XP_015140020.1",428628,"GRIK2",428628
"yellow","XP_015138285.1",427863,"GRIP1",427863
"yellow","XP_425408.2",427834,"GSG2",427834
"yellow","XP_015139994.1",421754,"GTF3C6",421754
"yellow","XP_004937102.1",429128,"GUCY1B4",429128
"yellow","XP_015148714.1",416097,"GXYLT2",416097
"yellow","NP_990427.2",395984,"HDLBP",395984
"yellow","XP_421626.3",423750,"HELLS",423750
"yellow","XP_414010.3",415644,"HERPUD1",415644
"yellow","XP_003642537.3",100859573,"HM13",100859573
"yellow","XP_015134007.1",422278,"HMGN5",422278
"yellow","XP_015143431.1",418059,"HMGXB4",418059
"yellow","NP_990675.1",396287,"HMOX1",396287
"yellow","XP_015147511.1",415458,"HOMER2",415458
"yellow","XP_015130260.1",428025,"HS6ST3",428025
"yellow","NP_001165845.2",427540,"HSF4",427540
"yellow","NP_989620.1",374163,"HSP90B1",374163
"yellow","NP_990822.1",396487,"HSPA5",396487
"yellow","XP_015153514.1",428251,"HYOU1",428251
"yellow","XP_004934616.1",418524,"IGSF5",418524
"yellow","XP_015149190.1",427620,"IL17B",427620
"yellow","XP_419214.4",421132,"IMPAD1",421132
"yellow","XP_015142065.1",396145,"INS",396145
"yellow","XP_015138877.1",107052848,"INSM1",107052848
"yellow","NP_001025721.1",415448,"ITGB1BP3",415448
"yellow","NP_001265655.1",426917,"JMJD8",426917
"yellow","XP_015155634.1",107055370,"JUND",107055370
"yellow","XP_015152935.1",426585,"KANSL3",426585
"yellow","XP_003640873.2",431181,"KCNB2",431181
"yellow","XP_015132697.1",101749520,"KCNJ13",101749520
"yellow","XP_004948022.1",395925,"KCNJ5",395925
"yellow","XP_419561.1",421519,"KCNK1",421519
"yellow","XP_003641103.2",428382,"KCNK9",428382
"yellow","XP_015138603.1",420325,"KCNQ3",420325
"yellow","NP_001264766.1",419029,"KCTD14",419029
"yellow","XP_004938990.1",428098,"KCTD21",428098
"yellow","NP_001013014.1",418026,"KDELR3",418026
"yellow","XP_004943765.1",101748248,"KIAA0101",101748248
"yellow","NP_001025956.1",418410,"KIAA1524",418410
"yellow","NP_001026401.1",423809,"KIF11",423809
"yellow","XP_015137220.1",420708,"KIF15",420708
"yellow","NP_001186355.1",421607,"KIF18A",421607
"yellow","NP_001026099.1",419968,"KIF18B",419968
"yellow","NP_001012801.1",416220,"KIF20A",416220
"yellow","XP_015147593.1",415567,"KIF23",415567
"yellow","XP_416994.2",418799,"KLHL1",418799
"yellow","XP_015129680.1",107050428,"KRTCAP2",107050428
"yellow","XP_001233339.2",770893,"LAPTM4B",770893
"yellow","NP_990615.1",396221,"LDHA",396221
"yellow","XP_418800.5",420701,"LIMD1",420701
"yellow","NP_001026570.1",426849,"LMAN1",426849
"yellow","XP_015155467.1",100858130,"LOC100858130",100858130
"yellow","XP_015134149.1",100858332,"LOC100858332",100858332
"yellow","XP_015155688.1",100859104,"LOC100859104",100859104
"yellow","XP_003640726.1",100859557,"LOC100859557",100859557
"yellow","XP_015130017.1",100859759,"LOC100859759",100859759
"yellow","XP_004950018.1",101749287,"LOC101749287",101749287
"yellow","XP_004939185.2",101750288,"LOC101750288",101750288
"yellow","XP_015132513.1",101750767,"LOC101750767",101750767
"yellow","XP_015149980.1",101750925,"LOC101750925",101750925
"yellow","XP_420639.5",101751638,"LOC101751638",101751638
"yellow","XP_015128884.1",101751749,"LOC101751749",101751749
"yellow","XP_015130290.1",107049088,"LOC107049088",107049088
"yellow","XP_015129920.1",107049099,"LOC107049099",107049099
"yellow","XP_015129170.1",107049885,"LOC107049885",107049885
"yellow","XP_015130544.1",107051453,"LOC107051453",107051453
"yellow","XP_015139852.1",107053040,"LOC107053040",107053040
"yellow","XP_015142180.1",107053409,"LOC107053409",107053409
"yellow","XP_015146548.1",107054001,"LOC107054001",107054001
"yellow","XP_015146738.1",107054051,"LOC107054051",107054051
"yellow","XP_015151533.1",107054798,"LOC107054798",107054798
"yellow","XP_015156325.1",107055704,"LOC107055704",107055704
"yellow","XP_015156650.1",107056124,"LOC107056124",107056124
"yellow","NP_989717.1",378902,"LOC378902",378902
"yellow","XP_015138399.1",414835,"LOC414835",414835
"yellow","XP_015150391.1",417013,"LOC417013",417013
