"sex","tissue","comparison","direction","gene","lfc","padj","logpadj"
"female","gonad","eggs_chicks","chicks","SPTSSB",1.31153143496112,0.0737961188372506,1.13196647844646
"female","gonad","eggs_chicks","chicks","CENPA",1.30227253110759,0.00292235277856092,2.53426735837625
"female","gonad","eggs_chicks","chicks","CLIC6",1.28789128608331,0.0511025952826855,1.29155704334223
"female","gonad","eggs_chicks","chicks","TLDC2",1.28046276575271,0.0575002200287933,1.24033049344762
"female","gonad","eggs_chicks","chicks","SRMS",1.27997247019148,0.00495038190622867,2.30536129533516
"female","gonad","eggs_chicks","chicks","KCNA6",1.27994247084205,0.011826576090747,1.92714096966815
"female","gonad","eggs_chicks","chicks","CALB1",1.27534843657544,0.0689356373395771,1.16155620481696
"female","gonad","eggs_chicks","chicks","LOC422150",1.2489368142645,0.0680897579024085,1.16691820998137
"female","gonad","eggs_chicks","chicks","CELSR1",1.24194150551521,0.0351816317870082,1.45368402105655
"female","gonad","eggs_chicks","chicks","LOC100859696",1.23866474863479,0.00166295727834136,2.77911890773714
"female","gonad","eggs_chicks","chicks","ENS-3",1.23399507153427,0.0973154543713092,1.01181818526899
"female","gonad","eggs_chicks","chicks","SLC27A6",1.2179073990549,0.0201774558047784,1.69513359526479
"female","gonad","eggs_chicks","chicks","SPDEF",1.21433254794625,0.0578208710613484,1.23791537004538
"female","gonad","eggs_chicks","chicks","KIAA1324L",1.19248778304799,0.00675112769760984,2.17062367725147
"female","gonad","eggs_chicks","chicks","TMEM45B",1.18785708827545,0.0901983471857238,1.04480142049239
"female","gonad","eggs_chicks","chicks","LOC771917",1.17228604154036,0.0663014677450278,1.17847685731905
"female","gonad","eggs_chicks","chicks","NCMAP",1.16562912358538,0.0097082291938982,2.01285997930443
"female","gonad","eggs_chicks","chicks","NRG2",1.1552487327857,0.00302800043151416,2.51884406728154
"female","gonad","eggs_chicks","chicks","RASAL1",1.1515744193269,0.047957248082937,1.31914574585435
"female","gonad","eggs_chicks","chicks","PRRT3",1.1499625678305,0.0776777422958644,1.10970340568884
"female","gonad","eggs_chicks","chicks","CCDC42B",1.14820581119491,0.0959408268140979,1.01799654312202
"female","gonad","eggs_chicks","chicks","SIGIRR",1.1298100032044,0.0850685648509603,1.07023089389741
"female","gonad","eggs_chicks","chicks","HS2ST1",1.12662194554865,0.00407104130195083,2.39029449154879
"female","gonad","eggs_chicks","chicks","LOC100859272",1.11105342631363,0.0737961188372506,1.13196647844646
"female","gonad","eggs_chicks","chicks","KIF18B",1.09306894693673,0.00156146482742175,2.80646779396897
"female","gonad","eggs_chicks","chicks","ZBTB7B",1.07963369446829,0.00755977232528024,2.12149128377966
"female","gonad","eggs_chicks","chicks","RAB3B",1.07070872103177,0.0097082291938982,2.01285997930443
"female","gonad","eggs_chicks","chicks","LCK",1.06280027106855,0.073351689070433,1.13458988120007
"female","gonad","eggs_chicks","chicks","FEV",1.06204805686853,0.0578094536984185,1.23800113470521
"female","gonad","eggs_chicks","chicks","PSD2",1.05906339336464,0.012599016936949,1.89966334024072
"female","gonad","eggs_chicks","chicks","LRRC48",1.05718375623842,0.0663837411585144,1.17793827589977
"female","gonad","eggs_chicks","chicks","KLHDC8A",1.04593641568562,0.00124530013091959,2.90472596624402
"female","gonad","eggs_chicks","chicks","WFIKKN1",1.0450310731531,0.0433397138686357,1.36311396024469
"female","gonad","eggs_chicks","chicks","EPPK1",1.044827977107,0.0197523838824106,1.70438048259452
"female","gonad","eggs_chicks","chicks","ASIC4",1.04247909185331,0.0237771498353998,1.62384020543404
"female","gonad","eggs_chicks","chicks","ROBO1",1.02787434972024,0.0929728256325414,1.03164396975126
"female","gonad","eggs_chicks","chicks","PLA2G12B",1.02319491789196,0.0103654563047939,1.98441157477687
"female","gonad","eggs_chicks","chicks","INCENP",1.02093803013938,3.72596368362382e-05,4.42876138241848
"female","gonad","eggs_chicks","chicks","TMEM79",1.00098023362572,0.0322511765337685,1.49145443753094
"female","gonad","eggs_chicks","chicks","ESPN",0.983561948755953,0.0694814894519682,1.15813088029636
"female","gonad","eggs_chicks","chicks","SEBOX",0.974201724559144,0.0478888739477522,1.31976537477671
"female","gonad","eggs_chicks","chicks","LOC107049603",0.967577613332475,0.0813448798946697,1.08966977774214
"female","gonad","eggs_chicks","chicks","LOC395991",0.964746495207833,0.00959211641218244,2.01808555917717
"female","gonad","eggs_chicks","chicks","HSD11B2L",0.958598122040114,0.0476237049618131,1.32217682098741
"female","gonad","eggs_chicks","chicks","KIAA1522",0.955769667529222,0.00317945313740752,2.49764757178598
"female","gonad","eggs_chicks","chicks","LOC107051352",0.955289452717833,0.0574850454970691,1.24044512057661
"female","gonad","eggs_chicks","chicks","LOC422106",0.949073326807448,0.0158738220899014,1.79931849147445
"female","gonad","eggs_chicks","chicks","EVPL",0.944120476529681,0.0651210474182645,1.18627862279462
"female","gonad","eggs_chicks","chicks","LOC100857622",0.93980892779085,0.00174968151150521,2.75704099724732
"female","gonad","eggs_chicks","chicks","MYCN",0.932566549856007,0.00982648237413616,2.00760192051022
"female","gonad","eggs_chicks","chicks","PPARGC1B",0.930165598919444,0.0124381493741541,1.90524423189447
"female","gonad","eggs_chicks","chicks","PTPRR",0.926774972508891,0.0952292727847149,1.02122953213309
"female","gonad","eggs_chicks","chicks","MST1",0.920544756644497,0.042255325957168,1.37411854380227
"female","gonad","eggs_chicks","chicks","SLCO2B1",0.911461232009172,0.00794373066390175,2.09997548923123
"female","gonad","eggs_chicks","chicks","COL18A1",0.909195939210343,0.000158939570683448,3.79876796440369
"female","gonad","eggs_chicks","chicks","MGAT4C",0.905356594514767,0.018081464211141,1.74276640388991
"female","gonad","eggs_chicks","chicks","CASP6",0.900177217659394,0.0272899328393968,1.56399753312876
"female","gonad","eggs_chicks","chicks","LGR6",0.896999300387549,0.0976453567692106,1.01034840345093
"female","gonad","eggs_chicks","chicks","COL17A1",0.891297746419748,0.0783867273122659,1.1057574672011
"female","gonad","eggs_chicks","chicks","LOC107051161",0.888144558738297,0.00983868197238495,2.00706307742839
"female","gonad","eggs_chicks","chicks","LOC101748559",0.887828478520309,0.0322773236833845,1.49110248255355
"female","gonad","eggs_chicks","chicks","LOC107050373",0.876567977407992,0.00755977232528024,2.12149128377966
"female","gonad","eggs_chicks","chicks","B4GALNT4",0.86931793000717,0.0124381493741541,1.90524423189447
"female","gonad","eggs_chicks","chicks","LOC100857299",0.868272313087239,0.0668626183275903,1.17481662052001
"female","gonad","eggs_chicks","chicks","PTGS1",0.86729720191095,0.0187257393908467,1.72756102505573
