"net$unmergedColors","entrezid","row.names","Name","geneid"
"red","XP_015154891.1",100858010,"A2ML4",100858010
"red","XP_003643058.1",427472,"AAED1",427472
"red","NP_989476.1",373945,"ABCA1",373945
"red","XP_015149705.1",416600,"ABCC6",416600
"red","XP_416742.2",418533,"ABCG1",418533
"red","NP_001026594.1",427252,"ABHD17B",427252
"red","XP_428503.3",430953,"ABRA",430953
"red","XP_424820.4",427235,"ACER2",427235
"red","XP_004938169.1",418280,"ACRBP",418280
"red","NP_990654.1",396263,"ACTN2",396263
"red","XP_004944310.2",100858277,"ADAMTS18",100858277
"red","XP_424749.4",427160,"ADAMTS6",427160
"red","XP_415661.1",417409,"ADAP2",417409
"red","XP_015148094.1",415886,"ADAT1",415886
"red","XP_015136037.1",431566,"ADGRV1",431566
"red","XP_015152996.1",100859431,"AEBP1",100859431
"red","XP_004937392.1",416364,"AGGF1",416364
"red","XP_414679.3",416364,"AGGF1",416364
"red","NP_001292036.1",427460,"AGTPBP1",427460
"red","XP_429219.3",431666,"AGXT2",431666
"red","XP_015135676.1",426534,"AK3",426534
"red","NP_001026504.1",425215,"AK6",425215
"red","NP_001264828.1",418169,"AKR1B1",418169
"red","NP_001264322.1",418107,"AKR1D1",418107
"red","XP_424422.2",426812,"ALDH7A1",426812
"red","XP_015138946.1",427871,"ALX1",427871
"red","NP_001026619.1",427429,"AMACR",427429
"red","NP_001186479.1",417810,"AMIGO2",417810
"red","NP_001006565.1",426153,"ANKRA2",426153
"red","NP_001264334.1",771419,"ANKRD22",771419
"red","XP_004949453.1",427111,"ANKRD32",427111
"red","XP_004936009.1",422693,"AP1AR",422693
"red","XP_003643003.1",427646,"AP3B1",427646
"red","XP_004949208.2",427246,"APBA1",427246
"red","NP_001006357.2",420492,"APBB1IP",420492
"red","XP_004936151.1",422781,"APBB2",422781
"red","NP_001280003.1",395173,"APTX",395173
"red","XP_015151838.1",419168,"ARHGAP40",419168
"red","NP_001182618.1",431661,"ARHGEF39",431661
"red","XP_015133053.1",769515,"ARL15",769515
"red","XP_003642960.1",771459,"ARSB",771459
"red","NP_001026586.1",427116,"ARSK",427116
"red","XP_001231362.3",768438,"ASB10",768438
"red","XP_015143246.1",423428,"ASB2",423428
"red","XP_424963.1",427390,"ATG12",427390
"red","XP_015132908.1",374159,"ATP5A1",374159
"red","NP_001239535.1",427269,"AUH",427269
"red","NP_001103908.1",771773,"AVPR1A",771773
"red","NP_001026669.1",428263,"AVPR1B",428263
"red","NP_001026650.1",427860,"AVPR2",427860
"red","NP_990533.1",396121,"B4GALT1",396121
"red","NP_990197.1",395673,"BCL2A1",395673
"red","XP_004949688.1",427394,"BDP1L",427394
"red","XP_420730.4",422777,"BEND4",422777
"red","XP_414685.1",416371,"BHMT",416371
"red","XP_425492.3",427919,"BICD1",427919
"red","XP_015135686.1",431604,"BNC2",431604
"red","NP_001026620.1",427433,"BRIX1",427433
"red","XP_423823.5",426154,"BTF3",426154
"red","XP_015133649.1",374075,"BTK",374075
"red","NP_001026607.1",427347,"BX255923.2",427347
"red","XP_015135583.1",427347,"BX255923.2",427347
"red","NP_001264598.1",415757,"C11H19ORF12",415757
"red","XP_429703.2",419791,"C11ORF34",419791
"red","XP_015130839.1",416993,"C11ORF85",416993
"red","NP_001239017.1",416827,"C15H12ORF65",416827
"red","XP_015131826.1",428770,"C4H4ORF21",428770
"red","XP_004941056.2",422485,"C4ORF33",422485
"red","XP_015142482.1",423166,"C5H11ORF74",423166
"red","NP_001138514.1",770209,"C5H11ORF96",770209
"red","XP_003643102.1",768501,"C5ORF30",768501
"red","NP_001138321.1",431585,"C6",431585
"red","XP_422502.2",424669,"C8B",424669
"red","XP_004949652.1",427370,"C9ORF72",427370
"red","XP_015136213.1",427370,"C9ORF72",427370
"red","XP_001233821.2",770483,"C9ORF85",770483
"red","XP_413756.3",415370,"CA12",415370
"red","XP_001233320.2",770004,"CA9",770004
"red","XP_424940.5",427364,"CAAP1",427364
"red","XP_015145964.1",424412,"CACNA1E",424412
"red","XP_015145970.1",424412,"CACNA1E",424412
"red","XP_015150964.1",769385,"CACNA1G",769385
