"gene","lfc","padj","logpadj","direction","tissue"
"DMA",1.78407342121656,1.0419077284093e-05,4.98217074055383,"bldg","pituitary"
"COX14",1.78344945923678,2.24767875670842e-09,8.64826575900967,"bldg","pituitary"
"LOC100859605",1.77814420221145,0.0265533770302739,1.57588023795926,"bldg","pituitary"
"SLC34A2",1.77506637819443,0.0120597481200677,1.91866176277689,"bldg","pituitary"
"ECSIT",1.7740617284286,1.05480787121586e-09,8.97682663806247,"bldg","pituitary"
"LOC107052456",1.76958979451732,0.0148214425446381,1.82910952519018,"bldg","pituitary"
"IER5",1.76782451947421,8.90385322765951e-08,7.05042200758428,"bldg","pituitary"
"SOX12",1.76642966364065,1.33010151196948e-05,4.8761152128631,"bldg","pituitary"
"LOC101750635",1.76422332066962,1.33926690013424e-11,10.8731328645827,"bldg","pituitary"
"NFIB",1.75978659686548,8.12939797362277e-07,6.08994161509652,"bldg","pituitary"
"BIN2",1.75383913745803,0.00243986857873531,2.61263356590192,"bldg","pituitary"
"LOC107050018",1.74338323370597,6.60991579923548e-07,6.17980407276252,"bldg","pituitary"
"SOX4",1.7428145697389,4.31964719146852e-09,8.36455172287386,"bldg","pituitary"
"LOC100859265",1.74214150903384,4.9784560206175e-13,12.3029053250502,"bldg","pituitary"
"CAPN2",1.74069419875629,2.02865282634949e-10,9.69279226962582,"bldg","pituitary"
"SELPLG",1.73674812983229,0.0431141863526953,1.36537980545501,"bldg","pituitary"
"BLK",1.73670032603666,0.0404649590215578,1.3929208950767,"bldg","pituitary"
"LOC107057238",1.73669184175177,0.00499227092192527,2.30170185427425,"bldg","pituitary"
"PFKM",1.73199222560213,0.0165858308833361,1.78026276719489,"bldg","pituitary"
"LOC107050461",1.73047173907308,1.16414800847314e-08,7.93399180046208,"bldg","pituitary"
"ESPL1",1.73020256962939,1.59630772158079e-07,6.79688338560274,"bldg","pituitary"
"SYPL2",1.72774578613992,1.01852066072167e-07,6.99203015689808,"bldg","pituitary"
"LOC415324",1.72590785963366,0.000846451581923261,3.07239787902574,"bldg","pituitary"
"LOC415324",1.72590785963366,0.000846451581923261,3.07239787902574,"bldg","pituitary"
"LOC415324",1.72590785963366,0.000846451581923261,3.07239787902574,"bldg","pituitary"
"PCOLCE",1.72456103357277,9.63276368257694e-12,11.0162490939868,"bldg","pituitary"
"LOC107050804",1.71443295891891,1.86826448097206e-08,7.72856164282965,"bldg","pituitary"
"SHANK3",1.71163949642129,0.00291666995844594,2.53511271154852,"bldg","pituitary"
"SHANK3",1.71163949642129,0.00291666995844594,2.53511271154852,"bldg","pituitary"
"LOC107056972",1.70370115934141,2.49922635860207e-05,4.60219440740304,"bldg","pituitary"
"LOC395159",1.70320759331301,0.000391413532869354,3.40736416296805,"bldg","pituitary"
"HLA-DRA",1.70074554182439,0.000116014487109743,3.93548777560952,"bldg","pituitary"
"LOC107050086",1.69657517854282,6.31880147031568e-10,9.19936528946919,"bldg","pituitary"
"THEMIS",1.69600248107612,0.0581938375493542,1.23512300263551,"bldg","pituitary"
"LOC101751192",1.68033260938133,1.70113581467689e-10,9.76926101195467,"bldg","pituitary"
"LOC107050863",1.67653954431623,1.01852066072167e-07,6.99203015689808,"bldg","pituitary"
"TCTA",1.67191439321197,0.00178709456730436,2.74785246541725,"bldg","pituitary"
"TSPAN1",1.67148451141002,0.0245062248571428,1.61072358593224,"bldg","pituitary"
"LOC100858579",1.66360641226088,0.0993893960930045,1.00265994823802,"bldg","pituitary"
"PYGO2",1.66296906078625,1.44328561979831e-14,13.8406477154569,"bldg","pituitary"
"LOC107053409",1.66037239648991,0.0724611337877973,1.13989487491186,"bldg","pituitary"
"ATRAID",1.65874472843151,4.66661010980749e-11,10.3309984824301,"bldg","pituitary"
