"gene","counts","sex","tissue","treatment","samples"
"AR",9.25061936933842,"female","pituitary","prolong","r194.x_female_pituitary_prolong"
"AR",8.32675841060384,"female","pituitary","inc.d3","r27.w111.blu125_female_pituitary_inc.d3"
"AR",9.58073021026952,"female","pituitary","inc.d9","r30.w112.r46_female_pituitary_inc.d9"
"AR",9.2645448134209,"female","pituitary","inc.d9","r36.w184.x_female_pituitary_inc.d9"
"AR",9.81117082463596,"female","pituitary","inc.d17","r49.w189.x_female_pituitary_inc.d17"
"AR",9.0120173433278,"female","pituitary","control","r6.x_female_pituitary_control"
"AR",10.3065849864811,"female","pituitary","inc.d3","r73.g127.x_female_pituitary_inc.d3"
"AR",10.5119070620244,"female","pituitary","bldg","r83.g45_female_pituitary_bldg"
"AR",9.33288966978896,"female","pituitary","n9","r95.blu99_female_pituitary_n9"
"AR",9.73632814414419,"female","pituitary","lay","s.o.pk_female_pituitary_lay"
"AR",9.53415320801076,"female","pituitary","prolong","s.pu.pk_female_pituitary_prolong"
"AR",8.21116099748874,"female","pituitary","control","s.x.ATLAS_female_pituitary_control"
"AR",10.0949748108371,"female","pituitary","early","s002.x_female_pituitary_m.inc.d8"
"AR",10.051962705324,"female","pituitary","m.inc.d17","s038.g.d.blk_female_pituitary_m.inc.d17"
"AR",9.71834015316174,"female","pituitary","bldg","s063.d.blk.l_female_pituitary_bldg"
"AR",10.1272374502403,"female","pituitary","m.inc.d3","s069.pk.pu.g_female_pituitary_m.inc.d3"
"AR",10.0110708463263,"female","pituitary","extend","s089.blk.pk.pu_female_pituitary_extend"
"AR",10.0332909132936,"female","pituitary","early","s091.blk.r.g_female_pituitary_m.inc.d8"
"AR",10.3493071602072,"female","pituitary","bldg","s092.blk.r.o_female_pituitary_bldg"
"AR",10.3010652281665,"female","pituitary","m.inc.d3","s093.blk.y.d_female_pituitary_m.inc.d3"
"AR",10.5657159467829,"female","pituitary","lay","s095.g.blk.o_female_pituitary_lay"
"AR",10.0197546515695,"female","pituitary","m.inc.d17","s100.l.pk.blk_female_pituitary_m.inc.d17"
"AR",10.3248175882947,"female","pituitary","m.inc.d3","s103.y.pk.blk_female_pituitary_m.inc.d3"
"AR",9.32478915049568,"female","pituitary","lay","s136.d.w.o_female_pituitary_lay"
"AR",9.24700929851108,"female","pituitary","extend","s137.g.blk.y_female_pituitary_extend"
"AR",9.17441163344831,"female","pituitary","lay","s142.o.pk.pu_female_pituitary_lay"
"AR",9.66107696924604,"female","pituitary","lay","s176.blk.pu.r_female_pituitary_lay"
"AR",9.84386951017813,"female","pituitary","extend","s186.l.o.pk_female_pituitary_extend"
"AR",9.91011030732699,"female","pituitary","m.n2","s333.y.blk.pk_female_pituitary_m.hatch"
