"net$unmergedColors","entrezid","row.names","Name","geneid"
"greenyellow","XP_429179.3",431627,"ACOT12",431627
"greenyellow","XP_015155566.1",100857739,"ANKLE1",100857739
"greenyellow","NP_001012927.1",423846,"ARHGAP19",423846
"greenyellow","XP_422197.5",424354,"ASPM",424354
"greenyellow","XP_015152019.1",428167,"AURKA",428167
"greenyellow","NP_001012318.1",374078,"BIRC5",374078
"greenyellow","NP_989500.1",373983,"BRCA1",373983
"greenyellow","NP_001012888.1",421226,"BUB1",421226
"greenyellow","XP_004941355.1",423007,"CASC5",423007
"greenyellow","NP_001165239.1",421019,"CBLN2",421019
"greenyellow","NP_990575.1",396172,"CCNA2",396172
"greenyellow","XP_015133686.1",396167,"CCNB3",396167
"greenyellow","NP_001006536.1",424563,"CDC20",424563
"greenyellow","XP_004945542.1",416776,"CDC45",416776
"greenyellow","XP_015155043.1",100857489,"CDC6",100857489
"greenyellow","NP_001265065.1",770517,"CDCA3",770517
"greenyellow","XP_423365.5",425630,"CDCA7",425630
"greenyellow","XP_015143549.1",396252,"CDK1",396252
"greenyellow","XP_015148155.1",426254,"CDT1",426254
"greenyellow","XP_015150422.1",100113359,"CENPA",100113359
"greenyellow","XP_015139099.1",395357,"CENPF",395357
"greenyellow","NP_989863.1",395207,"CENPI",395207
"greenyellow","XP_015132795.1",427162,"CENPK",427162
"greenyellow","NP_001038135.1",693246,"CENPN",693246
"greenyellow","XP_421675.1",423804,"CEP55",423804
"greenyellow","NP_001006274.1",418882,"CKAP2",418882
"greenyellow","NP_001106277.1",100134845,"CKS1B",100134845
"greenyellow","NP_001289047.1",768830,"CKS2",768830
"greenyellow","NP_001004392.2",419243,"COL20A1",419243
"greenyellow","XP_015146533.1",424710,"DEPDC1",424710
"greenyellow","NP_001006576.1",427152,"DEPDC1B",427152
"greenyellow","NP_001072968.1",770922,"DGUOK",770922
"greenyellow","XP_015132339.1",418824,"DIAPH3",418824
"greenyellow","XP_421446.2",423555,"DLGAP5",423555
"greenyellow","XP_015151824.1",396142,"E2F1",396142
"greenyellow","XP_416110.5",417868,"E2F7",417868
