id,studytype,treatment,num,num.treatment,sex,date,starttime,decaptime,moltbin,t,cort,p4,prl,e2,gon,gonad,molt,stage,maniptype
x-o30/g134,characterization,bldg,1,1.bldg,m,9/8/16,10:16:00,0:02:00,1,1.536617303,0.871687563,0.218628513,7.37,.,L,"big cream, colored","body, tail, primary",early,.
blu33/y88-x,characterization,bldg,1,1.bldg,m,9/27/16,11:02:45,0:02:40,1,0.290325237,1.828215302,0.294066562,6.36,.,L,large,body,early,.
s/l-d/o,characterization,bldg,1,1.bldg,m,3/6/17,10:24:00,0:02:00,1,4.795860038,2.227035346,0.287891067,12.3,.,L,large,body,early,.
blu114-r38/w78,characterization,bldg,1,1.bldg,m,9/28/16,11:09:00,0:03:00,1,0.904672467,4.291788132,0.123557331,5.56,.,L,lg,body,early,.
g52-blu58,characterization,bldg,1,1.bldg,m,9/27/16,11:14:14,0:06:11,1,0.445867085,1.427503402,1.385317817,6,.,L,lg,"body, p3",early,.
r/s-d/o,characterization,bldg,1,1.bldg,m,2/17/17,9:36:00,0:03:00,1,1.536617303,1.414840487,0.473558131,3.13,.,L,lg,"body, p9",early,.
s/l-d/r,characterization,bldg,1,1.bldg,m,2/15/17,9:00:00,0:01:41,1,3.341892426,1.115481732,0.190803005,10.42,.,L,lg,body,early,.
x-g104/w82,characterization,bldg,1,1.bldg,m,2/7/17,10:11:00,0:02:00,.,1.32876079,1.539611415,1.151277474,5.54,.,L,lg,.,early,.
x-r67/blu35,characterization,bldg,1,1.bldg,m,9/20/16,11:49:57,0:01:37,1,0.84045417,0.866436303,0.136923277,6.05,.,L,lg,body,early,.
s/pu-blk/r,characterization,bldg,1,1.bldg,m,2/9/17,10:26:00,0:03:00,1,0.345106208,117.7709097,0.473558131,3.59,.,L,"lg, put gonads in x-g70 tube by mistake","p10, body",early,.
r/s-o/d,manipulation,extend,6.75,6.75.e,f,5/19/17,10:40:00,0:01:00,1,.,2.194346135,1.376601308,46.98,0.069647402,.,.,"p10, body, tail",late,period
g17/w108-x,manipulation,extend,6.75,6.75.e,f,6/8/17,9:58:00,0:03:00,1,.,4.166797116,0.504051529,120.35,0.037505461,SF,"1-2mm yolky foll, hierarchy","p11, p4, body, secondary, tail",late,period
blk19-x,manipulation,extend,6.75,6.75.e,f,5/10/17,9:28:30,0:02:30,0,.,2.539481279,0.271742636,100.68,0.053640984,SF,"1-2mm yolky follicles, hierarchy, small oviduct",none,late,period
s/g-blk/y,manipulation,extend,6.75,6.75.e,f,5/10/17,9:51:00,0:03:00,1,.,2.329129739,0.137518889,48.44,0.134394921,SF,"2-3mm follicle, hierarchy, med oviduct",p9,late,period
x-o61,manipulation,extend,6.75,6.75.e,f,3/13/17,10:30:00,0:02:00,0,.,2.163011212,0.165297232,80.96,0.126688582,SF,2-3mm hierarchy,none,late,period
s/blk-pk/pu,manipulation,extend,6.75,6.75.e,f,5/19/17,10:14:00,0:02:00,1,.,3.211362155,0.425119496,59.99,0.044176314,SF,"3mm yolky foll,",body,late,period
g22-blu118,manipulation,extend,6.75,6.75.e,f,6/9/17,9:54:00,0:03:00,1,.,3.794711285,0.122543835,82.03,0.060455681,MF,"5mm foll, small to medium oviduct","body, p8, tail",late,period
blu44-y102,manipulation,extend,6.75,6.75.e,f,6/7/17,9:54:00,0:03:00,1,.,9.69129464,0.170609784,152.37,0.037867647,MF,6mm yolky foll,"body, p6, p5",late,period
s/l-o/pk,manipulation,extend,6.75,6.75.e,f,5/25/17,10:22:40,0:02:20,1,.,4.929286804,0.213680871,65.04,0.041911782,MF,"6mm yolky foll, hierarchy, med oviduct",body,late,period
x-y64,manipulation,extend,6.75,6.75.e,f,5/1/17,10:04:00,0:02:49,1,.,1.556400688,0.181428234,72.76,0.042635065,LF,"hierarchy, 10mm yolky foll",body,late,period
blu84-x,manipulation,extend,6.75,6.75.e,m,3/13/17,10:30:00,0:02:00,1,0.414964528,1.44947818,0.771082137,80.69,.,L,lg,"heavy body, tail, p10",late,period
g/s-pk/w,manipulation,extend,6.75,6.75.e,m,6/7/17,9:54:00,0:02:00,1,0.941115099,1.548633271,0.122913252,64.99,.,L,lg,"p8, p1, tail, secondary",late,period
g3-g119/w20,manipulation,extend,6.75,6.75.e,m,6/8/17,9:58:00,0:02:00,1,0.699580576,2.439766135,1.38859117,59.7,.,L,lg,"body, p11, p6, p7 on R, tail",late,period
g8/w32-y147,manipulation,extend,6.75,6.75.e,m,6/9/17,9:54:00,0:02:00,0,0.469064212,1.382792904,1.015730925,38.17,.,L,lg,none,late,period
l/s-o/blk,manipulation,extend,6.75,6.75.e,m,5/19/17,10:40:00,0:01:00,1,0.555197083,2.599454094,0.254247897,45.07,.,L,lg,"body, p19, secondary, tail",late,period
r/s-l/blk,manipulation,extend,6.75,6.75.e,m,5/10/17,9:28:30,0:02:30,1,1.914868809,2.741491116,0.771082137,60.72,.,L,lg,"body, tail",late,period
r/s-l/y,manipulation,extend,6.75,6.75.e,m,5/25/17,10:22:40,0:02:20,1,0.910630449,4.217974044,0.103143545,74.04,.,L,lg,"body, p2, secondary, p10 on R",late,period
x-blu69,manipulation,extend,6.75,6.75.e,m,5/10/17,9:51:00,0:03:00,1,0.955953598,1.947901571,1.502932703,35.15,.,L,lg,"body, p10, secondary",late,period
x-blu73,manipulation,extend,6.75,6.75.e,m,5/1/17,10:04:00,0:01:40,1,0.256819413,0.713103397,1.01001547,66.9,.,L,lg,body,late,period
x-r44/w95,characterization,hatch,6,6.h,f,8/15/16,9:51:00,0:02:00,1,.,2.582412477,1.361660603,92.22,0.215699355,MF,3-4mm hierarchy,left tail molt,late,.
r183-o72,characterization,hatch,6,6.h,f,2/9/17,10:38:00,0:02:00,1,.,3.090189599,0.311848932,80.77,0.188040203,MF,"3mm yolky foll, hierarchy, small oviduct",body,late,.
o172/w115-x,characterization,hatch,6,6.h,f,7/27/16,11:43:00,0:03:00,0,.,1.438779342,0.12655177,63.41,0.140386018,MF,4mm yolky follicle- hierarchy,none,late,.
blu103-x,characterization,hatch,6,6.h,f,7/22/16,10:51:00,0:04:00,1,.,1.388756175,1.454389627,42.47,0.202442577,MF,"follicle hierarchy. yolky, no albumen. 3-4mm.",molt on p8? shorter than others,late,.
x-o37/blu50,characterization,hatch,6,6.h,f,2/9/17,10:38:00,0:02:00,1,.,1.695390838,0.88454451,58.68,0.307362873,SF,hierarchy 2-3mm,body,late,.
y15-x,characterization,hatch,6,6.h,f,2/16/17,9:57:00,0:03:00,1,.,3.433226862,1.639952067,71.09,0.248203766,MF,"hierarchy, 3mm",slight body,late,.
blu124/w180-x,characterization,hatch,6,6.h,f,11/7/16,11:03:00,0:02:00,0,.,4.334516836,0.484782388,93.48,0.994276676,LF,"large follicles, hierarchy",N,late,.
blk21-x,characterization,hatch,6,6.h,f,2/22/17,9:35:00,0:03:00,.,.,3.247187942,0.262000809,86.72,0.322931078,SF,small hierarchy,.,late,.
x-Y90,characterization,hatch,6,6.h,f,10/27/16,10:44:27,0:03:58,1,.,1.924041003,1.435169886,92.91,0.14692331,SF,small hierarchy,"body, p10",late,.
blu104/w120-x,characterization,hatch,6,6.h,m,7/27/16,11:43:00,0:03:00,1,0.136721878,2.152752854,1.678750554,56.98,.,L,large,p10 molt,late,.
o44/blu26-x,characterization,hatch,6,6.h,m,2/1/17,10:17:00,0:03:00,1,0.110136219,0.957200051,0.686555208,84.44,.,L,large,body,late,.
x-r178,characterization,hatch,6,6.h,m,2/22/17,9:35:00,0:04:00,1,2.447408466,1.545899767,0.119252645,74.31,.,L,large,"body, secondary",late,.
g114/w83-x,characterization,hatch,6,6.h,m,7/22/16,10:51:00,0:04:00,1,3.211480029,3.336004385,0.119211388,29.05,.,L,large testes,molt on P8; (second feather in from outside),late,.
R72/Y83-x,characterization,hatch,6,6.h,m,10/27/16,10:44:27,0:03:58,1,0.119835774,2.994159834,0.123830213,85.15,.,L,large testes,p10,late,.
g53-y84,characterization,hatch,6,6.h,m,2/16/17,9:57:00,0:02:00,1,0.165062638,0.903546065,0.906587092,87.14,.,L,lg,slight body,late,.
x-g70,characterization,hatch,6,6.h,m,2/9/17,10:38:00,0:02:00,1,2.128348217,0.869591861,1.242816777,90.94,.,L,lg,"secondary, body",late,.
x-o160/w102,characterization,hatch,6,6.h,m,2/9/17,10:38:00,0:02:00,1,2.290113695,1.123182974,0.339220259,65.24,.,L,lg,"p6, p9, body",late,.
o39/y77-x,characterization,hatch,6,6.h,m,11/7/16,11:03:00,0:02:00,1,0.422906299,1.994435524,1.348831794,81.49,.,M,medium,"body, tail",late,.
r41/w99-x,characterization,hatch,6,6.h,m,8/15/16,9:51:00,0:02:00,1,1.225779246,5.081471812,0.300496151,77.01,.,L,very big,"body molt, P8, tail (lots)",late,.
y135/blu107-x,characterization,inc17,5,5.i17,f,8/2/16,9:48:00,0:03:00,0,.,1.615436155,0.23497029,81.04,0.15381832,SF,"2-3mm follicles, yolky, hierarchy",none,late,.
y130/o170-x,characterization,inc17,5,5.i17,f,9/22/16,10:19:30,0:03:26,.,.,4.479875259,0.551210268,98.98,0.57498105,SF,2-3mm hierarchy,.,late,.
r49/w189-x,characterization,inc17,5,5.i17,f,10/4/16,10:57:00,0:05:00,.,.,5.949296081,0.186137873,94.75,0.159154196,SF,2-3mm yolky follicles,.,late,.
