id,studytype,treatment,num,num.treatment,sex,date,starttime,decaptime,moltbin,t,cort,p4,prl,e2,gon,gonad,molt,stage,maniptype
R45-X,characterization,inc9,4,4.i9,m,10/27/16,10:35:00,0:01:00,1,0.138611515,0.830526437,1.013165431,21.29,.,M,"medium testes,",body,early,.
x-o47/y82,characterization,inc9,4,4.i9,m,10/20/16,11:16:00,0:03:30,1,0.7123166,1.044147359,0.583384496,19.91,.,L,v lg,body,early,.
x-w192/o157,characterization,inc9,4,4.i9,m,10/20/16,10:27:00,0:03:00,1,1.97263058,4.45702901,1.786325792,10.87,.,L,v lg,body,early,.
x-y141/w116,characterization,inc9,4,4.i9,m,9/14/16,9:55:00,0:05:00,.,0.413199278,2.777524024,0.147832746,15.29,.,L,very large,.,early,.
x-blu6/y80,characterization,lay,2,2.lay,f,9/28/16,11:26:00,0:02:00,1,.,1.670986755,0.326827276,14.53,0.145744027,SF,"1-2mm yolky follicles, med to lg oviduct",body,early,.
g/blk-s/pk,characterization,lay,2,2.lay,f,5/3/17,11:06:00,0:02:00,1,.,0.584968464,2.047198524,5.47,1.021406122,E,egg in oviduct,"body, tail",early,.
s/blk-pu/r,characterization,lay,2,2.lay,f,5/19/17,10:40:00,0:04:00,1,.,0.728352167,0.742585937,6.08,0.164316777,E,egg in oviduct,"body, secondary",early,.
s/g-blk/o,characterization,lay,2,2.lay,f,5/16/17,10:48:30,0:02:30,1,.,2.517484676,10.68399138,7.46,0.190706129,E,egg in oviduct,light body,early,.
s/o-pk/pu,characterization,lay,2,2.lay,f,5/2/17,11:00:00,0:02:00,0,.,0.928177942,2.070323386,6.88,0.156667283,E,egg in oviduct,none,early,.
s/d-w/o,characterization,lay,2,2.lay,f,5/24/17,10:29:00,0:02:00,1,.,0.864690709,0.505582259,28.28,0.256463499,E,egg in oviduct; huge gonads,body,early,.
x-w51,characterization,lay,2,2.lay,f,5/16/17,10:02:00,0:02:00,1,.,1.31752803,0.72622774,5.85,0.156780527,E,egg in oviduct. huge,"body, tail",early,.
G/S-Blk/O,characterization,lay,2,2.lay,f,3/8/17,10:51:00,0:04:00,1,.,1.914258265,0.466172366,8.02,0.268995777,E,"huge egg in oviduct, hierarchy in ovary. ",body,early,.
y/s-o/r,characterization,lay,2,2.lay,f,5/25/17,10:48:00,0:03:00,1,.,1.98159117,13.19406892,10.18,0.237869208,E,"huge oviduct, egg in oviduct","body, p10, secondary",early,.
s-o/pk,characterization,lay,2,2.lay,f,5/18/17,10:26:00,0:02:00,1,.,0.551469792,0.545745107,4.42,0.356682075,E,"huge, egg in oviduct","p9, p3 on R",early,.
g/s-blk/y,characterization,lay,2,2.lay,m,3/8/17,10:51:00,0:04:00,1,0.527465726,3.812690837,0.573866007,11.74,.,L,large,body,early,.
g/s-pu/blk,characterization,lay,2,2.lay,m,5/24/17,10:29:00,0:01:00,1,0.912145171,1.780053166,0.779506363,11.07,.,L,lg,body,early,.
o/s-w/r,characterization,lay,2,2.lay,m,5/18/17,10:26:00,0:02:00,1,0.354287557,1.469319534,0.306928296,31.76,.,L,lg,body,early,.
pk/w-s/o,characterization,lay,2,2.lay,m,5/2/17,11:00:00,0:03:00,1,0.229511714,1.271980868,0.194786331,16.3,.,L,lg,"body, p9, tail",early,.
r/s-blk/pu,characterization,lay,2,2.lay,m,5/19/17,10:40:00,0:04:00,1,0.094912269,1.585593212,0.599132106,15.19,.,L,lg,"body, p11",early,.
r/s-pk/blk,characterization,lay,2,2.lay,m,5/16/17,10:48:30,0:01:30,0,0.266844309,3.059702362,0.243409012,26.94,.,L,lg,none,early,.
r190/o43-x,characterization,lay,2,2.lay,m,9/28/16,11:26:00,0:02:00,1,0.659807731,0.774815984,0.599132106,24.22,.,L,lg,body,early,.
s/blk-pk/r,characterization,lay,2,2.lay,m,5/16/17,10:02:00,0:01:00,1,1.487116698,1.803830373,0.298299899,4.2,.,L,lg,"body, p5, tail, p6",early,.
s/w-g/blk,characterization,lay,2,2.lay,m,5/25/17,10:48:00,0:04:00,1,0.61912264,6.220640994,0.900885577,3.16,.,L,lg,"body, p11, secondary",early,.
pk/s-blk/w,characterization,lay,2,2.lay,m,5/3/17,11:06:00,0:02:00,1,1.446863499,1.105661701,1.495375364,7.67,.,M,small to medium,"p7, body",early,.
pk/s-blk/g,manipulation,m.hatch,6.25,6.25.mh,f,.,.,.,.,.,1.658319,0.407671452,30.85,0.165698199,.,.,.,late,rm
blk/s-g/w,manipulation,m.hatch,6.25,6.25.mh,f,4/4/17,9:54:00,0:02:00,1,.,1.249122491,0.407671452,90.75,0.036333886,.,.,"body, heavy",late,rm
y98-g54,manipulation,m.hatch,6.25,6.25.mh,f,5/10/17,10:14:40,0:02:20,1,.,1.132334438,0.164142056,14.79,0.195454672,.,.,"body, p6",late,rm
x-blu96,manipulation,m.hatch,6.25,6.25.mh,f,2/28/17,10:38:00,0:03:00,1,.,0.947499773,0.382505727,9.31,0.088333344,SF,"1-2mm yolky foll., hierarchy, small oviduct",secondary on R side,late,rm
g/s-pk/r,manipulation,m.hatch,6.25,6.25.mh,f,5/24/17,9:48:00,0:02:00,1,.,2.200299298,0.208974378,11.47,0.165698199,SF,"2-3mm yolky foll, hierarchy","body, p11",late,rm
x-r74/o29,manipulation,m.hatch,6.25,6.25.mh,f,5/25/17,9:57:00,0:03:00,1,.,1.768722643,0.096435565,21.04,0.165734459,SF,"2-3mm yolky foll, sm to med oviduct","body, p5, p4",late,rm
x-o171/w45,manipulation,m.hatch,6.25,6.25.mh,f,5/12/17,9:16:00,0:03:00,1,.,0.917225552,1.576964257,45.2,0.236276454,SF,"2-3mm yolky follicles, hierarchy","p6 on L, body",late,rm
blk0-x,manipulation,m.hatch,6.25,6.25.mh,f,2/8/17,10:05:00,0:04:00,1,.,4.619618528,0.310578118,15.26,0.172746292,MF,"4mm yolky foll, hierarchy",secondary on L side,late,rm
l/s-w/d,manipulation,m.hatch,6.25,6.25.mh,f,.,10:06:00,0:03:00,1,.,1.017495171,0.174926369,23.31,0.033387098,MF,"4mm yolky foll, hierarchy","body, tail, p9",late,rm
s/y-blk/pk,manipulation,m.hatch,6.25,6.25.mh,f,5/11/17,9:57:00,0:03:00,1,.,1.072553107,0.346845147,47.69,0.10963234,MF,"4mm yolky foll, hierarchy","slight body, p7, p6, secondary",late,rm
blu110/w26-x,manipulation,m.hatch,6.25,6.25.mh,m,5/12/17,9:16:00,0:03:00,1,5.747120767,2.366374957,0.176352344,18.35,.,L,lg,"body, p6, tail",late,rm
g/s-pk/pu,manipulation,m.hatch,6.25,6.25.mh,m,5/24/17,9:48:00,0:03:00,1,5.331283852,5.245736813,1.087480569,4.88,.,L,lg,"body, p10, body",late,rm
g34-x,manipulation,m.hatch,6.25,6.25.mh,m,5/17/17,9:37:00,0:01:00,1,6.816797097,1.103396393,1.733111112,4.75,.,L,lg,"p5, p3, secondary, body",late,rm
o3-x,manipulation,m.hatch,6.25,6.25.mh,m,2/28/17,10:38:00,0:03:00,0,0.871811519,1.365548357,1.402579211,4.26,.,L,lg,none,late,rm
s-o/r,manipulation,m.hatch,6.25,6.25.mh,m,.,10:06:00,0:03:00,1,7.068793131,0.894494304,1.282975383,17.71,.,L,lg,"p11, body",late,rm
s/blk-pk/w,manipulation,m.hatch,6.25,6.25.mh,m,4/4/17,9:54:00,0:04:00,1,0.750629843,0.601353511,1.282975383,61.94,.,L,lg,"body (light), p10",late,rm
s/d-blk/g,manipulation,m.hatch,6.25,6.25.mh,m,5/25/17,9:57:00,0:04:00,1,3.741041858,4.292515291,0.401399503,10.81,.,L,lg,body,late,rm
x-blk23,manipulation,m.hatch,6.25,6.25.mh,m,2/8/17,10:05:00,0:04:00,1,6.407067626,2.9576742,2.415320764,36.24,.,L,lg,"body, 1 tail feather",late,rm
x-blu76,manipulation,m.hatch,6.25,6.25.mh,m,5/11/17,9:57:00,0:03:00,1,5.222085373,0.887935186,1.764584176,11.67,.,L,lg,"body, p4, p3, tail",late,rm
x-o4,manipulation,m.hatch,6.25,6.25.mh,m,5/10/17,10:14:40,0:03:20,1,1.286830526,2.764680492,1.282975383,28.88,.,L,lg,"p5, p3, body",late,rm
o/s-w/blk,manipulation,m.inc17,5.5,5.5.mi17,f,3/14/17,9:25:00,0:04:00,1,.,3.339150625,0.502911756,29.66,0.141362569,SF,"1-2mm foll. hierarchy, small oviduct",light body molt,late,rm
x-y119/w11,manipulation,m.inc17,5.5,5.5.mi17,f,3/31/17,9:31:00,0:02:00,1,.,0.537475063,0.694859049,11.31,0.16777606,SF,"1-2mm yolky foll, hierarchy, small to medium oviduct","light body, p9, p6, p4, p3",late,rm
o169/r28-x,manipulation,m.inc17,5.5,5.5.mi17,f,3/28/17,9:27:00,0:03:00,1,.,1.699167786,0.295604684,58.22,0.18180929,SF,"1-2mm yolky foll, med oviduct, hierarchy","body, p4, p9, tail",late,rm
s/l-pk/blk,manipulation,m.inc17,5.5,5.5.mi17,f,5/1/17,9:54:30,0:02:30,1,.,2.173143659,1.294007003,13.28,0.123104774,SF,"2-3mm yolky foll, small to medium oviduct","body, p11 on L side, secondary",late,rm
g63-blu65,manipulation,m.inc17,5.5,5.5.mi17,f,5/5/17,9:56:00,0:02:00,1,.,0.851948628,0.262456773,12.88,0.135856306,SF,"2-3mm, yolky foll., hierarchy, medium oviduct","light body, secondary",late,rm
x-blu94,manipulation,m.inc17,5.5,5.5.mi17,f,3/14/17,9:59:00,0:04:00,1,.,0.795754917,0.672468948,25.37,0.150320822,MF,"5mm yolky foll=largest, hierarchy, medium oviduct",light body,late,rm
pk/s-o/y,manipulation,m.inc17,5.5,5.5.mi17,f,5/1/17,9:43:00,0:04:00,1,.,1.198657357,1.068885286,21.17,0.103882211,G,granulosa,body,late,rm
y85/r71-x,manipulation,m.inc17,5.5,5.5.mi17,f,2/2/17,9:43:00,0:01:00,0,.,1.814376609,0.1077252,5.84,0.118294298,SF,hierarchy 2-3mm,none,late,rm
s/g-d/blk,manipulation,m.inc17,5.5,5.5.mi17,f,4/19/17,10:34:00,0:02:00,1,.,0.928709532,1.948155986,10.54,0.110045873,SF,"hierarchy, 2-5mm","p7, 5, body",late,rm
d/s-blk/w,manipulation,m.inc17,5.5,5.5.mi17,f,4/5/17,9:45:00,0:03:00,1,.,0.936114279,0.694859049,49.71,0.140564277,MF,"hierarchy, 3mm=largest yolky foll.",p8,late,rm
g/y-blk/s,manipulation,m.inc17,5.5,5.5.mi17,f,5/2/17,10:40:00,0:02:00,0,.,0.973618573,0.101515804,31.84,0.17319057,SF,small foll,none,late,rm
y4-x,manipulation,m.inc17,5.5,5.5.mi17,m,2/2/17,9:43:00,0:02:00,0,0.720569961,0.991499187,0.136236686,76.73,.,L,large,no,late,rm
g/o-y/s,manipulation,m.inc17,5.5,5.5.mi17,m,3/14/17,9:59:00,0:04:00,1,2.858795888,1.666116156,0.279621317,15.22,.,L,lg,"med body, p10, tail",late,rm
g32-blu79,manipulation,m.inc17,5.5,5.5.mi17,m,3/14/17,9:25:00,0:03:00,1,4.281536013,1.56172466,0.930345032,8.88,.,L,lg,"light body, p10, tail",late,rm
l/s-y/g,manipulation,m.inc17,5.5,5.5.mi17,m,5/1/17,9:43:00,0:03:00,1,0.675487829,1.09860274,1.265005303,65.16,.,L,lg,"body, tail",late,rm
o59-blu64,manipulation,m.inc17,5.5,5.5.mi17,m,5/5/17,9:56:00,0:04:00,1,4.848572632,2.213374248,1.817969641,15.22,.,L,lg,"light body, p6, secondary",late,rm
s/g-blk/pu,manipulation,m.inc17,5.5,5.5.mi17,m,4/19/17,10:34:00,0:02:00,1,3.841167185,0.823939044,0.218067675,6.68,.,L,lg,"p5, tail",late,rm
x-o40/r70,manipulation,m.inc17,5.5,5.5.mi17,m,4/5/17,9:45:00,0:03:00,1,3.589225601,4.617099942,0.507409051,16.62,.,L,lg,"tail, body",late,rm
x-r10/w18,manipulation,m.inc17,5.5,5.5.mi17,m,3/31/17,9:31:00,0:03:00,1,3.971099535,1.873036805,1.7772494,7.4,.,L,lg,body,late,rm
y148/w81-g145,manipulation,m.inc17,5.5,5.5.mi17,m,3/28/17,9:27:00,0:03:00,1,2.858795888,0.843972711,0.930345032,31.81,.,L,lg,"body, P9, P10, tail",late,rm
s/g-blk/pk,manipulation,m.inc17,5.5,5.5.mi17,m,5/1/17,9:54:30,0:02:30,1,0.942708349,0.971796065,1.44120118,3.44,.,M,med,"body, p11",late,rm
s/y-pk/blk,manipulation,m.inc3,3.5,3.5.mi3,f,3/31/17,9:56:00,0:02:00,1,.,1.779591697,0.214432075,7.25,0.080170422,SF,"1-2mm yolky foll, oviduct med, hierarchy",body,early,rm
d/s-blk/r,manipulation,m.inc3,3.5,3.5.mi3,f,3/14/17,9:59:00,0:02:00,1,.,0.746724709,0.512214265,6.35,0.040659209,SF,"1-2mm yolky follicles, hierarchy, smallish oviduct, small thymus","light body, p11",early,rm
blk/s-pu/w,manipulation,m.inc3,3.5,3.5.mi3,f,2/28/17,10:27:00,0:03:00,1,.,3.229712887,0.928888253,19.36,0.040454676,SF,"2-3mm yolky foll., hierarchy.",body,early,rm
blu56-o53,manipulation,m.inc3,3.5,3.5.mi3,f,3/7/17,9:49:00,0:05:00,1,.,3.800618531,1.125227113,21.31,0.132062295,MF,"3-4mm foll. hierarchy, small oviduct",p5 on L side; very light body molt,early,rm
g144/r54-x,manipulation,m.inc3,3.5,3.5.mi3,f,4/19/17,10:24:00,0:02:00,1,.,1.575811356,0.251633507,9.19,0.034977106,MF,"hierarchy, d=3mm",body,early,rm
blk/s-y/g,manipulation,m.inc3,3.5,3.5.mi3,f,3/30/17,9:50:00,0:02:30,1,.,2.94570993,0.6562115,27.05,0.033057453,SF,"medium oviduct, 1-2mm follicles, yolky, hierarchy","body, p9 (L), tail",early,rm
s/blk-y/d,manipulation,m.inc3,3.5,3.5.mi3,f,3/8/17,10:01:00,0:03:00,1,.,1.116362683,0.602928695,16.7,0.041665885,SF,"small, no hierarchy",some body,early,rm
s/pk-pu/g,manipulation,m.inc3,3.5,3.5.mi3,f,3/1/17,9:48:00,0:03:00,1,.,2.576841295,0.269597099,9.53,0.508125108,SF,"small, no hierarchy","body, secondaries",early,rm
x-r180,manipulation,m.inc3,3.5,3.5.mi3,f,3/8/17,9:50:00,0:03:00,1,.,0.65114786,0.342123461,17.15,0.039912097,SF,"small, slight hierarchy",body,early,rm
r/s-y/blk,manipulation,m.inc3,3.5,3.5.mi3,f,3/15/17,9:44:00,0:03:00,1,.,4.198740885,1.126030983,16.86,0.093693678,SF,"very small, no hierarchy",body,early,rm
g/blk-s/r,manipulation,m.inc3,3.5,3.5.mi3,m,3/1/17,9:48:00,0:03:00,1,0.787519875,4.639099192,0.090054968,7.24,.,L,large,body,early,rm
s/pu-g/pk,manipulation,m.inc3,3.5,3.5.mi3,m,3/8/17,10:01:00,0:04:00,1,0.045603937,3.602017129,0.398545376,13.64,.,L,large,body,early,rm
o/s-r/blk,manipulation,m.inc3,3.5,3.5.mi3,m,3/15/17,9:44:00,0:06:00,1,1.78615073,13.29809308,1.261793634,4.71,.,L,lg,body,early,rm
r185-x,manipulation,m.inc3,3.5,3.5.mi3,m,2/28/17,10:27:00,0:03:00,1,0.823349036,1.283392822,0.211720021,4.94,.,L,lg,body,early,rm
s/blk-pu/pk,manipulation,m.inc3,3.5,3.5.mi3,m,3/30/17,9:50:30,0:04:30,1,0.238805468,3.06525816,0.398545376,6.3,.,L,lg,"body, p7, secondary, tail",early,rm
s/l-blk/w,manipulation,m.inc3,3.5,3.5.mi3,m,3/31/17,9:56:00,0:03:00,1,1.62431131,3.261456646,0.398545376,3.51,.,L,lg,"body, tail, p9, secondary",early,rm
x-g5/w79,manipulation,m.inc3,3.5,3.5.mi3,m,3/7/17,9:49:00,0:03:00,1,1.183576922,1.086372034,0.263153839,8.92,.,L,lg,body and wing,early,rm
blk5-x,manipulation,m.inc3,3.5,3.5.mi3,m,4/19/17,10:24:00,0:02:00,1,1.176094136,2.163570989,0.11639628,11.48,.,L,lg testes,body,early,rm
d/s-g/blk,manipulation,m.inc3,3.5,3.5.mi3,m,3/14/17,9:59:00,0:03:00,1,1.892441304,2.421059491,0.398545376,5.2,.,M,med,"light body, p11",early,rm
y18-X,manipulation,m.inc3,3.5,3.5.mi3,m,3/8/17,9:50:00,0:02:00,1,7.801162309,0.866260554,0.448153512,8.33,.,L,v large,body,early,rm
s/blk-r/g,manipulation,m.inc8,4.5,4.5.mi8,f,4/3/17,10:39:00,0:04:00,1,.,2.962079947,0.766231554,16.68,0.079887687,SF,"1-2mm foll, hierarchy, small to medium oviduct","body, p10",early,period
blu80-r97,manipulation,m.inc8,4.5,4.5.mi8,f,5/3/17,10:13:00,0:03:00,1,.,1.729950962,1.302655359,20.54,0.05176619,SF,"1-2mm yolky foll, hierarchy, small oviduct",light body,early,period
s002-x,manipulation,m.inc8,4.5,4.5.mi8,f,3/13/17,10:19:00,0:03:00,1,.,1.387526072,0.299622754,39.3,0.041423166,SF,"1-2mm yolky foll, hierarchy, small to med oviduct","heavy body, p3 on L, tail",early,period
x-s188,manipulation,m.inc8,4.5,4.5.mi8,f,5/2/17,9:52:00,0:02:00,1,.,2.391392662,0.382304335,11.67,0.03659381,SF,"1mm yolky foll, hierarchy, but v small oviduct",p4,early,period
pk/s-d/l,manipulation,m.inc8,4.5,4.5.mi8,f,3/30/17,10:10:00,0:01:00,1,.,1.329165484,0.328067229,14.67,0.036214928,MF,"hierarchy, 3mm yolky","body, p10",early,period
x-g26,manipulation,m.inc8,4.5,4.5.mi8,f,4/19/17,10:13:00,0:02:00,0,.,1.805107661,1.705127619,27.47,0.096559321,MF,"hierarchy, d=4mm",none,early,period
blk/y-l/s,manipulation,m.inc8,4.5,4.5.mi8,f,3/15/17,9:59:00,0:03:00,1,.,1.711482279,0.262415793,8,0.038245464,SF,"sm, no hierarchy","body, secondary",early,period
x-y5,manipulation,m.inc8,4.5,4.5.mi8,f,3/1/17,9:38:00,0:02:00,1,.,1.21639156,0.397641191,35.96,0.054384367,SF,"small, no hierarchy",body,early,period
s/o-l/y,manipulation,m.inc8,4.5,4.5.mi8,m,3/1/17,9:38:00,0:03:00,.,1.405108562,2.02953278,0.351823857,13.28,.,.,.,.,early,period
blu119/w84-x,manipulation,m.inc8,4.5,4.5.mi8,m,5/3/17,10:35:00,0:02:00,1,0.589747068,0.981395195,1.561558364,19.66,.,L,lg,"body, tail",early,period
g/s-o/pk,manipulation,m.inc8,4.5,4.5.mi8,m,4/3/17,10:39:00,0:04:00,1,0.527040304,3.283365162,0.761642918,15.86,.,L,lg,"heavy body, p8",early,period
g137-r24/w5,manipulation,m.inc8,4.5,4.5.mi8,m,5/3/17,10:35:00,0:01:44,1,0.660662305,1.108729921,0.273127988,8.01,.,L,lg,"body,tail",early,period
pu/blk-s/y,manipulation,m.inc8,4.5,4.5.mi8,m,5/3/17,10:13:00,0:03:00,1,0.89275421,4.287877265,1.204595565,14.7,.,L,lg,body,early,period
r/s-d/l,manipulation,m.inc8,4.5,4.5.mi8,m,3/15/17,9:59:00,0:02:00,1,0.441326622,1.631212924,0.761642918,6.76,.,L,lg,body,early,period
r4-x,manipulation,m.inc8,4.5,4.5.mi8,m,3/13/17,10:19:00,0:03:00,1,0.693780055,2.244749633,0.761642918,19.8,.,L,lg,heavy body,early,period
s/blk-d/r,manipulation,m.inc8,4.5,4.5.mi8,m,3/15/17,10:11:00,0:04:00,1,1.034345625,4.489466138,0.761642918,18.43,.,L,lg,body,early,period
y55-x,manipulation,m.inc8,4.5,4.5.mi8,m,5/2/17,9:52:00,0:02:00,1,0.704979918,2.58008247,1.334580828,6.33,.,L,lg,body,early,period
x-y51,manipulation,m.inc8,4.5,4.5.mi8,m,4/19/17,10:13:00,0:02:00,1,2.105957506,1.087819794,0.432961071,8.11,.,L,"lg testes, growth...",body,early,period
g/s-r/blk,manipulation,m.inc8,4.5,4.5.mi8,m,3/30/17,10:10:00,0:02:00,1,0.10840598,3.261388706,0.172852754,25.95,.,M,medium,"body, tail",early,period
d/r-blk/s,manipulation,m.inc9,4.75,4.75.mi9,f,6/17/17,9:40:00,0:03:00,.,.,0.919530208,0.143851264,8.7,0.071198921,SF,1-2 mm,.,early,rm
y12-x,manipulation,m.inc9,4.75,4.75.mi9,f,2/2/17,9:53:00,0:02:00,1,.,0.825702546,1.694861497,19.86,0.048126625,SF,"1-2mm yolky follicles, hierarchy",body,early,rm
o45/g128-x,manipulation,m.inc9,4.75,4.75.mi9,f,2/7/17,9:47:00,0:02:00,1,.,1.11697112,0.933174607,36.79,0.12905326,SF,"2-3mm yolky follicles, medium oviduct, hierarchy",P11,early,rm
x-blu25,manipulation,m.inc9,4.75,4.75.mi9,f,1/26/17,10:20:00,0:02:00,1,.,0.890657241,1.745027119,10.9,0.118084488,SF,hierarchy,body,early,rm
g73-x,manipulation,m.inc9,4.75,4.75.mi9,f,2/9/17,10:49:00,0:03:00,1,.,0.574358188,0.326364048,3.35,0.107689223,SF,"hierarchy, 1-2mm","p1, body",early,rm
o36/r62-x,manipulation,m.inc9,4.75,4.75.mi9,f,11/15/16,9:36:00,0:01:30,.,.,0.557771891,1.377801381,39.83,0.131527056,SF,"hierarchy, 2-3mm follicles",.,early,rm
blu63-g62,manipulation,m.inc9,4.75,4.75.mi9,f,1/26/17,10:06:00,0:02:00,1,.,1.52958352,0.512078752,8.91,0.037898531,MF,"hierarchy, d=3mm f1.",yes,early,rm
y128/g23-x,manipulation,m.inc9,4.75,4.75.mi9,f,11/8/16,10:05:00,0:03:00,1,.,0.874945502,0.111240772,29.57,0.037849647,SF,"large oviduct, 2-3 mm yolky follicles","body, p8, p9 on L side growing in",early,rm
x-blu43/g132,manipulation,m.inc9,4.75,4.75.mi9,f,11/15/16,10:18:40,0:02:01,1,.,0.511131213,1.601603796,31.37,0.258202584,MF,largest follicle 5mm,body,early,rm
x-r76,manipulation,m.inc9,4.75,4.75.mi9,f,2/10/17,10:29:00,0:02:00,0,.,1.803462297,1.421971533,14.31,0.166962734,R,R,none,early,rm
r85-g39,manipulation,m.inc9,4.75,4.75.mi9,m,2/7/17,9:47:00,0:01:00,.,4.689293656,0.943824812,0.259804815,8.45,.,.,.,.,early,rm
blu108/w40-o158,manipulation,m.inc9,4.75,4.75.mi9,m,11/8/16,10:05:00,0:02:00,1,3.670106092,0.946402888,0.365570968,11.61,.,L,large,"body, p3",early,rm
r196-x,manipulation,m.inc9,4.75,4.75.mi9,m,11/15/16,9:36:00,0:01:49,1,2.811721911,1.019625533,0.204615352,7.21,.,L,large,body,early,rm
r37/w100-x,manipulation,m.inc9,4.75,4.75.mi9,m,11/15/16,10:18:40,0:03:53,1,6.729852941,0.853196466,1.476761504,12.79,.,L,large,"body, s3, s4, ra2",early,rm
x-o117,manipulation,m.inc9,4.75,4.75.mi9,m,1/26/17,10:20:00,0:03:00,1,2.253461016,1.487306758,0.276261362,34.39,.,L,large,"body, p6",early,rm
l/s-g/blk,manipulation,m.inc9,4.75,4.75.mi9,m,6/17/17,9:40:00,0:03:00,.,5.67128071,1.058705702,0.838069768,16.47,.,L,lg,.,early,rm
o/d-s,manipulation,m.inc9,4.75,4.75.mi9,m,2/9/17,10:49:00,0:03:00,1,2.274177428,3.303128498,1.760224609,13.78,.,L,lg,"body, primary",early,rm
x-y63,manipulation,m.inc9,4.75,4.75.mi9,m,2/2/17,9:53:00,0:02:00,1,0.310071378,0.889660463,0.384668734,6.67,.,L,lg,body,early,rm
y/w-blk,manipulation,m.inc9,4.75,4.75.mi9,m,2/10/17,10:29:00,0:02:00,1,2.764239827,0.909620675,1.9766508,3.48,.,L,lg,body,early,rm
blu55-g51,characterization,n5,7,7.n5,f,2/10/17,10:16:00,0:02:00,1,.,3.297365125,1.118909143,203.69,0.221616668,SF,"1-2mm hierarchy, oviduct smallish","body, p3 on left",late,.
x-o175/g21,characterization,n5,7,7.n5,f,3/2/17,10:14:00,0:02:00,1,.,3.065155964,0.710229912,76.54,0.362882381,SF,"1-2mm yolky follicles, hierarchy, sm to med oviduct",body,late,.
x-g49,characterization,n5,7,7.n5,f,2/28/17,10:16:00,0:02:00,0,.,4.033064982,0.994602984,59.95,0.356315748,SF,"1-2mm yolky follicles, medium oviduct",none,late,.
x-r50/w97,characterization,n5,7,7.n5,f,3/3/17,9:46:00,0:04:00,0,.,0.829183769,1.472254842,50.76,0.482327193,SF,"1-5mm yolky foll., hierarchy; small to medium oviduct.",none,late,.
x-blu109/w121,characterization,n5,7,7.n5,f,10/26/16,11:02:00,0:04:00,0,.,3.834705615,1.028887821,42.67,0.050593667,SF,"2-3mm follicle, many, hierarchy of all yolky follicles",N,late,.
x-g37,characterization,n5,7,7.n5,f,2/17/17,9:47:00,0:04:00,0,.,3.574433035,1.991261948,42.89,0.158072607,MF,"3-4mm yolky foll, hierarchy, small oviduct",no,late,.
x-g43,characterization,n5,7,7.n5,f,1/30/17,10:03:00,0:05:00,0,.,1.369367746,1.118909143,62.48,0.147480224,SF,"hierarchy, 2mm",none,late,.
o162/w35-x,characterization,n5,7,7.n5,f,7/28/16,12:19:00,0:06:00,.,.,0.581257229,0.226799374,79.33,0.148595636,LF,"hierarchy, large 8mm follicles",.,late,.
y6-o54,characterization,n5,7,7.n5,f,3/1/17,10:01:00,0:04:00,.,.,2.812970077,1.394476458,16.46,0.163314291,R,regressed,.,late,.
x-o70,characterization,n5,7,7.n5,f,1/25/17,10:05:00,0:02:00,1,.,1.171444323,1.132759803,76.74,0.154736151,SF,small follicles,secondary,late,.
x-y94/g133,characterization,n5,7,7.n5,f,2/1/17,10:17:00,0:03:00,1,.,5.338635201,1.118909143,39.07,0.224593457,SF,"small, no hierarchy",secondary,late,.
D/S-Y/Blk,characterization,n5,7,7.n5,m,1/30/17,10:03:00,0:05:00,1,0.220951103,2.887716392,0.568234757,46.99,.,L,large,body,late,.
blk12-x,characterization,n5,7,7.n5,m,2/1/17,10:17:00,0:02:00,1,0.24652882,3.396335989,0.967244611,42.45,.,L,large testes,p10,late,.
o152-o120/w42,characterization,n5,7,7.n5,m,3/3/17,9:46:00,0:03:00,1,0.710021866,1.305278351,0.790393637,61.03,.,L,lg,L secondary feather,late,.
x-blu30,characterization,n5,7,7.n5,m,3/1/17,10:01:00,0:05:00,1,0.24652882,7.234880793,0.568234757,56.58,.,L,lg,body,late,.
x-o164/w123,characterization,n5,7,7.n5,m,2/28/17,10:16:00,0:03:00,1,0.297432249,3.523276819,0.487439473,68.09,.,L,lg,p4,late,.
x-o68,characterization,n5,7,7.n5,m,3/2/17,10:14:00,0:03:00,1,2.378260474,1.745314479,0.576558294,48.13,.,L,lg,"body, p3",late,.
x-r181,characterization,n5,7,7.n5,m,2/10/17,10:16:00,0:02:00,0,0.398857709,7.385439645,0.605107093,82.73,.,L,lg,none,late,.
blu41/y100-x,characterization,n5,7,7.n5,m,1/25/17,10:05:00,0:03:00,0,0.171029121,1.732483399,0.559911219,50.7,.,L,normal,n,late,.
d/s-blk/o,characterization,n5,7,7.n5,m,2/17/17,9:47:00,0:02:00,0,0.120509254,1.346790313,0.100301176,76.22,.,M,smallish,no,late,.
blu37/r65-x,characterization,n5,7,7.n5,m,10/26/16,11:02:00,0:03:00,0,0.078260312,1.977024069,0.413685621,27.69,.,L,very large,N,late,.
x-w6,characterization,n9,8,8.n9,f,3/2/17,9:41:00,0:05:00,1,.,0.488561945,0.197984156,19.98,0.54253481,LF,"10mm and 7mm yolky foll. huge oviduct, hierarchy",body,late,.
r/s-l/w,characterization,n9,8,8.n9,f,6/17/17,9:17:00,0:03:00,.,.,1.322463365,0.131183411,63.7,0.430776758,MF,4mm yolky foll,.,late,.
