"","group","gene","results","n"
"150","FP","HM13","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"151","FP","HSP90B1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"152","FP","HSPA5","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"153","FP","LMAN1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"154","FP","MANF","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"155","FP","NABP1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"156","FP","OAZ1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"157","FP","OSTC","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"158","FP","P4HB","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"159","FP","PDIA6","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"160","FP","PPIB","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"161","FP","PSMA3","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"162","FP","PSMD7","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"163","FP","RPS2","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"164","FP","RPSA","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"165","FP","SDF2L1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"166","FP","SEC13","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"167","FP","SEC61A2","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"168","FP","SLC33A1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"169","FP","SLC35B1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"170","FP","SPCS2","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"171","FP","SPCS3","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"172","FP","SSR1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"173","FP","SSR2","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"174","FP","SSR3","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"175","FP","TMED10","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"176","FP","XBP1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"177","FP","YIPF1","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"178","FP","YIPF5","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",4
"179","FP","ZCCHC14","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",4
"180","FP","AC005943.2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"181","FP","ACSBG2","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"182","FP","ACTR10","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"183","FP","AFF1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"184","FP","AFF4","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"185","FP","AGR2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"186","FP","AIMP2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"187","FP","ALDH7A1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"188","FP","ALG12","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"189","FP","ANLN","Lay2Inc3(-); Inc9toInc17(+); Hatch2N5(-)",3
"190","FP","ANTXR1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"191","FP","ARHGAP32","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"192","FP","ARHGEF18","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"193","FP","ARL1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"194","FP","ASCC3","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"195","FP","ASH1L","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"196","FP","ASTN1","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-)",3
"197","FP","ATOX1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"198","FP","ATP5C1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"199","FP","ATP5G3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"200","FP","ATP5H","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"201","FP","BCORL1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"202","FP","BPTF","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"203","FP","BZW1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"204","FP","C1H11ORF73","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"205","FP","C20H20ORF112","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"206","FP","C5H14ORF166","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"207","FP","C7ORF50","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"208","FP","CACNA1C","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"209","FP","CCDC58","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"210","FP","CCDC71","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"211","FP","CDK12","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"212","FP","CEP85L","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)",3
"213","FP","CHCHD3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"214","FP","CHERP","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"215","FP","CHKA","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"216","FP","CLAPS2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"217","FP","CNTN4","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(-)",3
"218","FP","COL5A1","Bldg2Lay(-); Inc9toInc17(-); Hatch2N5(+)",3
"219","FP","COPB2","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"220","FP","COPE","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"221","FP","COX4I1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"222","FP","CRTC1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"223","FP","CTC-487M23.8","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"224","FP","CYP20A1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"225","FP","DAGLB","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"226","FP","DCXR","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"227","FP","DISP2","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)",3
"228","FP","DOC2B","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)",3
"229","FP","DUSP4","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+)",3
"230","FP","EIF2B3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"231","FP","EIF2S2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"232","FP","EIF3D","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"233","FP","EMC3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"234","FP","EP300","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"235","FP","EPB41","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"236","FP","ERH","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
