"","group","gene","results","n"
"317","FP","PSMA1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"318","FP","PSMA2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"319","FP","PSMA6","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"320","FP","PSMB2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"321","FP","PSMB3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"322","FP","PYCR2","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"323","FP","RARS","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"324","FP","RASA4","Bldg2Lay(-); Lay2Inc3(+); N5toN9(+)",3
"325","FP","RBM25","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+)",3
"326","FP","RER1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"327","FP","RERE","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"328","FP","RFC2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"329","FP","RHOA","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"330","FP","RNF169","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"331","FP","RPL11","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"332","FP","RPL23A","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"333","FP","RPL30","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"334","FP","RPL32","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"335","FP","RPL35","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"336","FP","RPL7A","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"337","FP","RPLP2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"338","FP","RPS12","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"339","FP","RPS13","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"340","FP","RPS20","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"341","FP","RPS21","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"342","FP","RPS8","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"343","FP","RRP15","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"344","FP","SAMM50","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"345","FP","SCG3","Inc9toInc17(+); Hatch2N5(-); In17toHatch(+)",3
"346","FP","SEC11C","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"347","FP","SEC61G","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"348","FP","SELK","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"349","FP","SGK2","Bldg2Lay(-); Lay2Inc3(+); Hatch2N5(+)",3
"350","FP","SIK3","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"351","FP","SKI","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"352","FP","SLC10A4","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-)",3
"353","FP","SLC12A4","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"354","FP","SMTNL2","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)",3
"355","FP","SNRPD3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"356","FP","SNRPF","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"357","FP","SNX3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"358","FP","SOBP","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"359","FP","SPCS1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"360","FP","SPEN","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"361","FP","SRM","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"362","FP","SUFU","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"363","FP","SUMF2","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"364","FP","SURF4","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"365","FP","TAF4","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)",3
"366","FP","TANC2","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"367","FP","TBX20","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-)",3
"368","FP","TMEM208","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"369","FP","TMEM258","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"370","FP","TMPRSS13","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"371","FP","TOX","Bldg2Lay(+); Lay2Inc3(-); Hatch2N5(+)",3
"372","FP","TPI1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"373","FP","TRIAP1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"374","FP","TSPAN13","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"375","FP","TSR3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"376","FP","TTC19","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"377","FP","TUSC3","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"378","FP","UFC1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"379","FP","UFD1L","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"380","FP","UPF1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"381","FP","UQCRQ","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"382","FP","VANGL1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"383","FP","VIMP","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"384","FP","VPS35","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+)",3
"385","FP","WHSC1L1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"386","FP","WNK1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"387","FP","YBX1","Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)",3
"388","FP","ZBED1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"389","FP","ZBTB10","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"390","FP","ZC3H6","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"391","FP","ZFYVE28","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(-)",3
"392","FP","ZMIZ1","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"393","FP","ZNF652","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"394","FP","ZWILCH","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)",3
"395","FP","ZXDC","Lay2Inc3(-); Inc9toInc17(-); Hatch2N5(+)",3
"396","FP","ABCC8","Inc9toInc17(+); Hatch2N5(-)",2
"397","FP","ABCC9","Inc9toInc17(+); Hatch2N5(-)",2
"398","FP","ABCE1","Inc9toInc17(+); Hatch2N5(-)",2
"399","FP","ABCG4","Inc9toInc17(-); Hatch2N5(+)",2
"400","FP","AC024592.12","Lay2Inc3(+); Hatch2N5(-)",2
"401","FP","ACACA","Inc9toInc17(-); Hatch2N5(+)",2
"402","FP","ACCS","Bldg2Lay(+); Inc9toInc17(-)",2
"403","FP","ACER2","Lay2Inc3(-); Inc9toInc17(-)",2
"404","FP","ACTN4","Inc9toInc17(-); Hatch2N5(+)",2
"405","FP","ACTR1A","Inc9toInc17(+); Hatch2N5(-)",2
"406","FP","ACTR2","Inc9toInc17(+); Hatch2N5(-)",2
"407","FP","ACTR6","Inc9toInc17(+); Hatch2N5(-)",2
"408","FP","ACYP2","Inc9toInc17(+); Hatch2N5(-)",2
"409","FP","ADARB2","Inc9toInc17(+); Hatch2N5(-)",2
"410","FP","ADCY5","Inc9toInc17(-); Hatch2N5(+)",2
"411","FP","ADH5","Lay2Inc3(+); Inc9toInc17(+)",2
"412","FP","ADRBK2","Lay2Inc3(-); Inc9toInc17(-)",2
"413","FP","ADSL","Inc9toInc17(+); Hatch2N5(-)",2
"414","FP","ADSS","Inc9toInc17(+); Hatch2N5(-)",2
"415","FP","AEBP1","Bldg2Lay(-); Hatch2N5(+)",2
"416","FP","AGAP3","Inc9toInc17(-); Hatch2N5(+)",2
"417","FP","AHCY","Lay2Inc3(+); Inc9toInc17(+)",2
"418","FP","AHDC1","Inc9toInc17(-); Hatch2N5(+)",2
"419","FP","AIMP1","Lay2Inc3(+); Inc9toInc17(+)",2
"420","FP","AJAP1","Inc9toInc17(-); Hatch2N5(+)",2
"421","FP","ALDH18A1","Inc9toInc17(+); Hatch2N5(-)",2
"422","FP","ALDH1A2","Bldg2Lay(-); Lay2Inc3(+)",2
"423","FP","ALDH6A1","Inc9toInc17(+); Hatch2N5(-)",2
"424","FP","ALG1","Inc9toInc17(+); Hatch2N5(-)",2
"425","FP","ALG5","Inc9toInc17(+); Hatch2N5(-)",2
"426","FP","ALG8","Inc9toInc17(+); Hatch2N5(-)",2
"427","FP","ALMS1","Lay2Inc3(-); Hatch2N5(+)",2
"428","FP","AMFR","Inc9toInc17(-); Hatch2N5(+)",2
"429","FP","ANAPC10","Inc9toInc17(+); Hatch2N5(-)",2
"430","FP","ANKHD1","Lay2Inc3(-); Hatch2N5(+)",2
"431","FP","ANKRD12","Inc9toInc17(+); Hatch2N5(-)",2
"432","FP","ANKS1A","Inc9toInc17(-); Hatch2N5(+)",2
"433","FP","ANKS3","Inc9toInc17(-); Hatch2N5(+)",2
"434","FP","ANP32E","Lay2Inc3(-); In17toHatch(+)",2
"435","FP","AP000304.12","Lay2Inc3(+); Hatch2N5(-)",2
"436","FP","AP1AR","Inc9toInc17(+); Hatch2N5(-)",2
"437","FP","AP3S1","Inc9toInc17(+); Hatch2N5(-)",2
"438","FP","APC2","Inc9toInc17(-); Hatch2N5(+)",2
"439","FP","APITD1","Inc9toInc17(+); Hatch2N5(-)",2
"440","FP","APP","Inc9toInc17(+); Hatch2N5(-)",2
"441","FP","ARFGAP3","Inc9toInc17(+); Hatch2N5(-)",2
"442","FP","ARHGAP1","Inc9toInc17(-); Hatch2N5(+)",2
"443","FP","ARHGAP17","Lay2Inc3(-); Inc9toInc17(-)",2
"444","FP","ARHGAP19","Inc9toInc17(+); Hatch2N5(-)",2
"445","FP","ARHGAP26","Inc9toInc17(-); Hatch2N5(+)",2
"446","FP","ARHGAP39","Inc9toInc17(-); Hatch2N5(+)",2
"447","FP","ARHGDIG","Lay2Inc3(+); Inc9toInc17(-)",2
"448","FP","ARHGEF17","Inc9toInc17(-); Hatch2N5(+)",2
"449","FP","ARID1A","Inc9toInc17(-); Hatch2N5(+)",2
"450","FP","ARID1B","Inc9toInc17(-); Hatch2N5(+)",2
"451","FP","ARID3B","Inc9toInc17(-); Hatch2N5(+)",2
"452","FP","ARID4B","Bldg2Lay(-); Inc9toInc17(+)",2
"453","FP","ARL15","Bldg2Lay(+); Lay2Inc3(-)",2
"454","FP","ARL6IP5","Inc9toInc17(+); Hatch2N5(-)",2
"455","FP","ARL8A","Inc9toInc17(+); Hatch2N5(-)",2
"456","FP","ARVCF","Inc9toInc17(-); Hatch2N5(+)",2
"457","FP","ASB11","Bldg2Lay(+); Inc9toInc17(-)",2
"458","FP","ATF4","Inc9toInc17(+); Hatch2N5(-)",2
"459","FP","ATF7","Inc9toInc17(-); Hatch2N5(+)",2
"460","FP","ATF7IP","Inc9toInc17(-); Hatch2N5(+)",2
"461","FP","ATHL1","Inc9toInc17(-); Hatch2N5(+)",2
"462","FP","ATM","Inc9toInc17(+); Hatch2N5(-)",2
"463","FP","ATP1A3","Bldg2Lay(-); Inc9toInc17(-)",2
"464","FP","ATP1B3","Inc9toInc17(+); Hatch2N5(-)",2
"465","FP","ATP5G1","Lay2Inc3(+); Hatch2N5(-)",2
"466","FP","ATP5J","Lay2Inc3(+); Inc9toInc17(+)",2
"467","FP","ATP6AP2","Inc9toInc17(+); Hatch2N5(-)",2
"468","FP","ATP6V0B","Bldg2Lay(-); Lay2Inc3(+)",2
"469","FP","ATP6V0D1","Inc9toInc17(+); Hatch2N5(-)",2
"470","FP","ATP6V1D","Inc9toInc17(+); Hatch2N5(-)",2
"471","FP","ATXN1L","Inc9toInc17(-); Hatch2N5(+)",2
"472","FP","AURKA","Inc9toInc17(+); Hatch2N5(-)",2
"473","FP","AZIN1","Inc9toInc17(+); Hatch2N5(-)",2
"474","FP","B3GALT2","Inc9toInc17(+); Hatch2N5(-)",2
"475","FP","BAHD1","Inc9toInc17(-); Hatch2N5(+)",2
"476","FP","BCAP29","Inc9toInc17(+); Hatch2N5(-)",2
"477","FP","BCCIP","Inc9toInc17(+); Hatch2N5(-)",2
"478","FP","BCKDHB","Inc9toInc17(+); Hatch2N5(-)",2
"479","FP","BCL11A","Inc9toInc17(-); Hatch2N5(+)",2
"480","FP","BCL11B","Bldg2Lay(+); Inc9toInc17(-)",2
"481","FP","BCL9","Inc9toInc17(-); Hatch2N5(+)",2
"482","FP","BET1","Inc9toInc17(+); Hatch2N5(-)",2
"483","FP","BICC1","Inc9toInc17(+); Hatch2N5(-)",2
"484","FP","BIRC2","Lay2Inc3(-); Hatch2N5(-)",2
"485","FP","BIRC5","Inc9toInc17(+); Hatch2N5(-)",2
"486","FP","BLMH","Inc9toInc17(+); Hatch2N5(-)",2
"487","FP","BLVRA","Bldg2Lay(+); Lay2Inc3(-)",2
"488","FP","BNIP3L","Inc9toInc17(+); Hatch2N5(-)",2
"489","FP","BOLA3","Inc9toInc17(+); Hatch2N5(-)",2
"490","FP","BRCA1","Inc9toInc17(+); Hatch2N5(-)",2
"491","FP","BRD3","Lay2Inc3(-); Hatch2N5(+)",2
"492","FP","BSG","Bldg2Lay(-); Lay2Inc3(+)",2
"493","FP","BSN","Inc9toInc17(-); Hatch2N5(+)",2
"494","FP","BTBD7","Inc9toInc17(-); Hatch2N5(+)",2
"495","FP","BTC","Bldg2Lay(-); Lay2Inc3(+)",2
"496","FP","BTF3L4","Inc9toInc17(+); Hatch2N5(-)",2
"497","FP","BUB1","Inc9toInc17(+); Hatch2N5(-)",2
"498","FP","BUB1B","Inc9toInc17(+); Hatch2N5(-)",2
"499","FP","BUB3","Lay2Inc3(+); Inc9toInc17(+)",2
"500","FP","BUD31","Lay2Inc3(+); Inc9toInc17(+)",2
"501","FP","C10H15ORF59","Inc9toInc17(-); Hatch2N5(+)",2
"502","FP","C10ORF12","Lay2Inc3(-); Hatch2N5(+)",2
"503","FP","C14H16ORF88","Inc9toInc17(+); Hatch2N5(-)",2
"504","FP","C14ORF2","Lay2Inc3(+); Inc9toInc17(+)",2
"505","FP","C17H9ORF78","Inc9toInc17(+); Hatch2N5(-)",2
"506","FP","C1D","Inc9toInc17(+); Hatch2N5(-)",2
"507","FP","C1H12ORF23","Inc9toInc17(+); Hatch2N5(-)",2
"508","FP","C1H12ORF5","Inc9toInc17(+); Hatch2N5(-)",2
"509","FP","C1H12ORF66","Inc9toInc17(+); Hatch2N5(-)",2
"510","FP","C1QBP","Inc9toInc17(+); Hatch2N5(-)",2
"511","FP","C24H11ORF63","Bldg2Lay(+); Hatch2N5(+)",2
"512","FP","C26H6ORF125","Lay2Inc3(+); Hatch2N5(-)",2
"513","FP","C26H6ORF132","Inc9toInc17(-); Hatch2N5(+)",2
"514","FP","C2CD3","Lay2Inc3(-); Hatch2N5(+)",2
"515","FP","C2H6ORF62","Inc9toInc17(+); Hatch2N5(-)",2
"516","FP","C2H7ORF63","Inc9toInc17(+); Hatch2N5(-)",2
"517","FP","C2ORF47","Inc9toInc17(+); Hatch2N5(-)",2
"518","FP","C3ORF70","Inc9toInc17(-); Hatch2N5(+)",2
"519","FP","C5H11ORF9","Inc9toInc17(-); In17toHatch(+)",2
"520","FP","C6ORF57","Inc9toInc17(+); Hatch2N5(-)",2
"521","FP","C8H1ORF27","Inc9toInc17(+); Hatch2N5(-)",2
"522","FP","CABLES1","Bldg2Lay(+); Lay2Inc3(-)",2
"523","FP","CACNA1H","Inc9toInc17(-); Hatch2N5(+)",2
"524","FP","CACNA1I","Inc9toInc17(-); Hatch2N5(+)",2
"525","FP","CADPS","Lay2Inc3(-); Hatch2N5(+)",2
"526","FP","CALN1","Inc9toInc17(+); Hatch2N5(-)",2
"527","FP","CAMLG","Inc9toInc17(+); Hatch2N5(-)",2
"528","FP","CANX","Inc9toInc17(+); Hatch2N5(-)",2
"529","FP","CAPG","Bldg2Lay(-); Lay2Inc3(+)",2
"530","FP","CAPN15","Inc9toInc17(-); Hatch2N5(+)",2
"531","FP","CAPZA1","Inc9toInc17(+); Hatch2N5(-)",2
"532","FP","CARD10","Bldg2Lay(-); N5toN9(+)",2
"533","FP","CARS","Inc9toInc17(+); Hatch2N5(-)",2
"534","FP","CASK","Inc9toInc17(+); Hatch2N5(-)",2
"535","FP","CASKIN1","Inc9toInc17(-); Hatch2N5(+)",2
"536","FP","CASZ1","Inc9toInc17(-); Hatch2N5(+)",2
"537","FP","CBFA2T2","Inc9toInc17(-); Hatch2N5(+)",2
"538","FP","CBL","Lay2Inc3(-); Hatch2N5(+)",2
"539","FP","CBLN2","Inc9toInc17(+); Hatch2N5(-)",2
"540","FP","CBS","Inc9toInc17(+); Hatch2N5(-)",2
"541","FP","CCDC167","Inc9toInc17(+); Hatch2N5(-)",2
"542","FP","CCNA2","Inc9toInc17(+); Hatch2N5(-)",2
"543","FP","CCNB3","Inc9toInc17(+); Hatch2N5(-)",2
"544","FP","CCNC","Inc9toInc17(+); Hatch2N5(-)",2
"545","FP","CCT2","Inc9toInc17(+); Hatch2N5(-)",2
"546","FP","CCT4","Inc9toInc17(+); Hatch2N5(-)",2
"547","FP","CD164","Inc9toInc17(+); Hatch2N5(-)",2
"548","FP","CD24","Bldg2Lay(+); Inc9toInc17(+)",2
"549","FP","CD34","Bldg2Lay(-); Lay2Inc3(+)",2
"550","FP","CDC20","Inc9toInc17(+); Hatch2N5(-)",2
"551","FP","CDC25A","Inc9toInc17(+); Hatch2N5(-)",2
"552","FP","CDC45","Inc9toInc17(+); Hatch2N5(-)",2
"553","FP","CDC6","Inc9toInc17(+); Hatch2N5(-)",2
"554","FP","CDCA3","Inc9toInc17(+); Hatch2N5(-)",2
"555","FP","CDCA7","Inc9toInc17(+); Hatch2N5(-)",2
"556","FP","CDK1","Inc9toInc17(+); Hatch2N5(-)",2
"557","FP","CDK5RAP3","Inc9toInc17(+); Hatch2N5(-)",2
"558","FP","CDK6","Inc9toInc17(+); Hatch2N5(-)",2
"559","FP","CDKN1A","Bldg2Lay(-); Lay2Inc3(+)",2
"560","FP","CDKN3","Inc9toInc17(+); Hatch2N5(-)",2
"561","FP","CDS2","Bldg2Lay(+); Lay2Inc3(-)",2
"562","FP","CDT1","Inc9toInc17(+); Hatch2N5(-)",2
"563","FP","CEBPA","Bldg2Lay(-); Hatch2N5(+)",2
"564","FP","CEBPG","Inc9toInc17(+); Hatch2N5(-)",2
"565","FP","CELSR2","Inc9toInc17(-); Hatch2N5(+)",2
"566","FP","CELSR3","Inc9toInc17(-); Hatch2N5(+)",2
"567","FP","CENPI","Inc9toInc17(+); Hatch2N5(-)",2
"568","FP","CENPK","Inc9toInc17(+); Hatch2N5(-)",2
"569","FP","CENPM","Inc9toInc17(+); Hatch2N5(-)",2
"570","FP","CENPN","Inc9toInc17(+); Hatch2N5(-)",2
"571","FP","CEP104","Inc9toInc17(-); Hatch2N5(+)",2
"572","FP","CEP55","Inc9toInc17(+); Hatch2N5(-)",2
"573","FP","CEP95","Inc9toInc17(+); Hatch2N5(-)",2
"574","FP","CETN1","Inc9toInc17(+); Hatch2N5(-)",2
"575","FP","CFAP20","Lay2Inc3(+); Hatch2N5(-)",2
"576","FP","CGA","Bldg2Lay(-); Lay2Inc3(+)",2
"577","FP","CGRRF1","Inc9toInc17(+); Hatch2N5(-)",2
"578","FP","CHAF1B","Inc9toInc17(+); Hatch2N5(-)",2
"579","FP","CHCHD2","Inc9toInc17(+); Hatch2N5(-)",2
"580","FP","CHCHD4","Inc9toInc17(+); Hatch2N5(-)",2
"581","FP","CHD4","Inc9toInc17(-); Hatch2N5(+)",2
"582","FP","CHD6","Inc9toInc17(-); Hatch2N5(+)",2
"583","FP","CHD9","Lay2Inc3(-); Hatch2N5(+)",2
"584","FP","CHPF","Bldg2Lay(-); Hatch2N5(-)",2
"585","FP","CHRNB4","Lay2Inc3(+); Inc9toInc17(+)",2
"586","FP","CHTF8","Inc9toInc17(+); Hatch2N5(-)",2
"587","FP","CITED4","Bldg2Lay(-); N5toN9(+)",2
"588","FP","CKAP2","Inc9toInc17(+); Hatch2N5(-)",2
"589","FP","CKAP4","Inc9toInc17(+); Hatch2N5(-)",2
"590","FP","CKS1B","Inc9toInc17(+); Hatch2N5(-)",2
"591","FP","CKS2","Inc9toInc17(+); Hatch2N5(-)",2
"592","FP","CLDND1","Bldg2Lay(-); Lay2Inc3(+)",2
"593","FP","CLEC3B","Lay2Inc3(+); Inc9toInc17(-)",2
"594","FP","CLPTM1L","Inc9toInc17(+); Hatch2N5(-)",2
"595","FP","CLUL1","Bldg2Lay(+); Inc9toInc17(+)",2
"596","FP","CMAS","Inc9toInc17(+); Hatch2N5(-)",2
"597","FP","CMIP","Bldg2Lay(+); Inc9toInc17(-)",2
"598","FP","CMPK1","Inc9toInc17(+); Hatch2N5(-)",2
"599","FP","CNIH1","Inc9toInc17(+); Hatch2N5(-)",2
"600","FP","CNNM2","Lay2Inc3(-); Inc9toInc17(-)",2
"601","FP","CNOT11","Inc9toInc17(+); Hatch2N5(-)",2
"602","FP","CNPPD1","Inc9toInc17(+); Hatch2N5(-)",2
"603","FP","CNPY2","Lay2Inc3(+); Hatch2N5(-)",2
"604","FP","CNTN5","Bldg2Lay(+); Lay2Inc3(-)",2
"605","FP","COMMD1","Inc9toInc17(+); Hatch2N5(-)",2
"606","FP","COPS4","Inc9toInc17(+); Hatch2N5(-)",2
"607","FP","COPS5","Inc9toInc17(+); Hatch2N5(-)",2
"608","FP","COPS8","Inc9toInc17(+); Hatch2N5(-)",2
"609","FP","COPZ1","Lay2Inc3(+); Hatch2N5(-)",2
"610","FP","COQ10B","Bldg2Lay(+); Lay2Inc3(-)",2
"611","FP","COQ9","Lay2Inc3(+); Hatch2N5(-)",2
"612","FP","CORO7","Bldg2Lay(-); Lay2Inc3(+)",2
"613","FP","COTL1","Bldg2Lay(-); Inc9toInc17(+)",2
"614","FP","COX5A","Lay2Inc3(+); Hatch2N5(-)",2
"615","FP","COX7C","Lay2Inc3(+); Hatch2N5(-)",2
"616","FP","CPE","Inc9toInc17(+); Hatch2N5(-)",2
"617","FP","CPEB2","Inc9toInc17(+); Hatch2N5(-)",2
"618","FP","CRB2","Inc9toInc17(-); Hatch2N5(+)",2
"619","FP","CREB3L1","Inc9toInc17(+); Hatch2N5(-)",2
"620","FP","CREM","Inc9toInc17(+); Hatch2N5(-)",2
"621","FP","CRIM1","Lay2Inc3(-); Hatch2N5(+)",2
"622","FP","CRTAP","Inc9toInc17(+); Hatch2N5(-)",2
"623","FP","CRY2","Lay2Inc3(-); Hatch2N5(+)",2
"624","FP","CSRP1","Bldg2Lay(-); Lay2Inc3(+)",2
"625","FP","CTBP1","Inc9toInc17(+); Hatch2N5(-)",2
"626","FP","CTNNA1","Inc9toInc17(-); Hatch2N5(+)",2
"627","FP","CTPS1","Inc9toInc17(+); Hatch2N5(-)",2
"628","FP","CTSL2","Inc9toInc17(+); Hatch2N5(-)",2
"629","FP","CUX2","Inc9toInc17(-); Hatch2N5(+)",2
"630","FP","CYB5A","Bldg2Lay(+); Lay2Inc3(-)",2
"631","FP","CYLD","Lay2Inc3(-); Inc9toInc17(-)",2
"632","FP","CZH18ORF25","Inc9toInc17(-); Hatch2N5(+)",2
"633","FP","DAAM1","Inc9toInc17(-); Hatch2N5(+)",2
"634","FP","DAD1","Inc9toInc17(+); Hatch2N5(-)",2
"635","FP","DAGLA","Inc9toInc17(-); Hatch2N5(+)",2
"636","FP","DCAF10","Inc9toInc17(-); Hatch2N5(+)",2
"637","FP","DCK","Inc9toInc17(+); Hatch2N5(-)",2
"638","FP","DDIT3","Bldg2Lay(-); Hatch2N5(-)",2
"639","FP","DDOST","Inc9toInc17(+); Hatch2N5(-)",2
"640","FP","DDRGK1","Inc9toInc17(+); Hatch2N5(-)",2
"641","FP","DDX1","Inc9toInc17(+); Hatch2N5(-)",2
"642","FP","DDX24","Inc9toInc17(+); Hatch2N5(-)",2
"643","FP","DEAF1","Lay2Inc3(-); Inc9toInc17(-)",2
"644","FP","DEPDC1","Inc9toInc17(+); Hatch2N5(-)",2
"645","FP","DEPDC1B","Inc9toInc17(+); Hatch2N5(-)",2
"646","FP","DERL1","Inc9toInc17(+); Hatch2N5(-)",2
"647","FP","DGKZ","Inc9toInc17(-); Hatch2N5(+)",2
"648","FP","DGUOK","Inc9toInc17(+); Hatch2N5(-)",2
"649","FP","DHODH","Inc9toInc17(+); Hatch2N5(-)",2
"650","FP","DHRS3","Bldg2Lay(-); Lay2Inc3(+)",2
"651","FP","DHX57","Inc9toInc17(-); Hatch2N5(+)",2
"652","FP","DHX8","Inc9toInc17(-); Hatch2N5(+)",2
"653","FP","DIAPH3","Inc9toInc17(+); Hatch2N5(-)",2
"654","FP","DIO3","Bldg2Lay(-); Lay2Inc3(+)",2
"655","FP","DIP2B","Lay2Inc3(-); Inc9toInc17(-)",2
"656","FP","DLGAP5","Inc9toInc17(+); Hatch2N5(-)",2
"657","FP","DNAJB5","Bldg2Lay(-); Hatch2N5(+)",2
"658","FP","DNAJC1","Inc9toInc17(+); Hatch2N5(-)",2
"659","FP","DNM1","Lay2Inc3(-); Hatch2N5(+)",2
"660","FP","DNMT3A","Inc9toInc17(-); Hatch2N5(+)",2
"661","FP","DNTTIP1","Lay2Inc3(+); Hatch2N5(-)",2
"662","FP","DOK5","Inc9toInc17(+); Hatch2N5(-)",2
"663","FP","DOT1L","Inc9toInc17(-); Hatch2N5(+)",2
"664","FP","DPAGT1","Inc9toInc17(+); Hatch2N5(-)",2
"665","FP","DPH6","Lay2Inc3(+); Hatch2N5(-)",2
"666","FP","DPM1","Inc9toInc17(+); Hatch2N5(-)",2
"667","FP","DPY30","Inc9toInc17(+); Hatch2N5(-)",2
"668","FP","DR1","Inc9toInc17(+); Hatch2N5(-)",2
"669","FP","DRG1","Inc9toInc17(+); Hatch2N5(-)",2
"670","FP","DSTN","Inc9toInc17(+); Hatch2N5(-)",2
"671","FP","DTNBP1","Inc9toInc17(+); Hatch2N5(-)",2
"672","FP","DUS2","Inc9toInc17(+); Hatch2N5(-)",2
"673","FP","DUSP10","Inc9toInc17(+); Hatch2N5(-)",2
"674","FP","DUSP15","Bldg2Lay(-); Lay2Inc3(+)",2
"675","FP","DUSP16","Bldg2Lay(+); Lay2Inc3(-)",2
"676","FP","DUSP3","Inc9toInc17(+); Hatch2N5(-)",2
"677","FP","DUT","Inc9toInc17(+); Hatch2N5(-)",2
"678","FP","DYL1","Inc3toInc9(-); Lay2Inc3(+)",2
"679","FP","DYNC1LI1","Inc9toInc17(+); Hatch2N5(-)",2
