gene,inc.d9_early,inc.d17_prolong,hatch_early,hatch_prolong,hatch_extend
AR,NA,NA,FP(+),NA,NA
AVPR2,NA,NA,FP(+),NA,NA
CRHR1,NA,MG(+),NA,NA,NA
ESR2,NA,MG(+),NA,NA,NA
GABRQ,MP(+),FH(+),MH(+); MP(+),FH(+); MG(+),FH(+)
GAL,NA,NA,MP(+),NA,NA
GNRH1,NA,NA,FH(+),NA,NA
LHCGR,NA,FH(-),MH(-),FH(-),FH(-); MH(-)
MC4R,MP(+),NA,MP(+),NA,NA
MC5R,NA,NA,FP(+); MP(+),NA,NA
NPVF,MH(-),FH(-),FH(-); MH(-),FH(-),FH(-)
NPY,NA,MP(-),MP(+),NA,NA
OXT,NA,NA,MP(+),NA,NA
POMC,NA,NA,FH(-),FH(-),NA
PRL,NA,NA,FP(-); MP(-),NA,NA
PRLHR,NA,NA,MP(+),NA,NA
SERPINA4,NA,MG(+),MH(+),NA,NA
VIP,MP(+),NA,MP(+),NA,NA
