"sample","sex","treatment","PRL"
"r49.w189.x_female_pituitary_inc.d17","female","inc.d17",20.3021319682606
"r6.x_female_pituitary_control","female","control",16.4120704346468
"r72.y83.x_male_pituitary_hatch","male","hatch",20.3529031588876
"r73.g127.x_female_pituitary_inc.d3","female","inc.d3",17.3827723207237
"r83.g45_female_pituitary_bldg","female","bldg",17.3647592522416
"r95.blu99_female_pituitary_n9","female","n9",19.322216552494
"s.o.pk_female_pituitary_lay","female","lay",17.6409764622548
"s.pu148.blk.r_male_pituitary_bldg","male","bldg",16.7888677578067
"s.x.ATLAS_female_pituitary_control","female","control",19.2842188902435
"s063.d.blk.l_female_pituitary_bldg","female","bldg",15.0007955255505
"s065.l.d.o_male_pituitary_bldg","male","bldg",17.1591088899491
"s066.l.d.r_male_pituitary_bldg","male","bldg",17.1550959083896
"s092.blk.r.o_female_pituitary_bldg","female","bldg",16.3466010826985
"s095.g.blk.o_female_pituitary_lay","female","lay",16.798268317201
"s136.d.w.o_female_pituitary_lay","female","lay",17.8784063262311
"s142.o.pk.pu_female_pituitary_lay","female","lay",17.5315515881703
"s150.w.g.blk_male_pituitary_lay","male","lay",16.8759576231608
"s176.blk.pu.r_female_pituitary_lay","female","lay",16.9346584867512
"s187.l.o.r_male_pituitary_n9","male","n9",18.6842136032007
"s243.blk.pk.r_male_pituitary_lay","male","lay",17.4679662812843
"w191.r1_female_pituitary_control","female","control",16.4958584595617
"w34.x_male_pituitary_inc.d9","male","inc.d9",17.9081848870208
"x.blk.blk.ATLAS_male_pituitary_control","male","control",17.7742610692656
"x.blk16_male_pituitary_n9","male","n9",19.1552944628288
"x.blu.o.ATLAS_male_pituitary_control","male","control",18.2720471596355
"x.blu101.w43_female_pituitary_inc.d9","female","inc.d9",17.8656247102336
"x.blu102.w105_female_pituitary_inc.d3","female","inc.d3",18.4335186246406
"x.blu106.o153_male_pituitary_inc.d9.NYNO","male","inc.d9",18.6746834674584
"x.blu109.w121_female_pituitary_n5","female","n5",19.3306583087565
"x.blu116.w107_female_pituitary_inc.d17.NYNO","female","inc.d17",20.6809638734192
"x.blu117.w89_male_pituitary_inc.d17","male","inc.d17",20.844985107196
"x.blu122.r66_female_pituitary_inc.d9","female","inc.d9",17.2659439288172
"x.blu23.w14_male_pituitary_n9","male","n9",18.9701682838735
"x.blu30_male_pituitary_n5","male","n5",19.7346792914568
"x.blu42.o28_male_pituitary_inc.d3","male","inc.d3",17.0160715127983
"x.blu43.g132_female_pituitary_n9","female","n9",17.0016014566797
"x.blu6.y80_female_pituitary_lay","female","lay",14.8322170631055
"x.g.ATLAS_male_pituitary_control","male","control",17.8218400411855
"x.g.g.ATLAS_male_pituitary_control","male","control",16.1490942212968
"x.g.g.g.ATLAS_male_pituitary_control","male","control",18.3423526229814
"x.g13.w109_male_pituitary_inc.d9","male","inc.d9",17.2823969720751
"x.g14.w199_male_pituitary_inc.d17","male","inc.d17",18.2498634888166
"x.g147.blu28_male_pituitary_inc.d3","male","inc.d3",17.1362321601169
"x.g37_female_pituitary_n5","female","n5",19.6502539062272
"x.g4.w50_female_pituitary_n9","female","n9",17.8706460312831
"x.g43_female_pituitary_n5","female","n5",20.1196824705451
"x.g49_female_pituitary_n5.NYNO","female","n5",19.3494435531393
"x.g70_male_pituitary_hatch","male","hatch",20.4345560279455
"x.g9.o166_female_pituitary_inc.d9.NYNO","female","inc.d9",18.7095174321488
"x.o159.w90_female_pituitary_inc.d17","female","inc.d17",20.330598966176
"x.o160.w102_male_pituitary_hatch","male","hatch",20.4603181541232
"x.o163.w101_male_pituitary_inc.d3.NYNO","male","inc.d3",13.7456792307097
"x.o164.w123_male_pituitary_n5.NYNO","male","n5",19.8947506927635
"x.o175.g21_female_pituitary_n5","female","n5",18.539550341057
"x.o2_male_pituitary_n9","male","n9",18.1865788588601
"x.o30.g134_male_pituitary_bldg","male","bldg",16.7428225107054
"x.o37.blu50_female_pituitary_hatch","female","hatch",20.8645783429732
"x.o47.y82_male_pituitary_inc.d9","male","inc.d9",17.843172869436
"x.o68_male_pituitary_n5","male","n5",19.585730367293
"x.o70_female_pituitary_n5","female","n5",19.4927043214079
"x.r178_male_pituitary_hatch","male","hatch",20.4388093005724
"x.r181_male_pituitary_n5","male","n5",20.2486526014858
"x.r29.w96_male_pituitary_inc.d17","male","inc.d17",17.8107354563622
