"sex","tissue","treatment","gene","samples","counts","hiloPRL"
"female","gonad","control","PRL","L.G118_female_gonad_control",9.4136999830874,"lo"
"female","gonad","control","PRL","R.G106_female_gonad_control",9.60127166344125,"lo"
"female","gonad","control","PRL","R.R20_female_gonad_control",9.52216143305344,"lo"
"female","gonad","control","PRL","R.R9_female_gonad_control",8.70337450078171,"lo"
"female","gonad","control","PRL","R.W44_female_gonad_control",10.0539659829835,"lo"
"female","gonad","inc.d9","PRL","blk.s061.pu.y_female_gonad_inc.d9",9.21896478126541,"lo"
"female","gonad","bldg","PRL","blk11.x_female_gonad_bldg",9.34230693768953,"lo"
"female","gonad","hatch","PRL","blk21.x_female_gonad_hatch",9.25109228330845,"lo"
"female","gonad","n9","PRL","blk4.x_female_gonad_n9",9.20215395363133,"lo"
"female","gonad","control","PRL","blu.o.x.ATLAS_female_gonad_control",9.1294756373378,"lo"
"female","gonad","hatch","PRL","blu103.x_female_gonad_hatch.NYNO",10.1301978521487,"lo"
"female","gonad","hatch","PRL","blu124.w180.x_female_gonad_hatch",9.50429877793619,"lo"
"female","gonad","n9","PRL","blu36.w16_female_gonad_n9",9.33276294275549,"lo"
"female","gonad","bldg","PRL","blu38.g135.x_female_gonad_bldg",9.44627918117406,"lo"
"female","gonad","inc.d3","PRL","blu39.o26.x_female_gonad_inc.d3",9.60849077355008,"lo"
"female","gonad","inc.d9","PRL","blu47.y96.x_female_gonad_inc.d9",9.67851731436884,"lo"
"female","gonad","n5","PRL","blu55.g51_female_gonad_n5",9.75057371032784,"lo"
"female","gonad","lay","PRL","g.blk.s004.pk_female_gonad_lay",11.2453768511782,"lo"
"female","gonad","lay","PRL","g.s078.blk.o_female_gonad_lay",9.86128843024238,"lo"
"female","gonad","control","PRL","g.x.ATLAS_female_gonad_control",9.78271476477791,"lo"
"female","gonad","bldg","PRL","g141.blu27.x_female_gonad_bldg",9.52112050125511,"lo"
"female","gonad","inc.d17","PRL","g142.r40.x_female_gonad_inc.d17",9.55224332800204,"lo"
"female","gonad","inc.d3","PRL","g6.w197.x_female_gonad_inc.d3",9.84114064765522,"lo"
"female","gonad","inc.d9","PRL","g75.x_female_gonad_inc.d9",9.17091099351325,"lo"
"female","gonad","bldg","PRL","l.s120.y.blk_female_gonad_bldg",10.0602376517739,"lo"
"female","gonad","inc.d3","PRL","o156.w80.x_female_gonad_inc.d3",9.50294756774225,"lo"
"female","gonad","inc.d3","PRL","o165.w122.x_female_gonad_inc.d3.NYNO",9.91610882528266,"lo"
"female","gonad","hatch","PRL","o172.w115.x_female_gonad_hatch",9.35710191368842,"lo"
"female","gonad","inc.d3","PRL","o173.w179.x_female_gonad_inc.d3",9.3376488597392,"lo"
