"net$colors","gene"
"turquoise","ADGRV1"
"turquoise","ADH1C"
"turquoise","ADH5"
"turquoise","ADHFE1"
"turquoise","ADI1"
"yellow","ADIPOQ"
"turquoise","ADIPOR1"
"turquoise","ADIPOR2"
"grey","ADIRF"
"turquoise","ADK"
"turquoise","ADM"
"turquoise","ADMP"
"turquoise","ADNP"
"turquoise","ADNP2"
"turquoise","ADO"
"pink","ADORA1"
"turquoise","ADORA2A"
"brown","ADORA2B"
"blue","ADORA3"
"turquoise","ADPGK"
"turquoise","ADPRH"
"turquoise","ADPRHL"
"yellow","ADPRHL1"
"turquoise","ADPRHL2"
"turquoise","ADPRM"
"turquoise","ADRA1A"
"turquoise","ADRA1B"
"turquoise","ADRA1D"
"turquoise","ADRA2A"
"grey","ADRA2B"
"turquoise","ADRA2C"
"turquoise","ADRA2L1"
"turquoise","ADRB2"
"turquoise","ADRBK2"
"turquoise","ADRM1"
"turquoise","ADSL"
"turquoise","ADSS"
"turquoise","ADSSL1"
"grey","ADTRP"
"turquoise","AEBP1"
"turquoise","AEBP2"
"turquoise","AEN"
"turquoise","AES"
"turquoise","AFAP1"
"turquoise","AFAP1L1"
"turquoise","AFAP1L2"
"turquoise","AFF1"
"turquoise","AFF2"
"turquoise","AFF3"
"turquoise","AFF4"
"turquoise","AFG3L2"
"turquoise","AFMID"
"green","AFP"
"turquoise","AFTPH"
"turquoise","AGA"
"turquoise","AGAP3"
"yellow","AGBL1"
"turquoise","AGBL2"
"turquoise","AGBL3"
"turquoise","AGBL4"
"turquoise","AGBL5"
"turquoise","AGFG1"
"turquoise","AGGF1"
"turquoise","AGK"
"turquoise","AGL"
"brown","AGMO"
"turquoise","AGO1"
"turquoise","AGO3"
"turquoise","AGPAT1"
"turquoise","AGPAT2"
"turquoise","AGPAT3"
"turquoise","AGPAT4"
"turquoise","AGPAT5"
"turquoise","AGPAT6"
"turquoise","AGPAT9"
"turquoise","AGPS"
"turquoise","AGR2"
"turquoise","AGR3"
"turquoise","AGRN"
"salmon","AGRP"
"greenyellow","AGT"
"turquoise","AGTPBP1"
"turquoise","AGTR1"
"turquoise","AGTR2"
"turquoise","AGTRAP"
"grey","AGXT"
"turquoise","AGXT2"
"turquoise","AGXT2L2"
"turquoise","AHCTF1"
"turquoise","AHCY"
"turquoise","AHCYL1"
"turquoise","AHDC1"
"turquoise","AHI1"
"turquoise","AHNAK2"
"turquoise","AHR"
"grey","AHRR"
"turquoise","AHSA1"
"turquoise","AHSA2"
"pink","AHSG"
"grey","AICDA"
"turquoise","AIDA"
"turquoise","AIFM1"
"turquoise","AIFM2"
"midnightblue","AIFM3"
"turquoise","AIG1"
"turquoise","AIM1"
"turquoise","AIMP1"
"turquoise","AIMP2"
"turquoise","AIP"
"grey","AIPL1"
"turquoise","AJAP1"
"turquoise","AK1"
