"","sex","tissue","treatment","gene","samples","counts"
"1","female","hypothalamus","control","AGRP","L.G118_female_hypothalamus_control.NYNO",6.01584742116859
"2","female","hypothalamus","control","AGRP","R.G106_female_hypothalamus_control",5.77056966431274
"3","female","hypothalamus","control","AGRP","R.R20_female_hypothalamus_control.NYNO",5.45987497475943
"4","female","hypothalamus","control","AGRP","R.R9_female_hypothalamus_control",5.67779110733289
"5","female","hypothalamus","control","AGRP","R.W44_female_hypothalamus_control",5.81395695069925
"6","female","hypothalamus","inc.d9","AGRP","blk.s061.pu.y_female_hypothalamus_inc.d9",5.45987497475943
"7","female","hypothalamus","bldg","AGRP","blk11.x_female_hypothalamus_bldg",5.45987497475943
"8","female","hypothalamus","hatch","AGRP","blk21.x_female_hypothalamus_hatch",5.84086996889171
"9","female","hypothalamus","n9","AGRP","blk4.x_female_hypothalamus_n9",5.92545024624276
"10","female","hypothalamus","control","AGRP","blu.o.x.ATLAS_female_hypothalamus_control",5.45987497475943
"11","female","hypothalamus","hatch","AGRP","blu103.x_female_hypothalamus_hatch",5.45987497475943
"12","female","hypothalamus","hatch","AGRP","blu124.w180.x_female_hypothalamus_hatch",5.45987497475943
"13","female","hypothalamus","n9","AGRP","blu36.w16_female_hypothalamus_n9",5.45987497475943
"14","female","hypothalamus","bldg","AGRP","blu38.g135.x_female_hypothalamus_bldg",5.67381674227391
"15","female","hypothalamus","inc.d3","AGRP","blu39.o26.x_female_hypothalamus_inc.d3.NYNO",5.45987497475943
"16","female","hypothalamus","inc.d9","AGRP","blu47.y96.x_female_hypothalamus_inc.d9",5.45987497475943
"17","female","hypothalamus","n5","AGRP","blu55.g51_female_hypothalamus_n5",5.45987497475943
"18","female","hypothalamus","lay","AGRP","g.blk.s004.pk_female_hypothalamus_lay",5.70657354242616
"19","female","hypothalamus","lay","AGRP","g.s078.blk.o_female_hypothalamus_lay",5.45987497475943
"20","female","hypothalamus","bldg","AGRP","g141.blu27.x_female_hypothalamus_bldg",5.63681229868823
"21","female","hypothalamus","inc.d17","AGRP","g142.r40.x_female_hypothalamus_inc.d17",5.45987497475943
"22","female","hypothalamus","inc.d3","AGRP","g6.w197.x_female_hypothalamus_inc.d3",5.60984887979819
"23","female","hypothalamus","inc.d9","AGRP","g75.x_female_hypothalamus_inc.d9",5.45987497475943
"24","female","hypothalamus","bldg","AGRP","l.s120.y.blk_female_hypothalamus_bldg",5.45987497475943
"25","female","hypothalamus","inc.d3","AGRP","o156.w80.x_female_hypothalamus_inc.d3",5.45987497475943
"26","female","hypothalamus","inc.d3","AGRP","o165.w122.x_female_hypothalamus_inc.d3",5.62915550881977
"27","female","hypothalamus","hatch","AGRP","o172.w115.x_female_hypothalamus_hatch",5.81413182545371
"28","female","hypothalamus","inc.d3","AGRP","o173.w179.x_female_hypothalamus_inc.d3",5.45987497475943
"29","female","hypothalamus","inc.d17","AGRP","o35.r51.x_female_hypothalamus_inc.d17",5.63480286459638
"30","female","hypothalamus","bldg","AGRP","o38.blu29.x_female_hypothalamus_bldg",5.45987497475943
"31","female","hypothalamus","inc.d17","AGRP","o52.blu53_female_hypothalamus_inc.d17",5.45987497475943
"32","female","hypothalamus","inc.d9","AGRP","o73.x_female_hypothalamus_inc.d9",5.81723820624369
"33","female","hypothalamus","control","AGRP","r.r.x.ATLAS.R2XR_female_hypothalamus_control",7.80437837006832
"34","female","hypothalamus","control","AGRP","r.r.x.ATLAS_female_hypothalamus_control",7.80372934090028
"35","female","hypothalamus","bldg","AGRP","r.s056.g.o_female_hypothalamus_bldg",5.45987497475943
"36","female","hypothalamus","n9","AGRP","r.s171.l.w_female_hypothalamus_n9",5.72282460078875
"37","female","hypothalamus","hatch","AGRP","r183.o22_female_hypothalamus_hatch",5.73154947842258
"38","female","hypothalamus","inc.d3","AGRP","r27.w111.blu125_female_hypothalamus_inc.d3",5.72687158480872
"39","female","hypothalamus","inc.d9","AGRP","r30.w112.r46_female_hypothalamus_inc.d9",5.6473751790787
"40","female","hypothalamus","inc.d9","AGRP","r36.w184.x_female_hypothalamus_inc.d9",5.72293287344456
"41","female","hypothalamus","inc.d17","AGRP","r49.w189.x_female_hypothalamus_inc.d17",5.87445907828081
"42","female","hypothalamus","control","AGRP","r6.x_female_hypothalamus_control.NYNO",5.45987497475943
"43","female","hypothalamus","inc.d3","AGRP","r73.g127.x_female_hypothalamus_inc.d3",5.45987497475943
"44","female","hypothalamus","bldg","AGRP","r83.g45_female_hypothalamus_bldg",5.45987497475943
"45","female","hypothalamus","n9","AGRP","r95.blu99_female_hypothalamus_n9",5.45987497475943
"46","female","hypothalamus","lay","AGRP","s.o.pk_female_hypothalamus_lay",5.86346693330964
"47","female","hypothalamus","control","AGRP","s.x.ATLAS_female_hypothalamus_control",5.45987497475943
"48","female","hypothalamus","bldg","AGRP","s063.d.blk.l_female_hypothalamus_bldg",5.45987497475943
"49","female","hypothalamus","bldg","AGRP","s092.blk.r.o_female_hypothalamus_bldg",5.86444229348402
"50","female","hypothalamus","lay","AGRP","s095.g.blk.o_female_hypothalamus_lay",5.71587664420187
"51","female","hypothalamus","lay","AGRP","s136.d.w.o_female_hypothalamus_lay",5.66456227995532
"52","female","hypothalamus","lay","AGRP","s142.o.pk.pu_female_hypothalamus_lay",5.62267896333998
"53","female","hypothalamus","lay","AGRP","s176.blk.pu.r_female_hypothalamus_lay",5.45987497475943
"54","female","hypothalamus","control","AGRP","w191.r1_female_hypothalamus_control",5.45987497475943
"55","female","hypothalamus","inc.d9","AGRP","x.blu101.w43_female_hypothalamus_inc.d9",5.81810241186581
"56","female","hypothalamus","inc.d3","AGRP","x.blu102.w105_female_hypothalamus_inc.d3",5.62949595758658
"57","female","hypothalamus","n5","AGRP","x.blu109.w121_female_hypothalamus_n5",5.64946864896224
"58","female","hypothalamus","inc.d17","AGRP","x.blu116.w107_female_hypothalamus_inc.d17",5.66623302113451
"59","female","hypothalamus","inc.d9","AGRP","x.blu122.r66_female_hypothalamus_inc.d9",5.63747538439035
"60","female","hypothalamus","n9","AGRP","x.blu43.g132_female_hypothalamus_n9",5.6347252745685
"61","female","hypothalamus","lay","AGRP","x.blu6.y80_female_hypothalamus_lay",5.45987497475943
"62","female","hypothalamus","n5","AGRP","x.g37_female_hypothalamus_n5",5.45987497475943
"63","female","hypothalamus","n9","AGRP","x.g4.w50_female_hypothalamus_n9",5.69455550873838
"64","female","hypothalamus","n5","AGRP","x.g43_female_hypothalamus_n5",5.70462484596873
"65","female","hypothalamus","n5","AGRP","x.g49_female_hypothalamus_n5",5.45987497475943
"66","female","hypothalamus","inc.d9","AGRP","x.g9.o166_female_hypothalamus_inc.d9",5.75315436397396
"67","female","hypothalamus","inc.d17","AGRP","x.o159.w90_female_hypothalamus_inc.d17",5.76445156945952
"68","female","hypothalamus","n5","AGRP","x.o175.g21_female_hypothalamus_n5",5.87925448810925
"69","female","hypothalamus","hatch","AGRP","x.o37.blu50_female_hypothalamus_hatch.NYNO",5.80385654026593
"70","female","hypothalamus","n5","AGRP","x.o70_female_hypothalamus_n5.NYNO",5.68110125583016
"71","female","hypothalamus","inc.d3","AGRP","x.r33.w183_female_hypothalamus_inc.d3",5.45987497475943
"72","female","hypothalamus","bldg","AGRP","x.r39.g10_female_hypothalamus_bldg",5.45987497475943
"73","female","hypothalamus","hatch","AGRP","x.r44.w95_female_hypothalamus_hatch",5.45987497475943
"74","female","hypothalamus","inc.d17","AGRP","x.r48.y139_female_hypothalamus_inc.d17",5.63713704871582
"75","female","hypothalamus","n5","AGRP","x.r50.w97_female_hypothalamus_n5",5.62174318970642
"76","female","hypothalamus","n9","AGRP","x.w178_female_hypothalamus_n9",5.45987497475943
"77","female","hypothalamus","lay","AGRP","x.w51_female_hypothalamus_lay",5.82690009155831
"78","female","hypothalamus","n9","AGRP","x.w6_female_hypothalamus_n9",5.45987497475943
"79","female","hypothalamus","inc.d9","AGRP","x.y109_female_hypothalamus_inc.d9",5.45987497475943
"80","female","hypothalamus","n9","AGRP","x.y138.w176_female_hypothalamus_n9",5.65735810970879
"81","female","hypothalamus","hatch","AGRP","x.y90_female_hypothalamus_hatch",5.45987497475943
"82","female","hypothalamus","inc.d9","AGRP","x.y93.g126_female_hypothalamus_inc.d9",5.45987497475943
"83","female","hypothalamus","n9","AGRP","x.y9_female_hypothalamus_n9",5.45987497475943
"84","female","hypothalamus","lay","AGRP","y.s156.o.r_female_hypothalamus_lay",5.59756737059974
"85","female","hypothalamus","inc.d17","AGRP","y126.w92.x_female_hypothalamus_inc.d17",5.79644570970262
"86","female","hypothalamus","inc.d3","AGRP","y13.x_female_hypothalamus_inc.d3",5.45987497475943
"87","female","hypothalamus","inc.d17","AGRP","y130.o170.x_female_hypothalamus_inc.d17",5.64251147245403
"88","female","hypothalamus","inc.d17","AGRP","y135.blu107.x_female_hypothalamus_inc.d17",5.71971805241859
"89","female","hypothalamus","inc.d17","AGRP","y136.x_female_hypothalamus_inc.d17",5.45987497475943
"90","female","hypothalamus","inc.d9","AGRP","y140.w119.x_female_hypothalamus_inc.d9",5.45987497475943
"91","female","hypothalamus","hatch","AGRP","y15.x_female_hypothalamus_hatch",6.27726747845772
"92","female","hypothalamus","n5","AGRP","y6.o54_female_hypothalamus_n5",5.72240599552978
"93","female","hypothalamus","hatch","AGRP","y7.g58_female_hypothalamus_hatch",5.45987497475943
"94","female","hypothalamus","n5","AGRP","y94.g133.x_female_hypothalamus_n5.NYNO",5.67343807444636
"95","female","hypothalamus","n9","AGRP","y97.x_female_hypothalamus_n9",5.45987497475943
"96","female","hypothalamus","control","AR","L.G118_female_hypothalamus_control.NYNO",7.27554009902402
"97","female","hypothalamus","control","AR","R.G106_female_hypothalamus_control",7.32130816028212
"98","female","hypothalamus","control","AR","R.R20_female_hypothalamus_control.NYNO",7.74084916027535
"99","female","hypothalamus","control","AR","R.R9_female_hypothalamus_control",7.30641700104369
"100","female","hypothalamus","control","AR","R.W44_female_hypothalamus_control",7.02198276444884
"101","female","hypothalamus","inc.d9","AR","blk.s061.pu.y_female_hypothalamus_inc.d9",7.45932267066059
"102","female","hypothalamus","bldg","AR","blk11.x_female_hypothalamus_bldg",7.78451990740066
"103","female","hypothalamus","hatch","AR","blk21.x_female_hypothalamus_hatch",8.12651382990849
"104","female","hypothalamus","n9","AR","blk4.x_female_hypothalamus_n9",6.50806937572183
"105","female","hypothalamus","control","AR","blu.o.x.ATLAS_female_hypothalamus_control",7.02004097472288
"106","female","hypothalamus","hatch","AR","blu103.x_female_hypothalamus_hatch",7.67689209826533
"107","female","hypothalamus","hatch","AR","blu124.w180.x_female_hypothalamus_hatch",7.88660821806005
"108","female","hypothalamus","n9","AR","blu36.w16_female_hypothalamus_n9",7.15992681061995
"109","female","hypothalamus","bldg","AR","blu38.g135.x_female_hypothalamus_bldg",7.83852903472975
"110","female","hypothalamus","inc.d3","AR","blu39.o26.x_female_hypothalamus_inc.d3.NYNO",7.33834250475252
"111","female","hypothalamus","inc.d9","AR","blu47.y96.x_female_hypothalamus_inc.d9",7.8738445915968
"112","female","hypothalamus","n5","AR","blu55.g51_female_hypothalamus_n5",7.71839963076554
