"","group","results","genes"
"1","FG","Bldg2Lay(-); In17toHatch(+)","LOC101749216"
"2","FG","Bldg2Lay(-); Inc3toInc9(+)","PI15"
"3","FG","Bldg2Lay(-); Inc9toInc17(-)","DMA"
"4","FG","Bldg2Lay(-); Inc9toInc17(+)","LOC107049309; PRPS2"
"5","FG","Bldg2Lay(-); Lay2Inc3(-)","IL13RA2; SLC31A1"
"6","FG","Bldg2Lay(-); Lay2Inc3(-); N5toN9(+)","CA8; NRG2"
"7","FG","Bldg2Lay(-); Lay2Inc3(+)","ADH5; ALDH7A1; ALKBH1; ANAPC15; ANOS1; AP000304.12; ARF1; ATP5C1; ATP5G3; ATP5H; BOLA3; BUD31; C11ORF31; C1QTNF2; C1QTNF5; CCDC58; CDC23; CHCHD2; CHCHD3; CHMP1A; CKS1B; CLAPS2; COMMD4; COX4I1; CTC-487M23.8; CWC15; DAD1; DBI; DCTN6; DDX1; DPM1; EIF3I; EIF3M; ERH; EXOSC8; GCGR; H2AFV; HBAA; HBG2; HINT1; HMGN5; HSBP1; IMMP2L; IMPA1; LAMTOR2; LAPTM4A; LOC101747652; LOC107050492; LOC107054816; LOC417113; LOC422214; MAGOH2; MDH1; MDK; MGST3; MRM1; MRP63; MRPL21; MRPL33; MSANTD4; MXD3; NAP1L1; NDUFA1; NDUFA12; NDUFA2; NDUFA4; NDUFA8; NDUFB10; NDUFB3; NDUFS5; NECAB2; NHP2; NIP7; NLE1; NOP2; NPM1; NUP37; PCP4L1; PDAP1; PEBP1; PFDN1; PFDN2; PKDCCa; PKIB; POLR2E; PPIH; PRDX3; PRELID1; PSMA1; PSMB1; PSMB2; PSMB7; PSMC6; RAN; RPL10A; RPL11; RPL14; RPL18A; RPL22; RPL24; RPL27; RPL30; RPL31; RPL34; RPL35; RPL35A; RPL37; RPL38; RPL39; RPL7; RPL7A; RPL9; RPLP0; RPLP2; RPRD1A; RPS11; RPS12; RPS13; RPS14; RPS15A; RPS16; RPS17; RPS21; RPS25; RPS27L; RPS28; RPS29; RPS3; RPS3A; RPS7; RPS8; RRP15; SAP18; SEC13; SELM; SMARCAL1; SNRPB2; SNRPD2; SNRPE; SNRPG; SPCS2; TFDP1; THOC3; TIMM17A; TMED11; TMEM258; TMIE; TNNI1; TOMM22; TPM4; TRIAP1; TXN2; TXNL4A; UFC1; UQCR10; UQCRH; VDAC2; VTI1A"
"8","FG","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(-)","ANP32A; ANXA5; RGS7"
"9","FG","Bldg2Lay(-); Lay2Inc3(+); N5toN9(-)","FDX1L"
"10","FG","Bldg2Lay(-); N5toN9(-)","AQP8; CHGB; CHRNA3"
"11","FG","Bldg2Lay(-); N5toN9(+)","ACO2; ATP5G1; CD3D; DEPDC1B; ENTPD7; GALE; HYOU1; KLHDC8A; LOC101748706; LOC770126; MANF; MGAT4C; MYCN; NWD2; OPRM1; PDIA4; PGAM1; SEC61B; SERHL2; SLC10A4; SLC35B1; SLC6A8; TMED3; TSTA3; UQCRQ"
"12","FG","Bldg2Lay(+); Inc3toInc9(-)","ARRDC2; MT4; PM20D2; SQSTM1; TXNIP; UBE2H"
"13","FG","Bldg2Lay(+); Inc3toInc9(-); Lay2Inc3(+)","OSTN"
"14","FG","Bldg2Lay(+); Lay2Inc3(-)","ANKRD50; AOC1; ARRDC4; ATF3; BMF; CA4; CAPN8; CAT; CBS; CFLAR; CREBRF; DOCK3; DUSP16; EDNRB; EPAS1; ERBB3; ETNPPL; FAM126B; FAM83C; FILIP1L; FNBP1L; FOXC1; GFPT1; GLUL; GNA14; GPATCH8; GUCY1A2; HEPH; IL1R1; IQSEC1; IVNS1ABP; KAT6A; KIAA0319L; KIAA1671; KLF15; LOC419409; LOC422320; LOC769000; LOXL2; MOCOS; MRVI1; MUC; MYO1C; NBEAL1; NEB; NEU4; NR1D1; NR1D2; NTNG2; OTOGL; OVSTL; PITPNA; PLEKHH1; PPP2R3A; RAB43; RANBP10; RAVER2; SERPINB2; SGK1; SLC14A2; SLC5A8; SLMAP; SOX2; SPTLC2; SSFA2; ST6GALNAC1; ST6GALNAC2; STON2; TBC1D9; TMEM131; TRAPPC10; TRPC4AP; UBAP2L; UVRAG; WIPI1; ZER1"
"15","FG","Bldg2Lay(+); Lay2Inc3(-); In17toHatch(-); Inc9toInc17(+); Hatch2N5(+)","LOC107053414"
"16","FG","Bldg2Lay(+); Lay2Inc3(-); Inc3toInc9(-); N5toN9(+)","COL10A1"
"17","FG","Bldg2Lay(+); Lay2Inc3(-); Inc9toInc17(+)","GAL3ST2"
"18","FG","Bldg2Lay(+); Lay2Inc3(-); N5toN9(+)","CALB1"
"19","FG","Bldg2Lay(+); Lay2Inc3(+)","C7; C8H1ORF21; CEMIP; KCNK2; LOC101751203; SEMA3A"
"20","FG","Bldg2Lay(+); N5toN9(-)","CBX7; OLFM4"
"21","FG","In17toHatch(-); N5toN9(+)","IQCG"
"22","FG","Inc3toInc9(-); Lay2Inc3(+)","AVPR1A; CALB2; CTSL2; EGR1; GPR139; NUTF2; PPT1; PRSS12"
"23","FG","Inc9toInc17(-); N5toN9(+)","AK8; C10H15ORF26; C17H9ORF171; C1H21ORF59; CCDC169; CDKL1; CFAP57; CFAP99; DNAAF2; DNAH9; DNAI1; DYNLRB2; EFCAB1; FAM118B; FAM183A; GBGT1; GJB5; LMX1B; LRRC18; LRRC23; LRRC48; LRRC71; NPRL2; PIH1D3; RABL2B; RSPH1; RSPH9; SLC43A3; SLC9A3R1; STYXL1; TEKT2; TEKT4; TTC18; TTC25; TTLL10"
"24","FG","Inc9toInc17(+); N5toN9(-)","EPHA4"
"25","FG","Lay2Inc3(-); Inc3toInc9(-); N5toN9(+)","LOC107049904"
"26","FG","Lay2Inc3(-); Inc3toInc9(+)","GMNC"
"27","FG","Lay2Inc3(-); Inc9toInc17(-)","ASB14; C3H20ORF26; C3ORF48; CCDC108; CCDC13; CCDC148; CROCC; DIRC2; DNAH5; FAM179B; FOXJ1; HYDIN; KIAA0556; KIF27; LOC100858131; LOC100859655; LOC107052722; LOC107052731; LOC395991; LOC769510; LRGUK; MYO7A; NGEF; PCNT; PCNXL4; RGS12; RHPN1; SLC45A4; SPAG6; THBS4; TP73; TRAF5; USP2"
"28","FG","Lay2Inc3(-); Inc9toInc17(-); N5toN9(+)","SLC44A5"
"29","FG","Lay2Inc3(-); Inc9toInc17(+)","ACOX1"
"30","FG","Lay2Inc3(-); Inc9toInc17(+); N5toN9(+)","LOC418356"
"31","FG","Lay2Inc3(-); N5toN9(+)","A2ML1; ABCB9; ATP2A3; C2CD4C; CLCN2; CPNE7; FAM107A; FICD; FUT4; HSDL1; LOC100858647; LOC101749151; LOC107049603; METTL7A; NIPAL3; OCX36; OVALX; OvoDA1; PGM3; PIGQ; PPARGC1B; RAPGEFL1; RBP; RIMBP2; SBF1; SERPINB6; SHANK3; SLC5A9; SLMO1; SPATA18; SPINK7; STARD10; STIM1; SULF2; TIPARP; TMC5; TNFAIP6; TUB; ZBTB7B"
"32","FG","Lay2Inc3(+); Inc9toInc17(+)","CCNDBP1; EGFL7; FAM19A5; LOC101751171"
"33","FH","Bldg2Lay(-); Hatch2N5(-)","HBG2"
"34","FH","Hatch2N5(-); In17toHatch(+)","ABCB5; BDNF; CAPN2; DSCR3; HIST1H2A4; NFKBIE; OPN3; PSMD14; TST"
"35","FH","In17toHatch(-); Hatch2N5(+)","GAD2; TACR3"
"36","FH","In17toHatch(-); Inc9toInc17(+); Hatch2N5(+)","IGJ"
"37","FH","Inc9toInc17(-); Hatch2N5(+)","ADGRV1; AGGF1; ALDH1A2; ASB14; ATMIN; BCAR3; C13H5ORF45; C9ORF72; CCDC60; CDH10; CDK5RAP2; CDKL1; CEP290; CHST15; CZH5ORF42; DUSP5; DUSP6; EGR1; EXD3; FAM188B; G2E3; GNE; GPR137B; GRIP1; KBTBD10; MARCH7; MEF2C; MTR; NAA35; NEK1; NR4A3; PCGF3; PEX3; PHF20L1; PLK2; PPP1R9B; RBM12B; REV1; RIBC2; RNF38; RP11-463C8.4; SKP2; SLC17A9; SPEF2; SPTLC3; ST6GAL2; STAC; TAB2; TAMM41; TDG; THOC2; TMTC3; TSTD2; TTLL5; WDR35; WDR60; ZMYND11"
"38","FH","Inc9toInc17(+); Hatch2N5(-)","ABHD16A; ADAM9; ANKRD24; APBB1; ARHGEF3; CALCA; CBLN2; CDR2L; CMIP; CNTN2; CTH; CUX1; DENND2D; DNER; FLII; FNTB; GAA; GPR37; HAPLN2; HAPLN4; ILF2; LLGL2; LMF2; LOC101748212; LOC101749352; LOC101751621; LOC107050516; LOC107050638; LOC107050828; LOC107057574; LOC396224; MAU2; MFSD5; MLF2; NACAD; NEFM; NPEPPS; NTM; OTUB1; OTUD7B; PAGR1; PANX2; PAPPA2; PAQR7; RALGDS; RUFY3; SAMD14; SCHIP1; SLC20A2; SLC9A3R2; SMOX; SMPD1; SMTN; SORT1; SOX10; SOX8; SYT11; SYT2; TGFB3; TMEM136-2; UGT8; ZDHHC9; ZFP91"
"39","FH","Lay2Inc3(-); Hatch2N5(-)","CLIC2; IRF1"
"40","FH","Lay2Inc3(+); Hatch2N5(+)","GABRA5; SOSTDC1"
"41","FP","Bldg2Lay(-); Hatch2N5(-)","CHPF; DDIT3; MAFF; MAGT1; RANGAP1; TSR1; UAP1"
"42","FP","Bldg2Lay(-); Hatch2N5(+)","AEBP1; CEBPA; DNAJB5; EPHA7; FHOD1; SGSM1; SIX2; SSTR3; TMEM8A"
"43","FP","Bldg2Lay(-); Inc9toInc17(-)","ATP1A3; ID3; LAMA4; LASP1; RND2; UNC5A"
"44","FP","Bldg2Lay(-); Inc9toInc17(-); Hatch2N5(+)","COL5A1; PIK3R3"
"45","FP","Bldg2Lay(-); Inc9toInc17(+)","ARID4B; COTL1; GADD45B; IL22RA1; LOC107053040; LOC422151; LOC422926; PPM1E; PRLH; ZC3HAV1L"
"46","FP","Bldg2Lay(-); Inc9toInc17(+); Hatch2N5(-)","ACSBG2; ALG12; CHKA; COPB2; HERPUD1; HSD17B12; HYOU1; KDELR3; MARC2; MLEC; MSMO1; PYCR2; SRM; SURF4; TSPAN13; ZWILCH"
"47","FP","Bldg2Lay(-); Lay2Inc3(+)","ALDH1A2; ATP6V0B; BSG; BTC; CAPG; CD34; CDKN1A; CGA; CLDND1; CORO7; CSRP1; DHRS3; DIO3; DUSP15; EGR3; FAAH2; FBXO2; FDX1L; GAL; GNRHR; HPSE; KRT14; LHPP; LOC100857380; LOC100858626; LOC425531; MRPL14; MXRA7; MYCL; NKIRAS1; NPC2; PGD; REEP6; RITA1; RNF103; RP1-37E16.12; SIL1; SLC6A2; SUPV3L1; TSPAN1"
"48","FP","Bldg2Lay(-); Lay2Inc3(+); Hatch2N5(-)","LOC100859104"
"49","FP","Bldg2Lay(-); Lay2Inc3(+); Hatch2N5(+)","KANK1; LGALS1; SGK2"
"50","FP","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+)","DUSP4; LOC771811; NAP1L1; PDIA3; RBM25; VPS35"
"51","FP","Bldg2Lay(-); Lay2Inc3(+); Inc9toInc17(+); Hatch2N5(-)","ADARB1; ALG2; ARF1; ARF4; C28H19ORF10; CRELD2; DERL2; DNAJB11; DNAJB9; FICD; FKBP11; HM13; HSP90B1; HSPA5; LMAN1; MANF; NABP1; OAZ1; OSTC; P4HB; PDIA6; PPIB; PSMA3; PSMD7; RPS2; RPSA; SDF2L1; SEC13; SEC61A2; SLC33A1; SLC35B1; SPCS2; SPCS3; SSR1; SSR2; SSR3; TMED10; XBP1; YIPF1; YIPF5"
"52","FP","Bldg2Lay(-); Lay2Inc3(+); N5toN9(+)","RASA4"
"53","FP","Bldg2Lay(-); N5toN9(+)","CARD10; CITED4; INSIG1; LOC424214; SEBOX; SPTY2D1; VTN"
"54","FP","Bldg2Lay(+); Hatch2N5(-)","MTBP"
"55","FP","Bldg2Lay(+); Hatch2N5(+)","C24H11ORF63"
"56","FP","Bldg2Lay(+); Inc3toInc9(-)","LOC107054855; REG4"
"57","FP","Bldg2Lay(+); Inc9toInc17(-)","ACCS; ASB11; BCL11B; CMIP; GPR75; MAMLD1; RBFOX1; ROM1; USP3; ZNF385B"
"58","FP","Bldg2Lay(+); Inc9toInc17(-); Hatch2N5(+)","GTF2IRD1"
"59","FP","Bldg2Lay(+); Inc9toInc17(+)","CD24; CLUL1"
