"study","treatment","sex","bird_id","prolactin","corticosterone","testosterone","moltbin","estradiol","progesterone"
"manipulation","m.n2","male","g34.x",4.752768,NA,NA,NA,NA,NA
"characterization","lay","female","s.o.pk",4.42272,0.551469792,NA,1,0.356682075,0.545745107
"characterization","lay","male","o.s.w.r",31.757472,1.469319534,0.354287557,1,NA,0.306928296
"characterization","lay","female","x.w51",5.849024,1.31752803,NA,1,0.156780527,0.72622774
"characterization","lay","male","s.blk.pk.r",4.196544,1.803830373,1.487116698,1,NA,0.298299899
"characterization","lay","male","r.s.pk.blk",26.94272,3.059702362,0.266844309,0,NA,0.243409012
"characterization","lay","female","s.g.blk.o",7.455616,2.517484676,NA,1,0.190706129,NA
"manipulation","m.inc.d8","male","g137.r24.w5",8.00848,1.108729921,0.660662305,1,NA,0.273127988
"manipulation","m.n2","female","g.s.pk.r",11.46544,NA,NA,NA,NA,NA
"manipulation","m.n2","male","g.s.pk.pu",4.884064,NA,NA,NA,NA,NA
"characterization","lay","female","s.d.w.o",28.275584,0.864690709,NA,1,0.256463499,0.505582259
"characterization","lay","male","g.s.pu.blk",11.070784,1.780053166,0.912145171,1,NA,0.779506363
"manipulation","m.n2","female","x.r74.o29",21.036768,NA,NA,NA,NA,NA
"manipulation","m.n2","male","s.d.blk.g",10.812672,NA,NA,NA,NA,NA
"manipulation","extend","female","s.l.o.pk",65.041184,4.929286804,NA,1,0.041911782,0.213680871
"manipulation","extend","male","r.s.l.y",74.042784,4.217974044,0.910630449,1,NA,0.103143545
"characterization","lay","male","s.w.g.blk",3.160896,6.220640994,0.61912264,1,NA,0.900885577
"characterization","lay","female","y.s.o.r",10.178816,1.98159117,NA,1,0.237869208,NA
"manipulation","extend","male","g.s.pk.w",64.986656,1.548633271,0.941115099,1,NA,0.122913252
"manipulation","extend","female","g22.blu118",82.0288,3.794711285,NA,1,0.060455681,0.122543835
"manipulation","extend","male","g8.w32.y147",38.171456,1.382792904,0.469064212,0,NA,NA
"manipulation","extend","female","g17.w108.x",120.349888,4.166797116,NA,1,0.037505461,0.504051529
"manipulation","extend","male","g3.g119.w20",59.700096,2.439766135,0.699580576,1,NA,NA
"manipulation","m.inc.d9","female","d.r.blk.s",8.70192,0.919530208,NA,NA,0.071198921,0.143851264
"manipulation","m.inc.d9","male","l.s.g.blk",16.47488,1.058705702,5.67128071,NA,NA,NA
"characterization","n9","female","r.s.l.w",63.695584,1.322463365,NA,NA,0.430776758,0.131183411
"characterization","n9","male","s.l.o.r",39.593792,1.874067709,2.366128497,NA,NA,0.118150178
"characterization","control","female","blu20.x",NA,NA,NA,NA,0.03796287,NA
"manipulation","extend","female","blu44.y102",NA,9.69129464,NA,1,0.037867647,0.170609784
"characterization","n5","female","blu55.g51",NA,3.297365125,NA,1,0.221616668,NA
"manipulation","m.inc.d17","male","g.o.y.s",NA,NA,NA,1,NA,0.279621317
"characterization","control","female","w191.r1",NA,1.434209445,NA,1,0.039674073,0.603291478
"characterization","bldg","female","w196.r35.x",NA,0.523844389,NA,0,0.156692959,0.153308032
"characterization","inc.d17","female","x.blu116",NA,2.967750473,NA,1,NA,NA
"characterization","control","female","x.r20.lay",NA,0.591740661,NA,NA,0.083921747,1.987782944
"characterization","control","female","x.r9.lay",NA,1.142658641,NA,NA,0.075316037,2.858559469
