"study","treatment","sex","bird_id","prolactin","corticosterone","testosterone","moltbin","estradiol","progesterone"
"characterization","inc.d17","female","y136.x",14.46784,1.154447212,NA,NA,0.147318751,0.137212313
"characterization","inc.d17","male","g143.blu32.x",16.66784,1.056881854,0.359637229,NA,NA,0.196342912
"characterization","inc.d17","female","y130.o170.x",98.980032,4.479875259,NA,NA,0.57498105,0.551210268
"characterization","inc.d17","male","y133.w77.r58",42.11888,1.279641929,0.108402024,1,NA,0.261858495
"characterization","bldg","female","blk11.x",9.317952,0.533776389,NA,1,0.183025323,0.128435322
"characterization","bldg","male","blu33.y88.x",6.364352,1.828215302,0.290325237,1,NA,0.294066562
"characterization","bldg","female","g141.blu27.x",3.8944,4.786075607,NA,1,0.161187691,0.100106664
"characterization","bldg","male","g52.blu58",6.000416,1.427503402,0.445867085,1,NA,NA
"characterization","bldg","female","blu38.g135.x",20.374976,0.757011001,NA,1,0.703096088,NA
"characterization","bldg","male","blu114.r38.w78",5.56448,4.291788132,0.904672467,1,NA,0.123557331
"characterization","lay","male","r190.o43.x",24.222688,0.774815984,NA,1,NA,NA
"characterization","lay","female","x.blu6.y80",14.525568,1.670986755,NA,1,0.145744027,0.326827276
"characterization","inc.d17","male","r176.blu54",19.936832,1.489278643,1.931291258,1,NA,NA
"characterization","inc.d17","female","o52.blu53",19.032064,1.743171282,NA,1,0.297524183,NA
"characterization","bldg","male","x.r67.blu35",6.053696,0.866436303,0.84045417,1,NA,0.136923277
"characterization","bldg","female","x.r39.g10",3.584128,0.84089295477682,NA,1,0.262663109,0.35846196
"characterization","hatch","female","x.Y90",92.909632,1.924041003,NA,1,0.14692331,NA
"characterization","inc.d9","female","x.Y93.G126",8.33888,1.02939697644894,NA,1,0.147094286,0.13368734
"characterization","inc.d9","male","R45.X",21.292608,0.830526437,0.138611515,1,NA,NA
"characterization","hatch","male","R72.Y83.x",85.14816,2.994159834,0.119835774,1,NA,0.123830213
"characterization","n9","female","w178.x",54.155232,1.649155837,NA,0,0.330415811,0.414476486
"characterization","n9","male","r.y.s.blk",24.27712,2.159105618,2.367698806,1,NA,NA
"characterization","n5","female","x.blu109.w121",42.670144,3.834705615,NA,0,0.050593667,1.028887821
"characterization","n5","male","blu37.r65.x",27.685792,1.977024069,0.078260312,0,NA,0.413685621
"manipulation","m.inc.d9","female","y128.g23.x",29.565504,0.874945502,NA,1,0.037849647,0.111240772
"manipulation","m.inc.d9","male","blu108.w40.o158",11.61184,0.946402888,3.670106092,1,NA,0.365570968
"characterization","hatch","female","blu124.w180.x",93.479936,4.334516836,NA,0,0.994276676,0.484782388
"characterization","hatch","male","o39.y77.x",81.486176,1.994435524,0.422906299,1,NA,NA
"characterization","inc.d9","female","blu47.y96.x",30.28672,1.698159785,NA,1,0.057230423,0.111987133
"characterization","inc.d9","female","x.y109",16.804352,1.679627787,NA,1,0.217383835,NA
"characterization","inc.d9","male","w34.x",12.383872,1.814467154,3.015105266,1,NA,1.041813248
"characterization","inc.d3","female","o173.w179.x",29.284512,1.68736856433694,NA,0,0.147310413,0.261899461
"characterization","inc.d3","male","y98.o50.x",15.563872,3.163789489,0.079902934,1,NA,NA
"characterization","inc.d17","female","g142.r40.x",112.998528,1.411796135,NA,1,0.14434064,0.192549725
"characterization","inc.d17","male","blk17.x",97.43184,1.85817094,2.160743394,1,NA,NA
"characterization","inc.d9","female","blk.s.pu.y",11.888864,1.011016195,NA,1,0.04437707,0.205573522
"characterization","inc.d9","male","o49.x",27.214784,1.714570526,0.965307984,1,NA,0.280146491
"characterization","inc.d9","male","o57.g59",32.438336,1.056821637,0.144455927,1,NA,0.1894088
"characterization","inc.d9","female","o73.x",28.936704,2.757044188,NA,1,0.145545891,0.768719041
"characterization","inc.d9","male","y95.g131.x",11.727072,0.927096214,0.152641347,NA,NA,0.28144778
"manipulation","m.inc.d9","female","o36.r62.x",39.82912,0.557771891,NA,NA,0.131527056,NA
"manipulation","m.inc.d9","male","r196.x",7.207104,1.019625533,2.811721911,1,NA,0.204615352
