"gene","padj","logpadj","lfc","tissue","direction"
"TMEM184C",0.00430662550736842,2.36586289168169,-0.252666939363873,"pituitary","female"
"RAB33B",0.00471072019617852,2.32691269089327,-0.254156309098596,"pituitary","female"
"PRKAR2B",0.00744738648335728,2.12799610778761,-0.254356075207325,"pituitary","female"
"AMPH",0.0886618521186467,1.05226320066463,-0.255275496920364,"pituitary","female"
"TBC1D12",0.00841792917551625,2.07479473252146,-0.255492380775624,"pituitary","female"
"LAP3",0.00620601521727348,2.20718716385179,-0.255644202798828,"pituitary","female"
"SLC35F5",0.0184774594260051,1.73335774270016,-0.255840220700301,"pituitary","female"
"TMEM192",0.0124618977465018,1.90441581657927,-0.255881361351883,"pituitary","female"
"LRRC8C",0.000627926272235858,3.20209134581828,-0.256404144997698,"pituitary","female"
"DDX59",0.0828574493670446,1.0816684398872,-0.256566792730905,"pituitary","female"
"RFX6",0.00519035756670495,2.28480272232538,-0.256900245946225,"pituitary","female"
"MTMR8",0.0446750089839478,1.3499353514876,-0.256998766903461,"pituitary","female"
"SPOP",9.74111679154009e-05,4.01139124963069,-0.257000537676666,"pituitary","female"
"FUT11",0.0924076116791553,1.03429225416837,-0.257085142588419,"pituitary","female"
"TTC25",0.0172473226406123,1.76327831233872,-0.257196079739582,"pituitary","female"
"SLC26A5",0.0284357580891792,1.54613518909078,-0.258863628715104,"pituitary","female"
"BORCS5",0.0331170476183345,1.47994838747346,-0.258968927626154,"pituitary","female"
"PHTF2",0.0379901186739854,1.42032934978888,-0.259296537619758,"pituitary","female"
"EIF1AY",0.0141902372257111,1.84801034415097,-0.259504970471501,"pituitary","female"
"GPR85",0.0125787861001951,1.90036126790696,-0.260675028982577,"pituitary","female"
"SAMHD1",0.0127013948630075,1.89614858234778,-0.260792168789804,"pituitary","female"
"THOC7",0.0280047022980874,1.55276903970601,-0.260849738756866,"pituitary","female"
"PLEKHF2",0.0418310137491153,1.37850161042984,-0.261572675336462,"pituitary","female"
"USP53",0.0767356829240852,1.11500263744141,-0.261884622855521,"pituitary","female"
"PARP11",0.052537078423753,1.27953408190628,-0.262122403579093,"pituitary","female"
"DUSP7",0.0908334948803147,1.04175397571544,-0.262200823486882,"pituitary","female"
"RGS7",0.043924931124049,1.35728891082228,-0.263849884625987,"pituitary","female"
"RPS6KA5",0.00482557342365389,2.31645107197166,-0.26396733374117,"pituitary","female"
"PTPDC1",0.0793147159793357,1.10064622660814,-0.264081088460648,"pituitary","female"
"LIG4",0.0945650538314489,1.02426932588266,-0.264381064522358,"pituitary","female"
"ACOT9",0.0175907348107817,1.75471601855264,-0.2654475462096,"pituitary","female"
"ADCK1",0.0791589224184438,1.1015001264276,-0.265497723643102,"pituitary","female"
"AKTIP",0.00127150327540405,2.89568251674028,-0.265632040870991,"pituitary","female"
"BMI1",0.00246988333009047,2.60732356102965,-0.265892386186721,"pituitary","female"
"C8H1ORF27",0.010248242941607,1.98935058789366,-0.265920012120974,"pituitary","female"
"ASXL1",0.046932302552593,1.32852813827941,-0.265984519733104,"pituitary","female"
"MMADHC",0.00240916743648137,2.61813301560441,-0.26621095468324,"pituitary","female"
"OPA1",0.000335700475756701,3.47404804326684,-0.266892678702713,"pituitary","female"
"RRM2B",0.0264659274611062,1.57731288216835,-0.266903439626757,"pituitary","female"
"YOD1",0.0112996124948263,1.94693644981253,-0.266961433976489,"pituitary","female"
"VPS39",0.000569495247625185,3.24450989570915,-0.267099222936829,"pituitary","female"
"PPM1K",0.0358053100924408,1.44605256070721,-0.267578157540328,"pituitary","female"
"REXO4",0.00595794956586494,2.22490317741491,-0.2684403687957,"pituitary","female"
"LMBR1",0.00166237448328464,2.77927113596455,-0.268452115948719,"pituitary","female"
"ANKRD13A",0.000355135324171947,3.44960612767032,-0.268839760479835,"pituitary","female"
"ACADSB",0.0266820041061271,1.57378155333329,-0.269007550402529,"pituitary","female"
"SPG20",0.0261144807344696,1.58311860533901,-0.269079657945829,"pituitary","female"
"C5ORF22",0.0239792946710733,1.62016359542257,-0.269539361957116,"pituitary","female"
"ADCY7",0.0291890790464798,1.53477960735325,-0.26956954099595,"pituitary","female"
"SLIT2",0.0249305242097893,1.60326858956581,-0.269619874083902,"pituitary","female"
"CBFB",0.0758502138512681,1.12004319043039,-0.269662633456129,"pituitary","female"
"SLC25A24",0.0211694566674857,1.67429028838309,-0.269852919670865,"pituitary","female"
"CNTNAP2",0.0504983256654401,1.29672302121431,-0.269882358055717,"pituitary","female"
"SRPK2",0.00624648860727367,2.2043640477806,-0.270004156343466,"pituitary","female"
"PPARA",0.0868042182734081,1.06145916965817,-0.270183032367024,"pituitary","female"
"SLCO5A1",7.93799472593197e-05,4.10028919397753,-0.270894776014129,"pituitary","female"
"LOC101751641",0.00180131679664825,2.74440990131862,-0.27129929320338,"pituitary","female"
"AIG1",0.0464047637595857,1.33343743392129,-0.271307910297721,"pituitary","female"
"NAP1L1",0.0448147452057141,1.34857906841571,-0.27134440797954,"pituitary","female"
"UBE2D2",5.07287931942233e-05,4.29474546914965,-0.271386300501574,"pituitary","female"
"AGPAT3",0.0375539650116291,1.42534420268743,-0.272273133180129,"pituitary","female"
"MRPL13",0.0386335981348569,1.41303484201457,-0.27288260828312,"pituitary","female"
