"study","treatment","sex","bird_id","hormone","plasma_conc"
"manipulation","m.inc.d17","male","s096.g.blk.pk","prolactin",3.44
"manipulation","m.inc.d17","female","s100.l.pk.blk","prolactin",13.28
"manipulation","m.inc.d3","female","s103.y.pk.blk","prolactin",7.25
"characterization","lay","female","s136.d.w.o","prolactin",28.28
"manipulation","extend","female","s137.g.blk.y","prolactin",48.44
"manipulation","m.inc.d3","male","s139.l.blk.w","prolactin",3.51
"characterization","lay","female","s142.o.pk.pu","prolactin",6.88
"characterization","lay","male","s150.w.g.blk","prolactin",3.16
"manipulation","m.inc.d3","male","s175.blk.pu.pk","prolactin",6.3
"characterization","lay","female","s176.blk.pu.r","prolactin",6.08
"manipulation","extend","female","s186.l.o.pk","prolactin",65.04
"characterization","n9","male","s187.l.o.r","prolactin",39.59
"characterization","lay","male","s243.blk.pk.r","prolactin",4.2
"manipulation","m.n2","female","s333.y.blk.pk","prolactin",47.69
"characterization","bldg","male","s.pu148.blk.r","prolactin",3.59
"characterization","control","female","s.x","prolactin",39.49
"characterization","control","male","x.blk.blk","prolactin",4.15
"characterization","inc.d17","female","x.blu116.w107","prolactin",NA
"characterization","control","male","x.blu.o","prolactin",14.92
"characterization","control","male","x.g","prolactin",3.83
"characterization","control","female","x.g.g","prolactin",21.53
"characterization","control","male","x.g.g.g","prolactin",25.35
"characterization","hatch","female","x.y90","prolactin",92.91
"characterization","inc.d9","female","x.y93.g126","prolactin",8.34
"characterization","control","male","x.y.s","prolactin",NA
"manipulation","m.inc.d3","male","y18.x","prolactin",8.33
"characterization","lay","female","y.s156.o.r","prolactin",10.18
"characterization","n5","female","blu55.g51","prolactin",203.69
"manipulation","extend","female","blu44.y102","prolactin",152.37
"manipulation","extend","female","g17.w108.x","prolactin",120.35
"characterization","inc.d17","female","g142.r40.x","prolactin",113
"characterization","inc.d17","male","g130.y81.x","prolactin",100.91
"manipulation","extend","female","blk19.x","prolactin",100.68
"characterization","inc.d17","female","y130.o170.x","prolactin",98.98
"characterization","inc.d17","male","blk17.x","prolactin",97.43
"characterization","inc.d17","female","r49.w189.x","prolactin",94.75
"characterization","hatch","female","blu124.w180.x","prolactin",93.48
"characterization","hatch","female","x.r44.w95","prolactin",92.22
"characterization","inc.d3","female","o165.w122.x","prolactin",91.77
"characterization","hatch","male","x.g70","prolactin",90.94
"characterization","inc.d17","female","x.r48.y139","prolactin",89.04
"characterization","hatch","male","g53.y84","prolactin",87.14
"characterization","hatch","female","blk21.x","prolactin",86.72
"manipulation","prolong","female","y146.r32.x","prolactin",86.71
"manipulation","prolong","female","r194.x","prolactin",86.44
"characterization","hatch","female","y7.g58","prolactin",85.76
"manipulation","prolong","female","x.blk20","prolactin",85.62
"manipulation","prolong","male","o114.blu9","prolactin",85.17
"characterization","hatch","male","o44.blu26.x","prolactin",84.44
"manipulation","prolong","female","s.pu.pk","prolactin",84.42
"characterization","n5","male","x.r181","prolactin",82.73
"manipulation","extend","female","g22.blu118","prolactin",82.03
"characterization","hatch","male","o39.y77.x","prolactin",81.49
"characterization","inc.d17","female","y135.blu107.x","prolactin",81.04
"manipulation","extend","female","x.o61","prolactin",80.96
"manipulation","extend","male","blu84.x","prolactin",80.69
"manipulation","prolong","female","x.y145.r55","prolactin",78.75
"characterization","hatch","male","r41.w99.x","prolactin",77.01
"characterization","n5","female","x.o70","prolactin",76.74
"manipulation","m.inc.d17","male","y4.x","prolactin",76.73
"characterization","n5","female","x.o175.g21","prolactin",76.54
"manipulation","prolong","male","x.y79","prolactin",74.77
"characterization","hatch","male","x.r178","prolactin",74.31
"manipulation","prolong","male","x.blu57","prolactin",73.62
"manipulation","extend","female","x.y64","prolactin",72.76
"characterization","inc.d17","male","x.blu117.w89","prolactin",72.73
"characterization","inc.d17","female","y126.w92.x","prolactin",72.34
"characterization","hatch","female","y15.x","prolactin",71.09
"characterization","inc.d17","male","blu121.w91.x","prolactin",68.15
"characterization","n5","male","x.o164.w123","prolactin",68.09
"manipulation","extend","male","x.blu73","prolactin",66.9
"characterization","hatch","male","x.o160.w102","prolactin",65.24
"manipulation","prolong","male","r90.x","prolactin",64.08
"characterization","inc.d17","male","x.y132.w76","prolactin",63.52
"characterization","hatch","female","o172.w115.x","prolactin",63.41
"characterization","n5","female","x.g43","prolactin",62.48
"characterization","inc.d17","female","x.o159.w90","prolactin",62.37
"manipulation","prolong","male","g38.x","prolactin",61.35
"characterization","n5","male","o152.o120.w42","prolactin",61.03
"characterization","inc.d17","male","blu113.w124.x","prolactin",60.09
"characterization","n5","female","x.g49","prolactin",59.95
"manipulation","extend","male","g3.g119.w20","prolactin",59.7
"characterization","n9","female","blk4.x","prolactin",59.31
"characterization","n9","female","x.g4.w50","prolactin",58.86
"characterization","hatch","female","x.o37.blu50","prolactin",58.68
"manipulation","m.inc.d17","female","o169.r28.x","prolactin",58.22
"characterization","hatch","male","blu104.w120.x","prolactin",56.98
"characterization","n5","male","x.blu30","prolactin",56.58
"characterization","n9","female","x.y9","prolactin",55.28
"characterization","n9","female","x.w178","prolactin",54.16
"characterization","n9","male","x.blk16","prolactin",53.65
"characterization","n5","female","x.r50.w97","prolactin",50.76
"characterization","n5","male","blu41.y100.x","prolactin",50.7
"characterization","n9","female","blu36.w16","prolactin",50.03
"characterization","n5","male","x.o68","prolactin",48.13
"characterization","inc.d3","female","x.blu102.w105","prolactin",47.96
"manipulation","prolong","male","r81.x","prolactin",47.51
"manipulation","m.n2","female","x.o171.w45","prolactin",45.2
