"","gene","direction.x","direction.y"
"430","CZH5ORF51","male",NA
"431","CZH5ORF63","male",NA
"432","CZH9ORF3","male","lo"
"433","CZH9ORF40","male",NA
"434","CZH9ORF64","male",NA
"435","CZH9ORF84","male",NA
"436","D2HGDH","female",NA
"437","DAB2","male","lo"
"438","DACT1","female","lo"
"439","DACT2","male","lo"
"440","DAP3","female",NA
"441","DAPK1","male",NA
"442","DAW1","male",NA
"443","DBNDD2","female",NA
"444","DCAF10","male","lo"
"445","DCAF12","male",NA
"446","DCAF6","female",NA
"447","DCDC2","female",NA
"448","DCHS1","female","lo"
"449","DCLRE1A","male",NA
"450","DCN","male","lo"
"451","DCP2","male",NA
"452","DCTN3","male",NA
"453","DDC","female",NA
"454","DDI2","female",NA
"455","DDO","female",NA
"456","DDOST","female","hi"
"457","DDX17","female",NA
"458","DDX31","female",NA
"459","DDX3X","male","hi"
"460","DDX4","male",NA
"461","DENND2D","female","lo"
"462","DENND4C","male",NA
"463","DEPDC5","female",NA
"464","DERL2","female","hi"
"465","DFNB59","female",NA
"466","DGKE","male",NA
"467","DGKQ","male",NA
"468","DGKZ","female","lo"
"469","DHCR24","male",NA
"470","DHFR","male",NA
"471","DHRS3","male",NA
"472","DHRS4","female",NA
"473","DHX29","male",NA
"474","DHX32","male",NA
"475","DIMT1","male",NA
"476","DIO2","male",NA
"477","DIS3L","female",NA
"478","DLAT","female",NA
"479","DLD","female",NA
"480","DLL1","female",NA
"481","DLST","female",NA
"482","DMGDH","male",NA
"483","DMXL1","male",NA
"484","DMXL2","male",NA
"485","DNAH10","male",NA
"486","DNAI1","male",NA
"487","DNAJA1","male","hi"
"488","DNAJB11","female","hi"
"489","DNAJB5","male",NA
"490","DNAJC1","female","hi"
"491","DNAJC21","male",NA
"492","DNAJC25","male",NA
"493","DNAJC6","male",NA
"494","DNAL4","female",NA
"495","DNM1L","female","hi"
"496","DOCK8","male",NA
"497","DOK7","male",NA
"498","DPAGT1","female",NA
"499","DPH2","female",NA
"500","DPH6","female","hi"
"501","DPP6","male","lo"
"502","DPP7","female","hi"
"503","DPT","male",NA
"504","DPY30","male","hi"
"505","DRCC1","female",NA
"506","DRD1","male",NA
"507","DSE","male",NA
"508","DSG2","male","lo"
"509","DSTYK","female",NA
"510","DTNBP1","male","hi"
"511","DTWD2","male",NA
"512","DTX1","female",NA
"513","DTYMK","female",NA
"514","DUS1L","female","hi"
"515","DUSP7","male","lo"
"516","DUSP8","male",NA
"517","DYM","female","hi"
"518","DYNC2H1","female",NA
"519","DYSF","female","lo"
"520","E2F8","male",NA
"521","EBF2","male",NA
"522","ECEL1","female",NA
"523","ECHDC2","female",NA
"524","ECHS1","female",NA
"525","ECI1","female",NA
"526","EDA2R","female",NA
"527","EDN1","male",NA
"528","EDN3","male","lo"
"529","EDNRB","male",NA
"530","EEF1A1","female",NA
"531","EEF2","female",NA
"532","EEFSEC","female",NA
"533","EEPD1","male","lo"
"534","EFCAB1","female",NA
"535","EFCC1","male",NA
