"","gene","direction.x","direction.y"
"974","LGALS1","female",NA
"975","LGALSL","male",NA
"976","LGI2","female","lo"
"977","LIMD2","male","lo"
"978","LIN54","female",NA
"979","LIPG","female",NA
"980","LIPT1","female",NA
"981","LMAN1","female","hi"
"982","LMAN2","female",NA
"983","LMBR1L","female",NA
"984","LMBRD2","male",NA
"985","LMNB1","male","hi"
"986","LMO2","female",NA
"987","LNPEP","male",NA
"988","LOC100857197","male",NA
"989","LOC100857280","female",NA
"990","LOC100857445","female",NA
"991","LOC100857565","female",NA
"992","LOC100857745","male",NA
"993","LOC100857781","female",NA
"994","LOC100857837","female",NA
"995","LOC100858077","male",NA
"996","LOC100858127","male",NA
"997","LOC100858301","female",NA
"998","LOC100858363","female",NA
"999","LOC100858579","male",NA
"1000","LOC100858626","female",NA
"1001","LOC100858693","female",NA
"1002","LOC100858799","male",NA
"1003","LOC100858919","male","lo"
"1004","LOC100858941","male",NA
"1005","LOC100859272","female","lo"
"1006","LOC100859284","male",NA
"1007","LOC100859347","female","lo"
"1008","LOC100859434","female",NA
"1009","LOC100859442","male","hi"
"1010","LOC100859478","female",NA
"1011","LOC100859605","female","hi"
"1012","LOC100859904","male",NA
"1013","LOC101747869","female","hi"
"1014","LOC101747901","male",NA
"1015","LOC101748065","male",NA
"1016","LOC101748153","female",NA
"1017","LOC101748344","female",NA
"1018","LOC101748527","female",NA
"1019","LOC101748614","male","hi"
"1020","LOC101748788","male",NA
"1021","LOC101749001","male",NA
"1022","LOC101749138","female",NA
"1023","LOC101749175","female","hi"
"1024","LOC101749230","male",NA
"1025","LOC101749247","female",NA
"1026","LOC101749375","female",NA
"1027","LOC101749492","male",NA
"1028","LOC101750092","female",NA
"1029","LOC101750188","female","hi"
"1030","LOC101750288","male","hi"
"1031","LOC101750393","male",NA
"1032","LOC101750586","female",NA
"1033","LOC101750925","female",NA
"1034","LOC101751203","female",NA
"1035","LOC101751240","female",NA
"1036","LOC101752289","female",NA
"1037","LOC107049015","male",NA
"1038","LOC107049097","female",NA
"1039","LOC107049275","female",NA
"1040","LOC107049309","male",NA
"1041","LOC107049315","male","lo"
"1042","LOC107049317","male",NA
"1043","LOC107049322","male",NA
"1044","LOC107049324","male",NA
"1045","LOC107049327","female",NA
"1046","LOC107049346","male",NA
"1047","LOC107049717","female","lo"
"1048","LOC107050049","female","hi"
"1049","LOC107050292","female",NA
"1050","LOC107050350","male",NA
"1051","LOC107050474","female",NA
"1052","LOC107050569","male",NA
"1053","LOC107050608","male",NA
"1054","LOC107050717","female",NA
"1055","LOC107051277","female","hi"
"1056","LOC107052324","male",NA
"1057","LOC107052389","male",NA
"1058","LOC107052863","female","hi"
"1059","LOC107053040","male","hi"
"1060","LOC107053211","female",NA
"1061","LOC107053447","male",NA
"1062","LOC107053826","male",NA
"1063","LOC107053893","female",NA
"1064","LOC107054363","female","lo"
"1065","LOC107054425","female",NA
"1066","LOC107055115","female","lo"
"1067","LOC107055116","female",NA
"1068","LOC107055293","female",NA
"1069","LOC107055438","female",NA
"1070","LOC107055647","female",NA
"1071","LOC107055731","female",NA
"1072","LOC107056260","female",NA
"1073","LOC107056274","female",NA
"1074","LOC107056412","female",NA
"1075","LOC107057057","female",NA
"1076","LOC107057340","female",NA
"1077","LOC107057564","female",NA
"1078","LOC107057567","female",NA
"1079","LOC395159","female",NA
"1080","LOC415324","female",NA
"1081","LOC415852","female","lo"
"1082","LOC416696","female","hi"
"1083","LOC417253","female","hi"
"1084","LOC417414","female","lo"
"1085","LOC418189","female",NA
"1086","LOC418423","male","lo"
"1087","LOC419074","female",NA
"1088","LOC419429","female","lo"
"1089","LOC419677","female",NA
"1090","LOC420716","female","hi"
"1091","LOC420860","male","hi"
"1092","LOC421106","female","hi"
"1093","LOC421419","female",NA
"1094","LOC421975","female","hi"
"1095","LOC422151","female","hi"
"1096","LOC422171","female",NA
"1097","LOC422316","female",NA
"1098","LOC422926","female","hi"
"1099","LOC422993","male",NA
"1100","LOC423247","female",NA
"1101","LOC423478","female",NA
"1102","LOC423752","female","lo"
"1103","LOC424300","female",NA
"1104","LOC424917","female",NA
"1105","LOC424919","male","lo"
"1106","LOC425531","female",NA
"1107","LOC427201","male",NA
"1108","LOC427400","male",NA
"1109","LOC427439","female",NA
"1110","LOC427799","male","lo"
"1111","LOC427826","female",NA
"1112","LOC428867","male",NA
"1113","LOC430303","female","lo"
"1114","LOC431243","male",NA
"1115","LOC768709","male","lo"
"1116","LOC769000","female","lo"
"1117","LOC769421","female",NA
"1118","LOC769512","male",NA
"1119","LOC769726","male",NA
"1120","LOC770429","female",NA
"1121","LOC770492","female",NA
"1122","LOC771735","female",NA
"1123","LOC772096","female",NA
"1124","LOC772243","female",NA
"1125","LOC776275","female","lo"
"1126","LONRF3","male",NA
"1127","LOXL1","female",NA
"1128","LPL","male",NA
"1129","LPPR1","male","lo"
"1130","LRAT","male","lo"
"1131","LRP12","male","hi"
"1132","LRP2","female",NA
"1133","LRP8","male",NA
"1134","LRPPRC","female","hi"
"1135","LRRC1","female",NA
"1136","LRRC16A","female",NA
"1137","LRRC17","male","lo"
"1138","LRRC19","male",NA
"1139","LRRC3B","male",NA
"1140","LRRC3C","female",NA
"1141","LRRC58","female",NA
"1142","LRRC70","male",NA
"1143","LRRC8C","female",NA
"1144","LRRN1","male","lo"
"1145","LRRTM1","female",NA
"1146","LRTM2","female","lo"
"1147","LSAMP","female","lo"
"1148","LSM12","male",NA
"1149","LSP1","male","lo"
"1150","LTBP1","male","lo"
"1151","LTBP2","female",NA
"1152","LUM","male","lo"
"1153","LYRM7","male",NA
"1154","LYSMD3","male",NA
"1155","LYVE1","male",NA
"1156","MAGI1","female",NA
"1157","MAMDC2","female",NA
"1158","MAML2","female","lo"
"1159","MANBA","female",NA
"1160","MANSC4","female","lo"
"1161","MAOA","female","lo"
"1162","MAP1A","male",NA
"1163","MAP1B","male",NA
"1164","MAP1LC3C","male",NA
"1165","MAP2K4","female",NA
"1166","MAP3K1","male","lo"
"1167","MAPK1","male",NA
"1168","MAPK13","female",NA
"1169","MAPK14","female",NA
"1170","MAPKAPK2","male",NA
"1171","MARCH3","male",NA
"1172","MARCKSL1","female",NA
"1173","MARVELD2","male",NA
"1174","MAST4","male",NA
"1175","MATR3","male",NA
"1176","MBLAC2","male",NA
"1177","MBP","male",NA
"1178","MBTPS1","female","hi"
"1179","MCC","male",NA
"1180","MCCC1","male",NA
"1181","MCCC2","male",NA
"1182","MCHR1","female",NA
"1183","MDGA2","female",NA
"1184","MDK","female",NA
"1185","MEAF6","female",NA
"1186","MECR","female",NA
"1187","MED10","female",NA
"1188","MED17","male",NA
"1189","MED18","male","lo"
"1190","MEIS2","female",NA
"1191","MELK","male",NA
"1192","MEST","female","hi"
"1193","Metazoa_SRP","male",NA
"1194","METRNL","female","hi"
"1195","METTL24","male","lo"
"1196","METTL8","female",NA
"1197","MFAP3","male",NA
"1198","MFI2","female",NA
"1199","MFSD12","female",NA
"1200","MFSD6","male",NA
"1201","MFSD7","male",NA
"1202","MGAT5","male",NA
"1203","MGP","male",NA
"1204","MIA3","female","hi"
"1205","MIB2","female",NA
"1206","MICAL2","female",NA
"1207","MICALL1","female","lo"
"1208","MIER3","female",NA
"1209","MKNK2","female",NA
"1210","MLF1","male",NA
"1211","MLLT3","male",NA
"1212","MMGT1","female",NA
"1213","MMP2","male","lo"
"1214","MNX1","female",NA
"1215","MOCS2","male",NA
"1216","MOGAT2","female",NA
"1217","MORF4L1","male",NA
"1218","MPDZ","male",NA
"1219","MPND","female",NA
"1220","MPP4","female",NA
"1221","MPPED1","male",NA
"1222","MREG","female",NA
"1223","MRPL17","male",NA
"1224","MRPL2","female",NA
"1225","MRPL35","female",NA
"1226","MRPL47","female","hi"
"1227","MRPL50","male",NA
"1228","MRPS22","female","hi"
"1229","MRPS27","male",NA
"1230","MRPS36","female",NA
"1231","MSH3","male","hi"
"1232","MSTN","male",NA
"1233","MTFMT","female",NA
"1234","MTHFD2","male",NA
"1235","MTMR1","male","hi"
"1236","MTMR12","male",NA
"1237","MTMR9","male",NA
"1238","MTUS1","female",NA
"1239","MTX3","male",NA
"1240","MUT","female",NA
"1241","MVB12B","female",NA
"1242","MXI1","male",NA
"1243","MXRA5","male","lo"
"1244","MYBBP1A","female","hi"
"1245","MYCL","female",NA
"1246","MYCT1","female","lo"
"1247","MYH11","male",NA
"1248","MYH1C","female",NA
"1249","MYH7","female",NA
"1250","MYLIP","male",NA
"1251","MYLK","male","lo"
"1252","MYLK3","male",NA
"1253","MYO3AL","male","lo"
"1254","MYO7A","male","lo"
"1255","MYO7B","male",NA
"1256","MYO7L2","female",NA
"1257","MYRIP","female","hi"
"1258","NAA35","male",NA
"1259","NAA60","female",NA
"1260","NADK2","male",NA
"1261","NADSYN1","female",NA
"1262","NAGA","female",NA
"1263","NAMPT","male","lo"
"1264","NANS","male",NA
"1265","NARS","male",NA
"1266","NAV2","male","lo"
"1267","NCAM2","male",NA
"1268","NCBP1","male",NA
"1269","NCLN","female","hi"
"1270","NCOA4","female",NA
"1271","NCS1","male","hi"
"1272","NDNF","male","lo"
"1273","NDRG1","female",NA
"1274","NDRG4","female","lo"
"1275","NDST3","male",NA
"1276","NDST4","male","hi"
"1277","NDUFAF2","male",NA
"1278","NDUFAF3","female",NA
"1279","NDUFS1","female","hi"
"1280","NDUFS4","male",NA
"1281","NEBL","male","hi"
"1282","NECAP2","female",NA
"1283","NEK6","female","hi"
"1284","NELFA","female",NA
"1285","NETO2","male",NA
"1286","NFE2L2","male",NA
"1287","NFIB","male",NA
"1288","NFIL3","male",NA
"1289","NFKB1","female",NA
"1290","NFKBIA","female","lo"
"1291","NHSL1","female",NA
"1292","NID1","male","lo"
"1293","NINJ2","male",NA
"1294","NIPA1","female",NA
"1295","NIPA2","female",NA
"1296","NIPSNAP3A","male","lo"
"1297","NLN","male",NA
"1298","NME4","female",NA
"1299","NMNAT1","female",NA
"1300","NMRK1","male",NA
"1301","NMT1","female",NA
"1302","NOC3L","female",NA
"1303","NOG","female",NA
"1304","NOL6","male",NA
"1305","NOLC1","female",NA
"1306","NOS3","female","lo"
"1307","NOTCH2","female","lo"
"1308","NOTUM","male","lo"
"1309","NPC2","female","hi"
"1310","NPDC1","male",NA
"1311","NPEPPS","female",NA
"1312","NPHP4","female",NA
"1313","NPM3","female","hi"
"1314","NPR3","male",NA
"1315","NR0B1","male","lo"
"1316","NR1D1","female","lo"
"1317","NR1D2","male",NA
"1318","NR2F2","male",NA
"1319","NR4A2","male",NA
"1320","NR5A2","female",NA
"1321","NRARP","female",NA
"1322","NRBP2","female",NA
"1323","NREP","male",NA
"1324","NRSN1","female","hi"
"1325","NSMF","female",NA
"1326","NTAN1","male",NA
"1327","NTF3","female",NA
"1328","NTN4","female","hi"
"1329","NTNG1","female","lo"
"1330","NTNG2","female",NA
"1331","NTRK2","male","lo"
"1332","NTRK3","male",NA
"1333","NUDT12","male",NA
"1334","NUDT2","male",NA
"1335","NUP155","male",NA
"1336","NUP88","male",NA
"1337","NWD2","male",NA
"1338","NXNL2","male",NA
"1339","OAZ2","female",NA
"1340","OCLN","female",NA
"1341","OGDH","female",NA
"1342","OGDHL","female",NA
"1343","OIP5","female",NA
"1344","OLFM3","male","lo"
"1345","OLFML1","male","lo"
"1346","OLFML3","male","lo"
"1347","OPRM1","female",NA
"1348","ORC3","female",NA
"1349","OSGIN1","male",NA
"1350","OSMR","male",NA
"1351","OSTF1","male",NA
"1352","OTOA","female",NA
"1353","OTOF","male","lo"
"1354","OXCT1","male",NA
"1355","P2RX5","female",NA
"1356","P4HA1","male",NA
"1357","P4HB","female","hi"
"1358","PABPC1L","female",NA
"1359","PAIP1","male",NA
"1360","PAK1","male","lo"
"1361","PAK6","male",NA
"1362","PAMR1","female",NA
"1363","PANK3","male",NA
"1364","PAPD4","male",NA
"1365","PAPLN","female",NA
"1366","PAQR3","female",NA
"1367","PARG","female","hi"
"1368","PARM1","female",NA
"1369","PARP8","male",NA
"1370","PARVA","male","hi"
"1371","PARVB","female",NA
"1372","PAX6","male",NA
"1373","PCCB","female",NA
"1374","PCDH20","female",NA
"1375","PCGF3","male",NA
"1376","PCMT1","male",NA
"1377","PCNP","male",NA
"1378","PCP4","male","hi"
"1379","PCYT1A","female",NA
"1380","PCYT1B","female","hi"
"1381","PDCD11","female",NA
"1382","PDCD1LG2","male",NA
"1383","PDDC1","male",NA
"1384","PDE3B","male","hi"
"1385","PDE4D","male","hi"
"1386","PDE8A","male","hi"
"1387","PDE8B","male","hi"
"1388","PDE9A","male",NA
"1389","PDGFD","female","hi"
"1390","PDGFRA","male","lo"
"1391","PDIA4","female","hi"
"1392","PDIA6","female","hi"
"1393","PDK4","female",NA
"1394","PDLIM1","female",NA
"1395","PDLIM3","male","lo"
"1396","PDLIM4","male","lo"
"1397","PDXDC1","female","hi"
"1398","PDYN","female",NA
"1399","PDZD2","male",NA
"1400","PDZRN3","female",NA
"1401","PECAM1","female",NA
"1402","PELI2","female",NA
"1403","PELO","male",NA
"1404","PEX5L","female",NA
"1405","PFKFB2","female",NA
"1406","PFKFB3","female",NA
"1407","PFN4","male",NA
"1408","PGBD5","female","lo"
"1409","PGK1","male","hi"
"1410","PGM5","male","lo"
"1411","PGR","female",NA
"1412","PGRMC1","male",NA
"1413","PHAX","male",NA
"1414","PHF19","female",NA
"1415","PHF21B","female",NA
"1416","PHOSPHO2","female",NA
"1417","PI4K2B","male","hi"
"1418","PIAS2","male",NA
"1419","PIAS4","male",NA
"1420","PID1","male","lo"
"1421","PIGG","male","lo"
"1422","PIGM","female","hi"
"1423","PIGO","male",NA
"1424","PIGS","female",NA
"1425","PIGT","female",NA
"1426","PIK3C3","male",NA
"1427","PIK3IP1","female",NA
"1428","PIK3R1","male",NA
"1429","PIK3R2","male",NA
"1430","PIK3R3","female",NA
"1431","PINLYP","male","lo"
"1432","PIP5K1B","male","lo"
"1433","PISD","female",NA
"1434","PITPNA","male",NA
"1435","PITPNB","male",NA
"1436","PJA2","male",NA
"1437","PKDCCb","female",NA
"1438","PKIA","female","lo"
"1439","PLA2G4F","male",NA
"1440","PLA2R1","female",NA
"1441","PLAA","male",NA
"1442","PLAC9","male","lo"
"1443","PLAT","female",NA
"1444","PLAU","male","lo"
"1445","PLCB1","female","hi"
"1446","PLCB2","female","hi"
"1447","PLCB4","male",NA
"1448","PLCE1","female",NA
"1449","PLCG1","male","lo"
"1450","PLCXD2","male",NA
"1451","PLCXD3","male",NA
"1452","PLD3","female",NA
"1453","PLEKHG1","male","hi"
"1454","PLEKHG5","female","lo"
"1455","PLIN2","male",NA
"1456","PLK2","male",NA
"1457","PLLP","male",NA
"1458","PLVAP","female",NA
"1459","PNP","male",NA
"1460","PNPLA8","male","hi"
"1461","PODN","male","lo"
"1462","PODXL","female","lo"
"1463","POGZ","female","lo"
"1464","POLA1","female","hi"
"1465","POLK","male",NA
"1466","POLR1C","female",NA
"1467","POLR1E","male",NA
"1468","POLR3D","female",NA
"1469","POLR3G","male",NA
"1470","POMGNT2","male",NA
"1471","POMT1","female",NA
"1472","POR","female",NA
"1473","PPAP2A","male",NA
"1474","PPAPDC1A","male",NA
"1475","PPIC","male","hi"
"1476","PPIH","female",NA
"1477","PPIL2","female",NA
"1478","PPL","female",NA
"1479","PPP1CB","male",NA
"1480","PPP1R1C","female",NA
"1481","PPP1R9A","female",NA
"1482","PPP2R3A","female",NA
"1483","PPP3CB","female",NA
"1484","PPTC7","female","lo"
"1485","PPWD1","male",NA
"1486","PQLC3","female",NA
"1487","PRCP","female",NA
"1488","PRDM1","female",NA
"1489","PRELP","male","lo"
"1490","PREPL","female","hi"
"1491","PRKAA1","male",NA
"1492","PRKACB","male",NA
"1493","PRKAR1A","male","hi"
"1494","PRLH","female","hi"
"1495","PRLHR","female",NA
"1496","PRLR","male",NA
"1497","PROM1","female",NA
"1498","PRPSAP2","male",NA
"1499","PRRC1","male",NA
"1500","PRRG3","female",NA
"1501","PRSS12","male",NA
"1502","PRTFDC1","male",NA
"1503","PSAP","female",NA
"1504","PSAT1","male",NA
"1505","PSD3","male",NA
"1506","PSIP1","male",NA
"1507","PTAR1","male",NA
"1508","PTCD2","male",NA
"1509","PTCH1","male",NA
"1510","PTCHD1","female","lo"
"1511","PTGDS","male","lo"
"1512","PTGR1","male",NA
"1513","PTHLH","male",NA
"1514","PTMS","male",NA
"1515","PTPLAD2","male",NA
"1516","PTPLB","male",NA
"1517","PTPN5","male","hi"
"1518","PTPRZ1","female",NA
"1519","PUM2","female",NA
"1520","PXN","female","lo"
"1521","QARS","female",NA
"1522","QDPR","male","hi"
"1523","QPCT","female","hi"
"1524","QRFPR","male",NA
"1525","QRSL1","male","hi"
"1526","QTRTD1","female",NA
"1527","RAB11FIP1","female",NA
"1528","RAB11FIP5","female","lo"
"1529","RAB28","male","hi"
"1530","RAB32","male","lo"
"1531","RAB36","male",NA
"1532","RAB3C","male",NA
"1533","RAB40B","female",NA
"1534","RAB6A","female",NA
"1535","RABIF","female",NA
"1536","RABL6","female",NA
"1537","RAD1","male",NA
"1538","RAD17","male",NA
"1539","RAD21","male","hi"
"1540","RAD23B","male","lo"
"1541","RAI14","male",NA
"1542","RAI2","female",NA
"1543","RALGAPB","male",NA
"1544","RAMP2","female","lo"
"1545","RAP1A","male","hi"
"1546","RAPGEF3","female","lo"
"1547","RASA1","male",NA
"1548","RASA4","female","hi"
"1549","RASAL1","female","hi"
"1550","RASD1","male",NA
"1551","RASEF","male",NA
"1552","RASGEF1A","male","lo"
"1553","RASGEF1B","male",NA
"1554","RASGRP1","male",NA
"1555","RASL11A","female",NA
"1556","RASL11B","female",NA
"1557","RASSF2","male",NA
"1558","RAVER2","female",NA
"1559","RBFOX1","female","lo"
"1560","RBM5","female",NA
"1561","RBP4B","male",NA
"1562","RCAN1","male",NA
"1563","RCBTB2","male","lo"
"1564","RCL1","male",NA
"1565","RCOR1","female",NA
"1566","RD3","male",NA
"1567","RECQL5","female",NA
"1568","REEP1","female",NA
"1569","REEP6","female",NA
"1570","REG4","female","lo"
"1571","RELL1","female",NA
"1572","REPS2","male",NA
"1573","RETSAT","female",NA
"1574","REXO4","female",NA
"1575","RFC1","male",NA
"1576","RFK","male",NA
"1577","RFX3","male",NA
"1578","RGMB","male",NA
"1579","RGP1","male","lo"
"1580","RGS1","male",NA
"1581","RGS16","male",NA
"1582","RGS2","male",NA
"1583","RGS3","female","lo"
"1584","RGS5","female","lo"
"1585","RGS6","female",NA
"1586","RGS7BP","male",NA
"1587","RHBDL3","male",NA
"1588","RHOBTB3","male","hi"
"1589","RHOJ","female",NA
"1590","RHOU","male","lo"
"1591","RIC1","male",NA
"1592","RICTOR","male",NA
"1593","RIN2","female",NA
"1594","RIOK2","male",NA
"1595","RIPK3","female","hi"
"1596","RIT2","male",NA
"1597","RMI1","male",NA
"1598","RMND5A","female",NA
"1599","RND2","female",NA
"1600","RNF11","male","hi"
"1601","RNF121","female",NA
"1602","RNF13","female",NA
"1603","RNF141","male",NA
"1604","RNF144B","female",NA
"1605","RNF146","male",NA
"1606","RNF165","male","lo"
"1607","RNF170","male",NA
"1608","RNF180","male",NA
"1609","RNF19A","female",NA
"1610","RNF2","male",NA
"1611","RNF20","male",NA
"1612","RNF207","female",NA
"1613","RNF216","female",NA
"1614","RNF38","male",NA
"1615","RNF4","male",NA
"1616","RNFT2","female",NA
"1617","RNPEP","female",NA
"1618","ROBO4","female",NA
"1619","RP11-145E5.5","male",NA
"1620","RP11-195F19.29","female","lo"
"1621","RP11-20I23.1","female",NA
"1622","RP11-290H9.2","female",NA
"1623","RP11-296A16.1","male",NA
"1624","RP11-505K9.4","female",NA
"1625","RP11-514P8.6","female",NA
"1626","RP11-598P20.5","male",NA
"1627","RP2","male",NA
"1628","RPA1","male","hi"
"1629","RPE65","female",NA
"1630","RPIA","female",NA
"1631","RPL37","male",NA
"1632","RPL8","female",NA
"1633","RPLP1","female",NA
"1634","RPN2","female","hi"
"1635","RPS2","female","hi"
"1636","RPS23","male",NA
"1637","RPS4X","female",NA
"1638","RPS6","male",NA
"1639","RPUSD4","female",NA
"1640","RSPH10B","female",NA
"1641","RSPO3","female","lo"
"1642","RTN1","male","lo"
"1643","RTN4RL1","female",NA
"1644","RUSC2","male",NA
"1645","S1PR3","male",NA
"1646","SACS","male",NA
"1647","SALL3","male",NA
"1648","SAP30","female",NA
"1649","SARM1","female","hi"
"1650","SAT1","female",NA
"1651","SC5D","female","hi"
"1652","SCAMP1","male",NA
"1653","SCAMP2","female",NA
"1654","SCARF1","female",NA
"1655","SCD","male",NA
"1656","SCEL","male",NA
"1657","SCFD2","female",NA
"1658","SCG5","male",NA
"1659","SCGN","male","lo"
"1660","SCHIP1","male",NA
"1661","SCML2","female",NA
"1662","SCNN1D","female",NA
"1663","SCP2","female",NA
"1664","SCRN1","male",NA
"1665","SCRT2","male","lo"
"1666","SDC4","female",NA
"1667","SEBOX","female","hi"
"1668","SEC14L5","male",NA
"1669","SEC61A2","female","hi"
"1670","SEC63","female","hi"
"1671","SECISBP2","male",NA
"1672","SEL1L","female","hi"
"1673","SEMA3A","female",NA
"1674","SEMA3F","female","lo"
"1675","SEMA4D","male",NA
"1676","SEMA6A","male","lo"
"1677","SEPT3","female","hi"
"1678","SEPT6","female",NA
"1679","SERHL2","female",NA
"1680","SERPINB5","female","hi"
"1681","SERPIND1","male","lo"
"1682","SERPINE2","male","lo"
"1683","SERTM1","male","lo"
"1684","SESN2","female",NA
"1685","SETBP1","male",NA
"1686","SETD9","male",NA
"1687","SEZ6L","female",NA
"1688","SFRP2","male",NA
"1689","SFTPA1","male",NA
"1690","SGCG","female",NA
"1691","SGK2","female",NA
"1692","SGMS2","female",NA
"1693","SGTB","male","hi"
"1694","SH2D3C","female",NA
"1695","SH2D4A","female",NA
"1696","SH3BGRL2","male",NA
"1697","SH3GL1","female",NA
"1698","SH3GL2","female","lo"
"1699","SH3PXD2B","female",NA
"1700","SHANK2","female",NA
"1701","SHANK3","male",NA
"1702","SHB","male",NA
"1703","SHC3","male","hi"
"1704","SHE","female","lo"
"1705","SHFM1","male",NA
"1706","SHISA2","female",NA
"1707","SHISA9","female",NA
"1708","SHMT1","female",NA
"1709","SHROOM4","female","lo"
"1710","SIGMAR1","male",NA
"1711","SIK1","male","hi"
"1712","SIK2","male",NA
"1713","SIPA1L1","female",NA
"1714","SIX2","female",NA
"1715","SIX6","male",NA
"1716","SKA2","male",NA
"1717","SKAP2","male",NA
"1718","SKIV2L2","male",NA
"1719","SKOR1","female",NA
"1720","SKP2","male",NA
"1721","SLC10A4","female","lo"
"1722","SLC12A2","male",NA
"1723","SLC13A3","male",NA
"1724","SLC14A2","male","lo"
"1725","SLC16A14","female","hi"
"1726","SLC16A3","male",NA
"1727","SLC18A3","female",NA
"1728","SLC22A23","female",NA
"1729","SLC25A20","female","hi"
"1730","SLC25A28","female",NA
"1731","SLC25A29","female",NA
"1732","SLC25A30","female",NA
"1733","SLC25A39","female",NA
"1734","SLC25A42","female",NA
"1735","SLC25A46","male",NA
"1736","SLC25A47","female",NA
"1737","SLC25A51","male",NA
"1738","SLC26A8","female",NA
"1739","SLC27A4","female",NA
"1740","SLC29A1","female",NA
"1741","SLC29A4","male","lo"
"1742","SLC2A13","male","lo"
"1743","SLC2A9","male",NA
"1744","SLC30A2","female","lo"
"1745","SLC30A5","male","lo"
"1746","SLC30A7","female","hi"
"1747","SLC31A2","female",NA
"1748","SLC33A1","female","hi"
"1749","SLC35B1","female","hi"
"1750","SLC35B4","female",NA
"1751","SLC35D2","male",NA
"1752","SLC35E4","female",NA
"1753","SLC35F6","female",NA
"1754","SLC38A8","female","hi"
"1755","SLC38A9","male",NA
"1756","SLC39A6","female",NA
"1757","SLC39A8","female",NA
"1758","SLC41A3","female","hi"
"1759","SLC44A1","male",NA
"1760","SLC44A3","female",NA
"1761","SLC45A1","female",NA
"1762","SLC46A2","male",NA
"1763","SLC5A6","female",NA
"1764","SLC6A2","female",NA
"1765","SLC6A6","female",NA
"1766","SLC6A8","female",NA
"1767","SLC7A1","female",NA
"1768","SLC7A10","female",NA
"1769","SLC7A14","female",NA
"1770","SLC9A1","female",NA
"1771","SLC9A5","female",NA
"1772","SLCO4C1","male",NA
"1773","SLCO5A1","female",NA
"1774","SLIT2","female",NA
"1775","SLITRK1","male",NA
"1776","SLX4IP","female","hi"
"1777","SMAD2","female","lo"
"1778","SMAD7","male",NA
"1779","SMARCA2","male",NA
"1780","SMARCD3","female",NA
"1781","SMC2","male","hi"
"1782","SMC5","male",NA
"1783","SMCR8","female",NA
"1784","SMIM15","male",NA
"1785","SMIM3","male",NA
"1786","SMN","male",NA
"1787","SMS","male",NA
"1788","SMTNL1","female","hi"
"1789","SMU1","male",NA
"1790","SMYD1","female","hi"
"1791","SNAI2","female",NA
"1792","SNAPC3","male",NA
"1793","SNCAIP","male",NA
"1794","SNRK","male",NA
"1795","SNRNP48","female",NA
"1796","SNTB2","female",NA
"1797","SNX2","male",NA
"1798","SNX24","male","hi"
"1799","SNX25","male",NA
"1800","SNX30","male",NA
"1801","SOCS2","male","lo"
"1802","SOD3","male",NA
"1803","SORBS2","male",NA
"1804","SORCS1","female",NA
"1805","SORCS3","female",NA
"1806","SORL1","female",NA
"1807","SOUL","male","lo"
"1808","SOX10","male",NA
"1809","SOX18","female","lo"
"1810","SOX7","female","lo"
"1811","SPATA13","male",NA
"1812","SPATA17","female",NA
"1813","SPATA18","female",NA
"1814","SPEF2","male",NA
"1815","SPERT","male",NA
"1816","SPG7","female",NA
"1817","SPON1","male","lo"
"1818","SPRY2","female",NA
"1819","SPTLC1","male",NA
"1820","SPTLC3","male","lo"
"1821","SPTY2D1","female","hi"
"1822","SRD5A1","female",NA
"1823","SREK1","male",NA
"1824","SREK1IP1","male",NA
"1825","SRFBP1","male",NA
"1826","SRP72","female","hi"
"1827","SRSF3","female","lo"
"1828","SSBP2","male",NA
"1829","SSTR1","female","hi"
"1830","ST3GAL6","female",NA
"1831","ST5","female",NA
"1832","ST6GALNAC5","female","hi"
"1833","ST8SIA2","male",NA
"1834","ST8SIA4","male",NA
"1835","ST8SIA5","male",NA
"1836","STARD13","female",NA
"1837","STARD4","male",NA
"1838","STAT4","male",NA
"1839","STEAP1","male","hi"
"1840","STIM1","female",NA
"1841","STK17A","male","lo"
"1842","STK25","female","lo"
"1843","STON2","female",NA
"1844","STT3B","female","hi"
"1845","STX16","male",NA
"1846","SUB1","male",NA
"1847","SULF1","female",NA
"1848","SULT1B","female",NA
"1849","SULT6B1","male",NA
"1850","SUMF1","female",NA
"1851","SUMO3","male",NA
"1852","SURF4","female","hi"
"1853","SUSD1","male",NA
"1854","SUSD3","female",NA
"1855","SV2B","male","hi"
"1856","SVEP1","male",NA
"1857","SYK","male","lo"
"1858","SYN3","male","hi"
"1859","SYNDIG1L","male",NA
"1860","SYNPR","male","hi"
"1861","SYPL2","female",NA
"1862","SYT13","female","hi"
"1863","SYT15","male","lo"
"1864","SYT17","male",NA
"1865","SYT4","male","hi"
"1866","SYTL4","male",NA
"1867","SZRD1","female",NA
"1868","TACR1","female",NA
"1869","TADA1","female",NA
"1870","TAF1B","female",NA
"1871","TAGLN","male","lo"
"1872","TANC1","female",NA
"1873","TARS","male",NA
"1874","TARS2","female",NA
"1875","TATDN3","female","hi"
"1876","TAX1BP1","male","hi"
"1877","TAX1BP3","male",NA
"1878","TBC1D16","female",NA
"1879","TBC1D30","male","hi"
"1880","TBCA","male",NA
"1881","TBCCD1","female",NA
"1882","TBL2","female","hi"
"1883","TBX18","male","lo"
"1884","TCN2","female",NA
"1885","TDRD7","male",NA
"1886","TEC","male",NA
"1887","TECRL","female",NA
