"gene","lfc","padj","logpadj","direction","tissue"
"CCK",4.12339778376073,0.0718621106386731,1.1435000314221,"n5","pituitary"
"LOC107057630",3.2393367840754,0.060691160198945,1.21687456026561,"n5","pituitary"
"LGALS1",3.12443927156535,0.00539476301690094,2.26802762840698,"n5","pituitary"
"NPTX1",2.56032876489374,0.00182312803114502,2.73918283147264,"n5","pituitary"
"LOC100859605",2.41286237617695,0.0191292453599568,1.71830216235488,"n5","pituitary"
"LOC101750367",2.28781335962204,0.0125453748014359,1.90151635931837,"n5","pituitary"
"SSTR3",2.10976295283967,0.0520614582996177,1.28348367098271,"n5","pituitary"
"SGK2",1.98827582893625,0.0263805887326277,1.57871551658046,"n5","pituitary"
"TTR",1.95726672839091,0.0489865084632403,1.30992351398695,"n5","pituitary"
"AQP2",1.9529381261087,0.00993223182432861,2.00295315230196,"n5","pituitary"
"LOC429032",1.87322931509268,0.0496567532771245,1.30402167946378,"n5","pituitary"
"P2RY11",1.86756121529121,0.0682089362536506,1.16615872341669,"n5","pituitary"
"MTUS2",1.51730747660246,0.00941686018873816,2.02609387746288,"n5","pituitary"
"GHRH-LR",1.50528911958371,0.00194745226012985,2.71053317982551,"n5","pituitary"
"LOC107056399",1.44491450891614,0.0677959289977124,1.16879638381599,"n5","pituitary"
"ASIC4",1.44424787550179,0.0638842778106655,1.19460601038948,"n5","pituitary"
"COL28A1",1.38581650304735,0.0702279341619282,1.15349010668368,"n5","pituitary"
"SCT",1.3497683535847,0.0422804024245538,1.37386088773331,"n5","pituitary"
"CEBPA",1.28618366605478,0.0305963811571056,1.51432993745439,"n5","pituitary"
"AVPR2",1.27512867171234,0.00442018261289709,2.35455978808637,"n5","pituitary"
"RXRG",1.25395118535669,0.0069536139414559,2.15778942463199,"n5","pituitary"
"KCNIP1",1.2174244403811,0.0565897840785711,1.24726196313596,"n5","pituitary"
"KCNIP1",1.2174244403811,0.0565897840785711,1.24726196313596,"n5","pituitary"
"VIL1",1.20143092533415,0.0694693252131606,1.15820691960303,"n5","pituitary"
"KIF21B",1.19560663343894,0.00557518893510742,2.25374041041716,"n5","pituitary"
"ZNF469",1.15253875275843,0.0267464364508419,1.57273407281395,"n5","pituitary"
"LOC427547",1.14019388251758,0.0688271764426595,1.16224004652247,"n5","pituitary"
"LOC101748192",1.12627059858479,0.0946461672393738,1.02389696839319,"n5","pituitary"
"FAP",1.11402831792672,0.0781185997639224,1.10724554982161,"n5","pituitary"
"MAP2K6",1.06946613317073,0.00117230995525366,2.93095754697045,"n5","pituitary"
"SSTR2",1.06059210635732,0.00966513414075092,2.01479211409444,"n5","pituitary"
"KIAA1024",1.04308628694326,0.00968291339689951,2.01399395241988,"n5","pituitary"
"PLXNA4B",1.01079471126906,0.00908978819380871,2.04144623639649,"n5","pituitary"
"DOC2B",1.0032634601465,0.00305967250891258,2.51432505560453,"n5","pituitary"
"KANK1",0.9965491482503,0.00828745216865908,2.08157896512682,"n5","pituitary"
"AEBP1",0.994815998975489,0.050492220905924,1.29677552639354,"n5","pituitary"
"LHX6",0.963417327811009,0.0527657848183297,1.27764759794449,"n5","pituitary"
"LOC107055786",0.945738444975686,0.0571635707814179,1.2428806503809,"n5","pituitary"
