"","gene","bldg_hatch","bldg_inc.d17","control_bldg","control_early","control_extend","control_hatch","control_inc.d17","control_inc.d3","control_inc.d9","control_lay","control_m.inc.d17","control_m.inc.d3","control_m.inc.d9","control_m.n2","control_n5","control_n9","control_prolong","hatch_early","inc.d17_early","hatch_m.n2","bldg_extend","hatch_n5","inc.d17_prolong","prolong_early","bldg_early","bldg_inc.d3","bldg_inc.d9","bldg_m.inc.d3","bldg_prolong","inc.d17_extend","lay_inc.d3","bldg_lay","bldg_m.inc.d17","bldg_m.n2","inc.d17_m.inc.d17","inc.d9_prolong","prolong_extend","early_extend","hatch_extend","hatch_prolong","inc.d9_early","n5_early","bldg_n5","inc.d9_extend","inc.d3_m.inc.d3","bldg_m.inc.d9","bldg_n9","inc.d9_inc.d17","n5_prolong"
"11","FSHR",NA,"FG(+)","FG(-)","FG(-); FH(+)","FH(+)","FG(-)",NA,"FG(-)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-); FH(+)","FG(-)","FG(-); FH(+)",NA,NA,NA,"FG(+)",NA,NA,NA,NA,NA,NA,NA,"FG(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","GABRQ",NA,NA,"FH(+); MH(+)","FH(+); MH(+); MP(+)","FH(+); MH(+)","FH(+); MH(+)","FH(+); FP(-); MH(+)","FH(+); MH(+)","FH(+); MH(+)","FH(+); MH(+)","FH(+); MH(+)","FH(+); MH(+)","FH(+); MH(+); MP(+)","FH(+); MH(+)","FH(+); MH(+)","FH(+); MH(+)","FH(+); MH(+)","MH(+); MP(+)","MH(+); MP(+)","FH(+)","FH(+)",NA,"FH(+)","MG(-); MP(+)","MH(+); MP(+)",NA,NA,"FH(+); MH(+)","FH(+); MG(+)",NA,NA,NA,"FH(+)","FH(+)","FH(+)","MG(+)","MG(-)","MP(-)","FH(+)","FH(+); MG(+)","MP(+)","MP(+)",NA,NA,NA,NA,NA,NA,NA
"13","GALR1",NA,NA,"MH(+)","FH(+); MH(+)","FH(+); MG(+); MH(+)","MG(+); MH(+)","MH(+)","MH(+)","FH(+); MH(+)","FH(+); MH(+)","MG(+); MH(+)","FH(+); MH(+)","MH(+)","FH(+); MG(+); MH(+)","FH(+); MH(+); MP(+)","MH(+)","FH(+); MG(+); MH(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","GNRH1",NA,NA,"FP(-); MH(-)","FP(-); MH(-)","FP(-); MH(-)","FH(-); FP(-); MH(-)","FP(-); MH(-)","FP(-); MH(-)","FP(-); MH(-)","FP(-); MH(-)","FP(-); MH(-)","FP(-); MH(-); MP(-)","FP(-); MH(-)","FP(-); MH(-)","FP(-); MH(-); MP(-)","FP(-); MH(-)","FP(-); MH(-)","FH(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","GNRHR","FP(-)","FP(-)","FH(-); MH(-)","FP(-); MH(-)","FH(-); FP(-); MH(-)","FP(-)","FH(-); FP(-)","FP(-); MH(-)","FP(-); MH(-)","FP(-)","FP(-)","FP(-); MH(-)",NA,"FP(-)","FH(-); FP(-); MH(-)","MH(-)","FP(-)",NA,NA,NA,"FP(-)",NA,NA,NA,NA,NA,NA,NA,"FP(-)","FP(-)",NA,"FP(-)",NA,NA,NA,"MG(+)",NA,"FP(-)",NA,NA,NA,NA,"FP(-)","FP(-)",NA,NA,NA,NA,NA
"16","JAK2",NA,NA,"FG(-)","FH(+)","FH(+)",NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)","MG(-)","MG(-)",NA,NA,NA,"FP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)","FP(+)","FP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","LHCGR",NA,NA,NA,"FP(-); MH(-); MP(+)","FP(-); MH(-)","FP(-)","FP(-)","FP(-)",NA,NA,NA,"FH(-)","MP(+)","MH(-)",NA,NA,NA,"MH(-)","MH(-); MP(+)","FH(-); MH(-)",NA,NA,"FH(-)","MP(+)","MP(+)",NA,NA,"FH(-)","FH(-)","MH(-)",NA,NA,"FH(-)","FH(-)","FH(-)",NA,NA,NA,"FH(-); MH(-)","FH(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","NPFFR1",NA,NA,"FH(-); FP(-); MP(-)","FG(-); FH(-); FP(-)","FH(-); FP(-); MP(-)","FH(-); MH(-); MP(-)","FH(-); FP(-); MP(-)","FG(-); FH(-); FP(-); MP(-)","FG(-); FH(-); FP(-); MH(-); MP(-)","FH(-); FP(-); MH(-); MP(-)","FG(-); FH(-); FP(-); MP(-)","FG(-); FH(-); MG(-); MP(-)","FH(-)","FG(-); FH(-); FP(-); MP(-)","FH(-); MH(-); MP(-)","FH(-); MP(-)","FH(-); MG(-); MP(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","NPVF",NA,"FP(+)","FP(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); FP(-); MH(-)","FP(-); MH(-)","FP(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); FP(-); MH(-)","FP(-); MH(-)","FH(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); MH(-)","MH(-)","FH(-); MH(-)",NA,NA,"FH(-)",NA,"FH(-); MH(-)",NA,NA,"FH(-); MH(-)","FH(-); FP(+)","MH(-)",NA,NA,"FH(-); FP(+)","FP(+)","FH(-)",NA,NA,NA,"FH(-)","FH(-)","MH(-)","MH(-)",NA,NA,"FH(-)",NA,NA,NA,NA
"20","NPY","FG(-)","FG(-); FP(-)","FP(-); MH(-); MP(-)","FP(-); MH(-); MP(+)","MH(-)","FP(-); MH(-); MP(-)","FP(-); MH(-)","MH(-); MP(-)","FP(-); MH(-)","MG(-); MH(-)","FP(-); MH(-)","FP(-); MH(-); MP(-)","MH(-)","MH(-)","FP(-); MG(-); MH(-)","MH(-)","MH(-); MP(-)","MP(+)",NA,"MP(+)","FG(-)",NA,"MP(-)","MP(+)","FG(-); MP(+)","FG(-)",NA,NA,"FG(-)",NA,NA,NA,NA,NA,NA,"MP(-)",NA,"MP(-)",NA,NA,NA,"MP(+)","FG(-)",NA,"FP(-)","MP(+)","FG(-)",NA,NA
"21","NR3C2",NA,NA,"FH(+)","FH(+); MH(+)","FH(+); MH(+)","FH(+)","FH(+)","FH(+)","FH(+)","FG(+); FH(+)","FH(+); MP(+)","FH(+); MP(+)","FH(+)","FH(+)","FH(+)","FH(+)","FH(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","POMC",NA,NA,"MG(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","MG(-); MH(-); MP(-)","FH(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FG(-); FH(-); MG(-); MH(-); MP(-)","FH(-); MG(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(-)","FH(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FH(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","PRL","FP(+); MP(+)","FP(+); MP(+)","FH(-); FP(-); MG(-); MH(-); MP(-)","FH(-); FP(-); MH(-); MP(-)","FG(+); FH(-); FP(+); MH(-); MP(+)","FP(+); MG(-); MH(-); MP(+)","FP(+); MG(-); MH(-); MP(+)","FH(-); FP(-); MG(-); MH(-); MP(-)","FH(-); FP(-); MG(-); MH(-)","FG(+); FH(-); FP(-); MH(-); MP(-)","FH(-); MG(-); MH(-); MP(+)","FG(+); FH(-); FP(-); MH(-); MP(-)","FH(-); FP(-); MG(-); MH(-); MP(-)","FH(-); FP(+); MH(-); MP(+)","MH(-); MP(+)","MH(-); MP(+)","FH(-); FP(+); MG(-); MH(-); MP(+)","FP(-); MP(-)","FP(-); MP(-)","MP(-)","FP(+); MP(+)",NA,NA,"FP(-); MP(-)",NA,NA,NA,NA,"FP(+); MP(+)",NA,NA,NA,"FP(+); MP(+)","FP(+); MP(+)","FP(-)","FP(+); MP(+)",NA,"FP(+); MP(+)",NA,NA,NA,"FP(-); MP(-)","FP(+); MP(+)","FP(+); MP(+)",NA,NA,"FP(+); MP(+)","FP(+); MP(+)",NA
"24","PRLH",NA,NA,"FH(-); FP(-)","FH(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); FP(-); MH(-)","FH(-); FP(-)","FH(-); FP(-); MH(-)","FH(-); FP(-)","FH(-); FP(-)","FH(-)","FH(-); FP(-)","FH(-)","FH(-)","FH(-); FP(-)",NA,"FH(-); FP(-)",NA,NA,"MH(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)","FP(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP(+)",NA
"25","PRLHR",NA,NA,"FG(-); FP(-); MH(-)","FG(-); MH(-)","FG(-); MH(-)","FH(-); MH(-); MP(-)","MH(-)","FG(-); MH(-)","FG(-); MH(-)","MH(-)","FH(-); MH(-)","FG(-); FH(-); MH(-)","MH(-)","FG(-); FH(-); MH(-)","MH(-)","FG(-); MH(-)","FH(-); MH(-); MP(-)","MP(+)",NA,NA,NA,NA,NA,"MG(-); MP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG(+)","MG(-)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG(+)"
"26","SERPINA4",NA,NA,"MH(-); MP(-)","FH(+)","FH(+); MG(+); MP(-)","FH(+); MH(-); MP(-)","MH(-); MP(-)","FH(+); MP(-)","FH(+); MP(-)","MP(-)","FH(+)","FH(+)","FH(+)","FH(+)","FH(+)","FG(-); FH(+)","FH(+); MG(+); MP(-)","MH(+)","FP(+); MH(+)","FP(+)",NA,NA,"MG(+)","MG(-)","MH(+)",NA,NA,"FH(+)","FH(+)","MG(+)",NA,NA,NA,NA,"FP(+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","VIPR1","FP(+); MP(+)","FP(+); MP(+)","FP(-); MP(-)","MH(+)","MH(+)",NA,"MH(+)","FG(-); FP(-); MH(+); MP(-)","FP(-); MH(+); MP(-)","FP(-); MH(+); MP(-)","FG(-); FH(+); MH(+)","FH(+); MH(+)","FP(-); MP(-)","MH(+)","MH(+)","MH(+)","MH(+)",NA,NA,NA,"FP(+); MP(+)",NA,NA,NA,"FP(+)",NA,NA,NA,"FP(+)",NA,NA,NA,"FP(+); MP(+)","FP(+); MP(+)",NA,NA,NA,NA,NA,NA,NA,NA,"FP(+); MP(+)","FP(+); MP(+)",NA,NA,"FP(+); MP(+)",NA,NA
