"net$unmergedColors","entrezid","row.names","Name","geneid"
"green","XP_015144789.1",424011,"ABCA12",424011
"green","XP_015149705.1",416600,"ABCC6",416600
"green","XP_015149706.1",416600,"ABCC6",416600
"green","XP_004942163.1",423767,"ABCG2",423767
"green","XP_004944643.1",416009,"ABHD6",416009
"green","XP_004944918.1",416201,"ABLIM3",416201
"green","XP_015147465.1",395798,"ACAN",395798
"green","XP_015136629.1",420393,"ACKR2",420393
"green","XP_003640366.3",426864,"ACR",426864
"green","XP_015151000.1",422102,"ACSF2",422102
"green","NP_001026408.1",423896,"ACSL5",423896
"green","XP_015150276.1",426991,"ACSM4",426991
"green","NP_001006290.1",419194,"ADA",419194
"green","XP_015144479.1",425843,"ADAM12",425843
"green","XP_004945998.2",417152,"ADAMTS13",417152
"green","XP_015131889.1",428760,"ADAMTS3",428760
"green","XP_015146376.1",424546,"ADGRL4",424546
"green","XP_015141946.1",423042,"ADM",423042
"green","XP_015152996.1",100859431,"AEBP1",100859431
"green","XP_015149185.1",427621,"AFAP1L1",427621
"green","XP_015144432.1",423908,"AFAP1L2",423908
"green","XP_001235300.2",772114,"AGPAT2",772114
"green","NP_001018012.1",552895,"ALAS1",552895
"green","XP_015135719.1",395264,"ALDH1A1",395264
"green","NP_990326.1",395844,"ALDH1A2",395844
"green","XP_421072.5",423144,"ANO1",423144
"green","XP_015152029.1",419316,"APCDD1L",419316
"green","NP_001035179.1",422165,"AR",422165
"green","XP_015149114.1",416196,"ARAP3",416196
"green","NP_001026708.1",428752,"AREG",428752
"green","XP_015131975.1",422593,"ARHGAP24",422593
"green","XP_015151838.1",419168,"ARHGAP40",419168
"green","XP_003641034.2",425840,"ARID4B",425840
"green","XP_424699.2",427107,"ARRDC3",427107
"green","XP_015133157.1",378798,"ARSH",378798
"green","XP_015155320.1",420094,"ATCAY",420094
"green","NP_990509.1",396091,"ATIC",396091
"green","XP_416881.3",418685,"ATP10A",418685
"green","NP_001026485.1",424901,"ATP13A4",424901
"green","XP_015154449.1",419934,"ATP2B4",419934
"green","XP_421777.4",423915,"ATRNL1",423915
"green","XP_015141737.1",770601,"B4GALNT4",770601
"green","XP_004936648.1",424494,"BCAR3",424494
"green","XP_003641458.1",423444,"BCL11B",423444
"green","XP_015149773.1",107049029,"BHLHA15",107049029
"green","XP_015139896.1",395236,"BID",395236
"green","XP_015138921.1",378779,"BMP2",378779
"green","XP_015131483.1",420868,"BMP6",420868
"green","XP_015152030.1",418361,"BOC",418361
"green","XP_001233206.3",769893,"BRAT1",769893
"green","XP_429413.2",416292,"C10ORF10",416292
"green","XP_015141967.1",423053,"C11ORF16",423053
"green","XP_015136018.1",101751913,"C11ORF97",101751913
"green","NP_001025804.1",416497,"C14H17ORF103",416497
"green","XP_416761.4",418555,"C1HXORF36",418555
"green","XP_004934629.1",418532,"C2CD2",418532
"green","XP_004941922.1",423409,"C5H14ORF159",423409
"green","XP_004941352.2",423013,"C5H15ORF52",423013
"green","XP_003640829.1",100857376,"C5ORF49",100857376
