"bird_id","sex","tissue","treatment","gene","counts"
"x.blu122.r66","female","hypothalamus","inc.d9","PRL",10.3671212736776
"x.blu43.g132","female","hypothalamus","n9","PRL",10.4036994492211
"x.blu6.y80","female","hypothalamus","lay","PRL",10.3277637818746
"x.g37","female","hypothalamus","n5","PRL",10.1422609285768
"x.g4.w50","female","hypothalamus","n9","PRL",10.4677177911813
"x.g43","female","hypothalamus","n5","PRL",10.8597729675058
"x.g49","female","hypothalamus","n5","PRL",10.730257114094
"x.g9.o166","female","hypothalamus","inc.d9","PRL",10.4263464204226
"x.o159.w90","female","hypothalamus","inc.d17","PRL",10.5160326869566
"x.o175.g21","female","hypothalamus","n5","PRL",11.6826991183587
"x.o37.blu50","female","hypothalamus","hatch","PRL",10.9550068555767
"x.o70","female","hypothalamus","n5","PRL",10.5979831293436
"x.r33.w183","female","hypothalamus","inc.d3","PRL",10.019396425197
"x.r39.g10","female","hypothalamus","bldg","PRL",10.6009333901941
"x.r44.w95","female","hypothalamus","hatch","PRL",10.0484795463373
"x.r48.y139","female","hypothalamus","inc.d17","PRL",10.4387405145089
"x.r50.w97","female","hypothalamus","n5","PRL",10.3208016742002
"x.w178","female","hypothalamus","n9","PRL",10.1506843581682
"x.w51","female","hypothalamus","lay","PRL",10.7105161486386
"x.w6","female","hypothalamus","n9","PRL",10.6809013624717
"x.y109","female","hypothalamus","inc.d9","PRL",10.7234049234221
"x.y138.w176","female","hypothalamus","n9","PRL",10.3173394411629
"x.y90","female","hypothalamus","hatch","PRL",10.0294146976069
"x.y93.g126","female","hypothalamus","inc.d9","PRL",10.4838190703671
"x.y9","female","hypothalamus","n9","PRL",10.8529734352646
"y.s156.o.r","female","hypothalamus","lay","PRL",10.283563750088
"y126.w92.x","female","hypothalamus","inc.d17","PRL",10.8413934713405
"y13.x","female","hypothalamus","inc.d3","PRL",10.4791220160016
"y130.o170.x","female","hypothalamus","inc.d17","PRL",10.9036098424869
"y135.blu107.x","female","hypothalamus","inc.d17","PRL",10.145733550447
"y136.x","female","hypothalamus","inc.d17","PRL",10.5624854990016
"y140.w119.x","female","hypothalamus","inc.d9","PRL",10.7646169930756
"y15.x","female","hypothalamus","hatch","PRL",10.5281383644654
"y6.o54","female","hypothalamus","n5","PRL",10.3838693125662
"y7.g58","female","hypothalamus","hatch","PRL",10.5371216602758
"y94.g133.x","female","hypothalamus","n5","PRL",11.1697543153491
"y97.x","female","hypothalamus","n9","PRL",10.2808979522081
"L.Blu13","male","hypothalamus","control","PRL",12.4437366904752
"L.G107","male","hypothalamus","control","PRL",10.7807662177409
"L.R3","male","hypothalamus","control","PRL",10.5374434268649
"L.R8","male","hypothalamus","control","PRL",11.7412870194474
"L.W33","male","hypothalamus","control","PRL",12.3223192093376
"L.W3","male","hypothalamus","control","PRL",11.0700816302467
"L.W4","male","hypothalamus","control","PRL",10.3965480628261
"R.Y108.W29","male","hypothalamus","control","PRL",12.7825933787322
"blk12.x","male","hypothalamus","n5","PRL",10.7716711356093
"blk17.x","male","hypothalamus","inc.d17","PRL",10.3485138995686
"blu104.w120.x","male","hypothalamus","hatch","PRL",10.2485636855294
"blu108.w40.o158","male","hypothalamus","inc.d9","PRL",10.3960161828805
"blu111.w113.x","male","hypothalamus","inc.d3","PRL",10.78541493624
"blu113.w124.x","male","hypothalamus","inc.d17","PRL",10.5224569289763
"blu114.r38.w198","male","hypothalamus","bldg","PRL",10.7269821173757
"blu121.w91.x","male","hypothalamus","inc.d17","PRL",10.2496031685859
"blu33.y88.x","male","hypothalamus","bldg","PRL",10.7415096030733
"blu37.r65.x","male","hypothalamus","n5","PRL",10.4054819212795
"blu41.y100.x","male","hypothalamus","n5","PRL",10.7010115224122
"blu81.r88","male","hypothalamus","n9","PRL",10.4559709788963
"d.s008.y.blk","male","hypothalamus","n5","PRL",10.5399899119094
"d.s047.blk.o","male","hypothalamus","n5","PRL",10.458444262943
"g.s.blk.d","male","hypothalamus","n9","PRL",10.7134432690983
"g.s.blk.y","male","hypothalamus","lay","PRL",13.0019607730764
"g.s043.pu.blk","male","hypothalamus","lay","PRL",10.461197894461
"g104.w82.x","male","hypothalamus","bldg","PRL",10.3920130124033
"g114.w83.x","male","hypothalamus","hatch","PRL",10.4908014000149
"g130.y81.x","male","hypothalamus","inc.d17","PRL",10.6035124000288
"g143.blu32.x","male","hypothalamus","inc.d17","PRL",10.6019740874063
"g146.blu51","male","hypothalamus","inc.d3","PRL",11.4317660487742
"g20.w106.x","male","hypothalamus","inc.d3","PRL",10.3871114626763
"g52.blu58","male","hypothalamus","bldg","PRL",10.5388450293589
"g53.y84","male","hypothalamus","hatch","PRL",10.5183907051472
"o.s.w.r","male","hypothalamus","lay","PRL",10.551354788248
"o152.o120.w42","male","hypothalamus","n5","PRL",10.710218793124
"o39.y77.x","male","hypothalamus","hatch","PRL",10.6646493434746
"o44.blu26.x","male","hypothalamus","hatch","PRL",10.7080899114311
"o48.r197.x","male","hypothalamus","inc.d3","PRL",10.7168639721754
"o49.x","male","hypothalamus","inc.d9","PRL",10.1061871854047
"o57.g59","male","hypothalamus","inc.d9","PRL",10.3836685572687
"pk.s238.blk.w","male","hypothalamus","lay","PRL",10.0137372769128
"pk.w.s141.o","male","hypothalamus","lay","PRL",10.5638576091938
"r.s005.pk.blk","male","hypothalamus","lay","PRL",11.0463329325733
"r.s059.d.o","male","hypothalamus","bldg","PRL",10.9501770518943
"r.s116.blk.pu","male","hypothalamus","lay","PRL",10.3874836670439
"r.y.s007.blk","male","hypothalamus","n9","PRL",10.2548178625838
"r176.blu54","male","hypothalamus","inc.d17","PRL",10.1226546385246
