"bird_id","sex","tissue","treatment","gene","counts"
"r30.w112.r46","female","gonad","inc.d9","PRL",9.41074528394646
"r36.w184.x","female","gonad","inc.d9","PRL",10.007135765288
"r49.w189.x","female","gonad","inc.d17","PRL",9.48512537243018
"r6.x","female","gonad","control","PRL",9.71925304625675
"r73.g127.x","female","gonad","inc.d3","PRL",10.7728513957111
"r83.g45","female","gonad","bldg","PRL",9.46726338912917
"r95.blu99","female","gonad","n9","PRL",9.658924796434
"s.o.pk","female","gonad","lay","PRL",9.51214181970009
"s.x.ATLAS","female","gonad","control","PRL",9.75595856695375
"s063.d.blk.l","female","gonad","bldg","PRL",9.11025547146442
"s092.blk.r.o","female","gonad","bldg","PRL",9.44449189301871
"s095.g.blk.o","female","gonad","lay","PRL",9.92344970622074
"s136.d.w.o","female","gonad","lay","PRL",9.66499985549284
"s142.o.pk.pu","female","gonad","lay","PRL",10.7456586976264
"s176.blk.pu.r","female","gonad","lay","PRL",9.83452745995779
"w191.r1","female","gonad","control","PRL",8.65178747702756
"x.blu101.w43","female","gonad","inc.d9","PRL",9.37887908673163
"x.blu102.w105","female","gonad","inc.d3","PRL",9.46707083731664
"x.blu109.w121","female","gonad","n5","PRL",9.1931963783035
"x.blu116.w107","female","gonad","inc.d17","PRL",9.23026436972523
"x.blu122.r66","female","gonad","inc.d9","PRL",10.4981756989848
"x.blu43.g132","female","gonad","n9","PRL",9.45821780337313
"x.blu6.y80","female","gonad","lay","PRL",9.06272062884686
"x.g.g.ATLAS","female","gonad","control","PRL",9.46426535174686
"x.g37","female","gonad","n5","PRL",9.36457893016692
"x.g4.w50","female","gonad","n9","PRL",9.34393537587745
"x.g43","female","gonad","n5","PRL",9.21068006904393
"x.g49","female","gonad","n5","PRL",10.2075080926773
"x.g9.o166","female","gonad","inc.d9","PRL",10.1308171624479
"x.o159.w90","female","gonad","inc.d17","PRL",9.97957280184639
"x.o175.g21","female","gonad","n5","PRL",10.2752817616741
"x.o37.blu50","female","gonad","hatch","PRL",9.34725463524249
"x.o70","female","gonad","n5","PRL",8.87033197399965
"x.r33.w183","female","gonad","inc.d3","PRL",9.04108719547779
"x.r39.g10","female","gonad","bldg","PRL",9.82493581417436
"x.r44.w95","female","gonad","hatch","PRL",9.33230195722539
"x.r48.y139","female","gonad","inc.d17","PRL",9.85424103414087
"x.r50.w97","female","gonad","n5","PRL",10.6469134114973
"x.w178","female","gonad","n9","PRL",9.51443310676516
"x.w51","female","gonad","lay","PRL",10.2724078865449
"x.w6","female","gonad","n9","PRL",10.8073572837449
"x.y109","female","gonad","inc.d9","PRL",9.74949209333238
"x.y138.w176","female","gonad","n9","PRL",9.51007404489496
"x.y90","female","gonad","hatch","PRL",9.28297206325791
"x.y93.g126","female","gonad","inc.d9","PRL",9.06725197492537
"x.y9","female","gonad","n9","PRL",11.5837717666267
"y.s156.o.r","female","gonad","lay","PRL",9.85922621491047
"y126.w92.x","female","gonad","inc.d17","PRL",9.80131397373148
"y128.g23.x","female","gonad","inc.d9","PRL",10.0191827163989
"y13.x","female","gonad","inc.d3","PRL",9.42064904069874
"y130.o170.x","female","gonad","inc.d17","PRL",9.58808690867138
"y135.blu107.x","female","gonad","inc.d17","PRL",9.31917689091794
"y136.x","female","gonad","inc.d17","PRL",9.1822411492894
"y140.w119.x","female","gonad","inc.d9","PRL",9.58120950151829
"y15.x","female","gonad","hatch","PRL",9.42251530161456
"y6.o54","female","gonad","n5","PRL",9.86319595935743
"y7.g58","female","gonad","hatch","PRL",9.7385265747456
"y94.g133.x","female","gonad","n5","PRL",9.45858948485129
"y97.x","female","gonad","n9","PRL",9.67491444020229
"L.Blu13","male","gonad","control","PRL",11.9736343491707
"L.G107","male","gonad","control","PRL",9.36470460922641
"L.R3","male","gonad","control","PRL",12.0639819656773
"L.R8","male","gonad","control","PRL",9.5791522737173
"L.W33","male","gonad","control","PRL",9.66498589568368
"L.W3","male","gonad","control","PRL",10.8209674174512
"L.W4","male","gonad","control","PRL",11.5329159042327
"R.Y108.W29","male","gonad","control","PRL",9.57525404000455
"blk12.x","male","gonad","n5","PRL",9.44003108779497
"blk17.x","male","gonad","inc.d17","PRL",9.6923012963589
"blu104.w120.x","male","gonad","hatch","PRL",9.76080159740844
"blu108.w40.o158","male","gonad","inc.d9","PRL",9.3850712141083
"blu111.w113.x","male","gonad","inc.d3","PRL",9.53141360592079
"blu113.w124.x","male","gonad","inc.d17","PRL",9.81256692657366
"blu114.r38.w198","male","gonad","bldg","PRL",9.42566320945318
"blu121.w91.x","male","gonad","inc.d17","PRL",9.57401550027477
"blu33.y88.x","male","gonad","bldg","PRL",9.81302416952147
"blu37.r65.x","male","gonad","n5","PRL",10.4129467899037
"blu41.y100.x","male","gonad","n5","PRL",9.45459613608892
"blu81.r88","male","gonad","n9","PRL",10.6491292135136
"d.s008.y.blk","male","gonad","n5","PRL",9.83510643544757
"d.s047.blk.o","male","gonad","n5","PRL",9.96082394361446
"g.s.blk.d","male","gonad","n9","PRL",10.843101739526
"g.s.blk.y","male","gonad","lay","PRL",10.2350457090641
"g.s043.pu.blk","male","gonad","lay","PRL",9.92756545316903
"g104.w82.x","male","gonad","bldg","PRL",9.50449454297161
"g114.w83.x","male","gonad","hatch","PRL",10.008533564952
"g130.y81.x","male","gonad","inc.d17","PRL",10.1636655041601
"g143.blu32.x","male","gonad","inc.d17","PRL",9.49213130375838
"g146.blu51","male","gonad","inc.d3","PRL",9.97946075621429
"g20.w106.x","male","gonad","inc.d3","PRL",9.69104203997043
"g52.blu58","male","gonad","bldg","PRL",9.59870317435144
"g53.y84","male","gonad","hatch","PRL",9.64816436985795
"o.s.w.r","male","gonad","lay","PRL",9.76605811522414
"o152.o120.w42","male","gonad","n5","PRL",10.6418151312751
"o39.y77.x","male","gonad","hatch","PRL",9.60956038427709
"o44.blu26.x","male","gonad","hatch","PRL",9.79200624797822
"o48.r197.x","male","gonad","inc.d3","PRL",9.8534334193297
"o49.x","male","gonad","inc.d9","PRL",9.22858081471645
"o57.g59","male","gonad","inc.d9","PRL",9.38409313826076
"pk.s238.blk.w","male","gonad","lay","PRL",9.58995942940896
"pk.w.s141.o","male","gonad","lay","PRL",10.0771718947542
"r.s005.pk.blk","male","gonad","lay","PRL",10.0079837830615
"r.s059.d.o","male","gonad","bldg","PRL",9.32478804914176
"r.s116.blk.pu","male","gonad","lay","PRL",9.9552659087583
"r.y.s007.blk","male","gonad","n9","PRL",10.0270611635412
"r176.blu54","male","gonad","inc.d17","PRL",9.46752787845749
"r190.o43.x","male","gonad","lay","PRL",9.60571608371126
"r195.x","male","gonad","n9","PRL",10.0460737343135
"r37.w100.x","male","gonad","n9","PRL",9.61746412796396
"r41.w99.x","male","gonad","hatch","PRL",9.63838462214868
"r45.X","male","gonad","inc.d9","PRL",9.41721136694107
"r72.y83.x","male","gonad","hatch","PRL",9.44883428187366
"s.pu148.blk.r","male","gonad","bldg","PRL",9.71633484941912
"s065.l.d.o","male","gonad","bldg","PRL",10.7101822444449
"s066.l.d.r","male","gonad","bldg","PRL",9.72027616102811
"s150.w.g.blk","male","gonad","lay","PRL",9.8472669123795
"s187.l.o.r","male","gonad","n9","PRL",9.7191999652291
"s243.blk.pk.r","male","gonad","lay","PRL",10.8144157450837
"w34.x","male","gonad","inc.d9","PRL",9.42612428948267
"x.blk.blk.ATLAS","male","gonad","control","PRL",9.85894012330518
"x.blk16","male","gonad","n9","PRL",10.0670546448725
"x.blu106.o153","male","gonad","inc.d9","PRL",9.76202251253313
"x.blu117.w89","male","gonad","inc.d17","PRL",10.465646726569
"x.blu23.w14","male","gonad","n9","PRL",9.48655241923796
"x.blu30","male","gonad","n5","PRL",10.491248601097
"x.blu42.o28","male","gonad","inc.d3","PRL",9.43009313528137
"x.g.ATLAS","male","gonad","control","PRL",9.75847301644097
"x.g.g.ATLAS","male","gonad","control","PRL",9.47580194811359
"x.g.g.g.ATLAS","male","gonad","control","PRL",9.62948335391415
"x.g13.w109","male","gonad","inc.d9","PRL",10.7078256774281
"x.g14.w199","male","gonad","inc.d17","PRL",9.42502262965997
"x.g147.blu28","male","gonad","inc.d3","PRL",9.98726838484017
"x.g70","male","gonad","hatch","PRL",9.57930108555574
"x.o160.w102","male","gonad","hatch","PRL",9.60561753106529
"x.o163.w101","male","gonad","inc.d3","PRL",9.75439208627354
"x.o164.w123","male","gonad","n5","PRL",10.5373160118898
"x.o2","male","gonad","n9","PRL",9.13812113477811
"x.o30.g134","male","gonad","bldg","PRL",9.77907274724908
"x.o47.y82","male","gonad","inc.d9","PRL",9.54519719328832
"x.o68","male","gonad","n5","PRL",9.8436601322571
"x.r178","male","gonad","hatch","PRL",9.9194192860923
"x.r181","male","gonad","n5","PRL",9.9601177594153
"x.r29.w96","male","gonad","inc.d17","PRL",9.91971234581706
"x.r64.g140","male","gonad","inc.d3","PRL",10.7209455867892
"x.r67.blu35","male","gonad","bldg","PRL",9.36113544612864
"x.w192.o157","male","gonad","inc.d9","PRL",9.49649593086361
"x.y.s.ATLAS","male","gonad","control","PRL",9.60283780762811
"x.y132.w76","male","gonad","inc.d17","PRL",9.55600931364252
"x.y141.w116","male","gonad","inc.d9","PRL",9.91862404397949
"y129.x","male","gonad","n9","PRL",9.68258651954677
"y131.w185.x","male","gonad","n9","PRL",10.3581527968824
"y133.w77.r58","male","gonad","inc.d17","PRL",9.65843478372957
"y149.r52.x","male","gonad","inc.d3","PRL",9.59781278954139
"y95.g131.x","male","gonad","inc.d9","PRL",9.53442826765063
"y98.o50.x","male","gonad","inc.d3","PRL",9.53452598657728
