"","sex","tissue","treatment","gene","samples","counts"
"56","female","pituitary","inc.d3","ACOT12","o173.w179.x_female_pituitary_inc.d3",6.08272208864241
"57","female","pituitary","inc.d17","ACOT12","o35.r51.x_female_pituitary_inc.d17",5.09617484266786
"58","female","pituitary","m.inc.d9","ACOT12","o36.r62.x_female_pituitary_m.inc.d9",5.92154181512262
"59","female","pituitary","bldg","ACOT12","o38.blu29.x_female_pituitary_bldg",5.09617484266786
"60","female","pituitary","m.inc.d9","ACOT12","o45.g128.x_female_pituitary_m.inc.d9",5.09617484266786
"61","female","pituitary","inc.d17","ACOT12","o52.blu53_female_pituitary_inc.d17",6.61141659574463
"62","female","pituitary","inc.d9","ACOT12","o73.x_female_pituitary_inc.d9",5.09617484266786
"63","female","pituitary","m.inc.d8","ACOT12","p.g.blk.s040_female_pituitary_m.inc.d8",5.80578147843016
"64","female","pituitary","m.inc.d17","ACOT12","pk.s011.o.y_female_pituitary_m.inc.d17",5.09617484266786
"65","female","pituitary","m.hatch","ACOT12","pk.s054.d.g_female_pituitary_m.hatch",5.81105230498423
"66","female","pituitary","m.inc.d8","ACOT12","pk.s055.d.l_female_pituitary_m.inc.d8",5.63072528422868
"67","female","pituitary","control","ACOT12","r.r.x.ATLAS.R2XR_female_pituitary_control",6.15012415387978
"68","female","pituitary","control","ACOT12","r.r.x.ATLAS_female_pituitary_control",5.99072281943382
"69","female","pituitary","m.inc.d3","ACOT12","r.s035.y.blk_female_pituitary_m.inc.d3",5.65426975155515
"70","female","pituitary","bldg","ACOT12","r.s056.g.o_female_pituitary_bldg",6.41552459125972
"71","female","pituitary","extend","ACOT12","r.s131.o.d_female_pituitary_extend",5.95694153196575
"72","female","pituitary","n9","ACOT12","r.s171.l.w_female_pituitary_n9",5.40802800753388
"73","female","pituitary","hatch","ACOT12","r183.o22_female_pituitary_hatch",6.36823677845445
"74","female","pituitary","prolong","ACOT12","r194.x_female_pituitary_prolong",6.1466682212096
"75","female","pituitary","inc.d3","ACOT12","r27.w111.blu125_female_pituitary_inc.d3",5.09617484266786
"76","female","pituitary","inc.d9","ACOT12","r30.w112.r46_female_pituitary_inc.d9",5.09617484266786
"77","female","pituitary","inc.d9","ACOT12","r36.w184.x_female_pituitary_inc.d9",5.09617484266786
"78","female","pituitary","inc.d17","ACOT12","r49.w189.x_female_pituitary_inc.d17",6.30104638224195
"79","female","pituitary","control","ACOT12","r6.x_female_pituitary_control",5.09617484266786
"80","female","pituitary","inc.d3","ACOT12","r73.g127.x_female_pituitary_inc.d3",5.09617484266786
"81","female","pituitary","bldg","ACOT12","r83.g45_female_pituitary_bldg",5.09617484266786
"82","female","pituitary","n9","ACOT12","r95.blu99_female_pituitary_n9",5.09617484266786
"83","female","pituitary","lay","ACOT12","s.o.pk_female_pituitary_lay",5.86826530541059
"84","female","pituitary","prolong","ACOT12","s.pu.pk_female_pituitary_prolong",5.09617484266786
"85","female","pituitary","control","ACOT12","s.x.ATLAS_female_pituitary_control",6.3383412542527
"86","female","pituitary","m.inc.d8","ACOT12","s002.x_female_pituitary_m.inc.d8",5.09617484266786
"87","female","pituitary","m.inc.d17","ACOT12","s038.g.d.blk_female_pituitary_m.inc.d17",5.09617484266786
"88","female","pituitary","bldg","ACOT12","s063.d.blk.l_female_pituitary_bldg",6.24614114348525
"89","female","pituitary","m.inc.d3","ACOT12","s069.pk.pu.g_female_pituitary_m.inc.d3",5.89870619010275
"90","female","pituitary","extend","ACOT12","s089.blk.pk.pu_female_pituitary_extend",6.37691049048398
"91","female","pituitary","m.inc.d8","ACOT12","s091.blk.r.g_female_pituitary_m.inc.d8",5.89658867947706
"92","female","pituitary","bldg","ACOT12","s092.blk.r.o_female_pituitary_bldg",5.94098821997157
"93","female","pituitary","m.inc.d3","ACOT12","s093.blk.y.d_female_pituitary_m.inc.d3",5.65141726442461
"94","female","pituitary","lay","ACOT12","s095.g.blk.o_female_pituitary_lay",5.85289250760777
"95","female","pituitary","m.inc.d17","ACOT12","s100.l.pk.blk_female_pituitary_m.inc.d17",5.48439411134035
"96","female","pituitary","m.inc.d3","ACOT12","s103.y.pk.blk_female_pituitary_m.inc.d3",5.76444860351751
"97","female","pituitary","lay","ACOT12","s136.d.w.o_female_pituitary_lay",5.09617484266786
"98","female","pituitary","extend","ACOT12","s137.g.blk.y_female_pituitary_extend",5.77882302410128
"99","female","pituitary","lay","ACOT12","s142.o.pk.pu_female_pituitary_lay",5.79514966804493
"100","female","pituitary","lay","ACOT12","s176.blk.pu.r_female_pituitary_lay",5.58627106491465
"101","female","pituitary","extend","ACOT12","s186.l.o.pk_female_pituitary_extend",5.76717888504004
"102","female","pituitary","m.hatch","ACOT12","s333.y.blk.pk_female_pituitary_m.hatch",5.09617484266786
"103","female","pituitary","control","ACOT12","w191.r1_female_pituitary_control",5.09617484266786
"104","female","pituitary","prolong","ACOT12","x.blk20_female_pituitary_prolong",6.80612105924248
"105","female","pituitary","inc.d9","ACOT12","x.blu101.w43_female_pituitary_inc.d9",5.88050102367124
"106","female","pituitary","inc.d3","ACOT12","x.blu102.w105_female_pituitary_inc.d3",5.09617484266786
"107","female","pituitary","n5","ACOT12","x.blu109.w121_female_pituitary_n5",5.09617484266786
"108","female","pituitary","inc.d17","ACOT12","x.blu116.w107_female_pituitary_inc.d17.NYNO",6.28368232101037
"109","female","pituitary","inc.d9","ACOT12","x.blu122.r66_female_pituitary_inc.d9",5.09617484266786
"110","female","pituitary","m.inc.d9","ACOT12","x.blu25_female_pituitary_m.inc.d9",5.09617484266786
"111","female","pituitary","n9","ACOT12","x.blu43.g132_female_pituitary_n9",5.09617484266786
"112","female","pituitary","lay","ACOT12","x.blu6.y80_female_pituitary_lay",6.23089846778343
"113","female","pituitary","m.inc.d17","ACOT12","x.blu94_female_pituitary_m.inc.d17",5.71812535583295
"114","female","pituitary","m.n2","ACOT12","x.blu96_female_pituitary_m.n2",6.12986257231742
"115","female","pituitary","m.inc.d8","ACOT12","x.g26_female_pituitary_m.inc.d8",5.61562871136652
"116","female","pituitary","n5","ACOT12","x.g37_female_pituitary_n5",5.09617484266786
"117","female","pituitary","n9","ACOT12","x.g4.w50_female_pituitary_n9",6.12996470996276
"118","female","pituitary","n5","ACOT12","x.g43_female_pituitary_n5",5.09617484266786
"119","female","pituitary","n5","ACOT12","x.g49_female_pituitary_n5.NYNO",5.59232574874746
"120","female","pituitary","inc.prolong","ACOT12","x.g50_female_pituitary_inc.prolong",6.09062590533626
"121","female","pituitary","inc.d9","ACOT12","x.g9.o166_female_pituitary_inc.d9.NYNO",5.09617484266786
"122","female","pituitary","inc.d17","ACOT12","x.o159.w90_female_pituitary_inc.d17",5.09617484266786
"123","female","pituitary","m.hatch","ACOT12","x.o171.w45_female_pituitary_m.hatch",5.7992959184097
"124","female","pituitary","n5","ACOT12","x.o175.g21_female_pituitary_n5",5.77277728235513
"125","female","pituitary","hatch","ACOT12","x.o37.blu50_female_pituitary_hatch",6.61559616323075
"126","female","pituitary","extend.hatch","ACOT12","x.o61_female_pituitary_extend.hatch",6.34180573180698
"127","female","pituitary","n5","ACOT12","x.o70_female_pituitary_n5",5.09617484266786
"128","female","pituitary","m.inc.d3","ACOT12","x.r180_female_pituitary_m.inc.d3",5.51222135690447
"129","female","pituitary","inc.d3","ACOT12","x.r33.w183_female_pituitary_inc.d3",6.29902349869936
"130","female","pituitary","bldg","ACOT12","x.r39.g10_female_pituitary_bldg",5.09617484266786
"131","female","pituitary","hatch","ACOT12","x.r44.w95_female_pituitary_hatch",5.09617484266786
"132","female","pituitary","inc.d17","ACOT12","x.r48.y139_female_pituitary_inc.d17.NYNO",5.92720308092252
"133","female","pituitary","n5","ACOT12","x.r50.w97_female_pituitary_n5",5.88992396686881
"134","female","pituitary","m.hatch","ACOT12","x.r74.o29_female_pituitary_m.hatch",5.56006112180466
"135","female","pituitary","m.inc.d9","ACOT12","x.r76_female_pituitary_m.inc.d9",5.77139063673181
"136","female","pituitary","m.inc.d8","ACOT12","x.s188_female_pituitary_m.inc.d8",5.09617484266786
"137","female","pituitary","n9","ACOT12","x.w178_female_pituitary_n9",5.09617484266786
"138","female","pituitary","lay","ACOT12","x.w51_female_pituitary_lay",5.58942550759406
"139","female","pituitary","n9","ACOT12","x.w6_female_pituitary_n9",5.89402824830675
"140","female","pituitary","inc.d9","ACOT12","x.y109_female_pituitary_inc.d9",6.05982565990779
"141","female","pituitary","m.inc.d17","ACOT12","x.y119.w11_female_pituitary_m.inc.d17",5.92488163940215
"142","female","pituitary","n9","ACOT12","x.y138.w176_female_pituitary_n9",5.798380062708
"143","female","pituitary","inc.prolong","ACOT12","x.y145.r55_female_pituitary_inc.prolong",5.09617484266786
"144","female","pituitary","m.inc.d8","ACOT12","x.y5_female_pituitary_m.inc.d8",5.98905511845111
"145","female","pituitary","extend","ACOT12","x.y64_female_pituitary_extend",5.09617484266786
"146","female","pituitary","hatch","ACOT12","x.y90_female_pituitary_hatch",6.41427500002849
"147","female","pituitary","inc.d9","ACOT12","x.y93.g126_female_pituitary_inc.d9",5.72272747823395
"148","female","pituitary","n9","ACOT12","x.y9_female_pituitary_n9",6.14639406008329
"149","female","pituitary","lay","ACOT12","y.s156.o.r_female_pituitary_lay",5.09617484266786
"150","female","pituitary","m.inc.d9","ACOT12","y12.x_female_pituitary_m.inc.d9",6.50829199005409
"151","female","pituitary","inc.d17","ACOT12","y126.w92.x_female_pituitary_inc.d17",5.09617484266786
"152","female","pituitary","inc.d9","ACOT12","y128.g23.x_female_pituitary_inc.d9",5.09617484266786
"153","female","pituitary","inc.d3","ACOT12","y13.x_female_pituitary_inc.d3",5.09617484266786
"154","female","pituitary","inc.d17","ACOT12","y130.o170.x_female_pituitary_inc.d17",5.87145288979081
"155","female","pituitary","inc.d17","ACOT12","y135.blu107.x_female_pituitary_inc.d17.NYNO",6.35440965310451
"156","female","pituitary","inc.d17","ACOT12","y136.x_female_pituitary_inc.d17",5.09617484266786
"157","female","pituitary","inc.d9","ACOT12","y140.w119.x_female_pituitary_inc.d9",5.89129201432751
"158","female","pituitary","inc.prolong","ACOT12","y146.r32.x_female_pituitary_inc.prolong",6.31544915652317
"159","female","pituitary","hatch","ACOT12","y15.x_female_pituitary_hatch",5.61996697494597
"160","female","pituitary","n5","ACOT12","y6.o54_female_pituitary_n5",5.8814894892879
"161","female","pituitary","hatch","ACOT12","y7.g58_female_pituitary_hatch",6.60966213645357
"162","female","pituitary","m.inc.d17","ACOT12","y85.r71.x_female_pituitary_m.inc.d17",5.09617484266786
"163","female","pituitary","n5","ACOT12","y94.g133.x_female_pituitary_n5",6.1600969416124
"164","female","pituitary","n9","ACOT12","y97.x_female_pituitary_n9",5.09617484266786
"165","female","pituitary","m.hatch","ACOT12","y98.g54_female_pituitary_m.hatch",6.01403984115711
"166","female","pituitary","control","AGR2","L.G118_female_pituitary_control.NYNO",8.55278486480353
"167","female","pituitary","control","AGR2","R.G106_female_pituitary_control",8.61059640587238
"168","female","pituitary","control","AGR2","R.R20_female_pituitary_control",8.43969031640144
"169","female","pituitary","control","AGR2","R.R9_female_pituitary_control.NYNO",7.49354408248705
"170","female","pituitary","control","AGR2","R.W44_female_pituitary_control.NYNO",9.25815644159981
"171","female","pituitary","prolong","AGR2","blk.s031.pu.d_female_pituitary_prolong",10.2918855932018
"172","female","pituitary","m.hatch","AGR2","blk.s032.g.w_female_pituitary_m.hatch",9.07479518728982
"173","female","pituitary","m.inc.d3","AGR2","blk.s049.y.g_female_pituitary_m.inc.d3",7.16310406364451
"174","female","pituitary","m.inc.d3","AGR2","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO",8.95093003623885
"175","female","pituitary","inc.d9","AGR2","blk.s061.pu.y_female_pituitary_inc.d9",7.98955033228382
"176","female","pituitary","m.inc.d8","AGR2","blk.y.l.s109_female_pituitary_m.inc.d8",8.35336539519589
"177","female","pituitary","m.n2","AGR2","blk0.x_female_pituitary_m.n2",8.00419694757241
"178","female","pituitary","bldg","AGR2","blk11.x_female_pituitary_bldg",7.95891984091423
"179","female","pituitary","extend","AGR2","blk19.x_female_pituitary_extend",10.1920244537211
"180","female","pituitary","hatch","AGR2","blk21.x_female_pituitary_hatch",9.38185035050327
"181","female","pituitary","n9","AGR2","blk4.x_female_pituitary_n9",8.70384641383706
"182","female","pituitary","control","AGR2","blu.o.x.ATLAS_female_pituitary_control",10.1215627704014
"183","female","pituitary","hatch","AGR2","blu103.x_female_pituitary_hatch.NYNO",8.31687964279346
"184","female","pituitary","inc.prolong","AGR2","blu115.y150.x_female_pituitary_inc.prolong",8.37463423386219
"185","female","pituitary","m.inc.d8","AGR2","blu119.w84.x_female_pituitary_m.inc.d8",8.00718966576784
"186","female","pituitary","hatch","AGR2","blu124.w180.x_female_pituitary_hatch",7.93888502290113
"187","female","pituitary","n9","AGR2","blu36.w16_female_pituitary_n9",8.11614461643966
"188","female","pituitary","bldg","AGR2","blu38.g135.x_female_pituitary_bldg",7.97326926649423
"189","female","pituitary","inc.d3","AGR2","blu39.o26.x_female_pituitary_inc.d3.NYNO",8.79765865360963
"190","female","pituitary","extend","AGR2","blu44.y102_female_pituitary_extend",9.51508690091476
"191","female","pituitary","inc.d9","AGR2","blu47.y96.x_female_pituitary_inc.d9",8.69128527405396
"192","female","pituitary","n5","AGR2","blu55.g51_female_pituitary_n5",9.44527436232939
"193","female","pituitary","m.inc.d3","AGR2","blu56.o53_female_pituitary_m.inc.d3",8.01854657076217
"194","female","pituitary","m.inc.d9","AGR2","blu63.g62_female_pituitary_m.inc.d9",8.32428475906154
"195","female","pituitary","m.inc.d8","AGR2","blu80.r97_female_pituitary_m.inc.d8",7.65469234943322
"196","female","pituitary","m.inc.d9","AGR2","d.r.blk.s159_female_pituitary_m.inc.d9",8.29893625090051
"197","female","pituitary","m.inc.d17","AGR2","d.s112.blk.w_female_pituitary_m.inc.d17",8.74776689751971
"198","female","pituitary","m.inc.d3","AGR2","d.s177.blk.r_female_pituitary_m.inc.d3",10.0381501971271
"199","female","pituitary","lay","AGR2","g.blk.s004.pk_female_pituitary_lay",7.78925535171895
"200","female","pituitary","m.hatch","AGR2","g.s076.pk.r_female_pituitary_m.hatch",7.79049823787563
"201","female","pituitary","lay","AGR2","g.s078.blk.o_female_pituitary_lay",7.06425069676713
"202","female","pituitary","m.inc.d17","AGR2","g.y.blk.s006_female_pituitary_m.inc.d17",8.53981741992211
"203","female","pituitary","bldg","AGR2","g141.blu27.x_female_pituitary_bldg",7.56612690759606
"204","female","pituitary","inc.d17","AGR2","g142.r40.x_female_pituitary_inc.d17",11.0113938352892
"205","female","pituitary","m.inc.d3","AGR2","g144.r54.x_female_pituitary_m.inc.d3",7.28217014824836
"206","female","pituitary","extend","AGR2","g17.w108.x_female_pituitary_extend",8.59751062387127
"207","female","pituitary","extend","AGR2","g22.blu118_female_pituitary_extend",9.62529678527613
"208","female","pituitary","inc.d3","AGR2","g6.w197.x_female_pituitary_inc.d3",8.35801134772624
"209","female","pituitary","m.inc.d17","AGR2","g63.blu65_female_pituitary_m.inc.d17",8.71302266326819
"210","female","pituitary","m.inc.d9","AGR2","g73.x_female_pituitary_m.inc.d9",8.65289880155883
"211","female","pituitary","inc.d9","AGR2","g75.x_female_pituitary_inc.d9",9.24763453048336
"212","female","pituitary","m.hatch","AGR2","l.s.w.d_female_pituitary_m.hatch",8.2235514503311
"213","female","pituitary","prolong","AGR2","l.s052.pk.r_female_pituitary_prolong",9.99772105140305
"214","female","pituitary","bldg","AGR2","l.s120.y.blk_female_pituitary_bldg",8.55538718059407
"215","female","pituitary","prolong","AGR2","l.s166.o.w_female_pituitary_prolong",8.69069189018989
"216","female","pituitary","m.inc.d17","AGR2","o.s084.w.blk_female_pituitary_m.inc.d17",8.47273227876018
"217","female","pituitary","inc.d3","AGR2","o156.w80.x_female_pituitary_inc.d3",7.84817121454564
"218","female","pituitary","inc.d3","AGR2","o165.w122.x_female_pituitary_inc.d3.NYNO",8.07700697796625
"219","female","pituitary","m.inc.d17","AGR2","o169.r28.x_female_pituitary_m.inc.d17",7.80048021447076
