"","geneid","bird_id","sex","tissue","stage","counts","manip","timept"
"160","prlr","blu33.y88.x","male","hypothalamus","bldg",250.501,"n",2
"161","prl","blu33.y88.x","male","pituitary","bldg",61742.15,"n",2
"162","prlr","blu33.y88.x","male","pituitary","bldg",121.3935,"n",2
"163","prl","blu36.w16","female","gonad","n9",95.15438,"n",18
"164","prlr","blu36.w16","female","gonad","n9",53.18673,"n",18
"165","prl","blu36.w16","female","hypothalamus","n9",328.1207,"n",18
"166","prlr","blu36.w16","female","hypothalamus","n9",30.36688,"n",18
"167","prl","blu36.w16","female","pituitary","n9",173323.7,"n",18
"168","prlr","blu36.w16","female","pituitary","n9",59.43631,"n",18
"169","prl","blu37.r65.x","male","gonad","n5",797.7341,"n",17
"170","prlr","blu37.r65.x","male","gonad","n5",17.40942,"n",17
"171","prl","blu37.r65.x","male","hypothalamus","n5",232.0922,"n",17
"172","prlr","blu37.r65.x","male","hypothalamus","n5",261.8624,"n",17
"173","prl","blu37.r65.x","male","pituitary","n5",428622.3,"n",17
"174","prlr","blu37.r65.x","male","pituitary","n5",95.22948,"n",17
"175","prl","blu38.g135.x","female","gonad","bldg",104.9475,"n",2
"176","prlr","blu38.g135.x","female","gonad","bldg",30.03591,"n",2
"177","prl","blu38.g135.x","female","hypothalamus","bldg",166.0995,"n",2
"178","prlr","blu38.g135.x","female","hypothalamus","bldg",147.9795,"n",2
"179","prl","blu38.g135.x","female","pituitary","bldg",38647.31,"n",2
"180","prlr","blu38.g135.x","female","pituitary","bldg",79.36969,"n",2
"181","prl","blu39.o26.x","female","gonad","inc.d3",168.5621,"n",4
"182","prlr","blu39.o26.x","female","gonad","inc.d3",7.713316,"n",4
"183","prl","blu39.o26.x","female","hypothalamus","inc.d3",273.4397,"n",4
"184","prlr","blu39.o26.x","female","hypothalamus","inc.d3",119.3027,"n",4
"185","prl","blu39.o26.x","female","pituitary","inc.d3",81530.05,"n",4
"186","prlr","blu39.o26.x","female","pituitary","inc.d3",87.45847,"n",4
"187","prl","blu41.y100.x","male","gonad","n5",303.7024,"n",17
"188","prlr","blu41.y100.x","male","gonad","n5",22.01575,"n",17
"189","prl","blu41.y100.x","male","hypothalamus","n5",236.2678,"n",17
"190","prlr","blu41.y100.x","male","hypothalamus","n5",121.7453,"n",17
"191","prl","blu41.y100.x","male","pituitary","n5",489721.6,"n",17
"192","prlr","blu41.y100.x","male","pituitary","n5",64.95967,"n",17
"193","prl","blu44.y102","female","gonad","extend",434.2504,"y",12
"194","prlr","blu44.y102","female","gonad","extend",9.851603,"y",12
"195","prl","blu44.y102","female","hypothalamus","extend",145.8886,"y",12
"196","prlr","blu44.y102","female","hypothalamus","extend",158.6556,"y",12
"197","prl","blu44.y102","female","pituitary","extend",251868.5,"y",12
"198","prlr","blu44.y102","female","pituitary","extend",34.84214,"y",12
"199","prl","blu47.y96.x","female","gonad","inc.d9",151.8223,"n",6
"200","prlr","blu47.y96.x","female","gonad","inc.d9",32.9254,"n",6
"201","prl","blu47.y96.x","female","hypothalamus","inc.d9",186.2892,"n",6
"202","prlr","blu47.y96.x","female","hypothalamus","inc.d9",162.017,"n",6
"203","prl","blu47.y96.x","female","pituitary","inc.d9",57596.47,"n",6
"204","prlr","blu47.y96.x","female","pituitary","inc.d9",71.13087,"n",6
"205","prl","blu55.g51","female","gonad","n5",138.1633,"n",17
"206","prlr","blu55.g51","female","gonad","n5",31.13647,"n",17
"207","prl","blu55.g51","female","hypothalamus","n5",71.51378,"n",17
"208","prlr","blu55.g51","female","hypothalamus","n5",167.7042,"n",17
"209","prl","blu55.g51","female","pituitary","n5",335464.9,"n",17
"210","prlr","blu55.g51","female","pituitary","n5",54.3025,"n",17
"211","prl","blu56.o53","female","gonad","m.inc.d3",364.6139,"y",5
"212","prlr","blu56.o53","female","gonad","m.inc.d3",9.41092,"y",5
"213","prl","blu56.o53","female","hypothalamus","m.inc.d3",152.7591,"y",5
"214","prlr","blu56.o53","female","hypothalamus","m.inc.d3",158.423,"y",5
"215","prl","blu56.o53","female","pituitary","m.inc.d3",68220.04,"y",5
"216","prlr","blu56.o53","female","pituitary","m.inc.d3",81.96708,"y",5
"217","prl","blu63.g62","female","gonad","m.inc.d9",55.07454,"y",8
"218","prlr","blu63.g62","female","gonad","m.inc.d9",19.2348,"y",8
"219","prl","blu63.g62","female","hypothalamus","m.inc.d9",110.7719,"y",8
"220","prlr","blu63.g62","female","hypothalamus","m.inc.d9",95.35071,"y",8
"221","prl","blu63.g62","female","pituitary","m.inc.d9",36903.11,"y",8
"222","prlr","blu63.g62","female","pituitary","m.inc.d9",84.5062,"y",8
"223","prl","blu80.r97","female","gonad","m.inc.d8",77.27712,"y",7
"224","prlr","blu80.r97","female","gonad","m.inc.d8",6.409613,"y",7
"225","prl","blu80.r97","female","hypothalamus","m.inc.d8",50.54898,"y",7
"226","prlr","blu80.r97","female","hypothalamus","m.inc.d8",151.2632,"y",7
"227","prl","blu80.r97","female","pituitary","m.inc.d8",74575.35,"y",7
"228","prlr","blu80.r97","female","pituitary","m.inc.d8",89.75364,"y",7
"229","prl","blu81.r88","male","gonad","n9",1088.41,"n",18
"230","prlr","blu81.r88","male","gonad","n9",36.47573,"n",18
"231","prl","blu81.r88","male","hypothalamus","n9",47.03082,"n",18
