"","geneid","bird_id","sex","tissue","stage","counts","manip","timept"
"370","prlr","g38.x","male","hypothalamus","inc.prolong",219.9774,"y",15
"371","prl","g38.x","male","pituitary","inc.prolong",164767.2,"y",15
"372","prlr","g38.x","male","pituitary","inc.prolong",80.99625,"y",15
"373","prl","g3.g119.w20","male","gonad","extend",870.5783,"y",12
"374","prlr","g3.g119.w20","male","gonad","extend",34.31103,"y",12
"375","prl","g3.g119.w20","male","hypothalamus","extend",472.3703,"y",12
"376","prlr","g3.g119.w20","male","hypothalamus","extend",250.8807,"y",12
"377","prl","g3.g119.w20","male","pituitary","extend",411131.1,"y",12
"378","prlr","g3.g119.w20","male","pituitary","extend",86.273,"y",12
"379","prl","g52.blu58","male","gonad","bldg",282.7053,"n",2
"380","prlr","g52.blu58","male","gonad","bldg",30.297,"n",2
"381","prl","g52.blu58","male","hypothalamus","bldg",128.268,"n",2
"382","prlr","g52.blu58","male","hypothalamus","bldg",192.7159,"n",2
"383","prl","g52.blu58","male","pituitary","bldg",51444.04,"n",2
"384","prlr","g52.blu58","male","pituitary","bldg",88.97843,"n",2
"385","prl","g53.y84","male","gonad","hatch",372.2146,"n",11
"386","prlr","g53.y84","male","gonad","hatch",54.37618,"n",11
"387","prl","g53.y84","male","hypothalamus","hatch",101.2181,"n",11
"388","prlr","g53.y84","male","hypothalamus","hatch",144.1417,"n",11
"389","prl","g53.y84","male","pituitary","hatch",372803.5,"n",11
"390","prlr","g53.y84","male","pituitary","hatch",75.3836,"n",11
"391","prl","g63.blu65","female","gonad","m.inc.d17",226.4781,"y",10
"392","prlr","g63.blu65","female","gonad","m.inc.d17",19.7194,"y",10
"393","prl","g63.blu65","female","hypothalamus","m.inc.d17",40.9713,"y",10
"394","prlr","g63.blu65","female","hypothalamus","m.inc.d17",172.2209,"y",10
"395","prl","g63.blu65","female","pituitary","m.inc.d17",317022.3,"y",10
"396","prlr","g63.blu65","female","pituitary","m.inc.d17",63.19206,"y",10
"397","prl","g6.w197.x","female","gonad","inc.d3",220.0139,"n",4
"398","prlr","g6.w197.x","female","gonad","inc.d3",14.66127,"n",4
"399","prl","g6.w197.x","female","hypothalamus","inc.d3",155.3473,"n",4
"400","prlr","g6.w197.x","female","hypothalamus","inc.d3",153.7217,"n",4
"401","prl","g6.w197.x","female","pituitary","inc.d3",66621.4,"n",4
"402","prlr","g6.w197.x","female","pituitary","inc.d3",54.01019,"n",4
"403","prl","g73.x","female","gonad","m.inc.d9",73.48125,"y",8
"404","prlr","g73.x","female","gonad","m.inc.d9",12.62484,"y",8
"405","prl","g73.x","female","hypothalamus","m.inc.d9",38.07101,"y",8
"406","prlr","g73.x","female","hypothalamus","m.inc.d9",159.445,"y",8
"407","prl","g73.x","female","pituitary","m.inc.d9",50491.93,"y",8
"408","prlr","g73.x","female","pituitary","m.inc.d9",61.66064,"y",8
"409","prl","g75.x","female","gonad","inc.d9",76.05626,"n",6
"410","prlr","g75.x","female","gonad","inc.d9",16.53419,"n",6
"411","prl","g75.x","female","hypothalamus","inc.d9",131.5698,"n",6
"412","prlr","g75.x","female","hypothalamus","inc.d9",83.26465,"n",6
"413","prl","g75.x","female","pituitary","inc.d9",73347.97,"n",6
"414","prlr","g75.x","female","pituitary","inc.d9",51.16961,"n",6
"415","prl","g8.y197","male","gonad","extend",1050.281,"y",12
"416","prlr","g8.y197","male","gonad","extend",38.91531,"y",12
"417","prl","g8.y197","male","hypothalamus","extend",212.4087,"y",12
"418","prlr","g8.y197","male","hypothalamus","extend",253.4811,"y",12
"419","prl","g8.y197","male","pituitary","extend",406560.4,"y",12
"420","prlr","g8.y197","male","pituitary","extend",100.4153,"y",12
"421","prl","g.blk.s004.pk","female","gonad","lay",832.1317,"n",3
"422","prlr","g.blk.s004.pk","female","gonad","lay",10.5886,"n",3
"423","prl","g.blk.s004.pk","female","hypothalamus","lay",49.46618,"n",3
"424","prlr","g.blk.s004.pk","female","hypothalamus","lay",150.5938,"n",3
"425","prl","g.blk.s004.pk","female","pituitary","lay",58777,"n",3
"426","prlr","g.blk.s004.pk","female","pituitary","lay",42.58754,"n",3
"427","prl","g.blk.s041.r","male","gonad","m.inc.d3",732.0093,"y",5
"428","prlr","g.blk.s041.r","male","gonad","m.inc.d3",56.78594,"y",5
"429","prl","g.blk.s041.r","male","hypothalamus","m.inc.d3",51.46282,"y",5
"430","prlr","g.blk.s041.r","male","hypothalamus","m.inc.d3",210.4157,"y",5
"431","prl","g.blk.s041.r","male","pituitary","m.inc.d3",44237.17,"y",5
"432","prlr","g.blk.s041.r","male","pituitary","m.inc.d3",138.0092,"y",5
"433","prl","g.o.y.s037","male","gonad","m.inc.d17",961.2587,"y",10
"434","prlr","g.o.y.s037","male","gonad","m.inc.d17",43.3947,"y",10
"435","prl","g.o.y.s037","male","hypothalamus","m.inc.d17",53.53243,"y",10
"436","prlr","g.o.y.s037","male","hypothalamus","m.inc.d17",223.4223,"y",10
"437","prl","g.o.y.s037","male","pituitary","m.inc.d17",176209.7,"y",10
"438","prlr","g.o.y.s037","male","pituitary","m.inc.d17",95.2993,"y",10
"439","prl","g.s043.pu.blk","male","gonad","lay",281.0001,"n",3
"440","prlr","g.s043.pu.blk","male","gonad","lay",22.7211,"n",3
"441","prl","g.s043.pu.blk","male","hypothalamus","lay",148.2737,"n",3
"442","prlr","g.s043.pu.blk","male","hypothalamus","lay",240.3298,"n",3
"443","prl","g.s043.pu.blk","male","pituitary","lay",54772.66,"n",3
"444","prlr","g.s043.pu.blk","male","pituitary","lay",106.461,"n",3
"445","prl","g.s075.pk.pu","male","gonad","m.hatch",688.7553,"y",16
"446","prlr","g.s075.pk.pu","male","gonad","m.hatch",39.09864,"y",16
"447","prl","g.s075.pk.pu","male","hypothalamus","m.hatch",257.9916,"y",16
"448","prlr","g.s075.pk.pu","male","hypothalamus","m.hatch",219.9088,"y",16
"449","prl","g.s075.pk.pu","male","pituitary","m.hatch",145962.2,"y",16
"450","prlr","g.s075.pk.pu","male","pituitary","m.hatch",115.3986,"y",16
"451","prl","g.s076.pk.r","female","gonad","m.hatch",246.2724,"y",16
"452","prlr","g.s076.pk.r","female","gonad","m.hatch",11.22702,"y",16
"453","prl","g.s076.pk.r","female","hypothalamus","m.hatch",49.54639,"y",16
"454","prlr","g.s076.pk.r","female","hypothalamus","m.hatch",110.3908,"y",16
"455","prl","g.s076.pk.r","female","pituitary","m.hatch",179274.9,"y",16
"456","prlr","g.s076.pk.r","female","pituitary","m.hatch",76.44674,"y",16
"457","prl","g.s078.blk.o","female","gonad","lay",299.2144,"n",3
"458","prlr","g.s078.blk.o","female","gonad","lay",35.33152,"n",3
"459","prl","g.s078.blk.o","female","hypothalamus","lay",182.5232,"n",3
"460","prlr","g.s078.blk.o","female","hypothalamus","lay",66.5512,"n",3
"461","prl","g.s078.blk.o","female","pituitary","lay",37330.16,"n",3
"462","prlr","g.s078.blk.o","female","pituitary","lay",54.52072,"n",3
"463","prl","g.s111.r.blk","male","gonad","m.inc.d8",661.6886,"y",7
"464","prlr","g.s111.r.blk","male","gonad","m.inc.d8",17.21019,"y",7
"465","prl","g.s111.r.blk","male","hypothalamus","m.inc.d8",49.80225,"y",7
"466","prlr","g.s111.r.blk","male","hypothalamus","m.inc.d8",182.9633,"y",7
"467","prl","g.s111.r.blk","male","pituitary","m.inc.d8",34131.87,"y",7
"468","prlr","g.s111.r.blk","male","pituitary","m.inc.d8",120.9489,"y",7
"469","prl","g.s179.o.pk","male","gonad","m.inc.d8",512.1723,"y",7
"470","prlr","g.s179.o.pk","male","gonad","m.inc.d8",18.14442,"y",7
"471","prl","g.s179.o.pk","male","hypothalamus","m.inc.d8",45.31675,"y",7
"472","prlr","g.s179.o.pk","male","hypothalamus","m.inc.d8",199.9011,"y",7
"473","prl","g.s179.o.pk","male","pituitary","m.inc.d8",120.9171,"y",7
"474","prlr","g.s179.o.pk","male","pituitary","m.inc.d8",83.90982,"y",7
"475","prl","g.s351.pk.w","male","gonad","extend",855.7181,"y",12
"476","prlr","g.s351.pk.w","male","gonad","extend",41.88443,"y",12
"477","prl","g.s351.pk.w","male","hypothalamus","extend",259.0599,"y",12
"478","prlr","g.s351.pk.w","male","hypothalamus","extend",226.8619,"y",12
"479","prl","g.s351.pk.w","male","pituitary","extend",336932.2,"y",12
"480","prlr","g.s351.pk.w","male","pituitary","extend",102.1232,"y",12
"481","prl","g.s.blk.d","male","gonad","n9",1127.929,"n",18
"482","prlr","g.s.blk.d","male","gonad","n9",61.04653,"n",18
"483","prl","g.s.blk.d","male","hypothalamus","n9",176.3617,"n",18
"484","prlr","g.s.blk.d","male","hypothalamus","n9",186.7876,"n",18
"485","prl","g.s.blk.d","male","pituitary","n9",216530.7,"n",18
"486","prlr","g.s.blk.d","male","pituitary","n9",110.1209,"n",18
"487","prl","g.s.blk.y","male","gonad","lay",864.2224,"n",3
"488","prlr","g.s.blk.y","male","gonad","lay",33.60386,"n",3
"489","prl","g.s.blk.y","male","hypothalamus","lay",2383.02,"n",3
"490","prlr","g.s.blk.y","male","hypothalamus","lay",48.55939,"n",3
"491","prl","g.s.blk.y","male","pituitary","lay",65700.64,"n",3
"492","prlr","g.s.blk.y","male","pituitary","lay",176.7204,"n",3
"493","prl","g.x.ATLAS","female","gonad","control",184.9104,"n",1
"494","prlr","g.x.ATLAS","female","gonad","control",40.16666,"n",1
"495","prl","g.y.blk.s006","female","gonad","m.inc.d17",139.0519,"y",10
"496","prlr","g.y.blk.s006","female","gonad","m.inc.d17",14.16941,"y",10
"497","prl","g.y.blk.s006","female","hypothalamus","m.inc.d17",212.9249,"y",10
"498","prlr","g.y.blk.s006","female","hypothalamus","m.inc.d17",126.9229,"y",10
"499","prl","g.y.blk.s006","female","pituitary","m.inc.d17",214375.2,"y",10
"500","prlr","g.y.blk.s006","female","pituitary","m.inc.d17",56.65911,"y",10
"501","prl","g.y.o.s","male","gonad","prolong",529.064,"y",14
"502","prlr","g.y.o.s","male","gonad","prolong",35.44739,"y",14
"503","prl","g.y.o.s","male","hypothalamus","prolong",62.44885,"y",14
"504","prlr","g.y.o.s","male","hypothalamus","prolong",184.2967,"y",14
"505","prl","g.y.o.s","male","pituitary","prolong",651461.1,"y",14
"506","prlr","g.y.o.s","male","pituitary","prolong",116.2744,"y",14
"507","prl","L.Blu13","male","gonad","control",2063.334,"n",1
"508","prlr","L.Blu13","male","gonad","control",55.52862,"n",1
"509","prl","L.Blu13","male","hypothalamus","control",535.2579,"n",1
"510","prlr","L.Blu13","male","hypothalamus","control",147.3254,"n",1
"511","prl","L.Blu13","male","pituitary","control",47947.99,"n",1
"512","prlr","L.Blu13","male","pituitary","control",265.3825,"n",1
"513","prl","L.G107","male","gonad","control",324.7904,"n",1
"514","prlr","L.G107","male","gonad","control",33.81131,"n",1
"515","prl","L.G107","male","hypothalamus","control",85.26813,"n",1
"516","prlr","L.G107","male","hypothalamus","control",163.4053,"n",1
"517","prl","L.G107","male","pituitary","control",103435.8,"n",1
"518","prlr","L.G107","male","pituitary","control",240.0477,"n",1
"519","prl","L.G118","female","gonad","control",217.9175,"n",1
"520","prlr","L.G118","female","gonad","control",13.96993,"n",1
"521","prl","L.G118","female","hypothalamus","control",784.8167,"n",1
"522","prlr","L.G118","female","hypothalamus","control",151.2922,"n",1
"523","prl","L.G118","female","pituitary","control",67487.27,"n",1
"524","prlr","L.G118","female","pituitary","control",244.1779,"n",1
"525","prl","L.R3","male","gonad","control",1687.896,"n",1
"526","prlr","L.R3","male","gonad","control",41.75989,"n",1
"527","prl","L.R3","male","hypothalamus","control",142.8786,"n",1
"528","prlr","L.R3","male","hypothalamus","control",90.5495,"n",1
"529","prl","L.R3","male","pituitary","control",31973.61,"n",1
"530","prlr","L.R3","male","pituitary","control",288.6945,"n",1
"531","prl","L.R8","male","gonad","control",313.1566,"n",1
"532","prlr","L.R8","male","gonad","control",73.24376,"n",1
"533","prl","L.R8","male","hypothalamus","control",71.64543,"n",1
"534","prlr","L.R8","male","hypothalamus","control",239.7097,"n",1
"535","prl","L.R8","male","pituitary","control",34261.51,"n",1
"536","prlr","L.R8","male","pituitary","control",380.7141,"n",1
"537","prl","l.s024.y.g","male","gonad","m.inc.d17",737.2956,"y",10
"538","prlr","l.s024.y.g","male","gonad","m.inc.d17",28.89583,"y",10
"539","prl","l.s024.y.g","male","hypothalamus","m.inc.d17",138.7912,"y",10
"540","prlr","l.s024.y.g","male","hypothalamus","m.inc.d17",227.6403,"y",10
"541","prl","l.s024.y.g","male","pituitary","m.inc.d17",276935.8,"y",10
"542","prlr","l.s024.y.g","male","pituitary","m.inc.d17",85.4189,"y",10
"543","prl","l.s052.pk.r","female","gonad","prolong",566.9231,"y",14
"544","prlr","l.s052.pk.r","female","gonad","prolong",76.0465,"y",14
"545","prl","l.s052.pk.r","female","hypothalamus","prolong",100.3201,"y",14
"546","prlr","l.s052.pk.r","female","hypothalamus","prolong",209.1424,"y",14
"547","prl","l.s052.pk.r","female","pituitary","prolong",705497.9,"y",14
"548","prlr","l.s052.pk.r","female","pituitary","prolong",57.64061,"y",14
"549","prl","l.s080.blk.r","male","gonad","prolong",462.8554,"y",14
"550","prlr","l.s080.blk.r","male","gonad","prolong",59.41373,"y",14
"551","prl","l.s080.blk.r","male","hypothalamus","prolong",150.4319,"y",14
"552","prlr","l.s080.blk.r","male","hypothalamus","prolong",190.8627,"y",14
"553","prl","l.s080.blk.r","male","pituitary","prolong",108226.9,"y",14
"554","prlr","l.s080.blk.r","male","pituitary","prolong",117.6677,"y",14
"555","prl","l.s120.y.blk","female","gonad","bldg",331.0508,"n",2
"556","prlr","l.s120.y.blk","female","gonad","bldg",10.20876,"n",2
"557","prl","l.s120.y.blk","female","hypothalamus","bldg",159.0622,"n",2
"558","prlr","l.s120.y.blk","female","hypothalamus","bldg",119.5091,"n",2
"559","prl","l.s120.y.blk","female","pituitary","bldg",30939.77,"n",2
"560","prlr","l.s120.y.blk","female","pituitary","bldg",61.78982,"n",2
"561","prl","l.s166.o.w","female","gonad","prolong",232.8873,"y",14
"562","prlr","l.s166.o.w","female","gonad","prolong",33.55932,"y",14
"563","prl","l.s166.o.w","female","hypothalamus","prolong",138.7477,"y",14
"564","prlr","l.s166.o.w","female","hypothalamus","prolong",148.9462,"y",14
"565","prl","l.s166.o.w","female","pituitary","prolong",573368.5,"y",14
"566","prlr","l.s166.o.w","female","pituitary","prolong",44.35766,"y",14
"567","prl","l.s280.g.blk","male","gonad","m.inc.d9",362.5491,"y",8
"568","prlr","l.s280.g.blk","male","gonad","m.inc.d9",79.56688,"y",8
"569","prl","l.s280.g.blk","male","hypothalamus","m.inc.d9",38.25355,"y",8
"570","prlr","l.s280.g.blk","male","hypothalamus","m.inc.d9",207.2584,"y",8
"571","prl","l.s280.g.blk","male","pituitary","m.inc.d9",72303.25,"y",8
"572","prlr","l.s280.g.blk","male","pituitary","m.inc.d9",110.2997,"y",8
"573","prl","l.s.o.blk","male","gonad","extend",647.7199,"y",12
"574","prlr","l.s.o.blk","male","gonad","extend",39.17214,"y",12
"575","prl","l.s.o.blk","male","hypothalamus","extend",367.3774,"y",12
"576","prlr","l.s.o.blk","male","hypothalamus","extend",238.7871,"y",12
"577","prl","l.s.o.blk","male","pituitary","extend",464970.3,"y",12
"578","prlr","l.s.o.blk","male","pituitary","extend",115.4686,"y",12
"579","prl","l.s.w.d","female","gonad","m.hatch",196.7432,"y",16
"580","prlr","l.s.w.d","female","gonad","m.hatch",38.67125,"y",16
"581","prl","l.s.w.d","female","hypothalamus","m.hatch",238.7379,"y",16
"582","prlr","l.s.w.d","female","hypothalamus","m.hatch",115.8476,"y",16
"583","prl","l.s.w.d","female","pituitary","m.hatch",480862.6,"y",16
"584","prlr","l.s.w.d","female","pituitary","m.hatch",79.98497,"y",16
"585","prl","L.W33","male","gonad","control",304.3514,"n",1
"586","prlr","L.W33","male","gonad","control",28.23929,"n",1
"587","prl","L.W33","male","hypothalamus","control",696.1499,"n",1
"588","prlr","L.W33","male","hypothalamus","control",194.1332,"n",1
"589","prl","L.W33","male","pituitary","control",389319.1,"n",1
"590","prlr","L.W33","male","pituitary","control",172.2608,"n",1
"591","prl","L.W3","male","gonad","control",765.98,"n",1
"592","prlr","L.W3","male","gonad","control",36.15623,"n",1
"593","prl","L.W3","male","hypothalamus","control",374.4148,"n",1
"594","prlr","L.W3","male","hypothalamus","control",157.0261,"n",1
"595","prl","L.W3","male","pituitary","control",70433.89,"n",1
"596","prlr","L.W3","male","pituitary","control",55.93111,"n",1
"597","prl","L.W4","male","gonad","control",1184.158,"n",1
"598","prlr","L.W4","male","gonad","control",44.99693,"n",1
"599","prl","L.W4","male","hypothalamus","control",89.42755,"n",1
"600","prlr","L.W4","male","hypothalamus","control",190.2881,"n",1
"601","prl","L.W4","male","pituitary","control",51239.76,"n",1
"602","prlr","L.W4","male","pituitary","control",442.9855,"n",1
"603","prl","o114.blu9","male","gonad","inc.prolong",314.0312,"y",15
"604","prlr","o114.blu9","male","gonad","inc.prolong",24.33314,"y",15
"605","prl","o114.blu9","male","hypothalamus","inc.prolong",45.86447,"y",15
"606","prlr","o114.blu9","male","hypothalamus","inc.prolong",200.5731,"y",15
"607","prl","o114.blu9","male","pituitary","inc.prolong",256611.6,"y",15
"608","prlr","o114.blu9","male","pituitary","inc.prolong",84.1529,"y",15
"609","prl","o152.o120.w42","male","gonad","n5",968.6932,"n",17
"610","prlr","o152.o120.w42","male","gonad","n5",62.88895,"n",17
"611","prl","o152.o120.w42","male","hypothalamus","n5",169.7598,"n",17
"612","prlr","o152.o120.w42","male","hypothalamus","n5",207.075,"n",17
"613","prl","o152.o120.w42","male","pituitary","n5",303864.3,"n",17
"614","prlr","o152.o120.w42","male","pituitary","n5",125.7376,"n",17
"615","prl","o156.w80.x","female","gonad","inc.d3",121.1273,"n",4
"616","prlr","o156.w80.x","female","gonad","inc.d3",19.71958,"n",4
"617","prl","o156.w80.x","female","hypothalamus","inc.d3",186.8255,"n",4
"618","prlr","o156.w80.x","female","hypothalamus","inc.d3",155.3068,"n",4
"619","prl","o156.w80.x","female","pituitary","inc.d3",80659.13,"n",4
"620","prlr","o156.w80.x","female","pituitary","inc.d3",65.2669,"n",4
"621","prl","o165.w122.x","female","gonad","inc.d3",429.3054,"n",4
"622","prlr","o165.w122.x","female","gonad","inc.d3",12.08339,"n",4
"623","prl","o165.w122.x","female","hypothalamus","inc.d3",144.6583,"n",4
"624","prlr","o165.w122.x","female","hypothalamus","inc.d3",79.65582,"n",4
"625","prl","o165.w122.x","female","pituitary","inc.d3",60379.98,"n",4
"626","prlr","o165.w122.x","female","pituitary","inc.d3",187.472,"n",4
"627","prl","o169.r28.x","female","gonad","m.inc.d17",168.4219,"y",10
"628","prlr","o169.r28.x","female","gonad","m.inc.d17",3.685279,"y",10
"629","prl","o169.r28.x","female","hypothalamus","m.inc.d17",116.623,"y",10
"630","prlr","o169.r28.x","female","hypothalamus","m.inc.d17",151.9324,"y",10
"631","prl","o169.r28.x","female","pituitary","m.inc.d17",236391.3,"y",10
"632","prlr","o169.r28.x","female","pituitary","m.inc.d17",63.16502,"y",10
"633","prl","o172.w115.x","female","gonad","hatch",198.4413,"n",11
"634","prlr","o172.w115.x","female","gonad","hatch",0.7102537,"n",11
"635","prl","o172.w115.x","female","hypothalamus","hatch",104.3821,"n",11
"636","prlr","o172.w115.x","female","hypothalamus","hatch",186.6338,"n",11
"637","prl","o172.w115.x","female","pituitary","hatch",632021.8,"n",11
"638","prlr","o172.w115.x","female","pituitary","hatch",80.9475,"n",11
"639","prl","o173.w179.x","female","gonad","inc.d3",121.492,"n",4
"640","prlr","o173.w179.x","female","gonad","inc.d3",22.78473,"n",4
"641","prl","o173.w179.x","female","hypothalamus","inc.d3",234.04,"n",4
"642","prlr","o173.w179.x","female","hypothalamus","inc.d3",95.83935,"n",4
"643","prl","o173.w179.x","female","pituitary","inc.d3",98399.49,"n",4
"644","prlr","o173.w179.x","female","pituitary","inc.d3",54.60672,"n",4
"645","prl","o35.r51.x","female","gonad","inc.d17",278.9016,"n",9
"646","prlr","o35.r51.x","female","gonad","inc.d17",26.68216,"n",9
"647","prl","o35.r51.x","female","hypothalamus","inc.d17",209.5096,"n",9
"648","prlr","o35.r51.x","female","hypothalamus","inc.d17",183.455,"n",9
"649","prl","o35.r51.x","female","pituitary","inc.d17",212844,"n",9
"650","prlr","o35.r51.x","female","pituitary","inc.d17",32.70518,"n",9
"651","prl","o36.r62.x","female","gonad","m.inc.d9",85.96041,"y",8
"652","prlr","o36.r62.x","female","gonad","m.inc.d9",11.75953,"y",8
"653","prl","o36.r62.x","female","hypothalamus","m.inc.d9",43.74416,"y",8
"654","prlr","o36.r62.x","female","hypothalamus","m.inc.d9",150.1493,"y",8
"655","prl","o36.r62.x","female","pituitary","m.inc.d9",45631.18,"y",8
"656","prlr","o36.r62.x","female","pituitary","m.inc.d9",71.73833,"y",8
"657","prl","o38.blu29.x","female","gonad","bldg",240.7011,"n",2
"658","prlr","o38.blu29.x","female","gonad","bldg",71.92161,"n",2
"659","prl","o38.blu29.x","female","hypothalamus","bldg",87.94321,"n",2
"660","prlr","o38.blu29.x","female","hypothalamus","bldg",76.0605,"n",2
"661","prl","o38.blu29.x","female","pituitary","bldg",56941.92,"n",2
"662","prlr","o38.blu29.x","female","pituitary","bldg",52.67651,"n",2
"663","prl","o39.y77.x","male","gonad","hatch",276.5946,"n",11
"664","prlr","o39.y77.x","male","gonad","hatch",31.44785,"n",11
"665","prl","o39.y77.x","male","hypothalamus","hatch",322.3735,"n",11
"666","prlr","o39.y77.x","male","hypothalamus","hatch",254.4035,"n",11
"667","prl","o39.y77.x","male","pituitary","hatch",554073.8,"n",11
"668","prlr","o39.y77.x","male","pituitary","hatch",63.00658,"n",11
"669","prl","o3.x","male","gonad","m.hatch",235.9406,"y",16
"670","prlr","o3.x","male","gonad","m.hatch",38.40243,"y",16
"671","prl","o3.x","male","hypothalamus","m.hatch",40.7047,"y",16
"672","prlr","o3.x","male","hypothalamus","m.hatch",261.3782,"y",16
"673","prl","o3.x","male","pituitary","m.hatch",104186.9,"y",16
"674","prlr","o3.x","male","pituitary","m.hatch",107.1074,"y",16
"675","prl","o44.blu26.x","male","gonad","hatch",378.9036,"n",11
"676","prlr","o44.blu26.x","male","gonad","hatch",38.87703,"n",11
"677","prl","o44.blu26.x","male","hypothalamus","hatch",205.8905,"n",11
"678","prlr","o44.blu26.x","male","hypothalamus","hatch",257.2332,"n",11
"679","prl","o44.blu26.x","male","pituitary","hatch",270072.1,"n",11
"680","prlr","o44.blu26.x","male","pituitary","hatch",129.6383,"n",11
"681","prl","o45.g128.x","female","gonad","m.inc.d9",274.9515,"y",8
"682","prlr","o45.g128.x","female","gonad","m.inc.d9",19.15804,"y",8
"683","prl","o45.g128.x","female","hypothalamus","m.inc.d9",44.0882,"y",8
"684","prlr","o45.g128.x","female","hypothalamus","m.inc.d9",141.0246,"y",8
"685","prl","o45.g128.x","female","pituitary","m.inc.d9",51639.39,"y",8
"686","prlr","o45.g128.x","female","pituitary","m.inc.d9",81.67705,"y",8
"687","prl","o48.r197.x","male","gonad","inc.d3",350.283,"n",4
"688","prlr","o48.r197.x","male","gonad","inc.d3",26.97181,"n",4
"689","prl","o48.r197.x","male","hypothalamus","inc.d3",191.3233,"n",4
"690","prlr","o48.r197.x","male","hypothalamus","inc.d3",164.3769,"n",4
"691","prl","o48.r197.x","male","pituitary","inc.d3",65471.34,"n",4
"692","prlr","o48.r197.x","male","pituitary","inc.d3",97.02973,"n",4
"693","prl","o49.x","male","gonad","inc.d9",257.8325,"n",6
"694","prlr","o49.x","male","gonad","inc.d9",53.70199,"n",6
"695","prl","o49.x","male","hypothalamus","inc.d9",85.07386,"n",6
"696","prlr","o49.x","male","hypothalamus","inc.d9",148.5428,"n",6
"697","prl","o49.x","male","pituitary","inc.d9",119869.5,"n",6
"698","prlr","o49.x","male","pituitary","inc.d9",91.80287,"n",6
"699","prl","o52.blu53","female","gonad","inc.d17",120.1348,"n",9
"700","prlr","o52.blu53","female","gonad","inc.d17",3.635307,"n",9
"701","prl","o52.blu53","female","hypothalamus","inc.d17",174.2438,"n",9
"702","prlr","o52.blu53","female","hypothalamus","inc.d17",144.1487,"n",9
"703","prl","o52.blu53","female","pituitary","inc.d17",335483.9,"n",9
"704","prlr","o52.blu53","female","pituitary","inc.d17",60.42255,"n",9
"705","prl","o57.g59","male","gonad","inc.d9",270.3751,"n",6
"706","prlr","o57.g59","male","gonad","inc.d9",35.85566,"n",6
"707","prl","o57.g59","male","hypothalamus","inc.d9",115.8844,"n",6
"708","prlr","o57.g59","male","hypothalamus","inc.d9",165.2031,"n",6
"709","prl","o57.g59","male","pituitary","inc.d9",57734.76,"n",6
"710","prlr","o57.g59","male","pituitary","inc.d9",87.95463,"n",6
"711","prl","o59.blu64","male","gonad","m.inc.d17",548.0314,"y",10
"712","prlr","o59.blu64","male","gonad","m.inc.d17",73.1843,"y",10
"713","prl","o59.blu64","male","hypothalamus","m.inc.d17",51.61346,"y",10
"714","prlr","o59.blu64","male","hypothalamus","m.inc.d17",189.7125,"y",10
"715","prl","o59.blu64","male","pituitary","m.inc.d17",308939.2,"y",10
"716","prlr","o59.blu64","male","pituitary","m.inc.d17",147.5742,"y",10
"717","prl","o73.x","female","gonad","inc.d9",83.5311,"n",6
"718","prlr","o73.x","female","gonad","inc.d9",15.82841,"n",6
"719","prl","o73.x","female","hypothalamus","inc.d9",152.2275,"n",6
"720","prlr","o73.x","female","hypothalamus","inc.d9",120.0914,"n",6
"721","prl","o73.x","female","pituitary","inc.d9",80246.77,"n",6
"722","prlr","o73.x","female","pituitary","inc.d9",89.77117,"n",6
"723","prl","o.d.s009","male","gonad","m.inc.d9",204.9437,"y",8
"724","prlr","o.d.s009","male","gonad","m.inc.d9",40.16894,"y",8
"725","prl","o.d.s009","male","hypothalamus","m.inc.d9",413.851,"y",8
"726","prlr","o.d.s009","male","hypothalamus","m.inc.d9",136.5221,"y",8
"727","prl","o.d.s009","male","pituitary","m.inc.d9",50091.05,"y",8
"728","prlr","o.d.s009","male","pituitary","m.inc.d9",48.00944,"y",8
"729","prl","o.s010.r.blk","male","gonad","m.inc.d3",1365.706,"y",5
"730","prlr","o.s010.r.blk","male","gonad","m.inc.d3",41.71246,"y",5
"731","prl","o.s010.r.blk","male","hypothalamus","m.inc.d3",156.5843,"y",5
"732","prlr","o.s010.r.blk","male","hypothalamus","m.inc.d3",261.396,"y",5
"733","prl","o.s010.r.blk","male","pituitary","m.inc.d3",32095.45,"y",5
"734","prlr","o.s010.r.blk","male","pituitary","m.inc.d3",104.665,"y",5
"735","prl","o.s084.w.blk","female","gonad","m.inc.d17",254.0616,"y",10
"736","prlr","o.s084.w.blk","female","gonad","m.inc.d17",23.63409,"y",10
"737","prl","o.s084.w.blk","female","hypothalamus","m.inc.d17",217.7616,"y",10
"738","prlr","o.s084.w.blk","female","hypothalamus","m.inc.d17",153.8041,"y",10
"739","prl","o.s084.w.blk","female","pituitary","m.inc.d17",161424.2,"y",10
"740","prlr","o.s084.w.blk","female","pituitary","m.inc.d17",68.21168,"y",10
"741","prl","o.s.w.r","male","gonad","lay",546.0542,"n",3
"742","prlr","o.s.w.r","male","gonad","lay",42.56477,"n",3
"743","prl","o.s.w.r","male","hypothalamus","lay",210.7524,"n",3
"744","prlr","o.s.w.r","male","hypothalamus","lay",234.424,"n",3
"745","prl","o.s.w.r","male","pituitary","lay",68205.74,"n",3
"746","prlr","o.s.w.r","male","pituitary","lay",96.48625,"n",3
"747","prl","p.g.blk.s040","female","gonad","m.inc.d8",272.9743,"y",7
"748","prlr","p.g.blk.s040","female","gonad","m.inc.d8",30.76257,"y",7
