"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_015130158.1",0.0178615819467899,1.74808007958317,0.739860028003534,"hypothalamus","m.inc.d3",418794,"GPC6",418794,"GPC6"
"XP_015143094.1",0.0721596695512851,1.14170546427407,0.736815184673464,"hypothalamus","m.inc.d3",107053497,"LOC107053497",107053497,"LOC107053497"
"XP_015140413.1",0.0402089255646117,1.39567753166194,0.730643735454883,"hypothalamus","m.inc.d3",421903,"DLGAP2",421903,"DLGAP2"
"NP_001116503.1",0.0677161293137265,1.16930787433352,0.727295638548452,"hypothalamus","m.inc.d3",404297,"CRH",404297,"CRH"
"XP_015138176.1",0.0634901653189388,1.197293542086,0.726123402979612,"hypothalamus","m.inc.d3",100858171,"XKR4",100858171,"XKR4"
"XP_015132565.1",0.0272553614857206,1.56454805358445,0.725631985297282,"hypothalamus","m.inc.d3",424839,"DGKG",424839,"DGKG"
"XP_420724.2",0.0582246432388798,1.23489316384713,0.724260896665886,"hypothalamus","m.inc.d3",422770,"GABRA4",422770,"GABRA4"
"XP_421417.4",0.0222825923128353,1.65203428559575,0.72327767125387,"hypothalamus","m.inc.d3",423518,"RP11-47I22.4",423518,"RP11-47I22.4"
"XP_003640516.2",0.0383535357391811,1.41619459309091,0.720469499855582,"hypothalamus","m.inc.d3",769163,"FILIP1L",769163,"FILIP1L"
"XP_015154413.1",0.0269890038950425,1.56881314400479,0.717861771040907,"hypothalamus","m.inc.d3",419844,"RASSF5",419844,"RASSF5"
"XP_015150065.1",0.0909731138114424,1.0410869400811,0.71584390267961,"hypothalamus","m.inc.d3",427678,"GRIN2A",427678,"GRIN2A"
"XP_419111.2",0.0309345304442542,1.50955647175702,0.69878742176321,"hypothalamus","m.inc.d3",421025,"DOK6",421025,"DOK6"
"XP_015142476.1",0.0281798232616169,1.55006173502884,0.691870281564355,"hypothalamus","m.inc.d3",423156,"SLC1A2",423156,"SLC1A2"
"XP_003643067.1",0.0297555985745944,1.52643130888335,0.684374379968426,"hypothalamus","m.inc.d3",770238,"KLF9",770238,"KLF9"
"XP_015143261.1",0.0243854724571015,1.61286882573883,0.680133162835395,"hypothalamus","m.inc.d3",100858625,"CLMN",100858625,"CLMN"
"XP_015132945.1",0.0119941568340708,1.92103027668165,0.679439305796139,"hypothalamus","m.inc.d3",427409,"DNAJB5",427409,"DNAJB5"
"XP_425260.3",0.084513983617035,1.07307142708261,0.674046178708729,"hypothalamus","m.inc.d3",427686,"LRRN4",427686,"LRRN4"
"XP_015141643.1",0.025956116910021,1.58576027838512,0.67027488658897,"hypothalamus","m.inc.d3",418124,"DGKI",418124,"DGKI"
"XP_015145197.1",0.0745612855052661,1.12748661295248,0.665973462169476,"hypothalamus","m.inc.d3",429030,"MYO10L",429030,"MYO10L"
"XP_004936331.1",0.0305335851220428,1.51522219972006,0.653985794775135,"hypothalamus","m.inc.d3",422933,"ADRA1D",422933,"ADRA1D"
"NP_001073203.1",0.0528729008231231,1.27676686177352,0.653171960784514,"hypothalamus","m.inc.d3",427643,"SPRY4",427643,"SPRY4"
"XP_015141991.1",0.0213064692741715,1.67148851189004,0.652486188703832,"hypothalamus","m.inc.d3",423061,"TUB",423061,"TUB"
"XP_015138664.1",0.0679034426919159,1.16810820651185,0.649701315652586,"hypothalamus","m.inc.d3",768579,"LOC768579",768579,"LOC768579"
"NP_989991.1",0.0611991809449185,1.21325439016625,0.646282691187231,"hypothalamus","m.inc.d3",395378,"CACNG3",395378,"CACNG3"
"XP_015155135.1",0.052343248187247,1.28113933049196,0.644006075716647,"hypothalamus","m.inc.d3",420029,"PLCD4",420029,"PLCD4"
"XP_015137356.1",0.0817615989683521,1.0874506238588,0.64236171168652,"hypothalamus","m.inc.d3",417869,"NAV3",417869,"NAV3"
"NP_990037.1",0.0745612855052661,1.12748661295248,0.634906624484177,"hypothalamus","m.inc.d3",395445,"BOK",395445,"BOK"
"XP_015132344.1",0.0696215028554788,1.15725660623419,0.632865875895638,"hypothalamus","m.inc.d3",424744,"NGEF",424744,"NGEF"
"XP_421176.2",0.025956116910021,1.58576027838512,0.632020137599381,"hypothalamus","m.inc.d3",430724,"SYNJ2BP",430724,"SYNJ2BP"
"XP_015130099.1",0.0380165090066584,1.42002776618583,0.629167793140014,"hypothalamus","m.inc.d3",100859280,"SLITRK5",100859280,"SLITRK5"
"XP_003641870.2",0.0841810288453152,1.07478577068692,0.627079693715291,"hypothalamus","m.inc.d3",415520,"LRRK1",415520,"LRRK1"
"XP_015132485.1",0.0280587212265236,1.55193212578519,0.625776200882334,"hypothalamus","m.inc.d3",374244,"ATP2B1",374244,"ATP2B1"
"XP_015127966.1",0.0924139778790023,1.03426233552659,0.625424703605354,"hypothalamus","m.inc.d3",107057643,"SLC8A2",107057643,"SLC8A2"
"XP_003641353.1",0.0607081709079917,1.21675285189946,0.623548065614832,"hypothalamus","m.inc.d3",428901,"FLRT2",428901,"FLRT2"
"XP_015151113.1",0.0949673482209247,1.02242568865824,0.62107825359587,"hypothalamus","m.inc.d3",422077,"BAIAP2",422077,"BAIAP2"
"XP_004940903.1",0.0689739699900395,1.16131477625627,0.618934547663968,"hypothalamus","m.inc.d3",422375,"LONRF3",422375,"LONRF3"
"XP_428110.3",0.0617441878124678,1.20940391774077,0.611773091082959,"hypothalamus","m.inc.d3",430553,"GAN",430553,"GAN"
"XP_015149479.1",0.0127185832769235,1.89556126205875,0.609114689615553,"hypothalamus","m.inc.d3",768450,"FAM131B",768450,"FAM131B"
"XP_003642254.3",0.0507524692673988,1.29454282310701,0.604350779159783,"hypothalamus","m.inc.d3",416911,"MN1",416911,"MN1"
"XP_001233411.3",0.0176466813474929,1.75333695645102,0.603381776552518,"hypothalamus","m.inc.d3",415607,"CTC-554D6.1",415607,"CTC-554D6.1"
"XP_015155348.1",0.0606463060214373,1.21719564695509,0.594608495042566,"hypothalamus","m.inc.d3",420075,"RP11-330H6.5",420075,"RP11-330H6.5"
"XP_015137182.1",0.0402089255646117,1.39567753166194,0.593139005590991,"hypothalamus","m.inc.d3",776499,"DCLK3",776499,"DCLK3"
"XP_015131430.1",0.079780801329218,1.09810160589144,0.590393574738222,"hypothalamus","m.inc.d3",428476,"KIAA0319",428476,"KIAA0319"
"XP_421005.2",0.0582246432388798,1.23489316384713,0.588155503301219,"hypothalamus","m.inc.d3",423072,"ABCC8",423072,"ABCC8"
"NP_001232911.1",0.0734778026009924,1.13384384001638,0.587945240915323,"hypothalamus","m.inc.d3",428149,"NTSR1",428149,"NTSR1"
"XP_015134149.1",0.0130898971005393,1.88306376741743,0.586589719501751,"hypothalamus","m.inc.d3",100858332,"LOC100858332",100858332,"LOC100858332"
"NP_001007893.1",0.0487878477510114,1.31168834012664,0.585639642665543,"hypothalamus","m.inc.d3",420558,"CDK6",420558,"CDK6"
"XP_015154449.1",0.0775978099489286,1.11015053570724,0.584487990211486,"hypothalamus","m.inc.d3",419934,"ATP2B4",419934,"ATP2B4"
"XP_004935738.1",0.0679618453974206,1.16773483705674,0.583371395537082,"hypothalamus","m.inc.d3",421672,"HIVEP2",421672,"HIVEP2"
"XP_015147511.1",0.0423025550177459,1.37363340102691,0.582024341131793,"hypothalamus","m.inc.d3",415458,"HOMER2",415458,"HOMER2"
"NP_989544.1",0.0693096269003679,1.15920643899084,0.581216327152601,"hypothalamus","m.inc.d3",374047,"CCND2",374047,"CCND2"
"XP_004943912.1",0.0949673482209247,1.02242568865824,0.580987616075384,"hypothalamus","m.inc.d3",427507,"AGBL1",427507,"AGBL1"
"XP_015136050.1",0.0836996127644124,1.07727655126203,0.580277824511116,"hypothalamus","m.inc.d3",769007,"MEF2C",769007,"MEF2C"
"XP_417965.2",0.0861935379737501,1.06452529249942,0.576107769491575,"hypothalamus","m.inc.d3",419832,"ELK4",419832,"ELK4"
"XP_003640379.2",0.0423025550177459,1.37363340102691,0.573405994841039,"hypothalamus","m.inc.d3",425522,"CAMK1D",425522,"CAMK1D"
