"gene","padj","logpadj","lfc","tissue","direction"
"FOXN3",5.07942326309352e-34,33.294185596353,2.07721251277709,"gonads","male"
"GRHL3",5.77044548175727e-25,24.2387906577627,2.07527145486018,"gonads","male"
"GPR1",5.00577909865332e-27,26.3005283194007,2.07425399445127,"gonads","male"
"FNBP1",1.8370271161054e-59,58.7358844330856,2.07417418331176,"gonads","male"
"SCUBE1",1.8951546961568e-41,40.7223553340098,2.0708174218078,"gonads","male"
"FAM169A",3.60940859202745e-22,21.442563952183,2.07029837462768,"gonads","male"
"SPTBN5",1.57735292911145e-11,10.8020711234011,2.06914356585209,"gonads","male"
"MELK",1.08511093521448e-31,30.9645258598904,2.06890052124359,"gonads","male"
"DMBT1",1.82958705131078e-09,8.73764692205903,2.06631408967354,"gonads","male"
"KCNJ6",2.75580687067939e-06,5.55975122142957,2.06541377373311,"gonads","male"
"KIAA1407",9.68733934563262e-31,30.0137954867446,2.06503410944795,"gonads","male"
"COPS3",9.53509225713972e-71,70.0206751005652,2.06495187675259,"gonads","male"
"LOC431235",0.0900507187530153,1.04551281644553,2.06455913184545,"gonads","male"
"LOC107056579",0.000169334578418984,3.77125434913748,2.0627282647138,"gonads","male"
"LOC770260",1.26889053155811e-18,17.896575843304,2.06245630497801,"gonads","male"
"SOWAHC",4.14783197421712e-11,10.3821788448935,2.06056383780988,"gonads","male"
"XRCC6",2.64624945206262e-65,64.5773692188984,2.06052293264713,"gonads","male"
"C20H20ORF112",1.73512115680448e-42,41.7606701947091,2.05776224993712,"gonads","male"
"CPAMD8",3.94268796527824e-30,29.4042075927772,2.05730868904525,"gonads","male"
"UPB1",1.30439984267174e-17,16.8845892622479,2.0570089748122,"gonads","male"
"ZFAND3",3.73721433961949e-50,49.4274519934416,2.0569793096859,"gonads","male"
"PSRC1",2.37093821199744e-08,7.62507976383633,2.05656344737715,"gonads","male"
"PANX3",0.00327602546226189,2.48465273143028,2.05579182815263,"gonads","male"
"LIG4",9.82246407457635e-72,71.0077795509348,2.05497239283699,"gonads","male"
"PRIM2",1.60489475501067e-44,43.7945534422727,2.05448617390826,"gonads","male"
"TNFRSF21",1.38330130013301e-39,38.8590832148774,2.05387215280046,"gonads","male"
"KDM7A",2.87090010144083e-47,46.5419819193627,2.05341489523823,"gonads","male"
"OFD1",4.3185953443605e-52,51.3646574877665,2.05232450752557,"gonads","male"
"WDR36",3.28436932921489e-35,34.4835480121429,2.04938545245976,"gonads","male"
"ABCF2",6.43329147722654e-58,57.1915667712977,2.04923253158138,"gonads","male"
"EEA1",2.87078326594935e-62,61.5419995939735,2.0488822543355,"gonads","male"
"C8A",7.64571116002839e-05,4.11658211280081,2.04859464285611,"gonads","male"
"SYT7",2.99638955867181e-09,8.52340172495676,2.04692246345799,"gonads","male"
"SPATS2",1.72610546963469e-44,43.7629326712622,2.04638089812019,"gonads","male"
"IFT140",1.1061441376638e-36,35.9561882779921,2.04480311501026,"gonads","male"
"ANKMY1",1.31331069568219e-08,7.88163251880148,2.0427325675702,"gonads","male"
"VTN",1.48458992915547e-11,10.8283934898476,2.04154795222573,"gonads","male"
"ANKFN1",5.98221341153788e-35,34.2231380978577,2.03749187522584,"gonads","male"
"CYP2J2L6",5.38670222441628e-06,5.26867703148342,2.03433644451037,"gonads","male"
"DBF4",1.78634773478124e-48,47.7480339964011,2.034270935291,"gonads","male"
"LAG3",0.00545275623572453,2.26338391691909,2.03426174009192,"gonads","male"
"TUSC3",2.08049605437703e-50,49.6818331035019,2.03348355203215,"gonads","male"
"LOC424748",2.53132767650306e-18,17.5966516324451,2.0330534776495,"gonads","male"
"LOC100859224",0.0265976151850044,1.57515730165555,2.03304636162951,"gonads","male"
"CNGA3",1.82572879253745e-13,12.7385637353736,2.03197479158507,"gonads","male"
"EWSR1",6.41861909878324e-52,51.1925583959632,2.03100325111282,"gonads","male"
"FKBP1B",4.41369460929303e-11,10.3551977196762,2.03067441389331,"gonads","male"
"MCM10",3.5646948080108e-28,27.447977646421,2.02978891705688,"gonads","male"
"VWC2",1.19970997427255e-12,11.9209237304495,2.02918449577052,"gonads","male"
"BUB1",2.91345269033687e-30,29.5355920297422,2.02849434561858,"gonads","male"
"CCNI",1.29114317333463e-43,42.8890255966634,2.028135539633,"gonads","male"
"AIM1",3.99128981357551e-17,16.3988867362934,2.02584351881505,"gonads","male"
"PFKP",5.35852089372749e-85,84.2709550715647,2.02496780853124,"gonads","male"
"GJD4",0.0656175019029657,1.18298030748256,2.02352464210143,"gonads","male"
"IYD",3.60421451564113e-08,7.44318936858456,2.02338892178484,"gonads","male"
"LOC107051561",0.000457231912123118,3.33986346599479,2.02338650312995,"gonads","male"
"DPYS",0.00123283410833592,2.90909535866897,2.02246453961863,"gonads","male"
"GPR180",4.97908438661705e-52,51.3028505131438,2.02188927813422,"gonads","male"
"OBSL1",6.60871346888689e-11,10.1798830772382,2.02054804978114,"gonads","male"
"CYHR1",8.57761765263343e-40,39.0666333163451,2.01921335035753,"gonads","male"
"CRH",0.0417236577274107,1.37961762591188,2.01859881554195,"gonads","male"
"FANCI",5.9781469208745e-43,42.2234334158038,2.01781882240305,"gonads","male"
"FYTTD1",1.09285526434931e-99,98.9614373513684,2.01575797311478,"gonads","male"
"USP12",5.02809334385467e-68,67.2985966684672,2.01530871919477,"gonads","male"
"NPY7R",6.94257642111525e-06,5.15847933101076,2.015161508468,"gonads","male"
"C6H10ORF76",6.46650998066981e-69,68.1893300477825,2.0108407250542,"gonads","male"
"ATAD2B",1.78600785736927e-55,54.7481166348066,2.01069016259746,"gonads","male"
"DPYSL3",1.90851946066873e-07,6.71930340730621,2.00898823647195,"gonads","male"
"C14ORF2",2.14093647163597e-32,31.6693962194068,2.00829255800302,"gonads","male"
"CTC-554D6.1",6.28888300158455e-43,42.2014264848133,2.00801517131328,"gonads","male"
"LOC771422",9.17306785962294e-08,7.03748539369934,2.00762024531767,"gonads","male"
"DYNC2H1",2.08665005193281e-17,16.6805503795201,2.0074611276668,"gonads","male"
"LOC100859097",1.8997034073426e-13,12.7213141983151,2.00744632275626,"gonads","male"
"EPN2",2.27825690056446e-80,79.642397305627,2.00695306989306,"gonads","male"
"METTL21A",5.73752802971734e-16,15.2412751797777,2.0031849866198,"gonads","male"
"SETD2",3.34038767614686e-47,46.476203127248,2.00311049208284,"gonads","male"
"ANAPC13",3.09553677106128e-45,44.5092640327513,2.00105067066417,"gonads","male"
"RP11-166N6.1",0.0218349290790123,1.66084821435146,2.00098715787398,"gonads","male"
"CCDC142",2.620227662135e-09,8.58166097275907,2.00087311402369,"gonads","male"
"LRIT3",0.00369578567500755,2.43229322220854,1.99977339063428,"gonads","male"
"FOXK2",4.94064608933909e-92,91.3062162545809,1.99971352827758,"gonads","male"
"G6PC3",1.91887635444131e-18,17.7169530087527,1.99682777966595,"gonads","male"
"LOC101750090",2.02488663341561e-44,43.6935992864544,1.99641438826545,"gonads","male"
"TRAPPC2L",1.20376892278842e-46,45.9194568728701,1.99625504945081,"gonads","male"
"TMEM52B",3.88221442471843e-12,11.4109204810805,1.99409429915352,"gonads","male"
"IRAK1BP1",9.57840914672772e-33,32.0187066157825,1.99352419929093,"gonads","male"
"HKDC1",2.71703326729312e-05,4.56590504405786,1.99334862743729,"gonads","male"
"DLEC1",2.08344895463587e-23,22.6812171354714,1.99234523888995,"gonads","male"
"POC5",3.55308141387014e-11,10.4493948411486,1.99170987085661,"gonads","male"
"DNAAF5",1.73531440498564e-48,47.7606218280892,1.99035585924608,"gonads","male"
"MIP",3.53425575579203e-05,4.45170202604878,1.98959559436521,"gonads","male"
"FOXP2",4.93219585070822e-32,31.3069596864978,1.98712724584194,"gonads","male"
"CAPNS2",1.12383169579617e-22,21.9492987235178,1.98712239055253,"gonads","male"
"LOC107050559",1.67490326138227e-05,4.77601027176811,1.98700774802199,"gonads","male"
"TMEM72",0.000703830814651774,3.15253172309294,1.9852010780589,"gonads","male"
"C11ORF16",6.28391383177191e-07,6.20176977885844,1.98515594706071,"gonads","male"
"BOD1",1.37932156613671e-50,49.8603344734047,1.98493337910938,"gonads","male"
"PDE6D",3.30754658920438e-56,55.4804940297431,1.98439022015929,"gonads","male"
"MYRFL",0.0594722643443372,1.22568552587722,1.98188971695431,"gonads","male"
"FAM134C",1.78353345612684e-72,71.7487187396057,1.98129947724886,"gonads","male"
"ZBTB37",1.59961882119365e-08,7.79598349457824,1.97996054766314,"gonads","male"
"ROBO2",1.50782700646505e-42,41.8216484823703,1.97910476682413,"gonads","male"
"ATP2A1",1.24839838120529e-10,9.90364680315479,1.97546156686116,"gonads","male"
"C19ORF44",5.19253711315638e-31,30.284620390704,1.97483808000516,"gonads","male"
"TTBK2",1.65373560474235e-58,57.7815339231873,1.97243420521364,"gonads","male"
"IFT88",1.52578590822029e-31,30.8165064004581,1.97186813973398,"gonads","male"
"P2RY13",0.000287873335584965,3.54079856000767,1.97135454187962,"gonads","male"
"IMMP2L",1.33086154485157e-26,25.8758671236648,1.97085299360109,"gonads","male"
"ZNF821",4.30600322384844e-07,6.3659256493618,1.97035345536443,"gonads","male"
"KCNAB2",3.18173808264568e-23,22.497335573886,1.96998028850072,"gonads","male"
"LOC101749026",4.61276437564198e-37,36.3360387289972,1.96913974105716,"gonads","male"
"TMEM245",2.24861675929884e-35,34.648084556794,1.96282899269645,"gonads","male"
"FAM78B",1.90179279074068e-13,12.7208368032452,1.96276951801458,"gonads","male"
"TBL1X",2.38148391487303e-67,66.623152347474,1.96275081399788,"gonads","male"
"MYO19",1.95370990207828e-44,43.7091399223367,1.96202697815193,"gonads","male"
"LOC107057085",5.51097521473926e-10,9.25877154218196,1.96174362376093,"gonads","male"
"DOT1L",3.01751987921927e-40,39.5203498601182,1.96150888213515,"gonads","male"
"ITPA",1.83586302558981e-44,43.7361597247958,1.96115970996802,"gonads","male"
"EXD1",1.20464118434101e-24,23.9191422932273,1.96111252848031,"gonads","male"
"PPP1R2",6.73108006215428e-93,92.1719152437405,1.95929180539663,"gonads","male"
"UNC5D",3.20450683284121e-18,17.4942387980502,1.95702459369429,"gonads","male"
"MYO1H",1.20835898352325e-15,14.9178040248187,1.95607128136795,"gonads","male"
"LRRC66",1.04769557720494e-08,7.979764889438,1.95556353855071,"gonads","male"
"CUL9",6.24758055119132e-15,14.2042881357277,1.95487288668728,"gonads","male"
"LOC101750513",5.40487552525024e-16,15.2672143034349,1.95443456432535,"gonads","male"
"PARP6",7.23365977429777e-44,43.1406419215655,1.95278126221812,"gonads","male"
"DHRS7C",7.18583304243131e-14,13.1435228775284,1.9527729315882,"gonads","male"
"USP12-like",5.65735657269795e-84,83.2473864476208,1.95248266138932,"gonads","male"
"FCGBP",5.43234849830913e-14,13.2650123767913,1.95244491781246,"gonads","male"
"SMIM4",2.1697073934537e-15,14.6635988311178,1.95149248137629,"gonads","male"
"CLRN2",1.91275727737716e-09,8.71834013702118,1.95147341155008,"gonads","male"
"ZFAND6",7.65798506523912e-43,42.1158854849576,1.95074590737487,"gonads","male"
"ADGRV1",3.70040994165999e-08,7.43175016092251,1.95027649919789,"gonads","male"
"ASAP1",2.02724032130643e-15,14.6930947643654,1.95015932673158,"gonads","male"
"GLCCI1",1.58951981127218e-57,56.7987340548064,1.94962307905596,"gonads","male"
"IQCB1",9.90283746629627e-26,25.0042403488981,1.94842097218269,"gonads","male"
"PRDM15",7.96626948266887e-63,62.0987450063806,1.94746251906708,"gonads","male"
"TDRD1",5.47522087430806e-18,17.2615983563859,1.94684002285613,"gonads","male"
"VPS13B",4.7794424995766e-62,61.3206227589272,1.94506479559131,"gonads","male"
"ACER1",0.00685072557273868,2.16426342915736,1.94291622308637,"gonads","male"
"NOL11",5.29229255884916e-59,58.2763561559468,1.94185594729176,"gonads","male"
"SETX",1.41095046558847e-49,48.8504882328078,1.94121443702946,"gonads","male"
"LOC101748292",1.39477672565703e-23,22.8554953082154,1.93942555665143,"gonads","male"
"ALKBH5",9.77987625364595e-84,83.0096666403759,1.93892459752433,"gonads","male"
"LRWD1",3.98938229640829e-60,59.3990943439195,1.93883035614502,"gonads","male"
"PURG",4.67686868162029e-25,24.3300448241578,1.93845246159273,"gonads","male"
"C12ORF57",9.41205968979687e-07,6.02631532726023,1.93526193468334,"gonads","male"
"GNAO1",3.38380464152719e-26,25.4705947181968,1.93503447905168,"gonads","male"
"CLDND1",2.73885930904725e-49,48.5624302762067,1.93427777727336,"gonads","male"
"CGRRF1",2.82695535753644e-50,49.5486810497095,1.93276913086371,"gonads","male"
"METTL16",3.31579101482187e-61,60.4794128496446,1.93234601036491,"gonads","male"
"SCUBE2",1.70433836517154e-25,24.768444179793,1.93232298764859,"gonads","male"
"LOC107050679",1.81758939018801e-07,6.74050422106824,1.93107476945846,"gonads","male"
"CCK",0.00193991160716686,2.71221805841733,1.93010074511075,"gonads","male"
"FREM3",5.19604346984367e-32,31.2843272242976,1.9280433304907,"gonads","male"
"CERS5",1.26694683964672e-83,82.8972416074784,1.92795076178263,"gonads","male"
