"V1","sex","treatment","sextissue","hypothesis"
"g.blk.s004.pk_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"g.s.blk.d_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"g.s.blk.y_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"g.s043.pu.blk_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"g.s078.blk.o_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"g104.w82.x_male_hypothalamus_bldg","male","bldg","male_hypothalamus","anticipation"
"g114.w83.x_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"g130.y81.x_male_hypothalamus_inc.d17","male","inc.d17","male_hypothalamus","incubation"
"g141.blu27.x_female_hypothalamus_bldg","female","bldg","female_hypothalamus","anticipation"
"g142.r40.x_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"g143.blu32.x_male_hypothalamus_inc.d17","male","inc.d17","male_hypothalamus","incubation"
"g146.blu51_male_hypothalamus_inc.d3.NYNO","male","inc.d3","male_hypothalamus","incubation"
"g20.w106.x_male_hypothalamus_inc.d3","male","inc.d3","male_hypothalamus","incubation"
"g52.blu58_male_hypothalamus_bldg","male","bldg","male_hypothalamus","anticipation"
"g53.y84_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"g6.w197.x_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"g75.x_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"l.s120.y.blk_female_hypothalamus_bldg","female","bldg","female_hypothalamus","anticipation"
"o.s.w.r_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"o152.o120.w42_male_hypothalamus_n5","male","n5","male_hypothalamus","hatchling.care"
"o156.w80.x_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"o165.w122.x_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"o172.w115.x_female_hypothalamus_hatch","female","hatch","female_hypothalamus","hatchling.care"
"o173.w179.x_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"o35.r51.x_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"o38.blu29.x_female_hypothalamus_bldg","female","bldg","female_hypothalamus","anticipation"
"o39.y77.x_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"o44.blu26.x_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"o48.r197.x_male_hypothalamus_inc.d3","male","inc.d3","male_hypothalamus","incubation"
"o49.x_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"o52.blu53_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"o57.g59_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"o73.x_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"pk.s238.blk.w_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"pk.w.s141.o_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"r.r.x.ATLAS.R2XR_female_hypothalamus_control","female","control","female_hypothalamus","anticipation"
"r.r.x.ATLAS_female_hypothalamus_control","female","control","female_hypothalamus","anticipation"
"r.s005.pk.blk_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"r.s056.g.o_female_hypothalamus_bldg","female","bldg","female_hypothalamus","anticipation"
"r.s059.d.o_male_hypothalamus_bldg","male","bldg","male_hypothalamus","anticipation"
"r.s116.blk.pu_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"r.s171.l.w_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"r.y.s007.blk_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"r176.blu54_male_hypothalamus_inc.d17","male","inc.d17","male_hypothalamus","incubation"
"r183.o22_female_hypothalamus_hatch","female","hatch","female_hypothalamus","hatchling.care"
"r190.o43.x_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"r195.x_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"r27.w111.blu125_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"r30.w112.r46_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"r36.w184.x_female_hypothalamus_inc.d9","female","inc.d9","female_hypothalamus","incubation"
"r37.w100.x_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"r41.w99.x_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"r45.x_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"r49.w189.x_female_hypothalamus_inc.d17","female","inc.d17","female_hypothalamus","incubation"
"r6.x_female_hypothalamus_control.NYNO","female","control","female_hypothalamus","anticipation"
"r72.y83.x_male_hypothalamus_hatch","male","hatch","male_hypothalamus","hatchling.care"
"r73.g127.x_female_hypothalamus_inc.d3","female","inc.d3","female_hypothalamus","incubation"
"r83.g45_female_hypothalamus_bldg","female","bldg","female_hypothalamus","anticipation"
"r95.blu99_female_hypothalamus_n9","female","n9","female_hypothalamus","hatchling.care"
"s.o.pk_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"s.pu148.blk.r_male_hypothalamus_bldg","male","bldg","male_hypothalamus","anticipation"
"s.x.ATLAS_female_hypothalamus_control","female","control","female_hypothalamus","anticipation"
"s063.d.blk.l_female_hypothalamus_bldg","female","bldg","female_hypothalamus","anticipation"
"s065.l.d.o_male_hypothalamus_bldg","male","bldg","male_hypothalamus","anticipation"
"s066.l.d.r_male_hypothalamus_bldg","male","bldg","male_hypothalamus","anticipation"
"s092.blk.r.o_female_hypothalamus_bldg","female","bldg","female_hypothalamus","anticipation"
"s095.g.blk.o_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"s136.d.w.o_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"s142.o.pk.pu_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"s150.w.g.blk_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"s176.blk.pu.r_female_hypothalamus_lay","female","lay","female_hypothalamus","incubation"
"s187.l.o.r_male_hypothalamus_n9","male","n9","male_hypothalamus","hatchling.care"
"s243.blk.pk.r_male_hypothalamus_lay","male","lay","male_hypothalamus","incubation"
"w191.r1_female_hypothalamus_control","female","control","female_hypothalamus","anticipation"
"w34.x_male_hypothalamus_inc.d9","male","inc.d9","male_hypothalamus","incubation"
"x.blk.blk.ATLAS_male_hypothalamus_control","male","control","male_hypothalamus","anticipation"
