"net$unmergedColors","entrezid","row.names","Name","geneid"
"black","NP_001012540.1",395416,"ABCC1",395416
"black","XP_015151012.1",422099,"ABCC3",422099
"black","XP_015151015.1",422099,"ABCC3",422099
"black","XP_421005.2",423072,"ABCC8",423072
"black","XP_015147044.1",418200,"ABCC9",418200
"black","XP_015155300.1",420090,"ACSBG2",420090
"black","NP_001104544.1",374087,"ADARB1",374087
"black","XP_418563.4",420461,"ADARB2",420461
"black","XP_015141264.1",422882,"ADD1",422882
"black","XP_015141946.1",423042,"ADM",423042
"black","NP_001006445.1",422558,"AGA",422558
"black","XP_419809.5",421783,"AIM1",421783
"black","XP_015144484.1",423976,"ALDH18A1",423976
"black","NP_001034359.2",417733,"ALG12",417733
"black","XP_015146218.1",424484,"ALG14",424484
"black","XP_417093.2",418898,"ALG5",418898
"black","XP_425656.3",428097,"ALG8",428097
"black","XP_003642776.1",772125,"AMPD1",772125
"black","XP_015141171.1",428790,"ARAP2",428790
"black","XP_004947186.1",419261,"ARFRP1",419261
"black","XP_015142828.1",423289,"ARHGAP11A",423289
"black","XP_004938777.1",418869,"ARL11",418869
"black","XP_414345.3",416003,"ASB14",416003
"black","XP_015128701.1",418625,"ASB9",418625
"black","NP_989749.1",386581,"ATP4B",386581
"black","XP_015131873.1",422667,"BBS12",422667
"black","NP_001186607.1",420563,"BET1",420563
"black","NP_001186972.1",422828,"BST1",422828
"black","NP_989734.2",378922,"BUB1B",378922
"black","XP_015150278.1",426994,"C14H16ORF88",426994
"black","XP_015140923.1",418068,"C1H12ORF23",418068
"black","XP_417232.1",419040,"C1H12ORF5",419040
"black","XP_419091.1",421005,"C2H6ORF62",421005
"black","XP_004939333.1",420542,"C2H7ORF63",420542
"black","XP_004943602.1",425021,"C9H3ORF55",425021
"black","XP_004946485.1",417479,"CALN1",417479
"black","NP_001025791.2",416288,"CANX",416288
"black","XP_415279.4",416987,"CCDC60",416987
"black","NP_989544.1",374047,"CCND2",374047
"black","XP_415043.5",416749,"CCNF",416749
"black","NP_001264664.1",100859742,"CD24",100859742
"black","XP_418802.3",420703,"CDCP1",420703
"black","NP_001007893.1",420558,"CDK6",420558
"black","XP_425638.4",428080,"CDK8",428080
"black","NP_001239091.1",423562,"CDKN3",423562
"black","XP_015138136.1",107052707,"CEBPD",107052707
"black","NP_001038103.1",417982,"CENPM",417982
"black","NP_001264849.1",422668,"CETN1",422668
"black","NP_989747.1",386578,"CHRNA3",386578
"black","NP_990150.1",395613,"CHRNB4",395613
"black","XP_015148668.1",396149,"CNTN4",396149
"black","NP_001004392.2",419243,"COL20A1",419243
"black","XP_420392.3",422424,"CPE",422424
"black","XP_001231727.1",769026,"CPLX4",769026
"black","XP_004941667.2",100859610,"CREB3L1",100859610
"black","NP_001186426.2",417735,"CRELD2",417735
"black","NP_001265061.1",378903,"CREM",378903
"black","XP_015136748.1",378903,"CREM",378903
"black","NP_001012908.1",422904,"CTBP1",422904
"black","XP_422372.1",424535,"CTBS",424535
"black","XP_001235261.4",772072,"CTD-2510F5.6",772072
"black","NP_001161481.1",427466,"CTSL2",427466
"black","NP_001026174.1",420923,"DAP",420923
"black","NP_001006451.1",422648,"DCK",422648
"black","NP_001026671.3",428269,"DCLRE1B",428269
"black","NP_990266.1",395775,"DCT",395775
"black","NP_001161480.1",425542,"DDOST",425542
"black","XP_015141514.1",422941,"DDRGK1",422941
"black","XP_015151470.1",417498,"DERL2",417498
"black","XP_422682.1",424868,"DNAJB11",424868
"black","NP_001025906.1",417783,"DNAJB9",417783
"black","NP_001186459.1",423647,"DNAJC12",423647
"black","XP_015129950.1",418787,"DNAJC3",418787
"black","XP_015152012.1",419336,"DOK5",419336
"black","NP_001006372.1",420840,"DTNBP1",420840
"black","NP_001026215.1",421340,"DUSP10",421340
"black","XP_004943526.1",424983,"ECT2",424983
"black","XP_015138609.1",420327,"EFR3A",420327
"black","XP_004935931.2",422012,"EFR3B",422012
"black","XP_004949596.1",770158,"ELAVL2",770158
"black","XP_003642405.1",422104,"EME1",422104
"black","NP_001185591.1",420361,"ENPP2",420361
"black","XP_015143155.1",423343,"ENTPD5",423343
"black","XP_015155742.1",374146,"ERG",374146
"black","XP_015138869.1",101751309,"ERLEC1",101751309
"black","NP_001264498.1",423585,"ERO1L",423585
"black","XP_419554.4",421509,"ERO1LB",421509
"black","NP_001263253.1",416882,"ERP29",416882
"black","XP_004940008.1",420228,"ESRP1",420228
"black","NP_990016.1",395420,"F13A1",395420
"black","XP_015141139.1",426196,"FAM114A1",426196
"black","XP_015149402.1",416262,"FAM114A2",416262
"black","XP_015143513.1",423602,"FAM13C",423602
"black","XP_421488.4",423602,"FAM13C",423602
"black","XP_001234079.2",416089,"FAM19A1",416089
"black","XP_015140113.1",421845,"FAM46A",421845
"black","XP_420263.2",422282,"FAM46D",422282
"black","XP_015141198.1",418140,"FAM60A",418140
"black","XP_015138639.1",770521,"FAM83A",770521
"black","XP_004945264.1",101751551,"FAM83G",101751551
"black","NP_001034350.2",415935,"FANCD2",415935
"black","NP_001108323.1",415491,"FANCI",415491
"black","NP_001029113.1",421202,"FANCL",421202
"black","NP_001026127.1",420343,"FBXO32",420343
"black","NP_990764.1",396413,"FGF2",396413
"black","XP_001232071.1",768907,"FGF6",768907
"black","XP_004945669.1",416889,"FICD",416889
"black","XP_015128663.1",107049506,"FKBP11",107049506
"black","NP_001039301.1",421416,"FOSL2",421416
"black","NP_989714.1",378899,"FTL",378899
"black","NP_001289113.1",419770,"FXYD2",419770
"black","XP_004938986.2",419027,"GAB2",419027
"black","XP_001233421.2",770097,"GABRG3",770097
"black","XP_004939481.1",100857134,"GADL1",100857134
"black","XP_417833.3",419686,"GALE",419686
"black","XP_015136589.1",428403,"GARS",428403
"black","NP_990554.1",396146,"GCH1",396146
"black","NP_001012621.1",425297,"GINS1",425297
"black","XP_414187.3",415824,"GINS2",415824
"black","NP_001265076.1",420720,"GLB1",420720
"black","XP_004940733.1",422244,"GPR112",422244
"black","XP_426177.3",428620,"GPRC6A",428620
"black","XP_015138285.1",427863,"GRIP1",427863
"black","NP_001026503.1",425204,"GTSE1",425204
"black","XP_015148714.1",416097,"GXYLT2",416097
"black","NP_990427.2",395984,"HDLBP",395984
"black","XP_421626.3",423750,"HELLS",423750
"black","XP_414010.3",415644,"HERPUD1",415644
"black","NP_989432.1",373889,"HK1",373889
"black","XP_003642537.3",100859573,"HM13",100859573
"black","NP_990817.1",396482,"HMGB2",396482
"black","NP_990675.1",396287,"HMOX1",396287
"black","XP_015147511.1",415458,"HOMER2",415458
"black","NP_989498.1",373981,"HPSE",373981
"black","NP_989620.1",374163,"HSP90B1",374163
"black","NP_990822.1",396487,"HSPA5",396487
"black","NP_990334.1",395853,"HSPA8",395853
"black","NP_001264388.1",415358,"HYKK",415358
"black","XP_015153514.1",428251,"HYOU1",428251
"black","XP_004934616.1",418524,"IGSF5",418524
"black","NP_989902.1",395258,"IL15",395258
"black","NP_001138697.2",418717,"IL18R1",418717
"black","XP_015144496.1",423973,"INPP5A",423973
"black","XP_015138877.1",107052848,"INSM1",107052848
"black","XP_004937856.1",418060,"ISX",418060
"black","NP_001025721.1",415448,"ITGB1BP3",415448
"black","NP_001264766.1",419029,"KCTD14",419029
"black","XP_004938990.1",428098,"KCTD21",428098
"black","NP_001013014.1",418026,"KDELR3",418026
"black","XP_004943765.1",101748248,"KIAA0101",101748248
"black","XP_004940298.2",101750381,"KIAA0408",101750381
"black","NP_001025956.1",418410,"KIAA1524",418410
"black","NP_001026401.1",423809,"KIF11",423809
"black","NP_001012801.1",416220,"KIF20A",416220
"black","XP_416994.2",418799,"KLHL1",418799
"black","XP_001233339.2",770893,"LAPTM4B",770893
"black","NP_001026209.1",421301,"LBH",421301
"black","NP_001026570.1",426849,"LMAN1",426849
"black","XP_003640902.1",100858205,"LOC100858205",100858205
"black","XP_003640726.1",100859557,"LOC100859557",100859557
"black","XP_015132513.1",101750767,"LOC101750767",101750767
"black","XP_004950522.2",101751171,"LOC101751171",101751171
"black","XP_015152585.1",107049018,"LOC107049018",107049018
"black","XP_015130460.1",107051352,"LOC107051352",107051352
"black","XP_015151533.1",107054798,"LOC107054798",107054798
"black","XP_015152203.1",107054875,"LOC107054875",107054875
"black","XP_015156650.1",107056124,"LOC107056124",107056124
"black","XP_015157205.1",107056696,"LOC107056696",107056696
"black","XP_015138399.1",414835,"LOC414835",414835
"black","XP_015150259.1",416755,"LOC416755",416755
"black","XP_015150391.1",417013,"LOC417013",417013
"black","XP_416420.4",418189,"LOC418189",418189
"black","XP_004940615.1",422151,"LOC422151",422151
"black","XP_015133924.1",422224,"LOC422224",422224
"black","XP_015147232.1",424998,"LOC424998",424998
"black","XP_004948555.1",428278,"LOC428278",428278
"black","XP_004939719.1",428479,"LOC428479",428479
"black","NP_001006310.2",419575,"LPO",419575
"black","XP_015146228.1",424477,"LPPR5",424477
"black","XP_004936089.1",422761,"LRRC66",422761
"black","XP_004942534.1",428996,"LRRFIP1",428996
"black","NP_990356.1",395881,"MAFA",395881
"black","XP_419762.5",421726,"MAN1A1",421726
"black","XP_015148407.1",107048996,"MANF",107048996
"black","NP_001012805.2",416496,"MAP2K3",416496
"black","XP_418589.2",420487,"MASTL",420487
"black","XP_419881.4",421864,"MB21D1",421864
"black","NP_001006400.1",421413,"MCFD2",421413
"black","XP_015150936.1",100859572,"MCHR1",100859572
"black","XP_015142671.1",427684,"MEST",427684
"black","NP_001264773.1",424094,"METTL21A",424094
"black","XP_004948762.1",420074,"MFSD12",420074
"black","XP_417964.4",419831,"MFSD4",419831
"black","XP_015144522.1",423965,"MGMT",423965
"black","NP_001292058.1",768422,"MLN",768422
"black","NP_001244242.1",422399,"MND1",422399
"black","XP_015135600.1",427360,"MPDZ",427360
"black","NP_001001461.1",373964,"MSTN",373964
"black","NP_001026531.1",426126,"MTHFD2",426126
"black","XP_015138223.1",396158,"MYBL1",396158
"black","NP_001026123.1",420332,"MYC",420332
"black","XP_015150978.1",422101,"MYCBPAP",422101
"black","XP_004943522.2",429156,"NAALADL2",429156
"black","XP_421902.2",424046,"NABP1",424046
"black","XP_004948064.1",419737,"NCAPD3",419737
"black","XP_015152945.1",425304,"NCAPH",425304
"black","NP_001006169.1",416597,"NDE1",416597
"black","XP_015131840.1",422686,"NDST4",422686
"black","XP_015137918.1",421018,"NETO1",421018
"black","XP_426167.1",428610,"NMBR",428610
"black","NP_990378.1",395916,"NME2",395916
"black","XP_421942.1",424087,"NOP58",424087
"black","XP_015138847.1",421223,"NPHP1",421223
"black","XP_001233764.2",770430,"NPM3",770430
"black","XP_015137891.1",420996,"NR4A3",420996
"black","NP_001185660.1",420873,"NRN1",420873
"black","XP_015136754.1",395080,"NT5C3A",395080
"black","NP_990750.1",396389,"NTN1",396389
"black","XP_015142068.1",423071,"NUCB2",423071
"black","XP_003641250.2",422666,"NUDT6",422666
"black","NP_990247.1",395746,"OAZ1",395746
"black","XP_015131472.1",420862,"OFCC1",420862
"black","NP_990098.1",395535,"OLFM1",395535
"black","XP_015146506.1",424640,"ORC1",424640
"black","XP_004939482.1",420663,"OSBPL10",420663
"black","NP_001006442.1",422525,"OSTC",422525
"black","XP_424363.5",426746,"OTUD3",426746
"black","NP_990557.2",396151,"OVST",396151
"black","XP_423478.5",425757,"OVSTL",425757
"black","NP_001185639.2",374091,"P4HB",374091
"black","XP_003643103.1",427274,"PAM",427274
"black","XP_015141922.1",423030,"PARVA",423030
"black","XP_015152316.1",395942,"PAX7",395942
"black","NP_989501.1",373984,"PCNA",373984
"black","XP_015132449.1",429124,"PCOLCE2",429124
"black","NP_001265077.1",771220,"PCP4",771220
"black","XP_003643108.1",769230,"PCSK1",769230
"black","XP_004935609.1",421574,"PDE10A",421574
"black","XP_015133076.1",769469,"PDE4D",769469
"black","XP_004936055.1",769077,"PDGFRL",769077
"black","XP_015131335.1",420785,"PDIA4",420785
"black","XP_419952.1",421940,"PDIA6",421940
"black","XP_015135396.1",771243,"PECAM1",771243
"black","XP_003640390.1",768655,"PIM3",768655
"black","NP_001122109.1",418673,"PLCXD1",418673
"black","XP_004935669.1",421632,"PLEKHG1",421632
"black","NP_990678.1",396291,"PLS1",396291
"black","XP_015133719.1",422222,"PLS3",422222
"black","XP_421892.2",395112,"POFUT2",395112
"black","XP_416549.4",418326,"POLQ",418326
"black","XP_015140157.1",107053103,"POU3F2",107053103
"black","NP_990797.2",396453,"PRL",396453
"black","NP_001029992.1",424867,"PROCR",424867
"black","XP_416641.2",418430,"PROS1",418430
"black","XP_015143679.1",395602,"PSAP",395602
"black","XP_015151216.1",417540,"PSPH",417540
"black","NP_001264669.1",416158,"PTTG1",416158
"black","NP_001279000.1",769203,"PYCR2",769203
"black","NP_001006566.1",426335,"QDPR",426335
"black","XP_419527.3",421479,"QPCT",421479
"black","XP_419807.2",421781,"QRSL1",421781
"black","XP_417994.1",419867,"RAP1A",419867
"black","XP_004942794.2",429022,"RAPGEF4",429022
"black","XP_015148276.1",101750777,"RASSF1",101750777
"black","XP_015137077.1",417828,"RASSF3",417828
"black","XP_015154411.1",419844,"RASSF5",419844
"black","XP_420062.3",422057,"RCAN2",422057
"black","XP_015150373.1",100859719,"RFC5",100859719
"black","XP_422203.3",424360,"RGS1",424360
"black","XP_015130626.1",374105,"RIMBP2",374105
"black","XP_004944206.1",415708,"RIPK3",415708
"black","XP_015150797.1",429219,"RNF157",429219
"black","XP_004942132.1",423738,"RP11-574K11.31",423738
"black","XP_015151844.1",419177,"RPN2",419177
"black","XP_015143605.1",423660,"RTKN2",423660
"black","XP_015145735.1",396231,"RXRG",396231
"black","NP_001280206.1",415424,"SCG3",415424
"black","XP_001232858.1",416770,"SDF2L1",416770
"black","XP_424458.4",426850,"SEC11C",426850
"black","NP_001289117.1",776639,"SEC61G",776639
"black","XP_421303.2",423391,"SEL1L",423391
"black","XP_015144356.1",418008,"SGSM3",418008
"black","XP_015147272.1",777244,"SHOX2",777244
"black","NP_990013.1",395417,"SIK1",395417
"black","XP_015153557.1",768557,"SIK2",768557
"black","XP_015139313.1",378786,"SIX3",378786
"black","NP_001006323.1",419875,"SLC16A1",419875
"black","XP_419783.4",421753,"SLC16A10",421753
"black","XP_015140231.1",421863,"SLC17A5",421863
"black","XP_015151869.1",419236,"SLC17A9",419236
"black","NP_001138699.1",419520,"SLC23A2",419520
"black","XP_015143144.1",423330,"SLC25A21",423330
"black","XP_422831.3",425029,"SLC33A1",425029
"black","NP_989845.2",395185,"SLC35B1",395185
"black","NP_001025750.2",415832,"SLC7A5",415832
"black","XP_015132082.1",422522,"SMARCAD1",422522
"black","NP_989849.2",395189,"SMC4",395189
"black","NP_001264949.1",421827,"SMIM8",421827
"black","XP_015147787.1",415619,"SMPD3",415619
"black","NP_989704.1",378800,"SOSTDC1",378800
"black","XP_015151563.1",771702,"SPAG5",771702
"black","XP_015131871.1",422665,"SPATA5",422665
"black","NP_001264786.1",424172,"SPC25",424172
"black","XP_417247.3",419056,"SPCS2",419056
"black","NP_990628.1",396234,"SPCS3",396234
