"gene","padj","logpadj","lfc","tissue","direction","row.names","geneid","entrezid"
"NP_001297016.1",0.00244044470762818,2.61253102756657,2.02846823734167,"pituitary","bldg",NA,NA,NA
"XP_015144848.1",0.0230060583951191,1.63815778219547,2.00153219669272,"pituitary","bldg",NA,NA,NA
"XP_015153221.1",0.044465133644645,1.35198039802852,1.97745998941321,"pituitary","bldg",NA,NA,NA
"XP_015129860.1",2.67387598291696e-10,9.57285873962596,1.96044793381768,"pituitary","bldg",NA,NA,NA
"XP_015128867.1",3.07429160267687e-09,8.51225494118657,1.95981054843105,"pituitary","bldg",NA,NA,NA
"XP_015130241.1",2.49147664244519e-15,14.6035431799779,1.94495617880913,"pituitary","bldg",NA,NA,NA
"XP_015128520.1",6.44723577212141e-06,5.19062644757096,1.94381408529081,"pituitary","bldg",NA,NA,NA
"XP_416379.3",3.65557065163624e-07,6.43704481801886,1.94108551356952,"pituitary","bldg",NA,NA,NA
"XP_015130381.1",9.56224024141513e-09,8.01944034930262,1.93977012910553,"pituitary","bldg",NA,NA,NA
"XP_015148105.1",8.75328216952104e-05,4.05782907145359,1.9318376802374,"pituitary","bldg",NA,NA,NA
"XP_015132771.1",0.0544657667251322,1.26387637834098,1.91492914586583,"pituitary","bldg",NA,NA,NA
"NP_001186380.1",7.59049504924627e-05,4.11972989865725,1.91336788225004,"pituitary","bldg",NA,NA,NA
"XP_003640374.1",4.11128738868808e-08,7.38602216394965,1.91241053029035,"pituitary","bldg",NA,NA,NA
"XP_003641167.1",0.0335363965604669,1.47448360356589,1.90392537042957,"pituitary","bldg",NA,NA,NA
"XP_425996.3",5.73045463314024e-09,8.24181092134297,1.88369571729993,"pituitary","bldg",NA,NA,NA
"XP_015129850.1",9.93535581590358e-06,5.00281657484341,1.8785949565206,"pituitary","bldg",NA,NA,NA
"XP_015156917.1",0.00854332882834127,2.06837287754366,1.87726779041132,"pituitary","bldg",NA,NA,NA
"XP_015152746.1",1.31625159582154e-10,9.88066108926813,1.85989040516584,"pituitary","bldg",NA,NA,NA
"XP_015133818.1",4.40016154183812e-14,13.3565313790954,1.85546315363892,"pituitary","bldg",NA,NA,NA
"NP_990327.2",0.00954084370084089,2.02041321875314,1.85306262458239,"pituitary","bldg",NA,NA,NA
"XP_422069.4",2.57750926867306e-15,14.5887997643272,1.85297774850737,"pituitary","bldg",NA,NA,NA
"NP_990825.1",0.081908127986872,1.08667299976951,1.8325666836776,"pituitary","bldg",NA,NA,NA
"XP_015129709.1",0.000133056215075141,3.87596483468044,1.82684287314144,"pituitary","bldg",NA,NA,NA
"XP_015130377.1",1.25320837816156e-07,6.90197671036137,1.8138418131453,"pituitary","bldg",NA,NA,NA
"XP_015150987.1",5.76881568241211e-22,21.2389133368245,1.8107361125717,"pituitary","bldg",NA,NA,NA
"XP_015158207.1",7.31949278806484e-06,5.13551901279088,1.80890821737794,"pituitary","bldg",NA,NA,NA
"XP_001232633.2",3.83895666074696e-05,4.41578679074915,1.80827285986852,"pituitary","bldg",NA,NA,NA
"XP_015140498.1",8.4696935642773e-07,6.0721323022727,1.80780439530405,"pituitary","bldg",NA,NA,NA
"XP_015152091.1",0.0952328771908557,1.0212130944976,1.80654960165369,"pituitary","bldg",NA,NA,NA
"XP_015145655.1",0.0393576101813369,1.4049712800722,1.79316087847957,"pituitary","bldg",NA,NA,NA
"NP_001092823.1",4.64916162321012e-06,5.33262535576395,1.78885966871462,"pituitary","bldg",NA,NA,NA
"NP_001289086.1",2.74373231095678e-10,9.56165826233312,1.78866205233573,"pituitary","bldg",NA,NA,NA
"XP_015158025.1",0.0226917382319717,1.64413223502563,1.78592343830096,"pituitary","bldg",NA,NA,NA
"XP_015155792.1",0.000108550734991282,3.96436723161465,1.78543335825652,"pituitary","bldg",NA,NA,NA
"NP_989805.1",0.0126259527316153,1.8987358408947,1.77537794257615,"pituitary","bldg",NA,NA,NA
"XP_015158180.1",5.42545866888289e-10,9.2655635406233,1.77481275259338,"pituitary","bldg",NA,NA,NA
"XP_015151955.1",5.16960873583303e-06,5.28654232543583,1.77391809892692,"pituitary","bldg",NA,NA,NA
"XP_015145976.1",6.10249305802839e-08,7.21449270594792,1.76919679152154,"pituitary","bldg",NA,NA,NA
"XP_015136405.1",0.0133396771293317,1.87485468186224,1.76919497544733,"pituitary","bldg",NA,NA,NA
"XP_015135563.1",1.71194535301936e-07,6.76651010254492,1.76580120311687,"pituitary","bldg",NA,NA,NA
"NP_001074365.1",0.00290281302390649,2.53718093705872,1.76459164884716,"pituitary","bldg",NA,NA,NA
"XP_015128929.1",3.65353898321426e-13,12.4372862543775,1.76376009681551,"pituitary","bldg",NA,NA,NA
"XP_015129697.1",4.99873675369528e-10,9.30113973370707,1.75151233409418,"pituitary","bldg",NA,NA,NA
