"entrezid","padj","logpadj","lfc","tissue","direction","row.names","Name","geneid","gene"
"XP_015139320.1",0.030543097787986,1.5150869173778,1.69782096016707,"hypothalamus","prolong",421402,"ABCG8",421402,"ABCG8"
"XP_015149814.1",0.021716705256718,1.66320606293976,1.6974962756499,"hypothalamus","prolong",416453,"CYP2W1",416453,"CYP2W1"
"XP_425991.2",1.34017497590906e-05,4.87283849558237,1.68398940269041,"hypothalamus","prolong",428431,"GPNMB",428431,"GPNMB"
"NP_001186062.1",0.0256674237436019,1.5906177195672,1.68230526900728,"hypothalamus","prolong",415768,"SLC7A9",415768,"SLC7A9"
"NP_989665.1",0.000893128400114205,3.04908610051517,1.67194413454109,"hypothalamus","prolong",374241,"PI15",374241,"PI15"
"NP_001264632.1",0.0143830829542716,1.84214801475126,1.6702845806643,"hypothalamus","prolong",421683,"PERP1",421683,"PERP1"
"XP_004938405.1",0.00509578467196634,2.29278893188004,1.66666101283185,"hypothalamus","prolong",418466,"LIPI",418466,"LIPI"
"XP_015139479.1",0.00504999282532614,2.29670923889589,1.66460566965848,"hypothalamus","prolong",100859813,"KIF26B",100859813,"KIF26B"
"XP_417840.1",0.0685436686918457,1.16403265435634,1.65027108649032,"hypothalamus","prolong",419692,"IL22RA1",419692,"IL22RA1"
"NP_001006444.1",6.11129461670778e-05,4.21386677906429,1.6434931710182,"hypothalamus","prolong",422556,"SSPO",422556,"SSPO"
"XP_015139824.1",0.00177883466225221,2.74986441650768,1.61994547757586,"hypothalamus","prolong",421567,"TCP10",421567,"TCP10"
"NP_989494.2",0.0332575358325331,1.47810993232573,1.61071469054192,"hypothalamus","prolong",373977,"PSEN1",373977,"PSEN1"
"XP_004945003.1",0.00124838481638873,2.90365152212677,1.60826913208271,"hypothalamus","prolong",427639,"ARSI",427639,"ARSI"
"XP_015148800.1",0.0452301747333324,1.34457173448323,1.60318782160212,"hypothalamus","prolong",416069,"FAM3D",416069,"FAM3D"
"XP_015154501.1",0.0795716128022927,1.0992418393244,1.6027974680128,"hypothalamus","prolong",107049139,"LOC107049139",107049139,"LOC107049139"
"NP_001265002.1",0.0311216923963838,1.50693679412368,1.60090508906398,"hypothalamus","prolong",418411,"SH2D1B",418411,"SH2D1B"
"XP_004936891.1",0.000764927737725032,3.11637959045369,1.57421494122908,"hypothalamus","prolong",424662,"TMEM61",424662,"TMEM61"
"XP_415279.4",0.000123589052627241,3.90801999683736,1.57080425762233,"hypothalamus","prolong",416987,"CCDC60",416987,"CCDC60"
"XP_015143367.1",3.50734349944992e-05,4.45502169844406,1.55490298215254,"hypothalamus","prolong",423506,"AKAP5",423506,"AKAP5"
