"","x"
"1","PRL"
"2","LAPTM4B"
"3","KPNA2"
"4","RACGAP1"
"5","ARAP2"
"6","CKAP2"
"7","LOC423793"
"8","STT3B"
"9","LOC101749834"
"10","OLFM1"
"11","CDK1"
"12","RRM2"
"13","MLN"
"14","FGF6"
"15","CENPI"
"16","BUB1"
"17","FKBP5"
"18","NEMF"
"19","VTN"
"20","LOC101748741"
"21","NKRF"
"22","ZBTB16"
"23","TULP1"
"24","CTNND2"
"25","SEBOX"
"26","INSM1"
"27","SF3A1"
"28","LOC422319"
"29","KIAA1522"
"30","WIPF3"
"31","UIMC1"
"32","ZC3H18"
"33","FBXO21"
"34","UBAC1"
"35","MYBPC3"
