"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"CBX5",0.00320642896637675,0.0114333647683742,1.94182594062039,-0.667914633842882,"male_hypothalamus","control","control"
"ASNSD1",1.85480908699934e-06,1.50814171876532e-05,4.82155784627402,-0.667947189074762,"male_hypothalamus","control","control"
"LOC769329",0.0387138671319535,0.0973395642054574,1.01171060244826,-0.6691262651086,"male_hypothalamus","control","control"
"GPR124",0.0128215126758025,0.0380088235559387,1.42011557241402,-0.669574594605437,"male_hypothalamus","control","control"
"GID4",0.0115747316168645,0.0348061217277755,1.45834436528394,-0.669801680861077,"male_hypothalamus","control","control"
"ZFYVE19",5.6190162660629e-05,0.000321103514657945,3.49335494081096,-0.669802606137322,"male_hypothalamus","control","control"
"LOC101748375",0.000130914875684586,0.000679308295775551,3.16793308173263,-0.669837525329269,"male_hypothalamus","control","control"
"C10H15ORF40",3.69522669792415e-05,0.000220917356896565,3.65577016141117,-0.670210225227575,"male_hypothalamus","control","control"
"C18ORF8",5.11609223299076e-08,5.65014410296583e-07,6.2479404756629,-0.670431491467388,"male_hypothalamus","control","control"
"RP9",2.09825469033435e-05,0.00013304931210399,3.87598736651066,-0.67054195612955,"male_hypothalamus","control","control"
"FAS",0.0168662436689151,0.0481816731832109,1.31711812252741,-0.670567124516909,"male_hypothalamus","control","control"
"ASRGL1",6.39366142136136e-08,6.94263794116674e-07,6.15847548262669,-0.670650576055983,"male_hypothalamus","control","control"
"VTA1",7.39603577177516e-11,1.51657777250804e-09,8.81913531347397,-0.671228692653586,"male_hypothalamus","control","control"
"GAPDH",1.28680628685434e-05,8.60931666820113e-05,4.06503131765281,-0.671498222034071,"male_hypothalamus","control","control"
"DENND3",0.000487918421349783,0.00218414584730007,2.66071836479387,-0.671507214515844,"male_hypothalamus","control","control"
"LOC100859314",7.70799015217758e-08,8.27726114682893e-07,6.08211334263398,-0.671674186058439,"male_hypothalamus","control","control"
"SWAP70",0.000308944120295494,0.00145836642896432,2.83613334153037,-0.672247476929261,"male_hypothalamus","control","control"
"PPIF",0.00166254217433996,0.00638301634005981,2.19497404380633,-0.672503305521881,"male_hypothalamus","control","control"
"VAMP4",3.47771094908562e-10,6.11636227073985e-09,8.21350679933496,-0.673017923143524,"male_hypothalamus","control","control"
"BIRC2",8.70913411804625e-07,7.54625100923128e-06,5.12226875305617,-0.673224212885732,"male_hypothalamus","control","control"
"ORC1",0.0408625007112075,0.101851364556592,0.992033148152002,-0.673331377923672,"male_hypothalamus","NS","control"
"C13H5ORF15",2.85215496885308e-07,2.73063709870124e-06,5.5637360137028,-0.673448095023338,"male_hypothalamus","control","control"
"AHSA2",0.00376245259820725,0.0131155238647763,1.88221435798725,-0.673670084421011,"male_hypothalamus","control","control"
"MPC2",6.57186202881296e-05,0.000370109628341807,3.43166961665759,-0.673856193200088,"male_hypothalamus","control","control"
"JMJD7",0.00142507279833191,0.00556560318682056,2.25448776097673,-0.673865577320733,"male_hypothalamus","control","control"
"FBXO8",3.01148536224199e-10,5.32394583870999e-09,8.27376637131701,-0.673985410995951,"male_hypothalamus","control","control"
"ANKMY1",0.0317662743804639,0.0824165076722149,1.08398579227224,-0.674482363401661,"male_hypothalamus","control","control"
"MIER3",4.47496179075813e-06,3.3027744595742e-05,4.48112108247169,-0.674829948223463,"male_hypothalamus","control","control"
"TAF1B",5.27068765385563e-05,0.000302724962628505,3.51895176574702,-0.675158043097687,"male_hypothalamus","control","control"
"SLC26A8",0.0331626727052594,0.0854685375218961,1.06819372732206,-0.675356376467871,"male_hypothalamus","control","control"
"CD163",0.0169814038164619,0.0484699107463363,1.31452777999685,-0.675624775084736,"male_hypothalamus","control","control"
"LYRM2",0.000711232392171209,0.00302958278618869,2.5186171755016,-0.675862190106266,"male_hypothalamus","control","control"
"PCGF6",8.10781776052401e-06,5.65260422842687e-05,4.2477514209484,-0.675983465055229,"male_hypothalamus","control","control"
"PARP11",4.23177367518074e-05,0.000248728764003814,3.6042739882492,-0.676257505904856,"male_hypothalamus","control","control"
"C26H6ORF125",0.000270321265984484,0.00129310964498911,2.88836464898282,-0.676489229076704,"male_hypothalamus","control","control"
"DAZAP2",0.00194965002665331,0.0073503860544514,2.13368985045118,-0.676515935236304,"male_hypothalamus","control","control"
