"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"SLC1A2",0.00804279415772152,1,0,0.623548477154091,"male_hypothalamus","NS","m.inc.d3"
"ADRA2C",0.00882857550775929,1,0,0.618815453819941,"male_hypothalamus","NS","m.inc.d3"
"PCGF5",0.00833594685554679,1,0,0.613790003676555,"male_hypothalamus","NS","m.inc.d3"
"SLC22A15",0.0220073773376396,1,0,0.590949524416602,"male_hypothalamus","NS","m.inc.d3"
"CDK6",0.0130060300719623,1,0,0.585364212594819,"male_hypothalamus","NS","m.inc.d3"
"CTC-554D6.1",0.00262338269967124,1,0,0.576009881293636,"male_hypothalamus","NS","m.inc.d3"
"DGKI",0.0320751462736946,1,0,0.555296128705456,"male_hypothalamus","NS","m.inc.d3"
"ATP2B2",0.0482391851699817,1,0,0.552889144569001,"male_hypothalamus","NS","m.inc.d3"
"LOC101749060",0.0373326911574738,1,0,0.550746800516053,"male_hypothalamus","NS","m.inc.d3"
"NEGR1",0.000423338920648506,0.900412448405526,0.0455585094106816,0.543532000945018,"male_hypothalamus","NS","m.inc.d3"
"CLVS2",0.0122849108159714,1,0,0.530534226870314,"male_hypothalamus","NS","m.inc.d3"
"TUB",0.000455993780027953,0.900412448405526,0.0455585094106816,0.524851106522423,"male_hypothalamus","NS","m.inc.d3"
"C1HXORF59",0.045518087976776,1,0,0.517473802459692,"male_hypothalamus","NS","m.inc.d3"
"CAMK4",0.0336771928630512,1,0,0.510794336330556,"male_hypothalamus","NS","m.inc.d3"
"ATP2B1",0.0428682388901855,1,0,0.498552244651397,"male_hypothalamus","NS","m.inc.d3"
"B3GNT5",0.0219224351577517,1,0,0.496604267692393,"male_hypothalamus","NS","m.inc.d3"
"HVCN1",0.0397377744013726,1,0,0.496175012317954,"male_hypothalamus","NS","m.inc.d3"
"FAT1",0.0338240132373353,1,0,0.491644898003224,"male_hypothalamus","NS","m.inc.d3"
"OTUD7A",0.00918238522710662,1,0,0.484403990411207,"male_hypothalamus","NS","m.inc.d3"
"TMEM178B",0.024717867935635,1,0,0.476524962189719,"male_hypothalamus","NS","m.inc.d3"
"HOOK3",0.0363054615438337,1,0,0.464882152902077,"male_hypothalamus","NS","m.inc.d3"
"LOC100858332",0.040483580266625,1,0,0.463805728258498,"male_hypothalamus","NS","m.inc.d3"
"ELMSAN1",0.0246116481864183,1,0,0.459945531274296,"male_hypothalamus","NS","m.inc.d3"
"GFOD1",0.0217752507302342,1,0,0.458814550636016,"male_hypothalamus","NS","m.inc.d3"
"PIK3R1",0.0388837646827474,1,0,0.457667789150396,"male_hypothalamus","NS","m.inc.d3"
"SKI",0.0298826386874709,1,0,0.457118360606816,"male_hypothalamus","NS","m.inc.d3"
"LOC425792",0.0358855903300556,1,0,0.457098387705181,"male_hypothalamus","NS","m.inc.d3"
"CD109",0.0267656024863238,1,0,0.448534115962694,"male_hypothalamus","NS","m.inc.d3"
"GABRQ",0.0268306418484979,1,0,0.445349051582016,"male_hypothalamus","NS","m.inc.d3"
"AJAP1",0.04066242858391,1,0,0.4325137667511,"male_hypothalamus","NS","m.inc.d3"
"MDN1",0.0215492550662705,1,0,0.429442491141608,"male_hypothalamus","NS","m.inc.d3"
"OSBPL6",0.0188681257609664,1,0,0.401635631436277,"male_hypothalamus","NS","m.inc.d3"
"VEZT",0.0398739713652505,1,0,0.401323297529391,"male_hypothalamus","NS","m.inc.d3"
"KDM7A",0.0461595021460141,1,0,0.396562875266281,"male_hypothalamus","NS","m.inc.d3"
"TULP4",0.0325044091336059,1,0,0.39079318613496,"male_hypothalamus","NS","m.inc.d3"
"FRRS1L",0.0472886057288723,1,0,0.365346508004005,"male_hypothalamus","NS","m.inc.d3"
"NBAS",0.0408359641214887,1,0,0.294058162162806,"male_hypothalamus","NS","m.inc.d3"
"GDE1",0.00305852527572709,1,0,-0.423311700400251,"male_hypothalamus","NS","inc.d3"
"MIF4GD",0.0339438058244712,1,0,-0.432559578257036,"male_hypothalamus","NS","inc.d3"
"GAS8",0.0192549239486902,1,0,-0.434610236940383,"male_hypothalamus","NS","inc.d3"
"CYBRD1",0.0448463914186502,1,0,-0.440262903562313,"male_hypothalamus","NS","inc.d3"
"ANKRD13A",0.0455805452685897,1,0,-0.441998743044146,"male_hypothalamus","NS","inc.d3"
"ZC3H10",0.0311162058118607,1,0,-0.453396411430903,"male_hypothalamus","NS","inc.d3"
"MTHFD1L",0.0235296520586679,1,0,-0.456794484877135,"male_hypothalamus","NS","inc.d3"
"C1R",0.0394523891727753,1,0,-0.480817222953533,"male_hypothalamus","NS","inc.d3"
"TFPI2",0.0111831723642597,1,0,-0.515079927303776,"male_hypothalamus","NS","inc.d3"
"SCYL1",0.0102018303874143,1,0,-0.560943498197851,"male_hypothalamus","NS","inc.d3"
"NUP88",0.0191219781166124,1,0,-0.56464216007858,"male_hypothalamus","NS","inc.d3"
"AIFM2",0.0349069928632277,1,0,-0.595962138928235,"male_hypothalamus","NS","inc.d3"
"MPV17",0.0197911794889535,1,0,-0.597301879468256,"male_hypothalamus","NS","inc.d3"
"PPEF1",0.0257940109877433,1,0,-0.615362815704504,"male_hypothalamus","NS","inc.d3"
"CP",0.0177799897721561,1,0,-0.618448068729144,"male_hypothalamus","NS","inc.d3"
"PTPRC",0.0016924005910852,1,0,-0.626057122598586,"male_hypothalamus","NS","inc.d3"
"S100A11",0.0230339168237656,1,0,-0.6587114893314,"male_hypothalamus","NS","inc.d3"
"TAF4B",0.0040892345008736,1,0,-0.660039192127524,"male_hypothalamus","NS","inc.d3"
"LOC100858014",0.0381708248625653,1,0,-0.689746882435718,"male_hypothalamus","NS","inc.d3"
"C18ORF32",0.00149891378646086,1,0,-0.695473740874134,"male_hypothalamus","NS","inc.d3"
"SLC26A8",0.0226521018229527,1,0,-0.706902130366561,"male_hypothalamus","NS","inc.d3"
"ADAT1",0.0310640045246318,1,0,-0.738004857406877,"male_hypothalamus","NS","inc.d3"
