"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"DNAH1",0.00814247220232248,0.286269346491128,0.543225153419138,4.86258111930284,"male_hypothalamus","NS","m.inc.d3"
"LOC100857497",0.000110362339589606,0.0395817895354906,1.40250457476278,2.91855475579155,"male_hypothalamus","m.inc.d3","m.inc.d3"
"LOC107055658",7.71882596620701e-05,0.0356575927210605,1.447847979816,2.51060280359628,"male_hypothalamus","m.inc.d3","m.inc.d3"
"LOC107050953",0.0249627192293296,0.470562538003428,0.3273826504409,2.07368714559155,"male_hypothalamus","NS","m.inc.d3"
"SLC7A9",0.0186573873706057,0.401057657911599,0.396793186699546,1.94960564971737,"male_hypothalamus","NS","m.inc.d3"
"ANXA5",0.000366799915150673,0.0590377226404041,1.22887040362034,1.90805255573272,"male_hypothalamus","m.inc.d3","m.inc.d3"
"TMED11",0.00852158317613842,0.292512708589491,0.533855260691575,1.86553271994208,"male_hypothalamus","NS","m.inc.d3"
"ATP2B4",0.000466864157140812,0.0629234596634837,1.20118740697288,1.86347447989405,"male_hypothalamus","m.inc.d3","m.inc.d3"
"LOC427933",0.0222074692401563,0.441528627563605,0.355041132653025,1.78408519004609,"male_hypothalamus","NS","m.inc.d3"
"FAM83G",0.0387405542907296,0.584256839974679,0.233396194561117,1.77798062235052,"male_hypothalamus","NS","m.inc.d3"
"TPO",0.0148621788882269,0.366657684941921,0.435739208001267,1.76638135556278,"male_hypothalamus","NS","m.inc.d3"
"LOC107051069",0.0178628868390732,0.395703119528536,0.402630525956644,1.73478170983705,"male_hypothalamus","NS","m.inc.d3"
"PPP1R1B",0.000717709645113963,0.0807736086314491,1.0927305142003,1.72480977586696,"male_hypothalamus","m.inc.d3","m.inc.d3"
"LOC101748402",0.00698741121723217,0.266270277456669,0.574677309178706,1.6944340332233,"male_hypothalamus","NS","m.inc.d3"
"LOC100859602",0.0252903040483934,0.472725624869532,0.325390855412749,1.58803165950362,"male_hypothalamus","NS","m.inc.d3"
"TNKS",0.000149440134923427,0.0446829633091547,1.34985803282279,1.58365140790693,"male_hypothalamus","m.inc.d3","m.inc.d3"
